context: Everybody on the continent, we have emergency news! response:	The tri-country alliance has launched an emergency attack in response
context: Everybody on the continent, we have emergency news!\The tri-country alliance has launched an emergency attack in response response:	to the news that demons have appeared to the south, in the Dragon's Forest.
context: Everybody on the continent, we have emergency news!\The tri-country alliance has launched an emergency attack in response\to the news that demons have appeared to the south, in the Dragon's Forest. response:	Right now, air and land forces from Biscotti, Galette, and Pastillage
context: Everybody on the continent, we have emergency news!\The tri-country alliance has launched an emergency attack in response\to the news that demons have appeared to the south, in the Dragon's Forest.\Right now, air and land forces from Biscotti, Galette, and Pastillage response:	are heading to attack the demons.
context: Everybody on the continent, we have emergency news!\The tri-country alliance has launched an emergency attack in response\to the news that demons have appeared to the south, in the Dragon's Forest.\Right now, air and land forces from Biscotti, Galette, and Pastillage\are heading to attack the demons. response:	This is not a game.
context: Everybody on the continent, we have emergency news!\The tri-country alliance has launched an emergency attack in response\to the news that demons have appeared to the south, in the Dragon's Forest.\Right now, air and land forces from Biscotti, Galette, and Pastillage\are heading to attack the demons.\This is not a game. response:	It's a tri-country alliance attack on the demons!
context: Everybody on the continent, we have emergency news!\The tri-country alliance has launched an emergency attack in response\to the news that demons have appeared to the south, in the Dragon's Forest.\Right now, air and land forces from Biscotti, Galette, and Pastillage\are heading to attack the demons.\This is not a game.\It's a tri-country alliance attack on the demons! response:	The tri-country broadcasting federation will keep you as up to date as we can!
context: Everybody on the continent, we have emergency news!\The tri-country alliance has launched an emergency attack in response\to the news that demons have appeared to the south, in the Dragon's Forest.\Right now, air and land forces from Biscotti, Galette, and Pastillage\are heading to attack the demons.\This is not a game.\It's a tri-country alliance attack on the demons!\The tri-country broadcasting federation will keep you as up to date as we can! response:	Decisive Battle! The Dragon's Forest!
context: The tri-country alliance has launched an emergency attack in response\to the news that demons have appeared to the south, in the Dragon's Forest.\Right now, air and land forces from Biscotti, Galette, and Pastillage\are heading to attack the demons.\This is not a game.\It's a tri-country alliance attack on the demons!\The tri-country broadcasting federation will keep you as up to date as we can!\Decisive Battle! The Dragon's Forest! response:	Biscotti forces are in place.
context: to the news that demons have appeared to the south, in the Dragon's Forest.\Right now, air and land forces from Biscotti, Galette, and Pastillage\are heading to attack the demons.\This is not a game.\It's a tri-country alliance attack on the demons!\The tri-country broadcasting federation will keep you as up to date as we can!\Decisive Battle! The Dragon's Forest!\Biscotti forces are in place. response:	Pastillage forces are, as well.
context: Right now, air and land forces from Biscotti, Galette, and Pastillage\are heading to attack the demons.\This is not a game.\It's a tri-country alliance attack on the demons!\The tri-country broadcasting federation will keep you as up to date as we can!\Decisive Battle! The Dragon's Forest!\Biscotti forces are in place.\Pastillage forces are, as well. response:	Galette forces, too.
context: are heading to attack the demons.\This is not a game.\It's a tri-country alliance attack on the demons!\The tri-country broadcasting federation will keep you as up to date as we can!\Decisive Battle! The Dragon's Forest!\Biscotti forces are in place.\Pastillage forces are, as well.\Galette forces, too. response:	Okay, I'll go over where we are right now.
context: This is not a game.\It's a tri-country alliance attack on the demons!\The tri-country broadcasting federation will keep you as up to date as we can!\Decisive Battle! The Dragon's Forest!\Biscotti forces are in place.\Pastillage forces are, as well.\Galette forces, too.\Okay, I'll go over where we are right now. response:	The demon we're attacking
context: It's a tri-country alliance attack on the demons!\The tri-country broadcasting federation will keep you as up to date as we can!\Decisive Battle! The Dragon's Forest!\Biscotti forces are in place.\Pastillage forces are, as well.\Galette forces, too.\Okay, I'll go over where we are right now.\The demon we're attacking response:	is known as the Dragon Eater.
context: The tri-country broadcasting federation will keep you as up to date as we can!\Decisive Battle! The Dragon's Forest!\Biscotti forces are in place.\Pastillage forces are, as well.\Galette forces, too.\Okay, I'll go over where we are right now.\The demon we're attacking\is known as the Dragon Eater. response:	It invades the land, the plants and the creatures,
context: Decisive Battle! The Dragon's Forest!\Biscotti forces are in place.\Pastillage forces are, as well.\Galette forces, too.\Okay, I'll go over where we are right now.\The demon we're attacking\is known as the Dragon Eater.\It invades the land, the plants and the creatures, response:	and makes copies of itself.
context: Biscotti forces are in place.\Pastillage forces are, as well.\Galette forces, too.\Okay, I'll go over where we are right now.\The demon we're attacking\is known as the Dragon Eater.\It invades the land, the plants and the creatures,\and makes copies of itself. response:	It's a dangerous parasite-type demon.
context: Pastillage forces are, as well.\Galette forces, too.\Okay, I'll go over where we are right now.\The demon we're attacking\is known as the Dragon Eater.\It invades the land, the plants and the creatures,\and makes copies of itself.\It's a dangerous parasite-type demon. response:	Any animals it eats become part of it,
context: Galette forces, too.\Okay, I'll go over where we are right now.\The demon we're attacking\is known as the Dragon Eater.\It invades the land, the plants and the creatures,\and makes copies of itself.\It's a dangerous parasite-type demon.\Any animals it eats become part of it, response:	and become branches that send nutrients to the main dragon eater.
context: Okay, I'll go over where we are right now.\The demon we're attacking\is known as the Dragon Eater.\It invades the land, the plants and the creatures,\and makes copies of itself.\It's a dangerous parasite-type demon.\Any animals it eats become part of it,\and become branches that send nutrients to the main dragon eater. response:	It's bad enough that
context: The demon we're attacking\is known as the Dragon Eater.\It invades the land, the plants and the creatures,\and makes copies of itself.\It's a dangerous parasite-type demon.\Any animals it eats become part of it,\and become branches that send nutrients to the main dragon eater.\It's bad enough that response:	many animals are being attacked, but...
context: is known as the Dragon Eater.\It invades the land, the plants and the creatures,\and makes copies of itself.\It's a dangerous parasite-type demon.\Any animals it eats become part of it,\and become branches that send nutrients to the main dragon eater.\It's bad enough that\many animals are being attacked, but... response:	The True Dragons which control the power of nature live here.
context: It invades the land, the plants and the creatures,\and makes copies of itself.\It's a dangerous parasite-type demon.\Any animals it eats become part of it,\and become branches that send nutrients to the main dragon eater.\It's bad enough that\many animals are being attacked, but...\The True Dragons which control the power of nature live here. response:	If they're attacked and controlled,
context: and makes copies of itself.\It's a dangerous parasite-type demon.\Any animals it eats become part of it,\and become branches that send nutrients to the main dragon eater.\It's bad enough that\many animals are being attacked, but...\The True Dragons which control the power of nature live here.\If they're attacked and controlled, response:	it could cause a huge disaster.
context: It's a dangerous parasite-type demon.\Any animals it eats become part of it,\and become branches that send nutrients to the main dragon eater.\It's bad enough that\many animals are being attacked, but...\The True Dragons which control the power of nature live here.\If they're attacked and controlled,\it could cause a huge disaster. response:	Not just for this forest or the surrounding areas,
context: Any animals it eats become part of it,\and become branches that send nutrients to the main dragon eater.\It's bad enough that\many animals are being attacked, but...\The True Dragons which control the power of nature live here.\If they're attacked and controlled,\it could cause a huge disaster.\Not just for this forest or the surrounding areas, response:	but potentially the whole continent.
context: and become branches that send nutrients to the main dragon eater.\It's bad enough that\many animals are being attacked, but...\The True Dragons which control the power of nature live here.\If they're attacked and controlled,\it could cause a huge disaster.\Not just for this forest or the surrounding areas,\but potentially the whole continent. response:	So we and the Dragon Priestess will work together
context: It's bad enough that\many animals are being attacked, but...\The True Dragons which control the power of nature live here.\If they're attacked and controlled,\it could cause a huge disaster.\Not just for this forest or the surrounding areas,\but potentially the whole continent.\So we and the Dragon Priestess will work together response:	to protect the true dragons
