context: She wants to replace Iwasawa? response:	Not a chance...
context: She wants to replace Iwasawa?\Not a chance... response:	I'm Yui!
context: She wants to replace Iwasawa?\Not a chance...\I'm Yui! response:	Pleased to meet ya!
context: She wants to replace Iwasawa?\Not a chance...\I'm Yui!\Pleased to meet ya! response:	Who is that?
context: She wants to replace Iwasawa?\Not a chance...\I'm Yui!\Pleased to meet ya!\Who is that? response:	Haven't you been listening?
context: She wants to replace Iwasawa?\Not a chance...\I'm Yui!\Pleased to meet ya!\Who is that?\Haven't you been listening? response:	She's a candidate for the GirlDeMo lead vocals position.
context: She wants to replace Iwasawa?\Not a chance...\I'm Yui!\Pleased to meet ya!\Who is that?\Haven't you been listening?\She's a candidate for the GirlDeMo lead vocals position. response:	Listen,
context: She wants to replace Iwasawa?\Not a chance...\I'm Yui!\Pleased to meet ya!\Who is that?\Haven't you been listening?\She's a candidate for the GirlDeMo lead vocals position.\Listen, response:	Girls Dead Monster is a rock band, you know.
context: Not a chance...\I'm Yui!\Pleased to meet ya!\Who is that?\Haven't you been listening?\She's a candidate for the GirlDeMo lead vocals position.\Listen,\Girls Dead Monster is a rock band, you know. response:	Do you want to turn it into an idol unit or something?
context: I'm Yui!\Pleased to meet ya!\Who is that?\Haven't you been listening?\She's a candidate for the GirlDeMo lead vocals position.\Listen,\Girls Dead Monster is a rock band, you know.\Do you want to turn it into an idol unit or something? response:	No, I really can sing!
context: Pleased to meet ya!\Who is that?\Haven't you been listening?\She's a candidate for the GirlDeMo lead vocals position.\Listen,\Girls Dead Monster is a rock band, you know.\Do you want to turn it into an idol unit or something?\No, I really can sing! response:	Listen and judge for yourself!
context: Who is that?\Haven't you been listening?\She's a candidate for the GirlDeMo lead vocals position.\Listen,\Girls Dead Monster is a rock band, you know.\Do you want to turn it into an idol unit or something?\No, I really can sing!\Listen and judge for yourself! response:	She looks the part, at least.
context: Haven't you been listening?\She's a candidate for the GirlDeMo lead vocals position.\Listen,\Girls Dead Monster is a rock band, you know.\Do you want to turn it into an idol unit or something?\No, I really can sing!\Listen and judge for yourself!\She looks the part, at least. response:	Yay!
context: She's a candidate for the GirlDeMo lead vocals position.\Listen,\Girls Dead Monster is a rock band, you know.\Do you want to turn it into an idol unit or something?\No, I really can sing!\Listen and judge for yourself!\She looks the part, at least.\Yay! response:	Everyone!
context: Listen,\Girls Dead Monster is a rock band, you know.\Do you want to turn it into an idol unit or something?\No, I really can sing!\Listen and judge for yourself!\She looks the part, at least.\Yay!\Everyone! response:	Thank you for coming today!
context: Girls Dead Monster is a rock band, you know.\Do you want to turn it into an idol unit or something?\No, I really can sing!\Listen and judge for yourself!\She looks the part, at least.\Yay!\Everyone!\Thank you for coming today! response:	Is this part of her performance?
context: Do you want to turn it into an idol unit or something?\No, I really can sing!\Listen and judge for yourself!\She looks the part, at least.\Yay!\Everyone!\Thank you for coming today!\Is this part of her performance? response:	Is this that death metal stuff?
context: No, I really can sing!\Listen and judge for yourself!\She looks the part, at least.\Yay!\Everyone!\Thank you for coming today!\Is this part of her performance?\Is this that death metal stuff? response:	Crazy baby.
context: Listen and judge for yourself!\She looks the part, at least.\Yay!\Everyone!\Thank you for coming today!\Is this part of her performance?\Is this that death metal stuff?\Crazy baby. response:	G - Gonna die...
context: She looks the part, at least.\Yay!\Everyone!\Thank you for coming today!\Is this part of her performance?\Is this that death metal stuff?\Crazy baby.\G - Gonna die... response:	No, looks like it was an accident.
context: Yay!\Everyone!\Thank you for coming today!\Is this part of her performance?\Is this that death metal stuff?\Crazy baby.\G - Gonna die...\No, looks like it was an accident. response:	She is one hell of a tomboy.
context: Everyone!\Thank you for coming today!\Is this part of her performance?\Is this that death metal stuff?\Crazy baby.\G - Gonna die...\No, looks like it was an accident.\She is one hell of a tomboy. response:	The complete opposite of the cool beauty aura that Iwasawa had.
context: Thank you for coming today!\Is this part of her performance?\Is this that death metal stuff?\Crazy baby.\G - Gonna die...\No, looks like it was an accident.\She is one hell of a tomboy.\The complete opposite of the cool beauty aura that Iwasawa had. response:	I don't know if she's fit to be the lead vocalist of Girls Dead Monster...
context: Is this part of her performance?\Is this that death metal stuff?\Crazy baby.\G - Gonna die...\No, looks like it was an accident.\She is one hell of a tomboy.\The complete opposite of the cool beauty aura that Iwasawa had.\I don't know if she's fit to be the lead vocalist of Girls Dead Monster... response:	Should we look for someone else?
context: Is this that death metal stuff?\Crazy baby.\G - Gonna die...\No, looks like it was an accident.\She is one hell of a tomboy.\The complete opposite of the cool beauty aura that Iwasawa had.\I don't know if she's fit to be the lead vocalist of Girls Dead Monster...\Should we look for someone else? response:	Yeah, let's do that.
context: Crazy baby.\G - Gonna die...\No, looks like it was an accident.\She is one hell of a tomboy.\The complete opposite of the cool beauty aura that Iwasawa had.\I don't know if she's fit to be the lead vocalist of Girls Dead Monster...\Should we look for someone else?\Yeah, let's do that. response:	Hey!
context: G - Gonna die...\No, looks like it was an accident.\She is one hell of a tomboy.\The complete opposite of the cool beauty aura that Iwasawa had.\I don't know if she's fit to be the lead vocalist of Girls Dead Monster...\Should we look for someone else?\Yeah, let's do that.\Hey! response:	I sang fine, right?
context: No, looks like it was an accident.\She is one hell of a tomboy.\The complete opposite of the cool beauty aura that Iwasawa had.\I don't know if she's fit to be the lead vocalist of Girls Dead Monster...\Should we look for someone else?\Yeah, let's do that.\Hey!\I sang fine, right? response:	As an Iwasawa fan, I can sing all her songs!
context: She is one hell of a tomboy.\The complete opposite of the cool beauty aura that Iwasawa had.\I don't know if she's fit to be the lead vocalist of Girls Dead Monster...\Should we look for someone else?\Yeah, let's do that.\Hey!\I sang fine, right?\As an Iwasawa fan, I can sing all her songs! response:	Your singing had no appeal.
context: The complete opposite of the cool beauty aura that Iwasawa had.\I don't know if she's fit to be the lead vocalist of Girls Dead Monster...\Should we look for someone else?\Yeah, let's do that.\Hey!\I sang fine, right?\As an Iwasawa fan, I can sing all her songs!\Your singing had no appeal. response:	None.
context: I don't know if she's fit to be the lead vocalist of Girls Dead Monster...\Should we look for someone else?\Yeah, let's do that.\Hey!\I sang fine, right?\As an Iwasawa fan, I can sing all her songs!\Your singing had no appeal.\None. response:	Not at all.
context: Should we look for someone else?\Yeah, let's do that.\Hey!\I sang fine, right?\As an Iwasawa fan, I can sing all her songs!\Your singing had no appeal.\None.\Not at all. response:	Hey!!
context: Yeah, let's do that.\Hey!\I sang fine, right?\As an Iwasawa fan, I can sing all her songs!\Your singing had no appeal.\None.\Not at all.\Hey!! response:	Don't cut off a budding young flower with vague comments like that!
context: Hey!\I sang fine, right?\As an Iwasawa fan, I can sing all her songs!\Your singing had no appeal.\None.\Not at all.\Hey!!\Don't cut off a budding young flower with vague comments like that! response:	Is that how seniors should behave?
context: I sang fine, right?\As an Iwasawa fan, I can sing all her songs!\Your singing had no appeal.\None.\Not at all.\Hey!!\Don't cut off a budding young flower with vague comments like that!\Is that how seniors should behave? response:	Such a noisy girl...
context: As an Iwasawa fan, I can sing all her songs!\Your singing had no appeal.\None.\Not at all.\Hey!!\Don't cut off a budding young flower with vague comments like that!\Is that how seniors should behave?\Such a noisy girl... response:	Well she has the motivation.
context: Your singing had no appeal.\None.\Not at all.\Hey!!\Don't cut off a budding young flower with vague comments like that!\Is that how seniors should behave?\Such a noisy girl...\Well she has the motivation. response:	What should we do?
context: None.\Not at all.\Hey!!\Don't cut off a budding young flower with vague comments like that!\Is that how seniors should behave?\Such a noisy girl...\Well she has the motivation.\What should we do? response:	She has passion, at least.
context: Not at all.\Hey!!\Don't cut off a budding young flower with vague comments like that!\Is that how seniors should behave?\Such a noisy girl...\Well she has the motivation.\What should we do?\She has passion, at least. response:	I think she's just trying to be trendy.
context: Hey!!\Don't cut off a budding young flower with vague comments like that!\Is that how seniors should behave?\Such a noisy girl...\Well she has the motivation.\What should we do?\She has passion, at least.\I think she's just trying to be trendy. response:	We'll leave it to the other band members to decide.
context: Don't cut off a budding young flower with vague comments like that!\Is that how seniors should behave?\Such a noisy girl...\Well she has the motivation.\What should we do?\She has passion, at least.\I think she's just trying to be trendy.\We'll leave it to the other band members to decide. response:	Really?
context: Is that how seniors should behave?\Such a noisy girl...\Well she has the motivation.\What should we do?\She has passion, at least.\I think she's just trying to be trendy.\We'll leave it to the other band members to decide.\Really? response:	Yay!
context: Such a noisy girl...\Well she has the motivation.\What should we do?\She has passion, at least.\I think she's just trying to be trendy.\We'll leave it to the other band members to decide.\Really?\Yay! response:	I get to play with Hisako - san on guitar!
context: Well she has the motivation.\What should we do?\She has passion, at least.\I think she's just trying to be trendy.\We'll leave it to the other band members to decide.\Really?\Yay!\I get to play with Hisako - san on guitar! response:	I can't get enough of her murderous riffs!
context: What should we do?\She has passion, at least.\I think she's just trying to be trendy.\We'll leave it to the other band members to decide.\Really?\Yay!\I get to play with Hisako - san on guitar!\I can't get enough of her murderous riffs! response:	I want to know what goes through her head!
context: She has passion, at least.\I think she's just trying to be trendy.\We'll leave it to the other band members to decide.\Really?\Yay!\I get to play with Hisako - san on guitar!\I can't get enough of her murderous riffs!\I want to know what goes through her head! response:	Cut.
context: I think she's just trying to be trendy.\We'll leave it to the other band members to decide.\Really?\Yay!\I get to play with Hisako - san on guitar!\I can't get enough of her murderous riffs!\I want to know what goes through her head!\Cut. response:	Cut.
context: We'll leave it to the other band members to decide.\Really?\Yay!\I get to play with Hisako - san on guitar!\I can't get enough of her murderous riffs!\I want to know what goes through her head!\Cut.\Cut. response:	Did I say something bad?
