context: All righty then! It's finally time for the last battle! response:	I like fish, but I can't stand dogs.
context: All righty then! It's finally time for the last battle!\I like fish, but I can't stand dogs. response:	What brought that on?
context: All righty then! It's finally time for the last battle!\I like fish, but I can't stand dogs.\What brought that on? response:	Lily, I bet you've got something you're scared of, don't you?
context: All righty then! It's finally time for the last battle!\I like fish, but I can't stand dogs.\What brought that on?\Lily, I bet you've got something you're scared of, don't you? response:	Of course not!
context: All righty then! It's finally time for the last battle!\I like fish, but I can't stand dogs.\What brought that on?\Lily, I bet you've got something you're scared of, don't you?\Of course not! response:	Absolutely not!
context: All righty then! It's finally time for the last battle!\I like fish, but I can't stand dogs.\What brought that on?\Lily, I bet you've got something you're scared of, don't you?\Of course not!\Absolutely not! response:	I wonder about that...
context: All righty then! It's finally time for the last battle!\I like fish, but I can't stand dogs.\What brought that on?\Lily, I bet you've got something you're scared of, don't you?\Of course not!\Absolutely not!\I wonder about that... response:	Fairy Tail was challenged to an all-out war with the strongest Dark Guild, Grimoire Heart.
context: All righty then! It's finally time for the last battle!\I like fish, but I can't stand dogs.\What brought that on?\Lily, I bet you've got something you're scared of, don't you?\Of course not!\Absolutely not!\I wonder about that...\Fairy Tail was challenged to an all-out war with the strongest Dark Guild, Grimoire Heart. response:	In the fateful battle between Gray and Ultear, Gray pulled out a victory.
context: I like fish, but I can't stand dogs.\What brought that on?\Lily, I bet you've got something you're scared of, don't you?\Of course not!\Absolutely not!\I wonder about that...\Fairy Tail was challenged to an all-out war with the strongest Dark Guild, Grimoire Heart.\In the fateful battle between Gray and Ultear, Gray pulled out a victory. response:	Now the only enemy left is Master Hades.
context: What brought that on?\Lily, I bet you've got something you're scared of, don't you?\Of course not!\Absolutely not!\I wonder about that...\Fairy Tail was challenged to an all-out war with the strongest Dark Guild, Grimoire Heart.\In the fateful battle between Gray and Ultear, Gray pulled out a victory.\Now the only enemy left is Master Hades. response:	Against Hades, who has stronger magic power than any opponent they've ever faced before,
context: Lily, I bet you've got something you're scared of, don't you?\Of course not!\Absolutely not!\I wonder about that...\Fairy Tail was challenged to an all-out war with the strongest Dark Guild, Grimoire Heart.\In the fateful battle between Gray and Ultear, Gray pulled out a victory.\Now the only enemy left is Master Hades.\Against Hades, who has stronger magic power than any opponent they've ever faced before, response:	Fairy Tail begins the final battle of Tenroujima by joining together to fight.
context: Of course not!\Absolutely not!\I wonder about that...\Fairy Tail was challenged to an all-out war with the strongest Dark Guild, Grimoire Heart.\In the fateful battle between Gray and Ultear, Gray pulled out a victory.\Now the only enemy left is Master Hades.\Against Hades, who has stronger magic power than any opponent they've ever faced before,\Fairy Tail begins the final battle of Tenroujima by joining together to fight. response:	The weather is taking a turn for the worse.
context: Absolutely not!\I wonder about that...\Fairy Tail was challenged to an all-out war with the strongest Dark Guild, Grimoire Heart.\In the fateful battle between Gray and Ultear, Gray pulled out a victory.\Now the only enemy left is Master Hades.\Against Hades, who has stronger magic power than any opponent they've ever faced before,\Fairy Tail begins the final battle of Tenroujima by joining together to fight.\The weather is taking a turn for the worse. response:	Lightning... I don't like this.
context: I wonder about that...\Fairy Tail was challenged to an all-out war with the strongest Dark Guild, Grimoire Heart.\In the fateful battle between Gray and Ultear, Gray pulled out a victory.\Now the only enemy left is Master Hades.\Against Hades, who has stronger magic power than any opponent they've ever faced before,\Fairy Tail begins the final battle of Tenroujima by joining together to fight.\The weather is taking a turn for the worse.\Lightning... I don't like this. response:	What's the matter, Lily?
context: Fairy Tail was challenged to an all-out war with the strongest Dark Guild, Grimoire Heart.\In the fateful battle between Gray and Ultear, Gray pulled out a victory.\Now the only enemy left is Master Hades.\Against Hades, who has stronger magic power than any opponent they've ever faced before,\Fairy Tail begins the final battle of Tenroujima by joining together to fight.\The weather is taking a turn for the worse.\Lightning... I don't like this.\What's the matter, Lily? response:	Don't tell me... You're scared of thunder?
context: In the fateful battle between Gray and Ultear, Gray pulled out a victory.\Now the only enemy left is Master Hades.\Against Hades, who has stronger magic power than any opponent they've ever faced before,\Fairy Tail begins the final battle of Tenroujima by joining together to fight.\The weather is taking a turn for the worse.\Lightning... I don't like this.\What's the matter, Lily?\Don't tell me... You're scared of thunder? response:	Looks like he's got some cute points.
context: Now the only enemy left is Master Hades.\Against Hades, who has stronger magic power than any opponent they've ever faced before,\Fairy Tail begins the final battle of Tenroujima by joining together to fight.\The weather is taking a turn for the worse.\Lightning... I don't like this.\What's the matter, Lily?\Don't tell me... You're scared of thunder?\Looks like he's got some cute points. response:	Quiet, you!
context: Against Hades, who has stronger magic power than any opponent they've ever faced before,\Fairy Tail begins the final battle of Tenroujima by joining together to fight.\The weather is taking a turn for the worse.\Lightning... I don't like this.\What's the matter, Lily?\Don't tell me... You're scared of thunder?\Looks like he's got some cute points.\Quiet, you! response:	Now then...
