context: Instead, let's come up with some amazing gift, and go to New York! response:	It's all-out war...
context: Instead, let's come up with some amazing gift, and go to New York!\It's all-out war... response:	Incredible!
context: Instead, let's come up with some amazing gift, and go to New York!\It's all-out war...\Incredible! response:	All right then, gentlemen, allow me to introduce to you,
context: Instead, let's come up with some amazing gift, and go to New York!\It's all-out war...\Incredible!\All right then, gentlemen, allow me to introduce to you, response:	from the FBI, special investigators Bill Sullivan, and Donald Brown.
context: Instead, let's come up with some amazing gift, and go to New York!\It's all-out war...\Incredible!\All right then, gentlemen, allow me to introduce to you,\from the FBI, special investigators Bill Sullivan, and Donald Brown. response:	It's a pleasure.
context: Instead, let's come up with some amazing gift, and go to New York!\It's all-out war...\Incredible!\All right then, gentlemen, allow me to introduce to you,\from the FBI, special investigators Bill Sullivan, and Donald Brown.\It's a pleasure. response:	Yeah.
context: Instead, let's come up with some amazing gift, and go to New York!\It's all-out war...\Incredible!\All right then, gentlemen, allow me to introduce to you,\from the FBI, special investigators Bill Sullivan, and Donald Brown.\It's a pleasure.\Yeah. response:	It's a pleasure.
context: Instead, let's come up with some amazing gift, and go to New York!\It's all-out war...\Incredible!\All right then, gentlemen, allow me to introduce to you,\from the FBI, special investigators Bill Sullivan, and Donald Brown.\It's a pleasure.\Yeah.\It's a pleasure. response:	These two are pursuing suspects in a string of robberies
context: It's all-out war...\Incredible!\All right then, gentlemen, allow me to introduce to you,\from the FBI, special investigators Bill Sullivan, and Donald Brown.\It's a pleasure.\Yeah.\It's a pleasure.\These two are pursuing suspects in a string of robberies response:	that have taken place over several states.
context: Incredible!\All right then, gentlemen, allow me to introduce to you,\from the FBI, special investigators Bill Sullivan, and Donald Brown.\It's a pleasure.\Yeah.\It's a pleasure.\These two are pursuing suspects in a string of robberies\that have taken place over several states. response:	They have struck more than 80 times now,
context: All right then, gentlemen, allow me to introduce to you,\from the FBI, special investigators Bill Sullivan, and Donald Brown.\It's a pleasure.\Yeah.\It's a pleasure.\These two are pursuing suspects in a string of robberies\that have taken place over several states.\They have struck more than 80 times now, response:	and I have pledged the whole force's cooperation.
context: from the FBI, special investigators Bill Sullivan, and Donald Brown.\It's a pleasure.\Yeah.\It's a pleasure.\These two are pursuing suspects in a string of robberies\that have taken place over several states.\They have struck more than 80 times now,\and I have pledged the whole force's cooperation. response:	These are photos of the robbers.
context: It's a pleasure.\Yeah.\It's a pleasure.\These two are pursuing suspects in a string of robberies\that have taken place over several states.\They have struck more than 80 times now,\and I have pledged the whole force's cooperation.\These are photos of the robbers. response:	Next.
context: Yeah.\It's a pleasure.\These two are pursuing suspects in a string of robberies\that have taken place over several states.\They have struck more than 80 times now,\and I have pledged the whole force's cooperation.\These are photos of the robbers.\Next. response:	Next.
context: It's a pleasure.\These two are pursuing suspects in a string of robberies\that have taken place over several states.\They have struck more than 80 times now,\and I have pledged the whole force's cooperation.\These are photos of the robbers.\Next.\Next. response:	Next.
context: These two are pursuing suspects in a string of robberies\that have taken place over several states.\They have struck more than 80 times now,\and I have pledged the whole force's cooperation.\These are photos of the robbers.\Next.\Next.\Next. response:	Chief...
context: that have taken place over several states.\They have struck more than 80 times now,\and I have pledged the whole force's cooperation.\These are photos of the robbers.\Next.\Next.\Next.\Chief... response:	What is it?
context: They have struck more than 80 times now,\and I have pledged the whole force's cooperation.\These are photos of the robbers.\Next.\Next.\Next.\Chief...\What is it? response:	Are you pulling our legs?
context: and I have pledged the whole force's cooperation.\These are photos of the robbers.\Next.\Next.\Next.\Chief...\What is it?\Are you pulling our legs? response:	An understandable question,
context: These are photos of the robbers.\Next.\Next.\Next.\Chief...\What is it?\Are you pulling our legs?\An understandable question, response:	but it's these two who are doing the goofing around.
context: Next.\Next.\Next.\Chief...\What is it?\Are you pulling our legs?\An understandable question,\but it's these two who are doing the goofing around. response:	Chief...
context: Next.\Next.\Chief...\What is it?\Are you pulling our legs?\An understandable question,\but it's these two who are doing the goofing around.\Chief... response:	What is it?
context: Next.\Chief...\What is it?\Are you pulling our legs?\An understandable question,\but it's these two who are doing the goofing around.\Chief...\What is it? response:	If they have turned up in all of these photos,
context: Chief...\What is it?\Are you pulling our legs?\An understandable question,\but it's these two who are doing the goofing around.\Chief...\What is it?\If they have turned up in all of these photos, response:	why hasn't anyone been able to arrest them?
context: What is it?\Are you pulling our legs?\An understandable question,\but it's these two who are doing the goofing around.\Chief...\What is it?\If they have turned up in all of these photos,\why hasn't anyone been able to arrest them? response:	An understandable question,
context: Are you pulling our legs?\An understandable question,\but it's these two who are doing the goofing around.\Chief...\What is it?\If they have turned up in all of these photos,\why hasn't anyone been able to arrest them?\An understandable question, response:	but I will ask Mr. Sullivan to explain.
context: An understandable question,\but it's these two who are doing the goofing around.\Chief...\What is it?\If they have turned up in all of these photos,\why hasn't anyone been able to arrest them?\An understandable question,\but I will ask Mr. Sullivan to explain. response:	These are all photos that local people happened to shoot of them
context: but it's these two who are doing the goofing around.\Chief...\What is it?\If they have turned up in all of these photos,\why hasn't anyone been able to arrest them?\An understandable question,\but I will ask Mr. Sullivan to explain.\These are all photos that local people happened to shoot of them response:	because of their eccentric outfits.
