context: I see. response:	You wish to withdraw your investment in the research in question?
context: I see.\You wish to withdraw your investment in the research in question? response:	I heard a strange rumor recently-
context: I see.\You wish to withdraw your investment in the research in question?\I heard a strange rumor recently- response:	that Dr. Hayase has gone missing.
context: I see.\You wish to withdraw your investment in the research in question?\I heard a strange rumor recently-\that Dr. Hayase has gone missing. response:	Missing?
context: I see.\You wish to withdraw your investment in the research in question?\I heard a strange rumor recently-\that Dr. Hayase has gone missing.\Missing? response:	What's going on with his matter transporter?
context: I see.\You wish to withdraw your investment in the research in question?\I heard a strange rumor recently-\that Dr. Hayase has gone missing.\Missing?\What's going on with his matter transporter? response:	It's proceeding apace.
context: I see.\You wish to withdraw your investment in the research in question?\I heard a strange rumor recently-\that Dr. Hayase has gone missing.\Missing?\What's going on with his matter transporter?\It's proceeding apace. response:	But we haven't had any progress reports.
context: I see.\You wish to withdraw your investment in the research in question?\I heard a strange rumor recently-\that Dr. Hayase has gone missing.\Missing?\What's going on with his matter transporter?\It's proceeding apace.\But we haven't had any progress reports. response:	This violates our contract.
context: You wish to withdraw your investment in the research in question?\I heard a strange rumor recently-\that Dr. Hayase has gone missing.\Missing?\What's going on with his matter transporter?\It's proceeding apace.\But we haven't had any progress reports.\This violates our contract. response:	You'll just have to trust me, I suppose.
context: I heard a strange rumor recently-\that Dr. Hayase has gone missing.\Missing?\What's going on with his matter transporter?\It's proceeding apace.\But we haven't had any progress reports.\This violates our contract.\You'll just have to trust me, I suppose. response:	Very well. I'll wait a bit longer.
context: that Dr. Hayase has gone missing.\Missing?\What's going on with his matter transporter?\It's proceeding apace.\But we haven't had any progress reports.\This violates our contract.\You'll just have to trust me, I suppose.\Very well. I'll wait a bit longer. response:	Thank you very much.
context: Missing?\What's going on with his matter transporter?\It's proceeding apace.\But we haven't had any progress reports.\This violates our contract.\You'll just have to trust me, I suppose.\Very well. I'll wait a bit longer.\Thank you very much. response:	Mr. Yamamuro is leaving.
context: What's going on with his matter transporter?\It's proceeding apace.\But we haven't had any progress reports.\This violates our contract.\You'll just have to trust me, I suppose.\Very well. I'll wait a bit longer.\Thank you very much.\Mr. Yamamuro is leaving. response:	Regarding the Hayase laboratory,
context: It's proceeding apace.\But we haven't had any progress reports.\This violates our contract.\You'll just have to trust me, I suppose.\Very well. I'll wait a bit longer.\Thank you very much.\Mr. Yamamuro is leaving.\Regarding the Hayase laboratory, response:	we have identified a researcher we believe was involved in his core research.
context: But we haven't had any progress reports.\This violates our contract.\You'll just have to trust me, I suppose.\Very well. I'll wait a bit longer.\Thank you very much.\Mr. Yamamuro is leaving.\Regarding the Hayase laboratory,\we have identified a researcher we believe was involved in his core research. response:	I see.
context: This violates our contract.\You'll just have to trust me, I suppose.\Very well. I'll wait a bit longer.\Thank you very much.\Mr. Yamamuro is leaving.\Regarding the Hayase laboratory,\we have identified a researcher we believe was involved in his core research.\I see. response:	Episode 3 Franklin's Spirit of Defiance
context: You'll just have to trust me, I suppose.\Very well. I'll wait a bit longer.\Thank you very much.\Mr. Yamamuro is leaving.\Regarding the Hayase laboratory,\we have identified a researcher we believe was involved in his core research.\I see.\Episode 3 Franklin's Spirit of Defiance response:	Well done is better than well said.
context: Very well. I'll wait a bit longer.\Thank you very much.\Mr. Yamamuro is leaving.\Regarding the Hayase laboratory,\we have identified a researcher we believe was involved in his core research.\I see.\Episode 3 Franklin's Spirit of Defiance\Well done is better than well said. response:	Supplementary Lesson This was famously said by Benjamin Franklin. Hayase, can you translate it?
context: Thank you very much.\Mr. Yamamuro is leaving.\Regarding the Hayase laboratory,\we have identified a researcher we believe was involved in his core research.\I see.\Episode 3 Franklin's Spirit of Defiance\Well done is better than well said.\Supplementary Lesson This was famously said by Benjamin Franklin. Hayase, can you translate it? response:	This was famously said by Benjamin Franklin. Hayase, can you translate it?
context: Mr. Yamamuro is leaving.\Regarding the Hayase laboratory,\we have identified a researcher we believe was involved in his core research.\I see.\Episode 3 Franklin's Spirit of Defiance\Well done is better than well said.\Supplementary Lesson This was famously said by Benjamin Franklin. Hayase, can you translate it?\This was famously said by Benjamin Franklin. Hayase, can you translate it? response:	Huh?
context: Regarding the Hayase laboratory,\we have identified a researcher we believe was involved in his core research.\I see.\Episode 3 Franklin's Spirit of Defiance\Well done is better than well said.\Supplementary Lesson This was famously said by Benjamin Franklin. Hayase, can you translate it?\This was famously said by Benjamin Franklin. Hayase, can you translate it?\Huh? response:	Um, give me just a minute!
context: we have identified a researcher we believe was involved in his core research.\I see.\Episode 3 Franklin's Spirit of Defiance\Well done is better than well said.\Supplementary Lesson This was famously said by Benjamin Franklin. Hayase, can you translate it?\This was famously said by Benjamin Franklin. Hayase, can you translate it?\Huh?\Um, give me just a minute! response:	Get your supplementary lesson done ASAP!
context: I see.\Episode 3 Franklin's Spirit of Defiance\Well done is better than well said.\Supplementary Lesson This was famously said by Benjamin Franklin. Hayase, can you translate it?\This was famously said by Benjamin Franklin. Hayase, can you translate it?\Huh?\Um, give me just a minute!\Get your supplementary lesson done ASAP! response:	We're meeting at the lab to continue our search!
context: Episode 3 Franklin's Spirit of Defiance\Well done is better than well said.\Supplementary Lesson This was famously said by Benjamin Franklin. Hayase, can you translate it?\This was famously said by Benjamin Franklin. Hayase, can you translate it?\Huh?\Um, give me just a minute!\Get your supplementary lesson done ASAP!\We're meeting at the lab to continue our search! response:	I can't do this ASAP!
context: Well done is better than well said.\Supplementary Lesson This was famously said by Benjamin Franklin. Hayase, can you translate it?\This was famously said by Benjamin Franklin. Hayase, can you translate it?\Huh?\Um, give me just a minute!\Get your supplementary lesson done ASAP!\We're meeting at the lab to continue our search!\I can't do this ASAP! response:	I hate English!
