context: What are you doing there? response:	H- huh? Who are you?
context: What are you doing there?\H- huh? Who are you? response:	Me?
context: What are you doing there?\H- huh? Who are you?\Me? response:	I am...
context: What are you doing there?\H- huh? Who are you?\Me?\I am... response:	Scratch... scratch... scratch...
context: What are you doing there?\H- huh? Who are you?\Me?\I am...\Scratch... scratch... scratch... response:	Eh, there's a mosquito...
context: What are you doing there?\H- huh? Who are you?\Me?\I am...\Scratch... scratch... scratch...\Eh, there's a mosquito... response:	A mosquaito...
context: What are you doing there?\H- huh? Who are you?\Me?\I am...\Scratch... scratch... scratch...\Eh, there's a mosquito...\A mosquaito... response:	'skaito...
context: What are you doing there?\H- huh? Who are you?\Me?\I am...\Scratch... scratch... scratch...\Eh, there's a mosquito...\A mosquaito...\'skaito... response:	Kaio!
context: H- huh? Who are you?\Me?\I am...\Scratch... scratch... scratch...\Eh, there's a mosquito...\A mosquaito...\'skaito...\Kaio! response:	Then, who is... huh?
context: Me?\I am...\Scratch... scratch... scratch...\Eh, there's a mosquito...\A mosquaito...\'skaito...\Kaio!\Then, who is... huh? response:	That there is my pet, Bubbles- kun.
context: I am...\Scratch... scratch... scratch...\Eh, there's a mosquito...\A mosquaito...\'skaito...\Kaio!\Then, who is... huh?\That there is my pet, Bubbles- kun. response:	Ohhh...
context: Scratch... scratch... scratch...\Eh, there's a mosquito...\A mosquaito...\'skaito...\Kaio!\Then, who is... huh?\That there is my pet, Bubbles- kun.\Ohhh... response:	I thought it was a little strange.
context: Eh, there's a mosquito...\A mosquaito...\'skaito...\Kaio!\Then, who is... huh?\That there is my pet, Bubbles- kun.\Ohhh...\I thought it was a little strange. response:	You're the strange one.
context: A mosquaito...\'skaito...\Kaio!\Then, who is... huh?\That there is my pet, Bubbles- kun.\Ohhh...\I thought it was a little strange.\You're the strange one. response:	By the way...
context: 'skaito...\Kaio!\Then, who is... huh?\That there is my pet, Bubbles- kun.\Ohhh...\I thought it was a little strange.\You're the strange one.\By the way... response:	Don't you think that play on words just now was the greatest?
context: Kaio!\Then, who is... huh?\That there is my pet, Bubbles- kun.\Ohhh...\I thought it was a little strange.\You're the strange one.\By the way...\Don't you think that play on words just now was the greatest? response:	You don't have to be afraid to laugh at it.
context: Then, who is... huh?\That there is my pet, Bubbles- kun.\Ohhh...\I thought it was a little strange.\You're the strange one.\By the way...\Don't you think that play on words just now was the greatest?\You don't have to be afraid to laugh at it. response:	At what?
context: That there is my pet, Bubbles- kun.\Ohhh...\I thought it was a little strange.\You're the strange one.\By the way...\Don't you think that play on words just now was the greatest?\You don't have to be afraid to laugh at it.\At what? response:	You were too tense to hear it, huh?
context: Ohhh...\I thought it was a little strange.\You're the strange one.\By the way...\Don't you think that play on words just now was the greatest?\You don't have to be afraid to laugh at it.\At what?\You were too tense to hear it, huh? response:	What am I going to do with you, for pity's sake?
context: I thought it was a little strange.\You're the strange one.\By the way...\Don't you think that play on words just now was the greatest?\You don't have to be afraid to laugh at it.\At what?\You were too tense to hear it, huh?\What am I going to do with you, for pity's sake? response:	Well then, at no extra charge, I'll hit you with a different play on words.
context: You're the strange one.\By the way...\Don't you think that play on words just now was the greatest?\You don't have to be afraid to laugh at it.\At what?\You were too tense to hear it, huh?\What am I going to do with you, for pity's sake?\Well then, at no extra charge, I'll hit you with a different play on words. response:	Hello? Hello?
context: By the way...\Don't you think that play on words just now was the greatest?\You don't have to be afraid to laugh at it.\At what?\You were too tense to hear it, huh?\What am I going to do with you, for pity's sake?\Well then, at no extra charge, I'll hit you with a different play on words.\Hello? Hello? response:	Huh? I picked up the phone, but no one was home!
context: Don't you think that play on words just now was the greatest?\You don't have to be afraid to laugh at it.\At what?\You were too tense to hear it, huh?\What am I going to do with you, for pity's sake?\Well then, at no extra charge, I'll hit you with a different play on words.\Hello? Hello?\Huh? I picked up the phone, but no one was home! response:	That's great!
context: You don't have to be afraid to laugh at it.\At what?\You were too tense to hear it, huh?\What am I going to do with you, for pity's sake?\Well then, at no extra charge, I'll hit you with a different play on words.\Hello? Hello?\Huh? I picked up the phone, but no one was home!\That's great! response:	What was?
context: At what?\You were too tense to hear it, huh?\What am I going to do with you, for pity's sake?\Well then, at no extra charge, I'll hit you with a different play on words.\Hello? Hello?\Huh? I picked up the phone, but no one was home!\That's great!\What was? response:	What did you come here for?
context: You were too tense to hear it, huh?\What am I going to do with you, for pity's sake?\Well then, at no extra charge, I'll hit you with a different play on words.\Hello? Hello?\Huh? I picked up the phone, but no one was home!\That's great!\What was?\What did you come here for? response:	Oh, I was hoping to have you train me, Kaio- sama.
context: What am I going to do with you, for pity's sake?\Well then, at no extra charge, I'll hit you with a different play on words.\Hello? Hello?\Huh? I picked up the phone, but no one was home!\That's great!\What was?\What did you come here for?\Oh, I was hoping to have you train me, Kaio- sama. response:	Train you!?
context: Well then, at no extra charge, I'll hit you with a different play on words.\Hello? Hello?\Huh? I picked up the phone, but no one was home!\That's great!\What was?\What did you come here for?\Oh, I was hoping to have you train me, Kaio- sama.\Train you!? response:	Go home now!
context: Hello? Hello?\Huh? I picked up the phone, but no one was home!\That's great!\What was?\What did you come here for?\Oh, I was hoping to have you train me, Kaio- sama.\Train you!?\Go home now! response:	Anyone who hears a joke like that and doesn't laugh has a flawed character!
context: Huh? I picked up the phone, but no one was home!\That's great!\What was?\What did you come here for?\Oh, I was hoping to have you train me, Kaio- sama.\Train you!?\Go home now!\Anyone who hears a joke like that and doesn't laugh has a flawed character! response:	You expect me to train anyone like that!?
context: That's great!\What was?\What did you come here for?\Oh, I was hoping to have you train me, Kaio- sama.\Train you!?\Go home now!\Anyone who hears a joke like that and doesn't laugh has a flawed character!\You expect me to train anyone like that!? response:	That was hilarious! I should have expected as much, Kaio- sama!
