context: White Storm (Part Two) response:	I wonder why?
context: White Storm (Part Two)\I wonder why? response:	I suddenly remembered.
context: White Storm (Part Two)\I wonder why?\I suddenly remembered. response:	Souya?
context: White Storm (Part Two)\I wonder why?\I suddenly remembered.\Souya? response:	So, let's see...
context: White Storm (Part Two)\I wonder why?\I suddenly remembered.\Souya?\So, let's see... response:	When I was a kid,
context: White Storm (Part Two)\I wonder why?\I suddenly remembered.\Souya?\So, let's see...\When I was a kid, response:	there was once a white bird with huge wings that had wandered
context: White Storm (Part Two)\I wonder why?\I suddenly remembered.\Souya?\So, let's see...\When I was a kid,\there was once a white bird with huge wings that had wandered response:	into our yard.
context: White Storm (Part Two)\I wonder why?\I suddenly remembered.\Souya?\So, let's see...\When I was a kid,\there was once a white bird with huge wings that had wandered\into our yard. response:	He reminds me of a bird.
context: I wonder why?\I suddenly remembered.\Souya?\So, let's see...\When I was a kid,\there was once a white bird with huge wings that had wandered\into our yard.\He reminds me of a bird. response:	Meijin Souya is wearing traditional Japanese garb!
context: I suddenly remembered.\Souya?\So, let's see...\When I was a kid,\there was once a white bird with huge wings that had wandered\into our yard.\He reminds me of a bird.\Meijin Souya is wearing traditional Japanese garb! response:	I thought it was normal for both players to wear suits for commemorative matches.
context: Souya?\So, let's see...\When I was a kid,\there was once a white bird with huge wings that had wandered\into our yard.\He reminds me of a bird.\Meijin Souya is wearing traditional Japanese garb!\I thought it was normal for both players to wear suits for commemorative matches. response:	You're a lifesaver, Meiyo Tohno 9th-Dan!
context: So, let's see...\When I was a kid,\there was once a white bird with huge wings that had wandered\into our yard.\He reminds me of a bird.\Meijin Souya is wearing traditional Japanese garb!\I thought it was normal for both players to wear suits for commemorative matches.\You're a lifesaver, Meiyo Tohno 9th-Dan! response:	Not at all. I'm glad the match is in my town.
context: When I was a kid,\there was once a white bird with huge wings that had wandered\into our yard.\He reminds me of a bird.\Meijin Souya is wearing traditional Japanese garb!\I thought it was normal for both players to wear suits for commemorative matches.\You're a lifesaver, Meiyo Tohno 9th-Dan!\Not at all. I'm glad the match is in my town. response:	My kimono hobby was finally of use to someone.
context: there was once a white bird with huge wings that had wandered\into our yard.\He reminds me of a bird.\Meijin Souya is wearing traditional Japanese garb!\I thought it was normal for both players to wear suits for commemorative matches.\You're a lifesaver, Meiyo Tohno 9th-Dan!\Not at all. I'm glad the match is in my town.\My kimono hobby was finally of use to someone. response:	I'm honored that Meijin Souya is wearing one of them.
context: into our yard.\He reminds me of a bird.\Meijin Souya is wearing traditional Japanese garb!\I thought it was normal for both players to wear suits for commemorative matches.\You're a lifesaver, Meiyo Tohno 9th-Dan!\Not at all. I'm glad the match is in my town.\My kimono hobby was finally of use to someone.\I'm honored that Meijin Souya is wearing one of them. response:	That'll be a family heirloom now.
context: He reminds me of a bird.\Meijin Souya is wearing traditional Japanese garb!\I thought it was normal for both players to wear suits for commemorative matches.\You're a lifesaver, Meiyo Tohno 9th-Dan!\Not at all. I'm glad the match is in my town.\My kimono hobby was finally of use to someone.\I'm honored that Meijin Souya is wearing one of them.\That'll be a family heirloom now. response:	It's strange.
context: Meijin Souya is wearing traditional Japanese garb!\I thought it was normal for both players to wear suits for commemorative matches.\You're a lifesaver, Meiyo Tohno 9th-Dan!\Not at all. I'm glad the match is in my town.\My kimono hobby was finally of use to someone.\I'm honored that Meijin Souya is wearing one of them.\That'll be a family heirloom now.\It's strange. response:	He's supposed to be like a character who's always been in a book.
context: I thought it was normal for both players to wear suits for commemorative matches.\You're a lifesaver, Meiyo Tohno 9th-Dan!\Not at all. I'm glad the match is in my town.\My kimono hobby was finally of use to someone.\I'm honored that Meijin Souya is wearing one of them.\That'll be a family heirloom now.\It's strange.\He's supposed to be like a character who's always been in a book. response:	But now, he's sitting before me.
context: You're a lifesaver, Meiyo Tohno 9th-Dan!\Not at all. I'm glad the match is in my town.\My kimono hobby was finally of use to someone.\I'm honored that Meijin Souya is wearing one of them.\That'll be a family heirloom now.\It's strange.\He's supposed to be like a character who's always been in a book.\But now, he's sitting before me. response:	He's breathing and moving.
