context: Hey, all you viewers out there! response:	When you're watchin' Fairy Tail, make sure to keep the room nice and bright,
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright, response:	and sit back from the screen,'kay?
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay? response:	With Natsu and the others joining in the Battle of Fairy Tail,
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay?\With Natsu and the others joining in the Battle of Fairy Tail, response:	and the Raijin Tribe completely defeated,
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay?\With Natsu and the others joining in the Battle of Fairy Tail,\and the Raijin Tribe completely defeated, response:	all that's left is to stop Laxus's Thunder Palace.
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay?\With Natsu and the others joining in the Battle of Fairy Tail,\and the Raijin Tribe completely defeated,\all that's left is to stop Laxus's Thunder Palace. response:	But just then, the master collapsed!
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay?\With Natsu and the others joining in the Battle of Fairy Tail,\and the Raijin Tribe completely defeated,\all that's left is to stop Laxus's Thunder Palace.\But just then, the master collapsed! response:	Yo Ho! Steer that rudder! Hard to port!
context: Hey, all you viewers out there!\When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay?\With Natsu and the others joining in the Battle of Fairy Tail,\and the Raijin Tribe completely defeated,\all that's left is to stop Laxus's Thunder Palace.\But just then, the master collapsed!\Yo Ho! Steer that rudder! Hard to port! response:	Yo Ho! Our high-flyin' lives are every which way!
context: When you're watchin' Fairy Tail, make sure to keep the room nice and bright,\and sit back from the screen,'kay?\With Natsu and the others joining in the Battle of Fairy Tail,\and the Raijin Tribe completely defeated,\all that's left is to stop Laxus's Thunder Palace.\But just then, the master collapsed!\Yo Ho! Steer that rudder! Hard to port!\Yo Ho! Our high-flyin' lives are every which way! response:	When the sun goes down, there's a bon voyage bash.
context: and sit back from the screen,'kay?\With Natsu and the others joining in the Battle of Fairy Tail,\and the Raijin Tribe completely defeated,\all that's left is to stop Laxus's Thunder Palace.\But just then, the master collapsed!\Yo Ho! Steer that rudder! Hard to port!\Yo Ho! Our high-flyin' lives are every which way!\When the sun goes down, there's a bon voyage bash. response:	It ain't sad at all.
context: With Natsu and the others joining in the Battle of Fairy Tail,\and the Raijin Tribe completely defeated,\all that's left is to stop Laxus's Thunder Palace.\But just then, the master collapsed!\Yo Ho! Steer that rudder! Hard to port!\Yo Ho! Our high-flyin' lives are every which way!\When the sun goes down, there's a bon voyage bash.\It ain't sad at all. response:	As long as we're alive, we'll meet again somewhere!
context: and the Raijin Tribe completely defeated,\all that's left is to stop Laxus's Thunder Palace.\But just then, the master collapsed!\Yo Ho! Steer that rudder! Hard to port!\Yo Ho! Our high-flyin' lives are every which way!\When the sun goes down, there's a bon voyage bash.\It ain't sad at all.\As long as we're alive, we'll meet again somewhere! response:	Blast straight through a headwind, set off!
context: all that's left is to stop Laxus's Thunder Palace.\But just then, the master collapsed!\Yo Ho! Steer that rudder! Hard to port!\Yo Ho! Our high-flyin' lives are every which way!\When the sun goes down, there's a bon voyage bash.\It ain't sad at all.\As long as we're alive, we'll meet again somewhere!\Blast straight through a headwind, set off! response:	Stay strong until the tears dry up! A man gotta be tough.
context: But just then, the master collapsed!\Yo Ho! Steer that rudder! Hard to port!\Yo Ho! Our high-flyin' lives are every which way!\When the sun goes down, there's a bon voyage bash.\It ain't sad at all.\As long as we're alive, we'll meet again somewhere!\Blast straight through a headwind, set off!\Stay strong until the tears dry up! A man gotta be tough. response:	Friends, friends, laugh one day!
context: Yo Ho! Steer that rudder! Hard to port!\Yo Ho! Our high-flyin' lives are every which way!\When the sun goes down, there's a bon voyage bash.\It ain't sad at all.\As long as we're alive, we'll meet again somewhere!\Blast straight through a headwind, set off!\Stay strong until the tears dry up! A man gotta be tough.\Friends, friends, laugh one day! response:	As proof of our strong, strong bonds!
context: Yo Ho! Our high-flyin' lives are every which way!\When the sun goes down, there's a bon voyage bash.\It ain't sad at all.\As long as we're alive, we'll meet again somewhere!\Blast straight through a headwind, set off!\Stay strong until the tears dry up! A man gotta be tough.\Friends, friends, laugh one day!\As proof of our strong, strong bonds! response:	Now, grab that map to the shining future!
context: When the sun goes down, there's a bon voyage bash.\It ain't sad at all.\As long as we're alive, we'll meet again somewhere!\Blast straight through a headwind, set off!\Stay strong until the tears dry up! A man gotta be tough.\Friends, friends, laugh one day!\As proof of our strong, strong bonds!\Now, grab that map to the shining future! response:	Lucy, look at that!
context: It ain't sad at all.\As long as we're alive, we'll meet again somewhere!\Blast straight through a headwind, set off!\Stay strong until the tears dry up! A man gotta be tough.\Friends, friends, laugh one day!\As proof of our strong, strong bonds!\Now, grab that map to the shining future!\Lucy, look at that! response:	Freed vs. Mirajane: Both removed themselves from contention?
context: As long as we're alive, we'll meet again somewhere!\Blast straight through a headwind, set off!\Stay strong until the tears dry up! A man gotta be tough.\Friends, friends, laugh one day!\As proof of our strong, strong bonds!\Now, grab that map to the shining future!\Lucy, look at that!\Freed vs. Mirajane: Both removed themselves from contention? response:	So that light from before was... I knew it!
context: Blast straight through a headwind, set off!\Stay strong until the tears dry up! A man gotta be tough.\Friends, friends, laugh one day!\As proof of our strong, strong bonds!\Now, grab that map to the shining future!\Lucy, look at that!\Freed vs. Mirajane: Both removed themselves from contention?\So that light from before was... I knew it! response:	The Demon...
context: Stay strong until the tears dry up! A man gotta be tough.\Friends, friends, laugh one day!\As proof of our strong, strong bonds!\Now, grab that map to the shining future!\Lucy, look at that!\Freed vs. Mirajane: Both removed themselves from contention?\So that light from before was... I knew it!\The Demon... response:	I kinda wish I'd seen it, but then again maybe not...
context: Friends, friends, laugh one day!\As proof of our strong, strong bonds!\Now, grab that map to the shining future!\Lucy, look at that!\Freed vs. Mirajane: Both removed themselves from contention?\So that light from before was... I knew it!\The Demon...\I kinda wish I'd seen it, but then again maybe not... response:	Anyway, the Raijin Tribe have been wiped out!
context: As proof of our strong, strong bonds!\Now, grab that map to the shining future!\Lucy, look at that!\Freed vs. Mirajane: Both removed themselves from contention?\So that light from before was... I knew it!\The Demon...\I kinda wish I'd seen it, but then again maybe not...\Anyway, the Raijin Tribe have been wiped out! response:	Oh, right!
context: Now, grab that map to the shining future!\Lucy, look at that!\Freed vs. Mirajane: Both removed themselves from contention?\So that light from before was... I knew it!\The Demon...\I kinda wish I'd seen it, but then again maybe not...\Anyway, the Raijin Tribe have been wiped out!\Oh, right! response:	But then there's the Thunder Palace: Thunder lacrima that will attack the entire city...
context: Lucy, look at that!\Freed vs. Mirajane: Both removed themselves from contention?\So that light from before was... I knew it!\The Demon...\I kinda wish I'd seen it, but then again maybe not...\Anyway, the Raijin Tribe have been wiped out!\Oh, right!\But then there's the Thunder Palace: Thunder lacrima that will attack the entire city... response:	What should we do about it?
context: Freed vs. Mirajane: Both removed themselves from contention?\So that light from before was... I knew it!\The Demon...\I kinda wish I'd seen it, but then again maybe not...\Anyway, the Raijin Tribe have been wiped out!\Oh, right!\But then there's the Thunder Palace: Thunder lacrima that will attack the entire city...\What should we do about it? response:	As long as they're protected by the Body Link magic,
context: So that light from before was... I knew it!\The Demon...\I kinda wish I'd seen it, but then again maybe not...\Anyway, the Raijin Tribe have been wiped out!\Oh, right!\But then there's the Thunder Palace: Thunder lacrima that will attack the entire city...\What should we do about it?\As long as they're protected by the Body Link magic, response:	attacking them will end up damaging ourselves.
context: The Demon...\I kinda wish I'd seen it, but then again maybe not...\Anyway, the Raijin Tribe have been wiped out!\Oh, right!\But then there's the Thunder Palace: Thunder lacrima that will attack the entire city...\What should we do about it?\As long as they're protected by the Body Link magic,\attacking them will end up damaging ourselves. response:	There's not much time left either.
context: I kinda wish I'd seen it, but then again maybe not...\Anyway, the Raijin Tribe have been wiped out!\Oh, right!\But then there's the Thunder Palace: Thunder lacrima that will attack the entire city...\What should we do about it?\As long as they're protected by the Body Link magic,\attacking them will end up damaging ourselves.\There's not much time left either. response:	And not being able to get the people in the city to evacuate...
context: Anyway, the Raijin Tribe have been wiped out!\Oh, right!\But then there's the Thunder Palace: Thunder lacrima that will attack the entire city...\What should we do about it?\As long as they're protected by the Body Link magic,\attacking them will end up damaging ourselves.\There's not much time left either.\And not being able to get the people in the city to evacuate... response:	Lucy, are you okay?
context: Oh, right!\But then there's the Thunder Palace: Thunder lacrima that will attack the entire city...\What should we do about it?\As long as they're protected by the Body Link magic,\attacking them will end up damaging ourselves.\There's not much time left either.\And not being able to get the people in the city to evacuate...\Lucy, are you okay? response:	Yeah, thanks.
context: But then there's the Thunder Palace: Thunder lacrima that will attack the entire city...\What should we do about it?\As long as they're protected by the Body Link magic,\attacking them will end up damaging ourselves.\There's not much time left either.\And not being able to get the people in the city to evacuate...\Lucy, are you okay?\Yeah, thanks. response:	Your magic power hasn't recovered yet.
context: What should we do about it?\As long as they're protected by the Body Link magic,\attacking them will end up damaging ourselves.\There's not much time left either.\And not being able to get the people in the city to evacuate...\Lucy, are you okay?\Yeah, thanks.\Your magic power hasn't recovered yet. response:	Don't push yourself.
context: As long as they're protected by the Body Link magic,\attacking them will end up damaging ourselves.\There's not much time left either.\And not being able to get the people in the city to evacuate...\Lucy, are you okay?\Yeah, thanks.\Your magic power hasn't recovered yet.\Don't push yourself. response:	But there has to be something we can do!
context: attacking them will end up damaging ourselves.\There's not much time left either.\And not being able to get the people in the city to evacuate...\Lucy, are you okay?\Yeah, thanks.\Your magic power hasn't recovered yet.\Don't push yourself.\But there has to be something we can do! response:	Lucy...
context: There's not much time left either.\And not being able to get the people in the city to evacuate...\Lucy, are you okay?\Yeah, thanks.\Your magic power hasn't recovered yet.\Don't push yourself.\But there has to be something we can do!\Lucy... response:	Where are you now, Natsu, Erza?
context: And not being able to get the people in the city to evacuate...\Lucy, are you okay?\Yeah, thanks.\Your magic power hasn't recovered yet.\Don't push yourself.\But there has to be something we can do!\Lucy...\Where are you now, Natsu, Erza? response:	Clash at Kardia Cathedral!
context: Lucy, are you okay?\Yeah, thanks.\Your magic power hasn't recovered yet.\Don't push yourself.\But there has to be something we can do!\Lucy...\Where are you now, Natsu, Erza?\Clash at Kardia Cathedral! response:	Where are you, Laxus?
context: Yeah, thanks.\Your magic power hasn't recovered yet.\Don't push yourself.\But there has to be something we can do!\Lucy...\Where are you now, Natsu, Erza?\Clash at Kardia Cathedral!\Where are you, Laxus? response:	Where the hell are you?
context: Your magic power hasn't recovered yet.\Don't push yourself.\But there has to be something we can do!\Lucy...\Where are you now, Natsu, Erza?\Clash at Kardia Cathedral!\Where are you, Laxus?\Where the hell are you? response:	Show yourself, Laxus!
context: Don't push yourself.\But there has to be something we can do!\Lucy...\Where are you now, Natsu, Erza?\Clash at Kardia Cathedral!\Where are you, Laxus?\Where the hell are you?\Show yourself, Laxus! response:	The Thunder Palace... Rendering the judgment of the god of thunder.
context: But there has to be something we can do!\Lucy...\Where are you now, Natsu, Erza?\Clash at Kardia Cathedral!\Where are you, Laxus?\Where the hell are you?\Show yourself, Laxus!\The Thunder Palace... Rendering the judgment of the god of thunder. response:	There's only 10 minutes until it activates.
context: Lucy...\Where are you now, Natsu, Erza?\Clash at Kardia Cathedral!\Where are you, Laxus?\Where the hell are you?\Show yourself, Laxus!\The Thunder Palace... Rendering the judgment of the god of thunder.\There's only 10 minutes until it activates. response:	Is Laxus really serious?
context: Where are you now, Natsu, Erza?\Clash at Kardia Cathedral!\Where are you, Laxus?\Where the hell are you?\Show yourself, Laxus!\The Thunder Palace... Rendering the judgment of the god of thunder.\There's only 10 minutes until it activates.\Is Laxus really serious? response:	But it'll work out, right?
context: Clash at Kardia Cathedral!\Where are you, Laxus?\Where the hell are you?\Show yourself, Laxus!\The Thunder Palace... Rendering the judgment of the god of thunder.\There's only 10 minutes until it activates.\Is Laxus really serious?\But it'll work out, right? response:	We still have Erza and Natsu... And Gajeel's there too!
context: Where are you, Laxus?\Where the hell are you?\Show yourself, Laxus!\The Thunder Palace... Rendering the judgment of the god of thunder.\There's only 10 minutes until it activates.\Is Laxus really serious?\But it'll work out, right?\We still have Erza and Natsu... And Gajeel's there too! response:	Oh, yeah! And wasn't Mystogan around?
context: Where the hell are you?\Show yourself, Laxus!\The Thunder Palace... Rendering the judgment of the god of thunder.\There's only 10 minutes until it activates.\Is Laxus really serious?\But it'll work out, right?\We still have Erza and Natsu... And Gajeel's there too!\Oh, yeah! And wasn't Mystogan around? response:	Although I've never seen him...
context: Show yourself, Laxus!\The Thunder Palace... Rendering the judgment of the god of thunder.\There's only 10 minutes until it activates.\Is Laxus really serious?\But it'll work out, right?\We still have Erza and Natsu... And Gajeel's there too!\Oh, yeah! And wasn't Mystogan around?\Although I've never seen him... response:	I wonder who that could be?
context: The Thunder Palace... Rendering the judgment of the god of thunder.\There's only 10 minutes until it activates.\Is Laxus really serious?\But it'll work out, right?\We still have Erza and Natsu... And Gajeel's there too!\Oh, yeah! And wasn't Mystogan around?\Although I've never seen him...\I wonder who that could be? response:	Where is the old fool?
context: There's only 10 minutes until it activates.\Is Laxus really serious?\But it'll work out, right?\We still have Erza and Natsu... And Gajeel's there too!\Oh, yeah! And wasn't Mystogan around?\Although I've never seen him...\I wonder who that could be?\Where is the old fool? response:	P-Poluchka-san!
context: Is Laxus really serious?\But it'll work out, right?\We still have Erza and Natsu... And Gajeel's there too!\Oh, yeah! And wasn't Mystogan around?\Although I've never seen him...\I wonder who that could be?\Where is the old fool?\P-Poluchka-san! response:	What are you doing here?
context: But it'll work out, right?\We still have Erza and Natsu... And Gajeel's there too!\Oh, yeah! And wasn't Mystogan around?\Although I've never seen him...\I wonder who that could be?\Where is the old fool?\P-Poluchka-san!\What are you doing here? response:	I asked you where he is.
context: We still have Erza and Natsu... And Gajeel's there too!\Oh, yeah! And wasn't Mystogan around?\Although I've never seen him...\I wonder who that could be?\Where is the old fool?\P-Poluchka-san!\What are you doing here?\I asked you where he is. response:	He's in the inside clinic!
context: Oh, yeah! And wasn't Mystogan around?\Although I've never seen him...\I wonder who that could be?\Where is the old fool?\P-Poluchka-san!\What are you doing here?\I asked you where he is.\He's in the inside clinic! response:	Um, excuse me but... Right now he's...
context: Although I've never seen him...\I wonder who that could be?\Where is the old fool?\P-Poluchka-san!\What are you doing here?\I asked you where he is.\He's in the inside clinic!\Um, excuse me but... Right now he's... response:	I know.
context: I wonder who that could be?\Where is the old fool?\P-Poluchka-san!\What are you doing here?\I asked you where he is.\He's in the inside clinic!\Um, excuse me but... Right now he's...\I know. response:	That's why I came.
context: Where is the old fool?\P-Poluchka-san!\What are you doing here?\I asked you where he is.\He's in the inside clinic!\Um, excuse me but... Right now he's...\I know.\That's why I came. response:	Wait, you came to treat the master?
context: P-Poluchka-san!\What are you doing here?\I asked you where he is.\He's in the inside clinic!\Um, excuse me but... Right now he's...\I know.\That's why I came.\Wait, you came to treat the master? response:	Um...
context: What are you doing here?\I asked you where he is.\He's in the inside clinic!\Um, excuse me but... Right now he's...\I know.\That's why I came.\Wait, you came to treat the master?\Um... response:	Bring Laxus here.
context: I asked you where he is.\He's in the inside clinic!\Um, excuse me but... Right now he's...\I know.\That's why I came.\Wait, you came to treat the master?\Um...\Bring Laxus here. response:	Bring that fool of a boy who's playing around while his grandfather lies gravely ill.
context: He's in the inside clinic!\Um, excuse me but... Right now he's...\I know.\That's why I came.\Wait, you came to treat the master?\Um...\Bring Laxus here.\Bring that fool of a boy who's playing around while his grandfather lies gravely ill. response:	Gravely ill? You're not serious, right?
context: Um, excuse me but... Right now he's...\I know.\That's why I came.\Wait, you came to treat the master?\Um...\Bring Laxus here.\Bring that fool of a boy who's playing around while his grandfather lies gravely ill.\Gravely ill? You're not serious, right? response:	Just bring him... Please.
context: I know.\That's why I came.\Wait, you came to treat the master?\Um...\Bring Laxus here.\Bring that fool of a boy who's playing around while his grandfather lies gravely ill.\Gravely ill? You're not serious, right?\Just bring him... Please. response:	He doesn't have long.
context: That's why I came.\Wait, you came to treat the master?\Um...\Bring Laxus here.\Bring that fool of a boy who's playing around while his grandfather lies gravely ill.\Gravely ill? You're not serious, right?\Just bring him... Please.\He doesn't have long. response:	Laxus!
context: Wait, you came to treat the master?\Um...\Bring Laxus here.\Bring that fool of a boy who's playing around while his grandfather lies gravely ill.\Gravely ill? You're not serious, right?\Just bring him... Please.\He doesn't have long.\Laxus! response:	Laxus!
context: Um...\Bring Laxus here.\Bring that fool of a boy who's playing around while his grandfather lies gravely ill.\Gravely ill? You're not serious, right?\Just bring him... Please.\He doesn't have long.\Laxus!\Laxus! response:	You promised to watch Fantasia together with me this year, right?
context: Bring Laxus here.\Bring that fool of a boy who's playing around while his grandfather lies gravely ill.\Gravely ill? You're not serious, right?\Just bring him... Please.\He doesn't have long.\Laxus!\Laxus!\You promised to watch Fantasia together with me this year, right? response:	How about that, Laxus?
