context: - What do you do on your days off? - I heard your radio show yesterday. response:	If you'd like, how about some tea later today?
context: - What do you do on your days off? - I heard your radio show yesterday.\If you'd like, how about some tea later today? response:	And it's really cute.
context: - What do you do on your days off? - I heard your radio show yesterday.\If you'd like, how about some tea later today?\And it's really cute. response:	Yusarin, you should go too!
context: - What do you do on your days off? - I heard your radio show yesterday.\If you'd like, how about some tea later today?\And it's really cute.\Yusarin, you should go too! response:	That's fine with me!
context: - What do you do on your days off? - I heard your radio show yesterday.\If you'd like, how about some tea later today?\And it's really cute.\Yusarin, you should go too!\That's fine with me! response:	How long will this scene continue...
context: - What do you do on your days off? - I heard your radio show yesterday.\If you'd like, how about some tea later today?\And it's really cute.\Yusarin, you should go too!\That's fine with me!\How long will this scene continue... response:	Yusarin is a current pop idol after all!
context: - What do you do on your days off? - I heard your radio show yesterday.\If you'd like, how about some tea later today?\And it's really cute.\Yusarin, you should go too!\That's fine with me!\How long will this scene continue...\Yusarin is a current pop idol after all! response:	Something like this happening is very understandable!
context: - What do you do on your days off? - I heard your radio show yesterday.\If you'd like, how about some tea later today?\And it's really cute.\Yusarin, you should go too!\That's fine with me!\How long will this scene continue...\Yusarin is a current pop idol after all!\Something like this happening is very understandable! response:	What's going on?
context: If you'd like, how about some tea later today?\And it's really cute.\Yusarin, you should go too!\That's fine with me!\How long will this scene continue...\Yusarin is a current pop idol after all!\Something like this happening is very understandable!\What's going on? response:	I have a clue, but it's better if you didn't know.
context: And it's really cute.\Yusarin, you should go too!\That's fine with me!\How long will this scene continue...\Yusarin is a current pop idol after all!\Something like this happening is very understandable!\What's going on?\I have a clue, but it's better if you didn't know. response:	The Sound You Heard Sometime
context: Yusarin, you should go too!\That's fine with me!\How long will this scene continue...\Yusarin is a current pop idol after all!\Something like this happening is very understandable!\What's going on?\I have a clue, but it's better if you didn't know.\The Sound You Heard Sometime response:	First, the one for Rika!
context: That's fine with me!\How long will this scene continue...\Yusarin is a current pop idol after all!\Something like this happening is very understandable!\What's going on?\I have a clue, but it's better if you didn't know.\The Sound You Heard Sometime\First, the one for Rika! response:	Next, the one for Yuriko!
context: How long will this scene continue...\Yusarin is a current pop idol after all!\Something like this happening is very understandable!\What's going on?\I have a clue, but it's better if you didn't know.\The Sound You Heard Sometime\First, the one for Rika!\Next, the one for Yuriko! response:	Group torture? How terrible...
context: Yusarin is a current pop idol after all!\Something like this happening is very understandable!\What's going on?\I have a clue, but it's better if you didn't know.\The Sound You Heard Sometime\First, the one for Rika!\Next, the one for Yuriko!\Group torture? How terrible... response:	It's understandable... when she does stuff like that impulsively...
context: Something like this happening is very understandable!\What's going on?\I have a clue, but it's better if you didn't know.\The Sound You Heard Sometime\First, the one for Rika!\Next, the one for Yuriko!\Group torture? How terrible...\It's understandable... when she does stuff like that impulsively... response:	Ow..
context: What's going on?\I have a clue, but it's better if you didn't know.\The Sound You Heard Sometime\First, the one for Rika!\Next, the one for Yuriko!\Group torture? How terrible...\It's understandable... when she does stuff like that impulsively...\Ow.. response:	Well... are you all right?
context: I have a clue, but it's better if you didn't know.\The Sound You Heard Sometime\First, the one for Rika!\Next, the one for Yuriko!\Group torture? How terrible...\It's understandable... when she does stuff like that impulsively...\Ow..\Well... are you all right? response:	You have something to complain about? You were just watching.
context: The Sound You Heard Sometime\First, the one for Rika!\Next, the one for Yuriko!\Group torture? How terrible...\It's understandable... when she does stuff like that impulsively...\Ow..\Well... are you all right?\You have something to complain about? You were just watching. response:	Oh, the helper is going to appear.
context: First, the one for Rika!\Next, the one for Yuriko!\Group torture? How terrible...\It's understandable... when she does stuff like that impulsively...\Ow..\Well... are you all right?\You have something to complain about? You were just watching.\Oh, the helper is going to appear. response:	What's with those wounds?
context: Next, the one for Yuriko!\Group torture? How terrible...\It's understandable... when she does stuff like that impulsively...\Ow..\Well... are you all right?\You have something to complain about? You were just watching.\Oh, the helper is going to appear.\What's with those wounds? response:	I just got tortured by a mob.
