context: It appeared as though humanity would be destroyed by the demons. response:	But a single mage saved them all.
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all. response:	He was called the Wizard King, and he became a legend.
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend. response:	Granny! Get a grip!
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\Granny! Get a grip! response:	Don't you dare die, you old hag!
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\Granny! Get a grip!\Don't you dare die, you old hag! response:	You're going to make Marie sad if you die!
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\Granny! Get a grip!\Don't you dare die, you old hag!\You're going to make Marie sad if you die! response:	I wouldn't like it very much, either!
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\Granny! Get a grip!\Don't you dare die, you old hag!\You're going to make Marie sad if you die!\I wouldn't like it very much, either! response:	T-Take care of the children for me...
context: It appeared as though humanity would be destroyed by the demons.\But a single mage saved them all.\He was called the Wizard King, and he became a legend.\Granny! Get a grip!\Don't you dare die, you old hag!\You're going to make Marie sad if you die!\I wouldn't like it very much, either!\T-Take care of the children for me... response:	In any battlefield... the victims were... always the weak.
context: But a single mage saved them all.\He was called the Wizard King, and he became a legend.\Granny! Get a grip!\Don't you dare die, you old hag!\You're going to make Marie sad if you die!\I wouldn't like it very much, either!\T-Take care of the children for me...\In any battlefield... the victims were... always the weak. response:	It was always the innocent children.
context: He was called the Wizard King, and he became a legend.\Granny! Get a grip!\Don't you dare die, you old hag!\You're going to make Marie sad if you die!\I wouldn't like it very much, either!\T-Take care of the children for me...\In any battlefield... the victims were... always the weak.\It was always the innocent children. response:	It's because I wanted to protect the children
context: Granny! Get a grip!\Don't you dare die, you old hag!\You're going to make Marie sad if you die!\I wouldn't like it very much, either!\T-Take care of the children for me...\In any battlefield... the victims were... always the weak.\It was always the innocent children.\It's because I wanted to protect the children response:	that I left the battlefield and became a sister.
context: Don't you dare die, you old hag!\You're going to make Marie sad if you die!\I wouldn't like it very much, either!\T-Take care of the children for me...\In any battlefield... the victims were... always the weak.\It was always the innocent children.\It's because I wanted to protect the children\that I left the battlefield and became a sister. response:	Granny!
context: You're going to make Marie sad if you die!\I wouldn't like it very much, either!\T-Take care of the children for me...\In any battlefield... the victims were... always the weak.\It was always the innocent children.\It's because I wanted to protect the children\that I left the battlefield and became a sister.\Granny! response:	What are you talking about?
context: I wouldn't like it very much, either!\T-Take care of the children for me...\In any battlefield... the victims were... always the weak.\It was always the innocent children.\It's because I wanted to protect the children\that I left the battlefield and became a sister.\Granny!\What are you talking about? response:	All of you were born sinners.
context: T-Take care of the children for me...\In any battlefield... the victims were... always the weak.\It was always the innocent children.\It's because I wanted to protect the children\that I left the battlefield and became a sister.\Granny!\What are you talking about?\All of you were born sinners. response:	What?!
context: In any battlefield... the victims were... always the weak.\It was always the innocent children.\It's because I wanted to protect the children\that I left the battlefield and became a sister.\Granny!\What are you talking about?\All of you were born sinners.\What?! response:	You poor thing... Sally, look at how much they've hurt you.
context: It was always the innocent children.\It's because I wanted to protect the children\that I left the battlefield and became a sister.\Granny!\What are you talking about?\All of you were born sinners.\What?!\You poor thing... Sally, look at how much they've hurt you. response:	Master Licht...
