context: Good morning, Jirou. response:	Mornin'.
context: Good morning, Jirou.\Mornin'. response:	So you came today as well.
context: Good morning, Jirou.\Mornin'.\So you came today as well. response:	You should properly lock your front door.
context: Good morning, Jirou.\Mornin'.\So you came today as well.\You should properly lock your front door. response:	That is really careless of you.
context: Good morning, Jirou.\Mornin'.\So you came today as well.\You should properly lock your front door.\That is really careless of you. response:	Okay, okay.
context: Good morning, Jirou.\Mornin'.\So you came today as well.\You should properly lock your front door.\That is really careless of you.\Okay, okay. response:	Nii-san, we're out of shampoo.
context: Good morning, Jirou.\Mornin'.\So you came today as well.\You should properly lock your front door.\That is really careless of you.\Okay, okay.\Nii-san, we're out of shampoo. response:	N-NO!!!
context: Good morning, Jirou.\Mornin'.\So you came today as well.\You should properly lock your front door.\That is really careless of you.\Okay, okay.\Nii-san, we're out of shampoo.\N-NO!!! response:	It is Without a Doubt, in Bed
context: Mornin'.\So you came today as well.\You should properly lock your front door.\That is really careless of you.\Okay, okay.\Nii-san, we're out of shampoo.\N-NO!!!\It is Without a Doubt, in Bed response:	I think you two are really compatible.
context: So you came today as well.\You should properly lock your front door.\That is really careless of you.\Okay, okay.\Nii-san, we're out of shampoo.\N-NO!!!\It is Without a Doubt, in Bed\I think you two are really compatible. response:	You can overcome any obstacle with love.
context: You should properly lock your front door.\That is really careless of you.\Okay, okay.\Nii-san, we're out of shampoo.\N-NO!!!\It is Without a Doubt, in Bed\I think you two are really compatible.\You can overcome any obstacle with love. response:	Kureha locked herself in her room and won't come out...
context: That is really careless of you.\Okay, okay.\Nii-san, we're out of shampoo.\N-NO!!!\It is Without a Doubt, in Bed\I think you two are really compatible.\You can overcome any obstacle with love.\Kureha locked herself in her room and won't come out... response:	At this rate, she's going to miss school...
context: Okay, okay.\Nii-san, we're out of shampoo.\N-NO!!!\It is Without a Doubt, in Bed\I think you two are really compatible.\You can overcome any obstacle with love.\Kureha locked herself in her room and won't come out...\At this rate, she's going to miss school... response:	If it is about that, then you need not worry.
context: Nii-san, we're out of shampoo.\N-NO!!!\It is Without a Doubt, in Bed\I think you two are really compatible.\You can overcome any obstacle with love.\Kureha locked herself in her room and won't come out...\At this rate, she's going to miss school...\If it is about that, then you need not worry. response:	Your little sister is right over there.
