context: Now then... response:	let's check out the state of the world...
context: Now then...\let's check out the state of the world... response:	Hmm...
context: Now then...\let's check out the state of the world...\Hmm... response:	What's this?
context: Now then...\let's check out the state of the world...\Hmm...\What's this? response:	Foot-and-mouth disease is an infantile illness?
context: Now then...\let's check out the state of the world...\Hmm...\What's this?\Foot-and-mouth disease is an infantile illness? response:	Can't use this.
context: Now then...\let's check out the state of the world...\Hmm...\What's this?\Foot-and-mouth disease is an infantile illness?\Can't use this. response:	Hmm...
context: Now then...\let's check out the state of the world...\Hmm...\What's this?\Foot-and-mouth disease is an infantile illness?\Can't use this.\Hmm... response:	Have I used up all the illnesses as excuses...
context: Now then...\let's check out the state of the world...\Hmm...\What's this?\Foot-and-mouth disease is an infantile illness?\Can't use this.\Hmm...\Have I used up all the illnesses as excuses... response:	when Kagome is in the other time?
context: let's check out the state of the world...\Hmm...\What's this?\Foot-and-mouth disease is an infantile illness?\Can't use this.\Hmm...\Have I used up all the illnesses as excuses...\when Kagome is in the other time? response:	Hello Gramps!
context: Hmm...\What's this?\Foot-and-mouth disease is an infantile illness?\Can't use this.\Hmm...\Have I used up all the illnesses as excuses...\when Kagome is in the other time?\Hello Gramps! response:	Mommy, are you all right?
context: What's this?\Foot-and-mouth disease is an infantile illness?\Can't use this.\Hmm...\Have I used up all the illnesses as excuses...\when Kagome is in the other time?\Hello Gramps!\Mommy, are you all right? response:	This year's colds are nasty.
context: Foot-and-mouth disease is an infantile illness?\Can't use this.\Hmm...\Have I used up all the illnesses as excuses...\when Kagome is in the other time?\Hello Gramps!\Mommy, are you all right?\This year's colds are nasty. response:	I should've worn a mask today.
context: Can't use this.\Hmm...\Have I used up all the illnesses as excuses...\when Kagome is in the other time?\Hello Gramps!\Mommy, are you all right?\This year's colds are nasty.\I should've worn a mask today. response:	Huh? That's it!
context: Hmm...\Have I used up all the illnesses as excuses...\when Kagome is in the other time?\Hello Gramps!\Mommy, are you all right?\This year's colds are nasty.\I should've worn a mask today.\Huh? That's it! response:	'Bye Gramps!
context: Have I used up all the illnesses as excuses...\when Kagome is in the other time?\Hello Gramps!\Mommy, are you all right?\This year's colds are nasty.\I should've worn a mask today.\Huh? That's it!\'Bye Gramps! response:	Okay... watch out for cars.
context: when Kagome is in the other time?\Hello Gramps!\Mommy, are you all right?\This year's colds are nasty.\I should've worn a mask today.\Huh? That's it!\'Bye Gramps!\Okay... watch out for cars. response:	Huh?! Hey Kagome!
context: Hello Gramps!\Mommy, are you all right?\This year's colds are nasty.\I should've worn a mask today.\Huh? That's it!\'Bye Gramps!\Okay... watch out for cars.\Huh?! Hey Kagome! response:	Where are you off to?!
context: Mommy, are you all right?\This year's colds are nasty.\I should've worn a mask today.\Huh? That's it!\'Bye Gramps!\Okay... watch out for cars.\Huh?! Hey Kagome!\Where are you off to?! response:	School... where else?
context: This year's colds are nasty.\I should've worn a mask today.\Huh? That's it!\'Bye Gramps!\Okay... watch out for cars.\Huh?! Hey Kagome!\Where are you off to?!\School... where else? response:	Dang it! I thought up a good illness!
context: I should've worn a mask today.\Huh? That's it!\'Bye Gramps!\Okay... watch out for cars.\Huh?! Hey Kagome!\Where are you off to?!\School... where else?\Dang it! I thought up a good illness! response:	Impertinent child!
context: Huh? That's it!\'Bye Gramps!\Okay... watch out for cars.\Huh?! Hey Kagome!\Where are you off to?!\School... where else?\Dang it! I thought up a good illness!\Impertinent child! response:	What is Grandpa talking about?
context: 'Bye Gramps!\Okay... watch out for cars.\Huh?! Hey Kagome!\Where are you off to?!\School... where else?\Dang it! I thought up a good illness!\Impertinent child!\What is Grandpa talking about? response:	Oh no! I forgot my math book!
context: Okay... watch out for cars.\Huh?! Hey Kagome!\Where are you off to?!\School... where else?\Dang it! I thought up a good illness!\Impertinent child!\What is Grandpa talking about?\Oh no! I forgot my math book! response:	What're you doing, Kagome?
