context: J To catch them is my real test To train them is my cause J response:	J I will travel across the land J
context: J To catch them is my real test To train them is my cause J\J I will travel across the land J response:	J Searching far and wide J
context: J To catch them is my real test To train them is my cause J\J I will travel across the land J\J Searching far and wide J response:	J Teach Pokemon to understand The power that's inside J
context: J To catch them is my real test To train them is my cause J\J I will travel across the land J\J Searching far and wide J\J Teach Pokemon to understand The power that's inside J response:	J Pokemon! Gotta catch'em all! It's you and me J
context: J To catch them is my real test To train them is my cause J\J I will travel across the land J\J Searching far and wide J\J Teach Pokemon to understand The power that's inside J\J Pokemon! Gotta catch'em all! It's you and me J response:	J I know it's my destiny, Pokemon! J
context: J To catch them is my real test To train them is my cause J\J I will travel across the land J\J Searching far and wide J\J Teach Pokemon to understand The power that's inside J\J Pokemon! Gotta catch'em all! It's you and me J\J I know it's my destiny, Pokemon! J response:	J Oh, you're my best friend In a world we must defend J
context: J To catch them is my real test To train them is my cause J\J I will travel across the land J\J Searching far and wide J\J Teach Pokemon to understand The power that's inside J\J Pokemon! Gotta catch'em all! It's you and me J\J I know it's my destiny, Pokemon! J\J Oh, you're my best friend In a world we must defend J response:	J Pokemon! Gotta catch'em all A heart so true J
context: J To catch them is my real test To train them is my cause J\J I will travel across the land J\J Searching far and wide J\J Teach Pokemon to understand The power that's inside J\J Pokemon! Gotta catch'em all! It's you and me J\J I know it's my destiny, Pokemon! J\J Oh, you're my best friend In a world we must defend J\J Pokemon! Gotta catch'em all A heart so true J response:	J Our courage will pull us through J
context: J I will travel across the land J\J Searching far and wide J\J Teach Pokemon to understand The power that's inside J\J Pokemon! Gotta catch'em all! It's you and me J\J I know it's my destiny, Pokemon! J\J Oh, you're my best friend In a world we must defend J\J Pokemon! Gotta catch'em all A heart so true J\J Our courage will pull us through J response:	J You teach me and I'll teach you Pokemon!
context: J Searching far and wide J\J Teach Pokemon to understand The power that's inside J\J Pokemon! Gotta catch'em all! It's you and me J\J I know it's my destiny, Pokemon! J\J Oh, you're my best friend In a world we must defend J\J Pokemon! Gotta catch'em all A heart so true J\J Our courage will pull us through J\J You teach me and I'll teach you Pokemon! response:	J Gotta catch'em all Gotta catch'em all J
context: J Teach Pokemon to understand The power that's inside J\J Pokemon! Gotta catch'em all! It's you and me J\J I know it's my destiny, Pokemon! J\J Oh, you're my best friend In a world we must defend J\J Pokemon! Gotta catch'em all A heart so true J\J Our courage will pull us through J\J You teach me and I'll teach you Pokemon!\J Gotta catch'em all Gotta catch'em all J response:	J Pokemon! J
context: J Pokemon! Gotta catch'em all! It's you and me J\J I know it's my destiny, Pokemon! J\J Oh, you're my best friend In a world we must defend J\J Pokemon! Gotta catch'em all A heart so true J\J Our courage will pull us through J\J You teach me and I'll teach you Pokemon!\J Gotta catch'em all Gotta catch'em all J\J Pokemon! J response:	As his Pokemon journey continues,
context: J I know it's my destiny, Pokemon! J\J Oh, you're my best friend In a world we must defend J\J Pokemon! Gotta catch'em all A heart so true J\J Our courage will pull us through J\J You teach me and I'll teach you Pokemon!\J Gotta catch'em all Gotta catch'em all J\J Pokemon! J\As his Pokemon journey continues, response:	Ash is one step closer to achieving his dream
context: J Oh, you're my best friend In a world we must defend J\J Pokemon! Gotta catch'em all A heart so true J\J Our courage will pull us through J\J You teach me and I'll teach you Pokemon!\J Gotta catch'em all Gotta catch'em all J\J Pokemon! J\As his Pokemon journey continues,\Ash is one step closer to achieving his dream response:	of becoming a Pokemon master.
context: J Pokemon! Gotta catch'em all A heart so true J\J Our courage will pull us through J\J You teach me and I'll teach you Pokemon!\J Gotta catch'em all Gotta catch'em all J\J Pokemon! J\As his Pokemon journey continues,\Ash is one step closer to achieving his dream\of becoming a Pokemon master. response:	Last time, Ash defeated the Vermilion City Gym Leader
context: J Our courage will pull us through J\J You teach me and I'll teach you Pokemon!\J Gotta catch'em all Gotta catch'em all J\J Pokemon! J\As his Pokemon journey continues,\Ash is one step closer to achieving his dream\of becoming a Pokemon master.\Last time, Ash defeated the Vermilion City Gym Leader response:	and earned a thunder badge.
context: J You teach me and I'll teach you Pokemon!\J Gotta catch'em all Gotta catch'em all J\J Pokemon! J\As his Pokemon journey continues,\Ash is one step closer to achieving his dream\of becoming a Pokemon master.\Last time, Ash defeated the Vermilion City Gym Leader\and earned a thunder badge. response:	Hm?
context: J Gotta catch'em all Gotta catch'em all J\J Pokemon! J\As his Pokemon journey continues,\Ash is one step closer to achieving his dream\of becoming a Pokemon master.\Last time, Ash defeated the Vermilion City Gym Leader\and earned a thunder badge.\Hm? response:	- Hey. - Pikachu.
context: J Pokemon! J\As his Pokemon journey continues,\Ash is one step closer to achieving his dream\of becoming a Pokemon master.\Last time, Ash defeated the Vermilion City Gym Leader\and earned a thunder badge.\Hm?\- Hey. - Pikachu. response:	Has Ash's ship finally come in,
context: As his Pokemon journey continues,\Ash is one step closer to achieving his dream\of becoming a Pokemon master.\Last time, Ash defeated the Vermilion City Gym Leader\and earned a thunder badge.\Hm?\- Hey. - Pikachu.\Has Ash's ship finally come in, response:	or will our heroes be cruisin' for a bruisin'?
context: Ash is one step closer to achieving his dream\of becoming a Pokemon master.\Last time, Ash defeated the Vermilion City Gym Leader\and earned a thunder badge.\Hm?\- Hey. - Pikachu.\Has Ash's ship finally come in,\or will our heroes be cruisin' for a bruisin'? response:	Battle Aboard The St. Anne
