context: I'm counting on you then, Millihi-nee. response:	Sure.
context: I'm counting on you then, Millihi-nee.\Sure. response:	You too, Rebecca.
context: I'm counting on you then, Millihi-nee.\Sure.\You too, Rebecca. response:	I'm counting on you to guard and escort my sister.
context: I'm counting on you then, Millihi-nee.\Sure.\You too, Rebecca.\I'm counting on you to guard and escort my sister. response:	You can count on me.
context: I'm counting on you then, Millihi-nee.\Sure.\You too, Rebecca.\I'm counting on you to guard and escort my sister.\You can count on me. response:	This is a traditional event held once a year in Pastillage.
context: I'm counting on you then, Millihi-nee.\Sure.\You too, Rebecca.\I'm counting on you to guard and escort my sister.\You can count on me.\This is a traditional event held once a year in Pastillage. response:	The Esnart Arts and Music Festival.
context: I'm counting on you then, Millihi-nee.\Sure.\You too, Rebecca.\I'm counting on you to guard and escort my sister.\You can count on me.\This is a traditional event held once a year in Pastillage.\The Esnart Arts and Music Festival. response:	Held in their greatest concert hall,
context: I'm counting on you then, Millihi-nee.\Sure.\You too, Rebecca.\I'm counting on you to guard and escort my sister.\You can count on me.\This is a traditional event held once a year in Pastillage.\The Esnart Arts and Music Festival.\Held in their greatest concert hall, response:	this is their biggest musical event.
context: Sure.\You too, Rebecca.\I'm counting on you to guard and escort my sister.\You can count on me.\This is a traditional event held once a year in Pastillage.\The Esnart Arts and Music Festival.\Held in their greatest concert hall,\this is their biggest musical event. response:	People come from all over
context: You too, Rebecca.\I'm counting on you to guard and escort my sister.\You can count on me.\This is a traditional event held once a year in Pastillage.\The Esnart Arts and Music Festival.\Held in their greatest concert hall,\this is their biggest musical event.\People come from all over response:	and the entire town is infected with the spirit of festival.
context: I'm counting on you to guard and escort my sister.\You can count on me.\This is a traditional event held once a year in Pastillage.\The Esnart Arts and Music Festival.\Held in their greatest concert hall,\this is their biggest musical event.\People come from all over\and the entire town is infected with the spirit of festival. response:	The princess has also been invited
context: You can count on me.\This is a traditional event held once a year in Pastillage.\The Esnart Arts and Music Festival.\Held in their greatest concert hall,\this is their biggest musical event.\People come from all over\and the entire town is infected with the spirit of festival.\The princess has also been invited response:	to perform on stage as a singer.
context: This is a traditional event held once a year in Pastillage.\The Esnart Arts and Music Festival.\Held in their greatest concert hall,\this is their biggest musical event.\People come from all over\and the entire town is infected with the spirit of festival.\The princess has also been invited\to perform on stage as a singer. response:	Esnart Arts and Music Festival
context: The Esnart Arts and Music Festival.\Held in their greatest concert hall,\this is their biggest musical event.\People come from all over\and the entire town is infected with the spirit of festival.\The princess has also been invited\to perform on stage as a singer.\Esnart Arts and Music Festival response:	These clothes and shoes sure are easy to move in.
context: Held in their greatest concert hall,\this is their biggest musical event.\People come from all over\and the entire town is infected with the spirit of festival.\The princess has also been invited\to perform on stage as a singer.\Esnart Arts and Music Festival\These clothes and shoes sure are easy to move in. response:	Yeah, huh?
context: this is their biggest musical event.\People come from all over\and the entire town is infected with the spirit of festival.\The princess has also been invited\to perform on stage as a singer.\Esnart Arts and Music Festival\These clothes and shoes sure are easy to move in.\Yeah, huh? response:	It's good that you wear the same size as Nanami.
context: People come from all over\and the entire town is infected with the spirit of festival.\The princess has also been invited\to perform on stage as a singer.\Esnart Arts and Music Festival\These clothes and shoes sure are easy to move in.\Yeah, huh?\It's good that you wear the same size as Nanami. response:	That's perfect.
context: and the entire town is infected with the spirit of festival.\The princess has also been invited\to perform on stage as a singer.\Esnart Arts and Music Festival\These clothes and shoes sure are easy to move in.\Yeah, huh?\It's good that you wear the same size as Nanami.\That's perfect. response:	I guess the clothes are a little big, since they're mine.
context: The princess has also been invited\to perform on stage as a singer.\Esnart Arts and Music Festival\These clothes and shoes sure are easy to move in.\Yeah, huh?\It's good that you wear the same size as Nanami.\That's perfect.\I guess the clothes are a little big, since they're mine. response:	No, they're just right.
context: to perform on stage as a singer.\Esnart Arts and Music Festival\These clothes and shoes sure are easy to move in.\Yeah, huh?\It's good that you wear the same size as Nanami.\That's perfect.\I guess the clothes are a little big, since they're mine.\No, they're just right. response:	You even made an opening for my tail.
context: Esnart Arts and Music Festival\These clothes and shoes sure are easy to move in.\Yeah, huh?\It's good that you wear the same size as Nanami.\That's perfect.\I guess the clothes are a little big, since they're mine.\No, they're just right.\You even made an opening for my tail. response:	Becky did that.
context: These clothes and shoes sure are easy to move in.\Yeah, huh?\It's good that you wear the same size as Nanami.\That's perfect.\I guess the clothes are a little big, since they're mine.\No, they're just right.\You even made an opening for my tail.\Becky did that. response:	Is everything okay with the princess?
context: Yeah, huh?\It's good that you wear the same size as Nanami.\That's perfect.\I guess the clothes are a little big, since they're mine.\No, they're just right.\You even made an opening for my tail.\Becky did that.\Is everything okay with the princess? response:	I talked to her a bit, before she left.
context: It's good that you wear the same size as Nanami.\That's perfect.\I guess the clothes are a little big, since they're mine.\No, they're just right.\You even made an opening for my tail.\Becky did that.\Is everything okay with the princess?\I talked to her a bit, before she left. response:	Besides, Becky will be by the princess's side today.
context: That's perfect.\I guess the clothes are a little big, since they're mine.\No, they're just right.\You even made an opening for my tail.\Becky did that.\Is everything okay with the princess?\I talked to her a bit, before she left.\Besides, Becky will be by the princess's side today. response:	My walk with Rebecca was so much fun.
context: I guess the clothes are a little big, since they're mine.\No, they're just right.\You even made an opening for my tail.\Becky did that.\Is everything okay with the princess?\I talked to her a bit, before she left.\Besides, Becky will be by the princess's side today.\My walk with Rebecca was so much fun. response:	I'm glad to hear it.
context: No, they're just right.\You even made an opening for my tail.\Becky did that.\Is everything okay with the princess?\I talked to her a bit, before she left.\Besides, Becky will be by the princess's side today.\My walk with Rebecca was so much fun.\I'm glad to hear it. response:	And what did you do today?
context: You even made an opening for my tail.\Becky did that.\Is everything okay with the princess?\I talked to her a bit, before she left.\Besides, Becky will be by the princess's side today.\My walk with Rebecca was so much fun.\I'm glad to hear it.\And what did you do today? response:	We played catch
context: Becky did that.\Is everything okay with the princess?\I talked to her a bit, before she left.\Besides, Becky will be by the princess's side today.\My walk with Rebecca was so much fun.\I'm glad to hear it.\And what did you do today?\We played catch response:	and then we both got on Mercurius and rode through the sky.
context: Is everything okay with the princess?\I talked to her a bit, before she left.\Besides, Becky will be by the princess's side today.\My walk with Rebecca was so much fun.\I'm glad to hear it.\And what did you do today?\We played catch\and then we both got on Mercurius and rode through the sky. response:	That does indeed sound like fun.
context: I talked to her a bit, before she left.\Besides, Becky will be by the princess's side today.\My walk with Rebecca was so much fun.\I'm glad to hear it.\And what did you do today?\We played catch\and then we both got on Mercurius and rode through the sky.\That does indeed sound like fun. response:	It was!
context: Besides, Becky will be by the princess's side today.\My walk with Rebecca was so much fun.\I'm glad to hear it.\And what did you do today?\We played catch\and then we both got on Mercurius and rode through the sky.\That does indeed sound like fun.\It was! response:	Thank you very much.
context: My walk with Rebecca was so much fun.\I'm glad to hear it.\And what did you do today?\We played catch\and then we both got on Mercurius and rode through the sky.\That does indeed sound like fun.\It was!\Thank you very much. response:	We'll get in the bath ourselves,
