context: Now Silver Sword's here, too? response:	Look, another one!
context: Now Silver Sword's here, too?\Look, another one! response:	Seriously?
context: Now Silver Sword's here, too?\Look, another one!\Seriously? response:	There are many guilds, with many different goals.
context: Now Silver Sword's here, too?\Look, another one!\Seriously?\There are many guilds, with many different goals. response:	There are combat guilds, whose primary goal is to get stronger.
context: Now Silver Sword's here, too?\Look, another one!\Seriously?\There are many guilds, with many different goals.\There are combat guilds, whose primary goal is to get stronger. response:	In Akihabara, the major ones are
context: Now Silver Sword's here, too?\Look, another one!\Seriously?\There are many guilds, with many different goals.\There are combat guilds, whose primary goal is to get stronger.\In Akihabara, the major ones are response:	D.D.D. Player Count 1,534 Players
context: Now Silver Sword's here, too?\Look, another one!\Seriously?\There are many guilds, with many different goals.\There are combat guilds, whose primary goal is to get stronger.\In Akihabara, the major ones are\D.D.D. Player Count 1,534 Players response:	Black Sword Knights Player Count 186 Players
context: Now Silver Sword's here, too?\Look, another one!\Seriously?\There are many guilds, with many different goals.\There are combat guilds, whose primary goal is to get stronger.\In Akihabara, the major ones are\D.D.D. Player Count 1,534 Players\Black Sword Knights Player Count 186 Players response:	the Black Sword Knights,
context: Look, another one!\Seriously?\There are many guilds, with many different goals.\There are combat guilds, whose primary goal is to get stronger.\In Akihabara, the major ones are\D.D.D. Player Count 1,534 Players\Black Sword Knights Player Count 186 Players\the Black Sword Knights, response:	Honesty Player Count 743 Players
context: Seriously?\There are many guilds, with many different goals.\There are combat guilds, whose primary goal is to get stronger.\In Akihabara, the major ones are\D.D.D. Player Count 1,534 Players\Black Sword Knights Player Count 186 Players\the Black Sword Knights,\Honesty Player Count 743 Players response:	Honesty,
context: There are many guilds, with many different goals.\There are combat guilds, whose primary goal is to get stronger.\In Akihabara, the major ones are\D.D.D. Player Count 1,534 Players\Black Sword Knights Player Count 186 Players\the Black Sword Knights,\Honesty Player Count 743 Players\Honesty, response:	West Wind Brigade Player Count 64 Players
context: There are combat guilds, whose primary goal is to get stronger.\In Akihabara, the major ones are\D.D.D. Player Count 1,534 Players\Black Sword Knights Player Count 186 Players\the Black Sword Knights,\Honesty Player Count 743 Players\Honesty,\West Wind Brigade Player Count 64 Players response:	the West Wind Brigade,
context: In Akihabara, the major ones are\D.D.D. Player Count 1,534 Players\Black Sword Knights Player Count 186 Players\the Black Sword Knights,\Honesty Player Count 743 Players\Honesty,\West Wind Brigade Player Count 64 Players\the West Wind Brigade, response:	Silver Sword Player Count 220 Players
context: D.D.D. Player Count 1,534 Players\Black Sword Knights Player Count 186 Players\the Black Sword Knights,\Honesty Player Count 743 Players\Honesty,\West Wind Brigade Player Count 64 Players\the West Wind Brigade,\Silver Sword Player Count 220 Players response:	Silver Sword.
context: Black Sword Knights Player Count 186 Players\the Black Sword Knights,\Honesty Player Count 743 Players\Honesty,\West Wind Brigade Player Count 64 Players\the West Wind Brigade,\Silver Sword Player Count 220 Players\Silver Sword. response:	There are also crafting guilds,
context: the Black Sword Knights,\Honesty Player Count 743 Players\Honesty,\West Wind Brigade Player Count 64 Players\the West Wind Brigade,\Silver Sword Player Count 220 Players\Silver Sword.\There are also crafting guilds, response:	whose time is primarily occupied by amassing items or selling them in town.
context: Honesty Player Count 743 Players\Honesty,\West Wind Brigade Player Count 64 Players\the West Wind Brigade,\Silver Sword Player Count 220 Players\Silver Sword.\There are also crafting guilds,\whose time is primarily occupied by amassing items or selling them in town. response:	Marine Agency Player Count 2,547 Players
context: Honesty,\West Wind Brigade Player Count 64 Players\the West Wind Brigade,\Silver Sword Player Count 220 Players\Silver Sword.\There are also crafting guilds,\whose time is primarily occupied by amassing items or selling them in town.\Marine Agency Player Count 2,547 Players response:	Marine Agency,
context: West Wind Brigade Player Count 64 Players\the West Wind Brigade,\Silver Sword Player Count 220 Players\Silver Sword.\There are also crafting guilds,\whose time is primarily occupied by amassing items or selling them in town.\Marine Agency Player Count 2,547 Players\Marine Agency, response:	Roderic Merchant Guild Player Count 1,881 Players
context: the West Wind Brigade,\Silver Sword Player Count 220 Players\Silver Sword.\There are also crafting guilds,\whose time is primarily occupied by amassing items or selling them in town.\Marine Agency Player Count 2,547 Players\Marine Agency,\Roderic Merchant Guild Player Count 1,881 Players response:	Roderic Merchant Guild,
context: Silver Sword Player Count 220 Players\Silver Sword.\There are also crafting guilds,\whose time is primarily occupied by amassing items or selling them in town.\Marine Agency Player Count 2,547 Players\Marine Agency,\Roderic Merchant Guild Player Count 1,881 Players\Roderic Merchant Guild, response:	Shopping Street 8 Player Count 669 Players
context: Silver Sword.\There are also crafting guilds,\whose time is primarily occupied by amassing items or selling them in town.\Marine Agency Player Count 2,547 Players\Marine Agency,\Roderic Merchant Guild Player Count 1,881 Players\Roderic Merchant Guild,\Shopping Street 8 Player Count 669 Players response:	Shopping Street 8,
