context: Perfect. response:	Tea and Distance
context: Perfect.\Tea and Distance response:	One moment, Miss Ririchiyo.
context: Perfect.\Tea and Distance\One moment, Miss Ririchiyo. response:	You have a stain on your shoe.
context: Perfect.\Tea and Distance\One moment, Miss Ririchiyo.\You have a stain on your shoe. response:	Who's that?
context: Perfect.\Tea and Distance\One moment, Miss Ririchiyo.\You have a stain on your shoe.\Who's that? response:	That's Shirakiin.
context: Perfect.\Tea and Distance\One moment, Miss Ririchiyo.\You have a stain on your shoe.\Who's that?\That's Shirakiin. response:	Is that her boyfriend?
context: Perfect.\Tea and Distance\One moment, Miss Ririchiyo.\You have a stain on your shoe.\Who's that?\That's Shirakiin.\Is that her boyfriend? response:	Wow!
context: Perfect.\Tea and Distance\One moment, Miss Ririchiyo.\You have a stain on your shoe.\Who's that?\That's Shirakiin.\Is that her boyfriend?\Wow! response:	I can do that myself!
context: Tea and Distance\One moment, Miss Ririchiyo.\You have a stain on your shoe.\Who's that?\That's Shirakiin.\Is that her boyfriend?\Wow!\I can do that myself! response:	No, I cannot allow you to dirty your hands with such a task.
context: One moment, Miss Ririchiyo.\You have a stain on your shoe.\Who's that?\That's Shirakiin.\Is that her boyfriend?\Wow!\I can do that myself!\No, I cannot allow you to dirty your hands with such a task. response:	I shall do anything dirty for you.
context: You have a stain on your shoe.\Who's that?\That's Shirakiin.\Is that her boyfriend?\Wow!\I can do that myself!\No, I cannot allow you to dirty your hands with such a task.\I shall do anything dirty for you. response:	I shall be your hands and feet...
context: Who's that?\That's Shirakiin.\Is that her boyfriend?\Wow!\I can do that myself!\No, I cannot allow you to dirty your hands with such a task.\I shall do anything dirty for you.\I shall be your hands and feet... response:	Fine, just hurry up!
context: That's Shirakiin.\Is that her boyfriend?\Wow!\I can do that myself!\No, I cannot allow you to dirty your hands with such a task.\I shall do anything dirty for you.\I shall be your hands and feet...\Fine, just hurry up! response:	All done.
context: Is that her boyfriend?\Wow!\I can do that myself!\No, I cannot allow you to dirty your hands with such a task.\I shall do anything dirty for you.\I shall be your hands and feet...\Fine, just hurry up!\All done. response:	Finally.
context: Wow!\I can do that myself!\No, I cannot allow you to dirty your hands with such a task.\I shall do anything dirty for you.\I shall be your hands and feet...\Fine, just hurry up!\All done.\Finally. response:	Then, I'm off.
context: I can do that myself!\No, I cannot allow you to dirty your hands with such a task.\I shall do anything dirty for you.\I shall be your hands and feet...\Fine, just hurry up!\All done.\Finally.\Then, I'm off. response:	You look perfect yet again today.
context: No, I cannot allow you to dirty your hands with such a task.\I shall do anything dirty for you.\I shall be your hands and feet...\Fine, just hurry up!\All done.\Finally.\Then, I'm off.\You look perfect yet again today. response:	I just wish to keep gazing at you.
context: I shall do anything dirty for you.\I shall be your hands and feet...\Fine, just hurry up!\All done.\Finally.\Then, I'm off.\You look perfect yet again today.\I just wish to keep gazing at you. response:	You're never going to let me leave, are you?
context: I shall be your hands and feet...\Fine, just hurry up!\All done.\Finally.\Then, I'm off.\You look perfect yet again today.\I just wish to keep gazing at you.\You're never going to let me leave, are you? response:	If I keep humoring you, I'll be late.
context: Fine, just hurry up!\All done.\Finally.\Then, I'm off.\You look perfect yet again today.\I just wish to keep gazing at you.\You're never going to let me leave, are you?\If I keep humoring you, I'll be late. response:	Miss Ririchiyo...
context: All done.\Finally.\Then, I'm off.\You look perfect yet again today.\I just wish to keep gazing at you.\You're never going to let me leave, are you?\If I keep humoring you, I'll be late.\Miss Ririchiyo... response:	I am so sorry.
context: Finally.\Then, I'm off.\You look perfect yet again today.\I just wish to keep gazing at you.\You're never going to let me leave, are you?\If I keep humoring you, I'll be late.\Miss Ririchiyo...\I am so sorry. response:	I have inconvenienced you...
context: Then, I'm off.\You look perfect yet again today.\I just wish to keep gazing at you.\You're never going to let me leave, are you?\If I keep humoring you, I'll be late.\Miss Ririchiyo...\I am so sorry.\I have inconvenienced you... response:	Actually, I realize
context: You look perfect yet again today.\I just wish to keep gazing at you.\You're never going to let me leave, are you?\If I keep humoring you, I'll be late.\Miss Ririchiyo...\I am so sorry.\I have inconvenienced you...\Actually, I realize response:	that even wishing to be with you for longer
context: I just wish to keep gazing at you.\You're never going to let me leave, are you?\If I keep humoring you, I'll be late.\Miss Ririchiyo...\I am so sorry.\I have inconvenienced you...\Actually, I realize\that even wishing to be with you for longer response:	is impudence for a mere dog like myself.
context: You're never going to let me leave, are you?\If I keep humoring you, I'll be late.\Miss Ririchiyo...\I am so sorry.\I have inconvenienced you...\Actually, I realize\that even wishing to be with you for longer\is impudence for a mere dog like myself. response:	I understand I should feel honored by simply being allowed to serve you.
context: If I keep humoring you, I'll be late.\Miss Ririchiyo...\I am so sorry.\I have inconvenienced you...\Actually, I realize\that even wishing to be with you for longer\is impudence for a mere dog like myself.\I understand I should feel honored by simply being allowed to serve you. response:	I am a greedy animal.
context: Miss Ririchiyo...\I am so sorry.\I have inconvenienced you...\Actually, I realize\that even wishing to be with you for longer\is impudence for a mere dog like myself.\I understand I should feel honored by simply being allowed to serve you.\I am a greedy animal. response:	Y-You needn't go that far...
context: I am so sorry.\I have inconvenienced you...\Actually, I realize\that even wishing to be with you for longer\is impudence for a mere dog like myself.\I understand I should feel honored by simply being allowed to serve you.\I am a greedy animal.\Y-You needn't go that far... response:	Are you saying I may wish for something?
context: I have inconvenienced you...\Actually, I realize\that even wishing to be with you for longer\is impudence for a mere dog like myself.\I understand I should feel honored by simply being allowed to serve you.\I am a greedy animal.\Y-You needn't go that far...\Are you saying I may wish for something? response:	Wish away.
context: Actually, I realize\that even wishing to be with you for longer\is impudence for a mere dog like myself.\I understand I should feel honored by simply being allowed to serve you.\I am a greedy animal.\Y-You needn't go that far...\Are you saying I may wish for something?\Wish away. response:	May I ask that you exit, the second your class ends?
context: that even wishing to be with you for longer\is impudence for a mere dog like myself.\I understand I should feel honored by simply being allowed to serve you.\I am a greedy animal.\Y-You needn't go that far...\Are you saying I may wish for something?\Wish away.\May I ask that you exit, the second your class ends? response:	No problem.
context: is impudence for a mere dog like myself.\I understand I should feel honored by simply being allowed to serve you.\I am a greedy animal.\Y-You needn't go that far...\Are you saying I may wish for something?\Wish away.\May I ask that you exit, the second your class ends?\No problem. response:	And then, would you stay with me after that?
context: I understand I should feel honored by simply being allowed to serve you.\I am a greedy animal.\Y-You needn't go that far...\Are you saying I may wish for something?\Wish away.\May I ask that you exit, the second your class ends?\No problem.\And then, would you stay with me after that? response:	Easy.
context: I am a greedy animal.\Y-You needn't go that far...\Are you saying I may wish for something?\Wish away.\May I ask that you exit, the second your class ends?\No problem.\And then, would you stay with me after that?\Easy. response:	You really are a kind and wonderful person.
context: Y-You needn't go that far...\Are you saying I may wish for something?\Wish away.\May I ask that you exit, the second your class ends?\No problem.\And then, would you stay with me after that?\Easy.\You really are a kind and wonderful person. response:	Huh?
context: Are you saying I may wish for something?\Wish away.\May I ask that you exit, the second your class ends?\No problem.\And then, would you stay with me after that?\Easy.\You really are a kind and wonderful person.\Huh? response:	I think I just got played...
context: Wish away.\May I ask that you exit, the second your class ends?\No problem.\And then, would you stay with me after that?\Easy.\You really are a kind and wonderful person.\Huh?\I think I just got played... response:	Watch out!
