context: Quit part-time job response:	Thanks for your support so far.
context: Quit part-time job\Thanks for your support so far. response:	Sell belongings
context: Quit part-time job\Thanks for your support so far.\Sell belongings response:	We can pay you 30,000 yen in total.
context: Quit part-time job\Thanks for your support so far.\Sell belongings\We can pay you 30,000 yen in total. response:	Bank
context: Quit part-time job\Thanks for your support so far.\Sell belongings\We can pay you 30,000 yen in total.\Bank response:	I want to withdraw all.
context: Quit part-time job\Thanks for your support so far.\Sell belongings\We can pay you 30,000 yen in total.\Bank\I want to withdraw all. response:	I'll pay back your money
context: Quit part-time job\Thanks for your support so far.\Sell belongings\We can pay you 30,000 yen in total.\Bank\I want to withdraw all.\I'll pay back your money response:	The last day
context: Quit part-time job\Thanks for your support so far.\Sell belongings\We can pay you 30,000 yen in total.\Bank\I want to withdraw all.\I'll pay back your money\The last day response:	Original: Manga Koe no Katachi by Yoshitoki Oima
context: Thanks for your support so far.\Sell belongings\We can pay you 30,000 yen in total.\Bank\I want to withdraw all.\I'll pay back your money\The last day\Original: Manga Koe no Katachi by Yoshitoki Oima response:	(Elementary school grade 6 class 2)
context: Sell belongings\We can pay you 30,000 yen in total.\Bank\I want to withdraw all.\I'll pay back your money\The last day\Original: Manga Koe no Katachi by Yoshitoki Oima\(Elementary school grade 6 class 2) response:	Director: Naoko Yamada
context: We can pay you 30,000 yen in total.\Bank\I want to withdraw all.\I'll pay back your money\The last day\Original: Manga Koe no Katachi by Yoshitoki Oima\(Elementary school grade 6 class 2)\Director: Naoko Yamada response:	Hey, everybody sit down.
context: Bank\I want to withdraw all.\I'll pay back your money\The last day\Original: Manga Koe no Katachi by Yoshitoki Oima\(Elementary school grade 6 class 2)\Director: Naoko Yamada\Hey, everybody sit down. response:	We have a new classmate as of today.
context: I want to withdraw all.\I'll pay back your money\The last day\Original: Manga Koe no Katachi by Yoshitoki Oima\(Elementary school grade 6 class 2)\Director: Naoko Yamada\Hey, everybody sit down.\We have a new classmate as of today. response:	What?
context: I'll pay back your money\The last day\Original: Manga Koe no Katachi by Yoshitoki Oima\(Elementary school grade 6 class 2)\Director: Naoko Yamada\Hey, everybody sit down.\We have a new classmate as of today.\What? response:	Lucky you! A girl.
context: The last day\Original: Manga Koe no Katachi by Yoshitoki Oima\(Elementary school grade 6 class 2)\Director: Naoko Yamada\Hey, everybody sit down.\We have a new classmate as of today.\What?\Lucky you! A girl. response:	I'm not interested at all.
context: Original: Manga Koe no Katachi by Yoshitoki Oima\(Elementary school grade 6 class 2)\Director: Naoko Yamada\Hey, everybody sit down.\We have a new classmate as of today.\What?\Lucky you! A girl.\I'm not interested at all. response:	Well,
context: (Elementary school grade 6 class 2)\Director: Naoko Yamada\Hey, everybody sit down.\We have a new classmate as of today.\What?\Lucky you! A girl.\I'm not interested at all.\Well, response:	then introduce yourself.
context: Director: Naoko Yamada\Hey, everybody sit down.\We have a new classmate as of today.\What?\Lucky you! A girl.\I'm not interested at all.\Well,\then introduce yourself. response:	Huh?
context: Hey, everybody sit down.\We have a new classmate as of today.\What?\Lucky you! A girl.\I'm not interested at all.\Well,\then introduce yourself.\Huh? response:	Oh...
context: We have a new classmate as of today.\What?\Lucky you! A girl.\I'm not interested at all.\Well,\then introduce yourself.\Huh?\Oh... response:	For written communication
context: What?\Lucky you! A girl.\I'm not interested at all.\Well,\then introduce yourself.\Huh?\Oh...\For written communication response:	Nice to meet you. I am Shoko Nishimiya.
context: Lucky you! A girl.\I'm not interested at all.\Well,\then introduce yourself.\Huh?\Oh...\For written communication\Nice to meet you. I am Shoko Nishimiya. response:	I want to be friends with you all with the help of this notebook.
context: I'm not interested at all.\Well,\then introduce yourself.\Huh?\Oh...\For written communication\Nice to meet you. I am Shoko Nishimiya.\I want to be friends with you all with the help of this notebook. response:	Please use the notebook to talk with me.
context: Well,\then introduce yourself.\Huh?\Oh...\For written communication\Nice to meet you. I am Shoko Nishimiya.\I want to be friends with you all with the help of this notebook.\Please use the notebook to talk with me. response:	I can't hear.
context: then introduce yourself.\Huh?\Oh...\For written communication\Nice to meet you. I am Shoko Nishimiya.\I want to be friends with you all with the help of this notebook.\Please use the notebook to talk with me.\I can't hear. response:	Unbelievable...
context: Huh?\Oh...\For written communication\Nice to meet you. I am Shoko Nishimiya.\I want to be friends with you all with the help of this notebook.\Please use the notebook to talk with me.\I can't hear.\Unbelievable... response:	Weird!
context: Oh...\For written communication\Nice to meet you. I am Shoko Nishimiya.\I want to be friends with you all with the help of this notebook.\Please use the notebook to talk with me.\I can't hear.\Unbelievable...\Weird! response:	Hi, Nishimiya-san. I am Miki Kawai.
context: For written communication\Nice to meet you. I am Shoko Nishimiya.\I want to be friends with you all with the help of this notebook.\Please use the notebook to talk with me.\I can't hear.\Unbelievable...\Weird!\Hi, Nishimiya-san. I am Miki Kawai. response:	Hi, nice to meet you.
