context: Sorry, but they suddenly response:	asked me to help out at
context: Sorry, but they suddenly\asked me to help out at response:	the store, so I can't go.
context: Sorry, but they suddenly\asked me to help out at\the store, so I can't go. response:	Go on ahead by yourself.
context: Sorry, but they suddenly\asked me to help out at\the store, so I can't go.\Go on ahead by yourself. response:	Sorry, but they suddenly asked me to help out at the store, so I can't go.
context: Sorry, but they suddenly\asked me to help out at\the store, so I can't go.\Go on ahead by yourself.\Sorry, but they suddenly asked me to help out at the store, so I can't go. response:	Go on ahead by yourself.
context: Sorry, but they suddenly\asked me to help out at\the store, so I can't go.\Go on ahead by yourself.\Sorry, but they suddenly asked me to help out at the store, so I can't go.\Go on ahead by yourself. response:	Takahashi.
context: Sorry, but they suddenly\asked me to help out at\the store, so I can't go.\Go on ahead by yourself.\Sorry, but they suddenly asked me to help out at the store, so I can't go.\Go on ahead by yourself.\Takahashi. response:	Yeah?
context: Sorry, but they suddenly\asked me to help out at\the store, so I can't go.\Go on ahead by yourself.\Sorry, but they suddenly asked me to help out at the store, so I can't go.\Go on ahead by yourself.\Takahashi.\Yeah? response:	Wanna go somewhere today?
context: asked me to help out at\the store, so I can't go.\Go on ahead by yourself.\Sorry, but they suddenly asked me to help out at the store, so I can't go.\Go on ahead by yourself.\Takahashi.\Yeah?\Wanna go somewhere today? response:	Usotsuki na anata nakimushi no atashi
context: the store, so I can't go.\Go on ahead by yourself.\Sorry, but they suddenly asked me to help out at the store, so I can't go.\Go on ahead by yourself.\Takahashi.\Yeah?\Wanna go somewhere today?\Usotsuki na anata nakimushi no atashi response:	Doushite umaku ikanai wa
context: Go on ahead by yourself.\Sorry, but they suddenly asked me to help out at the store, so I can't go.\Go on ahead by yourself.\Takahashi.\Yeah?\Wanna go somewhere today?\Usotsuki na anata nakimushi no atashi\Doushite umaku ikanai wa response:	Oshare shita kami mo rain suton no tsume mo
context: Sorry, but they suddenly asked me to help out at the store, so I can't go.\Go on ahead by yourself.\Takahashi.\Yeah?\Wanna go somewhere today?\Usotsuki na anata nakimushi no atashi\Doushite umaku ikanai wa\Oshare shita kami mo rain suton no tsume mo response:	Anata wa kidzuki mo shinai ne
context: Go on ahead by yourself.\Takahashi.\Yeah?\Wanna go somewhere today?\Usotsuki na anata nakimushi no atashi\Doushite umaku ikanai wa\Oshare shita kami mo rain suton no tsume mo\Anata wa kidzuki mo shinai ne response:	Love kanashii namida nanka ja nai yo
context: Takahashi.\Yeah?\Wanna go somewhere today?\Usotsuki na anata nakimushi no atashi\Doushite umaku ikanai wa\Oshare shita kami mo rain suton no tsume mo\Anata wa kidzuki mo shinai ne\Love kanashii namida nanka ja nai yo response:	Me ga kawaite hirihiri suru dake
context: Yeah?\Wanna go somewhere today?\Usotsuki na anata nakimushi no atashi\Doushite umaku ikanai wa\Oshare shita kami mo rain suton no tsume mo\Anata wa kidzuki mo shinai ne\Love kanashii namida nanka ja nai yo\Me ga kawaite hirihiri suru dake response:	Kono unmei bakari I love
context: Wanna go somewhere today?\Usotsuki na anata nakimushi no atashi\Doushite umaku ikanai wa\Oshare shita kami mo rain suton no tsume mo\Anata wa kidzuki mo shinai ne\Love kanashii namida nanka ja nai yo\Me ga kawaite hirihiri suru dake\Kono unmei bakari I love response:	Kimi dake wo atashi dake wo
context: Usotsuki na anata nakimushi no atashi\Doushite umaku ikanai wa\Oshare shita kami mo rain suton no tsume mo\Anata wa kidzuki mo shinai ne\Love kanashii namida nanka ja nai yo\Me ga kawaite hirihiri suru dake\Kono unmei bakari I love\Kimi dake wo atashi dake wo response:	Atsui omoi wo uketomete
context: Doushite umaku ikanai wa\Oshare shita kami mo rain suton no tsume mo\Anata wa kidzuki mo shinai ne\Love kanashii namida nanka ja nai yo\Me ga kawaite hirihiri suru dake\Kono unmei bakari I love\Kimi dake wo atashi dake wo\Atsui omoi wo uketomete response:	Doko made mo tsunagattetai
context: Oshare shita kami mo rain suton no tsume mo\Anata wa kidzuki mo shinai ne\Love kanashii namida nanka ja nai yo\Me ga kawaite hirihiri suru dake\Kono unmei bakari I love\Kimi dake wo atashi dake wo\Atsui omoi wo uketomete\Doko made mo tsunagattetai response:	Kawaikunai nakigao mo se mo aishiteru
context: Anata wa kidzuki mo shinai ne\Love kanashii namida nanka ja nai yo\Me ga kawaite hirihiri suru dake\Kono unmei bakari I love\Kimi dake wo atashi dake wo\Atsui omoi wo uketomete\Doko made mo tsunagattetai\Kawaikunai nakigao mo se mo aishiteru response:	Why can't things go well between
context: Love kanashii namida nanka ja nai yo\Me ga kawaite hirihiri suru dake\Kono unmei bakari I love\Kimi dake wo atashi dake wo\Atsui omoi wo uketomete\Doko made mo tsunagattetai\Kawaikunai nakigao mo se mo aishiteru\Why can't things go well between response:	the liar, you, and the crybaby, me?
context: Me ga kawaite hirihiri suru dake\Kono unmei bakari I love\Kimi dake wo atashi dake wo\Atsui omoi wo uketomete\Doko made mo tsunagattetai\Kawaikunai nakigao mo se mo aishiteru\Why can't things go well between\the liar, you, and the crybaby, me? response:	You don't notice my styled hair
context: Kono unmei bakari I love\Kimi dake wo atashi dake wo\Atsui omoi wo uketomete\Doko made mo tsunagattetai\Kawaikunai nakigao mo se mo aishiteru\Why can't things go well between\the liar, you, and the crybaby, me?\You don't notice my styled hair response:	or my nice set of press-on nails.
context: Kimi dake wo atashi dake wo\Atsui omoi wo uketomete\Doko made mo tsunagattetai\Kawaikunai nakigao mo se mo aishiteru\Why can't things go well between\the liar, you, and the crybaby, me?\You don't notice my styled hair\or my nice set of press-on nails. response:	Love isn't about the unhappy tears that go along with it.
context: Atsui omoi wo uketomete\Doko made mo tsunagattetai\Kawaikunai nakigao mo se mo aishiteru\Why can't things go well between\the liar, you, and the crybaby, me?\You don't notice my styled hair\or my nice set of press-on nails.\Love isn't about the unhappy tears that go along with it. response:	Those tears only leave my eyes dry and hurt me.
context: Doko made mo tsunagattetai\Kawaikunai nakigao mo se mo aishiteru\Why can't things go well between\the liar, you, and the crybaby, me?\You don't notice my styled hair\or my nice set of press-on nails.\Love isn't about the unhappy tears that go along with it.\Those tears only leave my eyes dry and hurt me. response:	I love this destiny
