context: This is your last chance. response:	He's gone.
context: This is your last chance.\He's gone. response:	Uesugi-kun! Did you see all that?
context: This is your last chance.\He's gone.\Uesugi-kun! Did you see all that? response:	He's as scary a dad as I imagined.
context: This is your last chance.\He's gone.\Uesugi-kun! Did you see all that?\He's as scary a dad as I imagined. response:	Yeah.
context: This is your last chance.\He's gone.\Uesugi-kun! Did you see all that?\He's as scary a dad as I imagined.\Yeah. response:	He's absolutely in the right.
context: This is your last chance.\He's gone.\Uesugi-kun! Did you see all that?\He's as scary a dad as I imagined.\Yeah.\He's absolutely in the right. response:	But some things matter more than being right.
context: This is your last chance.\He's gone.\Uesugi-kun! Did you see all that?\He's as scary a dad as I imagined.\Yeah.\He's absolutely in the right.\But some things matter more than being right. response:	I never thought he'd bring up transferring.
context: This is your last chance.\He's gone.\Uesugi-kun! Did you see all that?\He's as scary a dad as I imagined.\Yeah.\He's absolutely in the right.\But some things matter more than being right.\I never thought he'd bring up transferring. response:	Now I really can't afford to fail.
context: He's gone.\Uesugi-kun! Did you see all that?\He's as scary a dad as I imagined.\Yeah.\He's absolutely in the right.\But some things matter more than being right.\I never thought he'd bring up transferring.\Now I really can't afford to fail. response:	I'm sorry for getting you caught up in our family matters.
context: Uesugi-kun! Did you see all that?\He's as scary a dad as I imagined.\Yeah.\He's absolutely in the right.\But some things matter more than being right.\I never thought he'd bring up transferring.\Now I really can't afford to fail.\I'm sorry for getting you caught up in our family matters. response:	I don't want to transfer.
context: He's as scary a dad as I imagined.\Yeah.\He's absolutely in the right.\But some things matter more than being right.\I never thought he'd bring up transferring.\Now I really can't afford to fail.\I'm sorry for getting you caught up in our family matters.\I don't want to transfer. response:	But that's not my concern.
context: Yeah.\He's absolutely in the right.\But some things matter more than being right.\I never thought he'd bring up transferring.\Now I really can't afford to fail.\I'm sorry for getting you caught up in our family matters.\I don't want to transfer.\But that's not my concern. response:	Whether it's your circumstances, or your family's circumstances,
context: He's absolutely in the right.\But some things matter more than being right.\I never thought he'd bring up transferring.\Now I really can't afford to fail.\I'm sorry for getting you caught up in our family matters.\I don't want to transfer.\But that's not my concern.\Whether it's your circumstances, or your family's circumstances, response:	or your previous school, or this transfer ultimatum...
context: But some things matter more than being right.\I never thought he'd bring up transferring.\Now I really can't afford to fail.\I'm sorry for getting you caught up in our family matters.\I don't want to transfer.\But that's not my concern.\Whether it's your circumstances, or your family's circumstances,\or your previous school, or this transfer ultimatum... response:	None of it matters.
