context: Man, that was the best! response:	A Guy You Like, or a Guy from the Past?
context: Man, that was the best!\A Guy You Like, or a Guy from the Past? response:	It freaking rocked!
context: Man, that was the best!\A Guy You Like, or a Guy from the Past?\It freaking rocked! response:	I was so worked up!
context: Man, that was the best!\A Guy You Like, or a Guy from the Past?\It freaking rocked!\I was so worked up! response:	Me too!
context: Man, that was the best!\A Guy You Like, or a Guy from the Past?\It freaking rocked!\I was so worked up!\Me too! response:	But as expected, that song was the best.
context: Man, that was the best!\A Guy You Like, or a Guy from the Past?\It freaking rocked!\I was so worked up!\Me too!\But as expected, that song was the best. response:	It was awesome hearing it live.
context: Man, that was the best!\A Guy You Like, or a Guy from the Past?\It freaking rocked!\I was so worked up!\Me too!\But as expected, that song was the best.\It was awesome hearing it live. response:	Totally awesome!
context: Man, that was the best!\A Guy You Like, or a Guy from the Past?\It freaking rocked!\I was so worked up!\Me too!\But as expected, that song was the best.\It was awesome hearing it live.\Totally awesome! response:	Totally!
context: A Guy You Like, or a Guy from the Past?\It freaking rocked!\I was so worked up!\Me too!\But as expected, that song was the best.\It was awesome hearing it live.\Totally awesome!\Totally! response:	I'm still totally worked up!
context: It freaking rocked!\I was so worked up!\Me too!\But as expected, that song was the best.\It was awesome hearing it live.\Totally awesome!\Totally!\I'm still totally worked up! response:	It was just awesome!
context: I was so worked up!\Me too!\But as expected, that song was the best.\It was awesome hearing it live.\Totally awesome!\Totally!\I'm still totally worked up!\It was just awesome! response:	Risa?
context: Me too!\But as expected, that song was the best.\It was awesome hearing it live.\Totally awesome!\Totally!\I'm still totally worked up!\It was just awesome!\Risa? response:	Risa!
context: But as expected, that song was the best.\It was awesome hearing it live.\Totally awesome!\Totally!\I'm still totally worked up!\It was just awesome!\Risa?\Risa! response:	Huh?
context: It was awesome hearing it live.\Totally awesome!\Totally!\I'm still totally worked up!\It was just awesome!\Risa?\Risa!\Huh? response:	Huh!?
context: Totally awesome!\Totally!\I'm still totally worked up!\It was just awesome!\Risa?\Risa!\Huh?\Huh!? response:	Who are you?! Who are you?! Who are you?!
context: Totally!\I'm still totally worked up!\It was just awesome!\Risa?\Risa!\Huh?\Huh!?\Who are you?! Who are you?! Who are you?! response:	It's me, Haruka.
context: I'm still totally worked up!\It was just awesome!\Risa?\Risa!\Huh?\Huh!?\Who are you?! Who are you?! Who are you?!\It's me, Haruka. response:	Fukagawa Haruka.
context: It was just awesome!\Risa?\Risa!\Huh?\Huh!?\Who are you?! Who are you?! Who are you?!\It's me, Haruka.\Fukagawa Haruka. response:	Haruka?
context: Risa?\Risa!\Huh?\Huh!?\Who are you?! Who are you?! Who are you?!\It's me, Haruka.\Fukagawa Haruka.\Haruka? response:	Don't you remember me?
context: Risa!\Huh?\Huh!?\Who are you?! Who are you?! Who are you?!\It's me, Haruka.\Fukagawa Haruka.\Haruka?\Don't you remember me? response:	I lived near you when we were in elementary school.
context: Huh?\Huh!?\Who are you?! Who are you?! Who are you?!\It's me, Haruka.\Fukagawa Haruka.\Haruka?\Don't you remember me?\I lived near you when we were in elementary school. response:	Elementary school?
context: Huh!?\Who are you?! Who are you?! Who are you?!\It's me, Haruka.\Fukagawa Haruka.\Haruka?\Don't you remember me?\I lived near you when we were in elementary school.\Elementary school? response:	Risa is recollecting
context: Who are you?! Who are you?! Who are you?!\It's me, Haruka.\Fukagawa Haruka.\Haruka?\Don't you remember me?\I lived near you when we were in elementary school.\Elementary school?\Risa is recollecting response:	Recall
context: It's me, Haruka.\Fukagawa Haruka.\Haruka?\Don't you remember me?\I lived near you when we were in elementary school.\Elementary school?\Risa is recollecting\Recall response:	He's a boy but his name is Haruka-chan.
context: Fukagawa Haruka.\Haruka?\Don't you remember me?\I lived near you when we were in elementary school.\Elementary school?\Risa is recollecting\Recall\He's a boy but his name is Haruka-chan. response:	He must have boobies.
context: Haruka?\Don't you remember me?\I lived near you when we were in elementary school.\Elementary school?\Risa is recollecting\Recall\He's a boy but his name is Haruka-chan.\He must have boobies. response:	I don't have boobies!
context: Don't you remember me?\I lived near you when we were in elementary school.\Elementary school?\Risa is recollecting\Recall\He's a boy but his name is Haruka-chan.\He must have boobies.\I don't have boobies! response:	Hey!
context: I lived near you when we were in elementary school.\Elementary school?\Risa is recollecting\Recall\He's a boy but his name is Haruka-chan.\He must have boobies.\I don't have boobies!\Hey! response:	You guys are teasing Haruka again?
context: Elementary school?\Risa is recollecting\Recall\He's a boy but his name is Haruka-chan.\He must have boobies.\I don't have boobies!\Hey!\You guys are teasing Haruka again? response:	Oh crap!
context: Risa is recollecting\Recall\He's a boy but his name is Haruka-chan.\He must have boobies.\I don't have boobies!\Hey!\You guys are teasing Haruka again?\Oh crap! response:	Risa-chan...
context: Recall\He's a boy but his name is Haruka-chan.\He must have boobies.\I don't have boobies!\Hey!\You guys are teasing Haruka again?\Oh crap!\Risa-chan... response:	Oh... Oh!
context: He's a boy but his name is Haruka-chan.\He must have boobies.\I don't have boobies!\Hey!\You guys are teasing Haruka again?\Oh crap!\Risa-chan...\Oh... Oh! response:	You're that Haruka!
context: He must have boobies.\I don't have boobies!\Hey!\You guys are teasing Haruka again?\Oh crap!\Risa-chan...\Oh... Oh!\You're that Haruka! response:	Yeah, I'm that Haruka!
context: I don't have boobies!\Hey!\You guys are teasing Haruka again?\Oh crap!\Risa-chan...\Oh... Oh!\You're that Haruka!\Yeah, I'm that Haruka! response:	Wow! Long time no see!
context: Hey!\You guys are teasing Haruka again?\Oh crap!\Risa-chan...\Oh... Oh!\You're that Haruka!\Yeah, I'm that Haruka!\Wow! Long time no see! response:	I hardly recognized you!
context: You guys are teasing Haruka again?\Oh crap!\Risa-chan...\Oh... Oh!\You're that Haruka!\Yeah, I'm that Haruka!\Wow! Long time no see!\I hardly recognized you! response:	I thought you went overseas.
context: Oh crap!\Risa-chan...\Oh... Oh!\You're that Haruka!\Yeah, I'm that Haruka!\Wow! Long time no see!\I hardly recognized you!\I thought you went overseas. response:	I just got back.
context: Risa-chan...\Oh... Oh!\You're that Haruka!\Yeah, I'm that Haruka!\Wow! Long time no see!\I hardly recognized you!\I thought you went overseas.\I just got back. response:	You've grown taller.
context: Oh... Oh!\You're that Haruka!\Yeah, I'm that Haruka!\Wow! Long time no see!\I hardly recognized you!\I thought you went overseas.\I just got back.\You've grown taller. response:	I'm 185cm now.
context: You're that Haruka!\Yeah, I'm that Haruka!\Wow! Long time no see!\I hardly recognized you!\I thought you went overseas.\I just got back.\You've grown taller.\I'm 185cm now. response:	Really?!
context: Yeah, I'm that Haruka!\Wow! Long time no see!\I hardly recognized you!\I thought you went overseas.\I just got back.\You've grown taller.\I'm 185cm now.\Really?! response:	I'm taller than you now.
context: Wow! Long time no see!\I hardly recognized you!\I thought you went overseas.\I just got back.\You've grown taller.\I'm 185cm now.\Really?!\I'm taller than you now. response:	You sure are!
context: I hardly recognized you!\I thought you went overseas.\I just got back.\You've grown taller.\I'm 185cm now.\Really?!\I'm taller than you now.\You sure are! response:	Boy, this brings back memories.
context: I thought you went overseas.\I just got back.\You've grown taller.\I'm 185cm now.\Really?!\I'm taller than you now.\You sure are!\Boy, this brings back memories. response:	I've got to get going.
