context: A curse corrodes Tomoe's body. response:	Did you remember?
context: A curse corrodes Tomoe's body.\Did you remember? response:	I'll travel back to when the curse was put 500 years ago.
context: A curse corrodes Tomoe's body.\Did you remember?\I'll travel back to when the curse was put 500 years ago. response:	I'll be intruding.
context: A curse corrodes Tomoe's body.\Did you remember?\I'll travel back to when the curse was put 500 years ago.\I'll be intruding. response:	The Tomoe of this era is a merciless supreme youkai.
context: A curse corrodes Tomoe's body.\Did you remember?\I'll travel back to when the curse was put 500 years ago.\I'll be intruding.\The Tomoe of this era is a merciless supreme youkai. response:	The injured Tomoe, who was pursed by the villagers, was found by Nanami.
context: A curse corrodes Tomoe's body.\Did you remember?\I'll travel back to when the curse was put 500 years ago.\I'll be intruding.\The Tomoe of this era is a merciless supreme youkai.\The injured Tomoe, who was pursed by the villagers, was found by Nanami. response:	I know this child. Please help him!
context: A curse corrodes Tomoe's body.\Did you remember?\I'll travel back to when the curse was put 500 years ago.\I'll be intruding.\The Tomoe of this era is a merciless supreme youkai.\The injured Tomoe, who was pursed by the villagers, was found by Nanami.\I know this child. Please help him! response:	I know you're hiding him!
context: A curse corrodes Tomoe's body.\Did you remember?\I'll travel back to when the curse was put 500 years ago.\I'll be intruding.\The Tomoe of this era is a merciless supreme youkai.\The injured Tomoe, who was pursed by the villagers, was found by Nanami.\I know this child. Please help him!\I know you're hiding him! response:	The woman, that you took in, picked up a wounded child last night, isn't it!?
context: Did you remember?\I'll travel back to when the curse was put 500 years ago.\I'll be intruding.\The Tomoe of this era is a merciless supreme youkai.\The injured Tomoe, who was pursed by the villagers, was found by Nanami.\I know this child. Please help him!\I know you're hiding him!\The woman, that you took in, picked up a wounded child last night, isn't it!? response:	That's right! That fox is undoubtedly disguised as that child!
context: I'll travel back to when the curse was put 500 years ago.\I'll be intruding.\The Tomoe of this era is a merciless supreme youkai.\The injured Tomoe, who was pursed by the villagers, was found by Nanami.\I know this child. Please help him!\I know you're hiding him!\The woman, that you took in, picked up a wounded child last night, isn't it!?\That's right! That fox is undoubtedly disguised as that child! response:	That woman is definitely a youkai's underling!
context: I'll be intruding.\The Tomoe of this era is a merciless supreme youkai.\The injured Tomoe, who was pursed by the villagers, was found by Nanami.\I know this child. Please help him!\I know you're hiding him!\The woman, that you took in, picked up a wounded child last night, isn't it!?\That's right! That fox is undoubtedly disguised as that child!\That woman is definitely a youkai's underling! response:	Hand over that woman and brat!
context: The Tomoe of this era is a merciless supreme youkai.\The injured Tomoe, who was pursed by the villagers, was found by Nanami.\I know this child. Please help him!\I know you're hiding him!\The woman, that you took in, picked up a wounded child last night, isn't it!?\That's right! That fox is undoubtedly disguised as that child!\That woman is definitely a youkai's underling!\Hand over that woman and brat! response:	Where's Yukiji-san?
context: The injured Tomoe, who was pursed by the villagers, was found by Nanami.\I know this child. Please help him!\I know you're hiding him!\The woman, that you took in, picked up a wounded child last night, isn't it!?\That's right! That fox is undoubtedly disguised as that child!\That woman is definitely a youkai's underling!\Hand over that woman and brat!\Where's Yukiji-san? response:	Nanami! Don't go out!
context: I know this child. Please help him!\I know you're hiding him!\The woman, that you took in, picked up a wounded child last night, isn't it!?\That's right! That fox is undoubtedly disguised as that child!\That woman is definitely a youkai's underling!\Hand over that woman and brat!\Where's Yukiji-san?\Nanami! Don't go out! response:	But!
context: I know you're hiding him!\The woman, that you took in, picked up a wounded child last night, isn't it!?\That's right! That fox is undoubtedly disguised as that child!\That woman is definitely a youkai's underling!\Hand over that woman and brat!\Where's Yukiji-san?\Nanami! Don't go out!\But! response:	Leave it to Lady Yukiji!
context: The woman, that you took in, picked up a wounded child last night, isn't it!?\That's right! That fox is undoubtedly disguised as that child!\That woman is definitely a youkai's underling!\Hand over that woman and brat!\Where's Yukiji-san?\Nanami! Don't go out!\But!\Leave it to Lady Yukiji! response:	I was the one who picked up that child who was clawed by the fox and had collapsed by the river.
context: That's right! That fox is undoubtedly disguised as that child!\That woman is definitely a youkai's underling!\Hand over that woman and brat!\Where's Yukiji-san?\Nanami! Don't go out!\But!\Leave it to Lady Yukiji!\I was the one who picked up that child who was clawed by the fox and had collapsed by the river. response:	All of this is your fault for failing to hunt down that fox, right?
context: That woman is definitely a youkai's underling!\Hand over that woman and brat!\Where's Yukiji-san?\Nanami! Don't go out!\But!\Leave it to Lady Yukiji!\I was the one who picked up that child who was clawed by the fox and had collapsed by the river.\All of this is your fault for failing to hunt down that fox, right? response:	If you understand, then hurry up and go find that fox!
context: Hand over that woman and brat!\Where's Yukiji-san?\Nanami! Don't go out!\But!\Leave it to Lady Yukiji!\I was the one who picked up that child who was clawed by the fox and had collapsed by the river.\All of this is your fault for failing to hunt down that fox, right?\If you understand, then hurry up and go find that fox! response:	Yukiji.
context: Where's Yukiji-san?\Nanami! Don't go out!\But!\Leave it to Lady Yukiji!\I was the one who picked up that child who was clawed by the fox and had collapsed by the river.\All of this is your fault for failing to hunt down that fox, right?\If you understand, then hurry up and go find that fox!\Yukiji. response:	If you don't hand over the brat obediently, then you'll be suspected.
context: Nanami! Don't go out!\But!\Leave it to Lady Yukiji!\I was the one who picked up that child who was clawed by the fox and had collapsed by the river.\All of this is your fault for failing to hunt down that fox, right?\If you understand, then hurry up and go find that fox!\Yukiji.\If you don't hand over the brat obediently, then you'll be suspected. response:	Maybe you're actually an ally of the youkai.
context: But!\Leave it to Lady Yukiji!\I was the one who picked up that child who was clawed by the fox and had collapsed by the river.\All of this is your fault for failing to hunt down that fox, right?\If you understand, then hurry up and go find that fox!\Yukiji.\If you don't hand over the brat obediently, then you'll be suspected.\Maybe you're actually an ally of the youkai. response:	I only want to protect you, you know.
context: Leave it to Lady Yukiji!\I was the one who picked up that child who was clawed by the fox and had collapsed by the river.\All of this is your fault for failing to hunt down that fox, right?\If you understand, then hurry up and go find that fox!\Yukiji.\If you don't hand over the brat obediently, then you'll be suspected.\Maybe you're actually an ally of the youkai.\I only want to protect you, you know. response:	You understand, right?
context: I was the one who picked up that child who was clawed by the fox and had collapsed by the river.\All of this is your fault for failing to hunt down that fox, right?\If you understand, then hurry up and go find that fox!\Yukiji.\If you don't hand over the brat obediently, then you'll be suspected.\Maybe you're actually an ally of the youkai.\I only want to protect you, you know.\You understand, right? response:	Don't touch me with your filthy hands!
context: All of this is your fault for failing to hunt down that fox, right?\If you understand, then hurry up and go find that fox!\Yukiji.\If you don't hand over the brat obediently, then you'll be suspected.\Maybe you're actually an ally of the youkai.\I only want to protect you, you know.\You understand, right?\Don't touch me with your filthy hands! response:	If that kid sleeping inside really is the fox,
context: If you understand, then hurry up and go find that fox!\Yukiji.\If you don't hand over the brat obediently, then you'll be suspected.\Maybe you're actually an ally of the youkai.\I only want to protect you, you know.\You understand, right?\Don't touch me with your filthy hands!\If that kid sleeping inside really is the fox, response:	there's no need to hand him over to you.
context: Yukiji.\If you don't hand over the brat obediently, then you'll be suspected.\Maybe you're actually an ally of the youkai.\I only want to protect you, you know.\You understand, right?\Don't touch me with your filthy hands!\If that kid sleeping inside really is the fox,\there's no need to hand him over to you. response:	I'll tear him apart with my own hands.
context: If you don't hand over the brat obediently, then you'll be suspected.\Maybe you're actually an ally of the youkai.\I only want to protect you, you know.\You understand, right?\Don't touch me with your filthy hands!\If that kid sleeping inside really is the fox,\there's no need to hand him over to you.\I'll tear him apart with my own hands. response:	Now, now, everyone. What's all this commotion for?
context: Maybe you're actually an ally of the youkai.\I only want to protect you, you know.\You understand, right?\Don't touch me with your filthy hands!\If that kid sleeping inside really is the fox,\there's no need to hand him over to you.\I'll tear him apart with my own hands.\Now, now, everyone. What's all this commotion for? response:	Master Youhei!
context: I only want to protect you, you know.\You understand, right?\Don't touch me with your filthy hands!\If that kid sleeping inside really is the fox,\there's no need to hand him over to you.\I'll tear him apart with my own hands.\Now, now, everyone. What's all this commotion for?\Master Youhei! response:	A fox youkai has taken refuge in this house!
context: You understand, right?\Don't touch me with your filthy hands!\If that kid sleeping inside really is the fox,\there's no need to hand him over to you.\I'll tear him apart with my own hands.\Now, now, everyone. What's all this commotion for?\Master Youhei!\A fox youkai has taken refuge in this house! response:	Youkai.
context: Don't touch me with your filthy hands!\If that kid sleeping inside really is the fox,\there's no need to hand him over to you.\I'll tear him apart with my own hands.\Now, now, everyone. What's all this commotion for?\Master Youhei!\A fox youkai has taken refuge in this house!\Youkai. response:	Don't say such ridiculous things. There's no way something like that could be in our house.
context: If that kid sleeping inside really is the fox,\there's no need to hand him over to you.\I'll tear him apart with my own hands.\Now, now, everyone. What's all this commotion for?\Master Youhei!\A fox youkai has taken refuge in this house!\Youkai.\Don't say such ridiculous things. There's no way something like that could be in our house. response:	Isn't that right, Yukiji?
context: there's no need to hand him over to you.\I'll tear him apart with my own hands.\Now, now, everyone. What's all this commotion for?\Master Youhei!\A fox youkai has taken refuge in this house!\Youkai.\Don't say such ridiculous things. There's no way something like that could be in our house.\Isn't that right, Yukiji? response:	Yes, father.
context: I'll tear him apart with my own hands.\Now, now, everyone. What's all this commotion for?\Master Youhei!\A fox youkai has taken refuge in this house!\Youkai.\Don't say such ridiculous things. There's no way something like that could be in our house.\Isn't that right, Yukiji?\Yes, father. response:	Yukiji is indeed lowborn, but I adopted her because of her beautiful face.
context: Now, now, everyone. What's all this commotion for?\Master Youhei!\A fox youkai has taken refuge in this house!\Youkai.\Don't say such ridiculous things. There's no way something like that could be in our house.\Isn't that right, Yukiji?\Yes, father.\Yukiji is indeed lowborn, but I adopted her because of her beautiful face. response:	Right now, she's getting proposals from nobles and rich men.
context: Master Youhei!\A fox youkai has taken refuge in this house!\Youkai.\Don't say such ridiculous things. There's no way something like that could be in our house.\Isn't that right, Yukiji?\Yes, father.\Yukiji is indeed lowborn, but I adopted her because of her beautiful face.\Right now, she's getting proposals from nobles and rich men. response:	Youkai or whatnot, such strange rumors are intolerable.
