context: Ladies and gentlemen, good evening. response:	Everything lies in ruin.
context: Ladies and gentlemen, good evening.\Everything lies in ruin. response:	What was once believed to be solid ground has opened up and swallowed everything.
context: Ladies and gentlemen, good evening.\Everything lies in ruin.\What was once believed to be solid ground has opened up and swallowed everything. response:	The young soul wanders aimlessly, betrayed by everything he had believed in.
context: Ladies and gentlemen, good evening.\Everything lies in ruin.\What was once believed to be solid ground has opened up and swallowed everything.\The young soul wanders aimlessly, betrayed by everything he had believed in. response:	But what he clutches at in the end is...
context: Ladies and gentlemen, good evening.\Everything lies in ruin.\What was once believed to be solid ground has opened up and swallowed everything.\The young soul wanders aimlessly, betrayed by everything he had believed in.\But what he clutches at in the end is... response:	Act 17: The Confession
context: Ladies and gentlemen, good evening.\Everything lies in ruin.\What was once believed to be solid ground has opened up and swallowed everything.\The young soul wanders aimlessly, betrayed by everything he had believed in.\But what he clutches at in the end is...\Act 17: The Confession response:	Someone taught me the meaning of the word hope.
context: Ladies and gentlemen, good evening.\Everything lies in ruin.\What was once believed to be solid ground has opened up and swallowed everything.\The young soul wanders aimlessly, betrayed by everything he had believed in.\But what he clutches at in the end is...\Act 17: The Confession\Someone taught me the meaning of the word hope. response:	Count, that someone was you!
context: Ladies and gentlemen, good evening.\Everything lies in ruin.\What was once believed to be solid ground has opened up and swallowed everything.\The young soul wanders aimlessly, betrayed by everything he had believed in.\But what he clutches at in the end is...\Act 17: The Confession\Someone taught me the meaning of the word hope.\Count, that someone was you! response:	Wait for me, Albert!
context: Everything lies in ruin.\What was once believed to be solid ground has opened up and swallowed everything.\The young soul wanders aimlessly, betrayed by everything he had believed in.\But what he clutches at in the end is...\Act 17: The Confession\Someone taught me the meaning of the word hope.\Count, that someone was you!\Wait for me, Albert! response:	Mademoiselle.
context: What was once believed to be solid ground has opened up and swallowed everything.\The young soul wanders aimlessly, betrayed by everything he had believed in.\But what he clutches at in the end is...\Act 17: The Confession\Someone taught me the meaning of the word hope.\Count, that someone was you!\Wait for me, Albert!\Mademoiselle. response:	A letter has arrived for you.
context: The young soul wanders aimlessly, betrayed by everything he had believed in.\But what he clutches at in the end is...\Act 17: The Confession\Someone taught me the meaning of the word hope.\Count, that someone was you!\Wait for me, Albert!\Mademoiselle.\A letter has arrived for you. response:	Thank you.
context: But what he clutches at in the end is...\Act 17: The Confession\Someone taught me the meaning of the word hope.\Count, that someone was you!\Wait for me, Albert!\Mademoiselle.\A letter has arrived for you.\Thank you. response:	Why aren't you saying anything?
context: Act 17: The Confession\Someone taught me the meaning of the word hope.\Count, that someone was you!\Wait for me, Albert!\Mademoiselle.\A letter has arrived for you.\Thank you.\Why aren't you saying anything? response:	Why aren't you answering me?
context: Someone taught me the meaning of the word hope.\Count, that someone was you!\Wait for me, Albert!\Mademoiselle.\A letter has arrived for you.\Thank you.\Why aren't you saying anything?\Why aren't you answering me? response:	My words now fall on deaf ears.
context: Count, that someone was you!\Wait for me, Albert!\Mademoiselle.\A letter has arrived for you.\Thank you.\Why aren't you saying anything?\Why aren't you answering me?\My words now fall on deaf ears. response:	Is... Is that what you're trying to say?!
context: Wait for me, Albert!\Mademoiselle.\A letter has arrived for you.\Thank you.\Why aren't you saying anything?\Why aren't you answering me?\My words now fall on deaf ears.\Is... Is that what you're trying to say?! response:	There is no such thing as coincidence. I believe that is what I told you.
context: Mademoiselle.\A letter has arrived for you.\Thank you.\Why aren't you saying anything?\Why aren't you answering me?\My words now fall on deaf ears.\Is... Is that what you're trying to say?!\There is no such thing as coincidence. I believe that is what I told you. response:	As I recall, it is the very first thing I told you.
context: A letter has arrived for you.\Thank you.\Why aren't you saying anything?\Why aren't you answering me?\My words now fall on deaf ears.\Is... Is that what you're trying to say?!\There is no such thing as coincidence. I believe that is what I told you.\As I recall, it is the very first thing I told you. response:	Everything that happens does so out of necessity.
context: Thank you.\Why aren't you saying anything?\Why aren't you answering me?\My words now fall on deaf ears.\Is... Is that what you're trying to say?!\There is no such thing as coincidence. I believe that is what I told you.\As I recall, it is the very first thing I told you.\Everything that happens does so out of necessity. response:	What are you trying to say?
