context: Episode 8 response:	The Second Plate
context: Episode 8\The Second Plate response:	Soma-kun, are you going somewhere?
context: Episode 8\The Second Plate\Soma-kun, are you going somewhere? response:	Oh, sorry!
context: Episode 8\The Second Plate\Soma-kun, are you going somewhere?\Oh, sorry! response:	Did I wake you?
context: Episode 8\The Second Plate\Soma-kun, are you going somewhere?\Oh, sorry!\Did I wake you? response:	What're you doing so early before dawn?
context: Episode 8\The Second Plate\Soma-kun, are you going somewhere?\Oh, sorry!\Did I wake you?\What're you doing so early before dawn? response:	Quick trip the fish market.
context: Episode 8\The Second Plate\Soma-kun, are you going somewhere?\Oh, sorry!\Did I wake you?\What're you doing so early before dawn?\Quick trip the fish market. response:	The fish market!
context: Episode 8\The Second Plate\Soma-kun, are you going somewhere?\Oh, sorry!\Did I wake you?\What're you doing so early before dawn?\Quick trip the fish market.\The fish market! response:	You're going to check out Pacific saury!
context: The Second Plate\Soma-kun, are you going somewhere?\Oh, sorry!\Did I wake you?\What're you doing so early before dawn?\Quick trip the fish market.\The fish market!\You're going to check out Pacific saury! response:	The fish market!
context: Soma-kun, are you going somewhere?\Oh, sorry!\Did I wake you?\What're you doing so early before dawn?\Quick trip the fish market.\The fish market!\You're going to check out Pacific saury!\The fish market! response:	Hey, can I tag along?
context: Oh, sorry!\Did I wake you?\What're you doing so early before dawn?\Quick trip the fish market.\The fish market!\You're going to check out Pacific saury!\The fish market!\Hey, can I tag along? response:	Sure! Come!
context: Did I wake you?\What're you doing so early before dawn?\Quick trip the fish market.\The fish market!\You're going to check out Pacific saury!\The fish market!\Hey, can I tag along?\Sure! Come! response:	I'll go get ready!
context: What're you doing so early before dawn?\Quick trip the fish market.\The fish market!\You're going to check out Pacific saury!\The fish market!\Hey, can I tag along?\Sure! Come!\I'll go get ready! response:	I'll be waiting outside.
context: Quick trip the fish market.\The fish market!\You're going to check out Pacific saury!\The fish market!\Hey, can I tag along?\Sure! Come!\I'll go get ready!\I'll be waiting outside. response:	First, I have to figure out what to make.
context: The fish market!\You're going to check out Pacific saury!\The fish market!\Hey, can I tag along?\Sure! Come!\I'll go get ready!\I'll be waiting outside.\First, I have to figure out what to make. response:	I'm gonna find the key to defeating Kurokiba and Hayama!
context: You're going to check out Pacific saury!\The fish market!\Hey, can I tag along?\Sure! Come!\I'll go get ready!\I'll be waiting outside.\First, I have to figure out what to make.\I'm gonna find the key to defeating Kurokiba and Hayama! response:	Battle of Seasonality
context: The fish market!\Hey, can I tag along?\Sure! Come!\I'll go get ready!\I'll be waiting outside.\First, I have to figure out what to make.\I'm gonna find the key to defeating Kurokiba and Hayama!\Battle of Seasonality response:	Outta the way!
context: Hey, can I tag along?\Sure! Come!\I'll go get ready!\I'll be waiting outside.\First, I have to figure out what to make.\I'm gonna find the key to defeating Kurokiba and Hayama!\Battle of Seasonality\Outta the way! response:	How much for a kilo?!
context: Sure! Come!\I'll go get ready!\I'll be waiting outside.\First, I have to figure out what to make.\I'm gonna find the key to defeating Kurokiba and Hayama!\Battle of Seasonality\Outta the way!\How much for a kilo?! response:	Gimme the big one in the back!
context: I'll go get ready!\I'll be waiting outside.\First, I have to figure out what to make.\I'm gonna find the key to defeating Kurokiba and Hayama!\Battle of Seasonality\Outta the way!\How much for a kilo?!\Gimme the big one in the back! response:	Wow!
context: I'll be waiting outside.\First, I have to figure out what to make.\I'm gonna find the key to defeating Kurokiba and Hayama!\Battle of Seasonality\Outta the way!\How much for a kilo?!\Gimme the big one in the back!\Wow! response:	It's so lively!
context: First, I have to figure out what to make.\I'm gonna find the key to defeating Kurokiba and Hayama!\Battle of Seasonality\Outta the way!\How much for a kilo?!\Gimme the big one in the back!\Wow!\It's so lively! response:	This is really exciting!
context: I'm gonna find the key to defeating Kurokiba and Hayama!\Battle of Seasonality\Outta the way!\How much for a kilo?!\Gimme the big one in the back!\Wow!\It's so lively!\This is really exciting! response:	Oh, the yellowtail amberjack's cheap.
context: Battle of Seasonality\Outta the way!\How much for a kilo?!\Gimme the big one in the back!\Wow!\It's so lively!\This is really exciting!\Oh, the yellowtail amberjack's cheap. response:	The horse mackerel, too.
context: Outta the way!\How much for a kilo?!\Gimme the big one in the back!\Wow!\It's so lively!\This is really exciting!\Oh, the yellowtail amberjack's cheap.\The horse mackerel, too. response:	Soma-kun!
context: How much for a kilo?!\Gimme the big one in the back!\Wow!\It's so lively!\This is really exciting!\Oh, the yellowtail amberjack's cheap.\The horse mackerel, too.\Soma-kun! response:	Don't you think the other fish can wait until next time?
context: Gimme the big one in the back!\Wow!\It's so lively!\This is really exciting!\Oh, the yellowtail amberjack's cheap.\The horse mackerel, too.\Soma-kun!\Don't you think the other fish can wait until next time? response:	Oh, right.
context: Wow!\It's so lively!\This is really exciting!\Oh, the yellowtail amberjack's cheap.\The horse mackerel, too.\Soma-kun!\Don't you think the other fish can wait until next time?\Oh, right. response:	Soma-kun, have you ever been here before?
context: It's so lively!\This is really exciting!\Oh, the yellowtail amberjack's cheap.\The horse mackerel, too.\Soma-kun!\Don't you think the other fish can wait until next time?\Oh, right.\Soma-kun, have you ever been here before? response:	Yeah, I came with my dad a lot.
context: This is really exciting!\Oh, the yellowtail amberjack's cheap.\The horse mackerel, too.\Soma-kun!\Don't you think the other fish can wait until next time?\Oh, right.\Soma-kun, have you ever been here before?\Yeah, I came with my dad a lot. response:	Oh, there it is! Pacific saury!
context: Oh, the yellowtail amberjack's cheap.\The horse mackerel, too.\Soma-kun!\Don't you think the other fish can wait until next time?\Oh, right.\Soma-kun, have you ever been here before?\Yeah, I came with my dad a lot.\Oh, there it is! Pacific saury! response:	I gotta say, this time I think the recipe testing process will be pretty smooth.
