context: We really did it right this time. response:	Akechi's character turned out really good.
context: We really did it right this time.\Akechi's character turned out really good. response:	He makes a good rival. That improves the story.
context: We really did it right this time.\Akechi's character turned out really good.\He makes a good rival. That improves the story. response:	It would be boring without Eiji and Iwase.
context: We really did it right this time.\Akechi's character turned out really good.\He makes a good rival. That improves the story.\It would be boring without Eiji and Iwase. response:	That's what helped us along.
context: We really did it right this time.\Akechi's character turned out really good.\He makes a good rival. That improves the story.\It would be boring without Eiji and Iwase.\That's what helped us along. response:	Shujin.
context: We really did it right this time.\Akechi's character turned out really good.\He makes a good rival. That improves the story.\It would be boring without Eiji and Iwase.\That's what helped us along.\Shujin. response:	This time we'll definitely do it.
context: We really did it right this time.\Akechi's character turned out really good.\He makes a good rival. That improves the story.\It would be boring without Eiji and Iwase.\That's what helped us along.\Shujin.\This time we'll definitely do it. response:	Even if we don't win, it's fine.
context: We really did it right this time.\Akechi's character turned out really good.\He makes a good rival. That improves the story.\It would be boring without Eiji and Iwase.\That's what helped us along.\Shujin.\This time we'll definitely do it.\Even if we don't win, it's fine. response:	We'll just start something new.
context: Akechi's character turned out really good.\He makes a good rival. That improves the story.\It would be boring without Eiji and Iwase.\That's what helped us along.\Shujin.\This time we'll definitely do it.\Even if we don't win, it's fine.\We'll just start something new. response:	It's here!
context: He makes a good rival. That improves the story.\It would be boring without Eiji and Iwase.\That's what helped us along.\Shujin.\This time we'll definitely do it.\Even if we don't win, it's fine.\We'll just start something new.\It's here! response:	Did we manage to beat +Natural?
context: It would be boring without Eiji and Iwase.\That's what helped us along.\Shujin.\This time we'll definitely do it.\Even if we don't win, it's fine.\We'll just start something new.\It's here!\Did we manage to beat +Natural? response:	T-this is Takagi.
context: That's what helped us along.\Shujin.\This time we'll definitely do it.\Even if we don't win, it's fine.\We'll just start something new.\It's here!\Did we manage to beat +Natural?\T-this is Takagi. response:	You're in 4th. You passed +Natural!
context: Shujin.\This time we'll definitely do it.\Even if we don't win, it's fine.\We'll just start something new.\It's here!\Did we manage to beat +Natural?\T-this is Takagi.\You're in 4th. You passed +Natural! response:	We did it!
context: This time we'll definitely do it.\Even if we don't win, it's fine.\We'll just start something new.\It's here!\Did we manage to beat +Natural?\T-this is Takagi.\You're in 4th. You passed +Natural!\We did it! response:	It's too bad.
context: Even if we don't win, it's fine.\We'll just start something new.\It's here!\Did we manage to beat +Natural?\T-this is Takagi.\You're in 4th. You passed +Natural!\We did it!\It's too bad. response:	Eh?!
context: We'll just start something new.\It's here!\Did we manage to beat +Natural?\T-this is Takagi.\You're in 4th. You passed +Natural!\We did it!\It's too bad.\Eh?! response:	We passed them right?
context: It's here!\Did we manage to beat +Natural?\T-this is Takagi.\You're in 4th. You passed +Natural!\We did it!\It's too bad.\Eh?!\We passed them right? response:	Crow in 3rd place was only 2 votes ahead of you.
context: Did we manage to beat +Natural?\T-this is Takagi.\You're in 4th. You passed +Natural!\We did it!\It's too bad.\Eh?!\We passed them right?\Crow in 3rd place was only 2 votes ahead of you. response:	That's what I meant by too bad.
context: T-this is Takagi.\You're in 4th. You passed +Natural!\We did it!\It's too bad.\Eh?!\We passed them right?\Crow in 3rd place was only 2 votes ahead of you.\That's what I meant by too bad. response:	Two votes?
context: You're in 4th. You passed +Natural!\We did it!\It's too bad.\Eh?!\We passed them right?\Crow in 3rd place was only 2 votes ahead of you.\That's what I meant by too bad.\Two votes? response:	That's really close!
context: We did it!\It's too bad.\Eh?!\We passed them right?\Crow in 3rd place was only 2 votes ahead of you.\That's what I meant by too bad.\Two votes?\That's really close! response:	Can I talk to him?
context: It's too bad.\Eh?!\We passed them right?\Crow in 3rd place was only 2 votes ahead of you.\That's what I meant by too bad.\Two votes?\That's really close!\Can I talk to him? response:	This is Mashiro.
context: Eh?!\We passed them right?\Crow in 3rd place was only 2 votes ahead of you.\That's what I meant by too bad.\Two votes?\That's really close!\Can I talk to him?\This is Mashiro. response:	We didn't beat Crow, but we still passed +Natural. We won't be canceled, right?
context: We passed them right?\Crow in 3rd place was only 2 votes ahead of you.\That's what I meant by too bad.\Two votes?\That's really close!\Can I talk to him?\This is Mashiro.\We didn't beat Crow, but we still passed +Natural. We won't be canceled, right? response:	Here's the chief editor.
context: Crow in 3rd place was only 2 votes ahead of you.\That's what I meant by too bad.\Two votes?\That's really close!\Can I talk to him?\This is Mashiro.\We didn't beat Crow, but we still passed +Natural. We won't be canceled, right?\Here's the chief editor. response:	Eh?!
context: That's what I meant by too bad.\Two votes?\That's really close!\Can I talk to him?\This is Mashiro.\We didn't beat Crow, but we still passed +Natural. We won't be canceled, right?\Here's the chief editor.\Eh?! response:	This is Sasaki.
context: Two votes?\That's really close!\Can I talk to him?\This is Mashiro.\We didn't beat Crow, but we still passed +Natural. We won't be canceled, right?\Here's the chief editor.\Eh?!\This is Sasaki. response:	Thanks for always helping us!
context: That's really close!\Can I talk to him?\This is Mashiro.\We didn't beat Crow, but we still passed +Natural. We won't be canceled, right?\Here's the chief editor.\Eh?!\This is Sasaki.\Thanks for always helping us! response:	I said that I didn't think you could beat Niizuma-kun.
context: Can I talk to him?\This is Mashiro.\We didn't beat Crow, but we still passed +Natural. We won't be canceled, right?\Here's the chief editor.\Eh?!\This is Sasaki.\Thanks for always helping us!\I said that I didn't think you could beat Niizuma-kun. response:	That was a bit rude.
context: This is Mashiro.\We didn't beat Crow, but we still passed +Natural. We won't be canceled, right?\Here's the chief editor.\Eh?!\This is Sasaki.\Thanks for always helping us!\I said that I didn't think you could beat Niizuma-kun.\That was a bit rude. response:	N-no. You only said it to motivate us to do better.
context: We didn't beat Crow, but we still passed +Natural. We won't be canceled, right?\Here's the chief editor.\Eh?!\This is Sasaki.\Thanks for always helping us!\I said that I didn't think you could beat Niizuma-kun.\That was a bit rude.\N-no. You only said it to motivate us to do better. response:	PCP is a popular manga.
context: Here's the chief editor.\Eh?!\This is Sasaki.\Thanks for always helping us!\I said that I didn't think you could beat Niizuma-kun.\That was a bit rude.\N-no. You only said it to motivate us to do better.\PCP is a popular manga. response:	I can't cancel something like that.
context: Eh?!\This is Sasaki.\Thanks for always helping us!\I said that I didn't think you could beat Niizuma-kun.\That was a bit rude.\N-no. You only said it to motivate us to do better.\PCP is a popular manga.\I can't cancel something like that. response:	Ashirogi-kun. You've done well.
context: This is Sasaki.\Thanks for always helping us!\I said that I didn't think you could beat Niizuma-kun.\That was a bit rude.\N-no. You only said it to motivate us to do better.\PCP is a popular manga.\I can't cancel something like that.\Ashirogi-kun. You've done well. response:	Please continue improving Jack with PCP.
context: Thanks for always helping us!\I said that I didn't think you could beat Niizuma-kun.\That was a bit rude.\N-no. You only said it to motivate us to do better.\PCP is a popular manga.\I can't cancel something like that.\Ashirogi-kun. You've done well.\Please continue improving Jack with PCP. response:	Okay!
context: I said that I didn't think you could beat Niizuma-kun.\That was a bit rude.\N-no. You only said it to motivate us to do better.\PCP is a popular manga.\I can't cancel something like that.\Ashirogi-kun. You've done well.\Please continue improving Jack with PCP.\Okay! response:	Hey, if I could be with you right now
context: That was a bit rude.\N-no. You only said it to motivate us to do better.\PCP is a popular manga.\I can't cancel something like that.\Ashirogi-kun. You've done well.\Please continue improving Jack with PCP.\Okay!\Hey, if I could be with you right now response:	Then I could keep my voice from fading
context: N-no. You only said it to motivate us to do better.\PCP is a popular manga.\I can't cancel something like that.\Ashirogi-kun. You've done well.\Please continue improving Jack with PCP.\Okay!\Hey, if I could be with you right now\Then I could keep my voice from fading response:	The goals I've set for myself seem too high to reach,
context: PCP is a popular manga.\I can't cancel something like that.\Ashirogi-kun. You've done well.\Please continue improving Jack with PCP.\Okay!\Hey, if I could be with you right now\Then I could keep my voice from fading\The goals I've set for myself seem too high to reach, response:	and I feel like I've lost my way
context: I can't cancel something like that.\Ashirogi-kun. You've done well.\Please continue improving Jack with PCP.\Okay!\Hey, if I could be with you right now\Then I could keep my voice from fading\The goals I've set for myself seem too high to reach,\and I feel like I've lost my way response:	I'm relying on a broken compass and hiding in someone's shadow
context: Ashirogi-kun. You've done well.\Please continue improving Jack with PCP.\Okay!\Hey, if I could be with you right now\Then I could keep my voice from fading\The goals I've set for myself seem too high to reach,\and I feel like I've lost my way\I'm relying on a broken compass and hiding in someone's shadow response:	If we keep letting go of what we have to find something else,
context: Please continue improving Jack with PCP.\Okay!\Hey, if I could be with you right now\Then I could keep my voice from fading\The goals I've set for myself seem too high to reach,\and I feel like I've lost my way\I'm relying on a broken compass and hiding in someone's shadow\If we keep letting go of what we have to find something else, response:	then I'm convinced we can never grow up
context: Okay!\Hey, if I could be with you right now\Then I could keep my voice from fading\The goals I've set for myself seem too high to reach,\and I feel like I've lost my way\I'm relying on a broken compass and hiding in someone's shadow\If we keep letting go of what we have to find something else,\then I'm convinced we can never grow up response:	Never
context: Hey, if I could be with you right now\Then I could keep my voice from fading\The goals I've set for myself seem too high to reach,\and I feel like I've lost my way\I'm relying on a broken compass and hiding in someone's shadow\If we keep letting go of what we have to find something else,\then I'm convinced we can never grow up\Never response:	Margin and Pitfall
context: Then I could keep my voice from fading\The goals I've set for myself seem too high to reach,\and I feel like I've lost my way\I'm relying on a broken compass and hiding in someone's shadow\If we keep letting go of what we have to find something else,\then I'm convinced we can never grow up\Never\Margin and Pitfall response:	So, next subject.
context: The goals I've set for myself seem too high to reach,\and I feel like I've lost my way\I'm relying on a broken compass and hiding in someone's shadow\If we keep letting go of what we have to find something else,\then I'm convinced we can never grow up\Never\Margin and Pitfall\So, next subject. response:	My superiors told me this.
context: and I feel like I've lost my way\I'm relying on a broken compass and hiding in someone's shadow\If we keep letting go of what we have to find something else,\then I'm convinced we can never grow up\Never\Margin and Pitfall\So, next subject.\My superiors told me this. response:	People can get tired of a collaboration pretty quickly.
context: I'm relying on a broken compass and hiding in someone's shadow\If we keep letting go of what we have to find something else,\then I'm convinced we can never grow up\Never\Margin and Pitfall\So, next subject.\My superiors told me this.\People can get tired of a collaboration pretty quickly. response:	So Crow...
context: If we keep letting go of what we have to find something else,\then I'm convinced we can never grow up\Never\Margin and Pitfall\So, next subject.\My superiors told me this.\People can get tired of a collaboration pretty quickly.\So Crow... response:	I understand that.
context: then I'm convinced we can never grow up\Never\Margin and Pitfall\So, next subject.\My superiors told me this.\People can get tired of a collaboration pretty quickly.\So Crow...\I understand that. response:	PCP could only do well at the end of the series.
context: Never\Margin and Pitfall\So, next subject.\My superiors told me this.\People can get tired of a collaboration pretty quickly.\So Crow...\I understand that.\PCP could only do well at the end of the series. response:	I'll overtake them again.
context: Margin and Pitfall\So, next subject.\My superiors told me this.\People can get tired of a collaboration pretty quickly.\So Crow...\I understand that.\PCP could only do well at the end of the series.\I'll overtake them again. response:	That's right!
context: So, next subject.\My superiors told me this.\People can get tired of a collaboration pretty quickly.\So Crow...\I understand that.\PCP could only do well at the end of the series.\I'll overtake them again.\That's right! response:	What a relief.
context: My superiors told me this.\People can get tired of a collaboration pretty quickly.\So Crow...\I understand that.\PCP could only do well at the end of the series.\I'll overtake them again.\That's right!\What a relief. response:	I was worried you might be upset by losing to them.
context: People can get tired of a collaboration pretty quickly.\So Crow...\I understand that.\PCP could only do well at the end of the series.\I'll overtake them again.\That's right!\What a relief.\I was worried you might be upset by losing to them. response:	Upset? Actually, I'm even more motivated.
context: So Crow...\I understand that.\PCP could only do well at the end of the series.\I'll overtake them again.\That's right!\What a relief.\I was worried you might be upset by losing to them.\Upset? Actually, I'm even more motivated. response:	I see! That's good!
context: I understand that.\PCP could only do well at the end of the series.\I'll overtake them again.\That's right!\What a relief.\I was worried you might be upset by losing to them.\Upset? Actually, I'm even more motivated.\I see! That's good! response:	Well, that's all for today.
context: PCP could only do well at the end of the series.\I'll overtake them again.\That's right!\What a relief.\I was worried you might be upset by losing to them.\Upset? Actually, I'm even more motivated.\I see! That's good!\Well, that's all for today. response:	Huh?
context: I'll overtake them again.\That's right!\What a relief.\I was worried you might be upset by losing to them.\Upset? Actually, I'm even more motivated.\I see! That's good!\Well, that's all for today.\Huh? response:	I'm going to stay here and think for a while.
context: That's right!\What a relief.\I was worried you might be upset by losing to them.\Upset? Actually, I'm even more motivated.\I see! That's good!\Well, that's all for today.\Huh?\I'm going to stay here and think for a while. response:	Oh, I see.
context: What a relief.\I was worried you might be upset by losing to them.\Upset? Actually, I'm even more motivated.\I see! That's good!\Well, that's all for today.\Huh?\I'm going to stay here and think for a while.\Oh, I see. response:	Well, thanks for your hard work.
context: I was worried you might be upset by losing to them.\Upset? Actually, I'm even more motivated.\I see! That's good!\Well, that's all for today.\Huh?\I'm going to stay here and think for a while.\Oh, I see.\Well, thanks for your hard work. response:	Would you like more coffee?
context: Upset? Actually, I'm even more motivated.\I see! That's good!\Well, that's all for today.\Huh?\I'm going to stay here and think for a while.\Oh, I see.\Well, thanks for your hard work.\Would you like more coffee? response:	5th place was Ally of Justice. 7th place was Road Racer Giri.
context: I see! That's good!\Well, that's all for today.\Huh?\I'm going to stay here and think for a while.\Oh, I see.\Well, thanks for your hard work.\Would you like more coffee?\5th place was Ally of Justice. 7th place was Road Racer Giri. response:	Below that it's a close battle.
context: Well, that's all for today.\Huh?\I'm going to stay here and think for a while.\Oh, I see.\Well, thanks for your hard work.\Would you like more coffee?\5th place was Ally of Justice. 7th place was Road Racer Giri.\Below that it's a close battle. response:	But PCP got 4th place.
context: Huh?\I'm going to stay here and think for a while.\Oh, I see.\Well, thanks for your hard work.\Would you like more coffee?\5th place was Ally of Justice. 7th place was Road Racer Giri.\Below that it's a close battle.\But PCP got 4th place. response:	That's true.
