context: Inside the human body, response:	roughly 37.2 trillion cells work energetically,
context: Inside the human body,\roughly 37.2 trillion cells work energetically, response:	DENDRITE
context: Inside the human body,\roughly 37.2 trillion cells work energetically,\DENDRITE response:	all day every day.
context: Inside the human body,\roughly 37.2 trillion cells work energetically,\DENDRITE\all day every day. response:	ANTIBODY ENCYCLOPEDIA
context: Inside the human body,\roughly 37.2 trillion cells work energetically,\DENDRITE\all day every day.\ANTIBODY ENCYCLOPEDIA response:	24 hours and 365 days.
context: Inside the human body,\roughly 37.2 trillion cells work energetically,\DENDRITE\all day every day.\ANTIBODY ENCYCLOPEDIA\24 hours and 365 days. response:	WHITE BLOOD CELL
context: Inside the human body,\roughly 37.2 trillion cells work energetically,\DENDRITE\all day every day.\ANTIBODY ENCYCLOPEDIA\24 hours and 365 days.\WHITE BLOOD CELL response:	They are all working very hard.
context: Inside the human body,\roughly 37.2 trillion cells work energetically,\DENDRITE\all day every day.\ANTIBODY ENCYCLOPEDIA\24 hours and 365 days.\WHITE BLOOD CELL\They are all working very hard. response:	UNDER CONSTRUCTION
context: roughly 37.2 trillion cells work energetically,\DENDRITE\all day every day.\ANTIBODY ENCYCLOPEDIA\24 hours and 365 days.\WHITE BLOOD CELL\They are all working very hard.\UNDER CONSTRUCTION response:	PLATELETS
context: DENDRITE\all day every day.\ANTIBODY ENCYCLOPEDIA\24 hours and 365 days.\WHITE BLOOD CELL\They are all working very hard.\UNDER CONSTRUCTION\PLATELETS response:	UP AHEAD INFERIOR VENA CAVA
context: all day every day.\ANTIBODY ENCYCLOPEDIA\24 hours and 365 days.\WHITE BLOOD CELL\They are all working very hard.\UNDER CONSTRUCTION\PLATELETS\UP AHEAD INFERIOR VENA CAVA response:	VEIN
context: ANTIBODY ENCYCLOPEDIA\24 hours and 365 days.\WHITE BLOOD CELL\They are all working very hard.\UNDER CONSTRUCTION\PLATELETS\UP AHEAD INFERIOR VENA CAVA\VEIN response:	This is the inside of a human body.
context: 24 hours and 365 days.\WHITE BLOOD CELL\They are all working very hard.\UNDER CONSTRUCTION\PLATELETS\UP AHEAD INFERIOR VENA CAVA\VEIN\This is the inside of a human body. response:	RED BLOOD CELLS: They carry oxygen and carbon dioxide using blood circulation.
context: WHITE BLOOD CELL\They are all working very hard.\UNDER CONSTRUCTION\PLATELETS\UP AHEAD INFERIOR VENA CAVA\VEIN\This is the inside of a human body.\RED BLOOD CELLS: They carry oxygen and carbon dioxide using blood circulation. response:	Let's see...
context: They are all working very hard.\UNDER CONSTRUCTION\PLATELETS\UP AHEAD INFERIOR VENA CAVA\VEIN\This is the inside of a human body.\RED BLOOD CELLS: They carry oxygen and carbon dioxide using blood circulation.\Let's see... response:	Which way was it again?
context: UNDER CONSTRUCTION\PLATELETS\UP AHEAD INFERIOR VENA CAVA\VEIN\This is the inside of a human body.\RED BLOOD CELLS: They carry oxygen and carbon dioxide using blood circulation.\Let's see...\Which way was it again? response:	All right, attention, rookie Red Blood Cells!
context: PLATELETS\UP AHEAD INFERIOR VENA CAVA\VEIN\This is the inside of a human body.\RED BLOOD CELLS: They carry oxygen and carbon dioxide using blood circulation.\Let's see...\Which way was it again?\All right, attention, rookie Red Blood Cells! response:	IN TRAINING
context: UP AHEAD INFERIOR VENA CAVA\VEIN\This is the inside of a human body.\RED BLOOD CELLS: They carry oxygen and carbon dioxide using blood circulation.\Let's see...\Which way was it again?\All right, attention, rookie Red Blood Cells!\IN TRAINING response:	CLEARANCE
context: VEIN\This is the inside of a human body.\RED BLOOD CELLS: They carry oxygen and carbon dioxide using blood circulation.\Let's see...\Which way was it again?\All right, attention, rookie Red Blood Cells!\IN TRAINING\CLEARANCE response:	Up ahead is the inferior vena cava.
context: This is the inside of a human body.\RED BLOOD CELLS: They carry oxygen and carbon dioxide using blood circulation.\Let's see...\Which way was it again?\All right, attention, rookie Red Blood Cells!\IN TRAINING\CLEARANCE\Up ahead is the inferior vena cava. response:	When this workplace tour is done,
