context: I got called over by my crush. response:	Confession
context: I got called over by my crush.\Confession response:	It must be a confession.
context: I got called over by my crush.\Confession\It must be a confession. response:	I'm ecstatic.
context: I got called over by my crush.\Confession\It must be a confession.\I'm ecstatic. response:	It's been ten minutes.
context: I got called over by my crush.\Confession\It must be a confession.\I'm ecstatic.\It's been ten minutes. response:	Have you still not worked up the courage?
context: I got called over by my crush.\Confession\It must be a confession.\I'm ecstatic.\It's been ten minutes.\Have you still not worked up the courage? response:	H-Hey...
context: I got called over by my crush.\Confession\It must be a confession.\I'm ecstatic.\It's been ten minutes.\Have you still not worked up the courage?\H-Hey... response:	Wait!
context: I got called over by my crush.\Confession\It must be a confession.\I'm ecstatic.\It's been ten minutes.\Have you still not worked up the courage?\H-Hey...\Wait! response:	D-Do you have a crush on anyone or anything, Takase?
context: Confession\It must be a confession.\I'm ecstatic.\It's been ten minutes.\Have you still not worked up the courage?\H-Hey...\Wait!\D-Do you have a crush on anyone or anything, Takase? response:	What's the correct answer in this situation?
context: It must be a confession.\I'm ecstatic.\It's been ten minutes.\Have you still not worked up the courage?\H-Hey...\Wait!\D-Do you have a crush on anyone or anything, Takase?\What's the correct answer in this situation? response:	Should I just say, you?
context: I'm ecstatic.\It's been ten minutes.\Have you still not worked up the courage?\H-Hey...\Wait!\D-Do you have a crush on anyone or anything, Takase?\What's the correct answer in this situation?\Should I just say, you? response:	But then I'd be stealing her confession.
context: It's been ten minutes.\Have you still not worked up the courage?\H-Hey...\Wait!\D-Do you have a crush on anyone or anything, Takase?\What's the correct answer in this situation?\Should I just say, you?\But then I'd be stealing her confession. response:	But it's not like I don't have a crush...
context: Have you still not worked up the courage?\H-Hey...\Wait!\D-Do you have a crush on anyone or anything, Takase?\What's the correct answer in this situation?\Should I just say, you?\But then I'd be stealing her confession.\But it's not like I don't have a crush... response:	Oh, you do?
context: H-Hey...\Wait!\D-Do you have a crush on anyone or anything, Takase?\What's the correct answer in this situation?\Should I just say, you?\But then I'd be stealing her confession.\But it's not like I don't have a crush...\Oh, you do? response:	No, I didn't mean that.
context: Wait!\D-Do you have a crush on anyone or anything, Takase?\What's the correct answer in this situation?\Should I just say, you?\But then I'd be stealing her confession.\But it's not like I don't have a crush...\Oh, you do?\No, I didn't mean that. response:	What? You aren't making sense.
context: D-Do you have a crush on anyone or anything, Takase?\What's the correct answer in this situation?\Should I just say, you?\But then I'd be stealing her confession.\But it's not like I don't have a crush...\Oh, you do?\No, I didn't mean that.\What? You aren't making sense. response:	Just say so if you do.
context: What's the correct answer in this situation?\Should I just say, you?\But then I'd be stealing her confession.\But it's not like I don't have a crush...\Oh, you do?\No, I didn't mean that.\What? You aren't making sense.\Just say so if you do. response:	F-Fine, then, I don't.
