context: Translation: MisaEditing: KlownzieTypsetting: LaytonEncoding: denpa response:	Mikage Shrine
context: Translation: MisaEditing: KlownzieTypsetting: LaytonEncoding: denpa\Mikage Shrine response:	Ko na ka tta
context: Translation: MisaEditing: KlownzieTypsetting: LaytonEncoding: denpa\Mikage Shrine\Ko na ka tta response:	Good bye
context: Translation: MisaEditing: KlownzieTypsetting: LaytonEncoding: denpa\Mikage Shrine\Ko na ka tta\Good bye response:	Good bye
context: Translation: MisaEditing: KlownzieTypsetting: LaytonEncoding: denpa\Mikage Shrine\Ko na ka tta\Good bye\Good bye response:	ah ah ah
context: Translation: MisaEditing: KlownzieTypsetting: LaytonEncoding: denpa\Mikage Shrine\Ko na ka tta\Good bye\Good bye\ah ah ah response:	farewell, Baby
context: Translation: MisaEditing: KlownzieTypsetting: LaytonEncoding: denpa\Mikage Shrine\Ko na ka tta\Good bye\Good bye\ah ah ah\farewell, Baby response:	Mikage Shrine We're doing a fall festival!
context: Translation: MisaEditing: KlownzieTypsetting: LaytonEncoding: denpa\Mikage Shrine\Ko na ka tta\Good bye\Good bye\ah ah ah\farewell, Baby\Mikage Shrine We're doing a fall festival! response:	Make sure you come!
context: Mikage Shrine\Ko na ka tta\Good bye\Good bye\ah ah ah\farewell, Baby\Mikage Shrine We're doing a fall festival!\Make sure you come! response:	Anime-Koi Fansubs
context: Ko na ka tta\Good bye\Good bye\ah ah ah\farewell, Baby\Mikage Shrine We're doing a fall festival!\Make sure you come!\Anime-Koi Fansubs response:	sign:The Familiar Goes To Town
context: Good bye\Good bye\ah ah ah\farewell, Baby\Mikage Shrine We're doing a fall festival!\Make sure you come!\Anime-Koi Fansubs\sign:The Familiar Goes To Town response:	sign:We'll be right back!
context: Good bye\ah ah ah\farewell, Baby\Mikage Shrine We're doing a fall festival!\Make sure you come!\Anime-Koi Fansubs\sign:The Familiar Goes To Town\sign:We'll be right back! response:	Title The God, getting dumped”
context: ah ah ah\farewell, Baby\Mikage Shrine We're doing a fall festival!\Make sure you come!\Anime-Koi Fansubs\sign:The Familiar Goes To Town\sign:We'll be right back!\Title The God, getting dumped” response:	Title The God, going to hot spring”
context: farewell, Baby\Mikage Shrine We're doing a fall festival!\Make sure you come!\Anime-Koi Fansubs\sign:The Familiar Goes To Town\sign:We'll be right back!\Title The God, getting dumped”\Title The God, going to hot spring” response:	We're back!
context: Mikage Shrine We're doing a fall festival!\Make sure you come!\Anime-Koi Fansubs\sign:The Familiar Goes To Town\sign:We'll be right back!\Title The God, getting dumped”\Title The God, going to hot spring”\We're back! response:	Next Episode Preview
context: Make sure you come!\Anime-Koi Fansubs\sign:The Familiar Goes To Town\sign:We'll be right back!\Title The God, getting dumped”\Title The God, going to hot spring”\We're back!\Next Episode Preview response:	The Deity Goes to the Beach
context: Anime-Koi Fansubs\sign:The Familiar Goes To Town\sign:We'll be right back!\Title The God, getting dumped”\Title The God, going to hot spring”\We're back!\Next Episode Preview\The Deity Goes to the Beach response:	sign:The Deity Loses her Home
context: sign:The Familiar Goes To Town\sign:We'll be right back!\Title The God, getting dumped”\Title The God, going to hot spring”\We're back!\Next Episode Preview\The Deity Goes to the Beach\sign:The Deity Loses her Home response:	Next Episode Preview
context: sign:We'll be right back!\Title The God, getting dumped”\Title The God, going to hot spring”\We're back!\Next Episode Preview\The Deity Goes to the Beach\sign:The Deity Loses her Home\Next Episode Preview response:	I Became a Deity
context: Title The God, getting dumped”\Title The God, going to hot spring”\We're back!\Next Episode Preview\The Deity Goes to the Beach\sign:The Deity Loses her Home\Next Episode Preview\I Became a Deity response:	The Deity, getting dumped
context: Title The God, going to hot spring”\We're back!\Next Episode Preview\The Deity Goes to the Beach\sign:The Deity Loses her Home\Next Episode Preview\I Became a Deity\The Deity, getting dumped response:	The Deity, going to hot spring
context: We're back!\Next Episode Preview\The Deity Goes to the Beach\sign:The Deity Loses her Home\Next Episode Preview\I Became a Deity\The Deity, getting dumped\The Deity, going to hot spring response:	Nanami
context: Next Episode Preview\The Deity Goes to the Beach\sign:The Deity Loses her Home\Next Episode Preview\I Became a Deity\The Deity, getting dumped\The Deity, going to hot spring\Nanami response:	Gasp
context: The Deity Goes to the Beach\sign:The Deity Loses her Home\Next Episode Preview\I Became a Deity\The Deity, getting dumped\The Deity, going to hot spring\Nanami\Gasp response:	She's nothing like that!
context: sign:The Deity Loses her Home\Next Episode Preview\I Became a Deity\The Deity, getting dumped\The Deity, going to hot spring\Nanami\Gasp\She's nothing like that! response:	She's nothing like that!
context: Next Episode Preview\I Became a Deity\The Deity, getting dumped\The Deity, going to hot spring\Nanami\Gasp\She's nothing like that!\She's nothing like that! response:	EEEk!
context: I Became a Deity\The Deity, getting dumped\The Deity, going to hot spring\Nanami\Gasp\She's nothing like that!\She's nothing like that!\EEEk! response:	Hot spring hotel Wado.
context: The Deity, getting dumped\The Deity, going to hot spring\Nanami\Gasp\She's nothing like that!\She's nothing like that!\EEEk!\Hot spring hotel Wado. response:	Humph
context: The Deity, going to hot spring\Nanami\Gasp\She's nothing like that!\She's nothing like that!\EEEk!\Hot spring hotel Wado.\Humph response:	Koiiwa
context: Nanami\Gasp\She's nothing like that!\She's nothing like that!\EEEk!\Hot spring hotel Wado.\Humph\Koiiwa response:	Koiiwa
context: Gasp\She's nothing like that!\She's nothing like that!\EEEk!\Hot spring hotel Wado.\Humph\Koiiwa\Koiiwa response:	Koiiwa If you touch it, you will be blessed.
context: She's nothing like that!\She's nothing like that!\EEEk!\Hot spring hotel Wado.\Humph\Koiiwa\Koiiwa\Koiiwa If you touch it, you will be blessed. response:	Ko na ka tta
context: She's nothing like that!\EEEk!\Hot spring hotel Wado.\Humph\Koiiwa\Koiiwa\Koiiwa If you touch it, you will be blessed.\Ko na ka tta response:	God...
context: EEEk!\Hot spring hotel Wado.\Humph\Koiiwa\Koiiwa\Koiiwa If you touch it, you will be blessed.\Ko na ka tta\God... response:	She's late.
context: Hot spring hotel Wado.\Humph\Koiiwa\Koiiwa\Koiiwa If you touch it, you will be blessed.\Ko na ka tta\God...\She's late. response:	Please, God
context: Humph\Koiiwa\Koiiwa\Koiiwa If you touch it, you will be blessed.\Ko na ka tta\God...\She's late.\Please, God response:	I...
context: Koiiwa\Koiiwa\Koiiwa If you touch it, you will be blessed.\Ko na ka tta\God...\She's late.\Please, God\I... response:	I want to meet her
context: Koiiwa\Koiiwa If you touch it, you will be blessed.\Ko na ka tta\God...\She's late.\Please, God\I...\I want to meet her response:	God, I'm in pain
context: Koiiwa If you touch it, you will be blessed.\Ko na ka tta\God...\She's late.\Please, God\I...\I want to meet her\God, I'm in pain response:	Because, she...
context: Ko na ka tta\God...\She's late.\Please, God\I...\I want to meet her\God, I'm in pain\Because, she... response:	didn't come today either.
context: God...\She's late.\Please, God\I...\I want to meet her\God, I'm in pain\Because, she...\didn't come today either. response:	I have a request, God
context: She's late.\Please, God\I...\I want to meet her\God, I'm in pain\Because, she...\didn't come today either.\I have a request, God response:	Please, save me
context: Please, God\I...\I want to meet her\God, I'm in pain\Because, she...\didn't come today either.\I have a request, God\Please, save me response:	A tired girl starts her day
context: I...\I want to meet her\God, I'm in pain\Because, she...\didn't come today either.\I have a request, God\Please, save me\A tired girl starts her day response:	With a sigh like the moan of a violin
context: I want to meet her\God, I'm in pain\Because, she...\didn't come today either.\I have a request, God\Please, save me\A tired girl starts her day\With a sigh like the moan of a violin response:	A cherry bursts in her mouth
context: God, I'm in pain\Because, she...\didn't come today either.\I have a request, God\Please, save me\A tired girl starts her day\With a sigh like the moan of a violin\A cherry bursts in her mouth response:	This was before we had met
context: Because, she...\didn't come today either.\I have a request, God\Please, save me\A tired girl starts her day\With a sigh like the moan of a violin\A cherry bursts in her mouth\This was before we had met response:	This is the first time I've ever felt like this
context: didn't come today either.\I have a request, God\Please, save me\A tired girl starts her day\With a sigh like the moan of a violin\A cherry bursts in her mouth\This was before we had met\This is the first time I've ever felt like this response:	I could see that your pretty eyes were filled with contempt
context: I have a request, God\Please, save me\A tired girl starts her day\With a sigh like the moan of a violin\A cherry bursts in her mouth\This was before we had met\This is the first time I've ever felt like this\I could see that your pretty eyes were filled with contempt response:	But I had to go home
context: Please, save me\A tired girl starts her day\With a sigh like the moan of a violin\A cherry bursts in her mouth\This was before we had met\This is the first time I've ever felt like this\I could see that your pretty eyes were filled with contempt\But I had to go home response:	Even at the bus stop, you gave me the cold shoulder
context: A tired girl starts her day\With a sigh like the moan of a violin\A cherry bursts in her mouth\This was before we had met\This is the first time I've ever felt like this\I could see that your pretty eyes were filled with contempt\But I had to go home\Even at the bus stop, you gave me the cold shoulder response:	The fireworks in the sky pulse
context: With a sigh like the moan of a violin\A cherry bursts in her mouth\This was before we had met\This is the first time I've ever felt like this\I could see that your pretty eyes were filled with contempt\But I had to go home\Even at the bus stop, you gave me the cold shoulder\The fireworks in the sky pulse response:	In a silhouette of love
context: A cherry bursts in her mouth\This was before we had met\This is the first time I've ever felt like this\I could see that your pretty eyes were filled with contempt\But I had to go home\Even at the bus stop, you gave me the cold shoulder\The fireworks in the sky pulse\In a silhouette of love response:	With a little magic,
context: This was before we had met\This is the first time I've ever felt like this\I could see that your pretty eyes were filled with contempt\But I had to go home\Even at the bus stop, you gave me the cold shoulder\The fireworks in the sky pulse\In a silhouette of love\With a little magic, response:	Two sets of lying lips
context: This is the first time I've ever felt like this\I could see that your pretty eyes were filled with contempt\But I had to go home\Even at the bus stop, you gave me the cold shoulder\The fireworks in the sky pulse\In a silhouette of love\With a little magic,\Two sets of lying lips response:	Lock together
