context: So that's what it was. I've solved it! I've solved it! response:	I must be really tired.
context: So that's what it was. I've solved it! I've solved it!\I must be really tired. response:	I need to take a break after I finish this.
context: So that's what it was. I've solved it! I've solved it!\I must be really tired.\I need to take a break after I finish this. response:	What is it? Is the analysis finished?
context: So that's what it was. I've solved it! I've solved it!\I must be really tired.\I need to take a break after I finish this.\What is it? Is the analysis finished? response:	No, sir. Dr. Schroeder's been...
context: So that's what it was. I've solved it! I've solved it!\I must be really tired.\I need to take a break after I finish this.\What is it? Is the analysis finished?\No, sir. Dr. Schroeder's been... response:	Hold it right there!
context: So that's what it was. I've solved it! I've solved it!\I must be really tired.\I need to take a break after I finish this.\What is it? Is the analysis finished?\No, sir. Dr. Schroeder's been...\Hold it right there! response:	Stop!
context: So that's what it was. I've solved it! I've solved it!\I must be really tired.\I need to take a break after I finish this.\What is it? Is the analysis finished?\No, sir. Dr. Schroeder's been...\Hold it right there!\Stop! response:	Shit! The suspect's heading toward Meiji-dori Avenue.
context: So that's what it was. I've solved it! I've solved it!\I must be really tired.\I need to take a break after I finish this.\What is it? Is the analysis finished?\No, sir. Dr. Schroeder's been...\Hold it right there!\Stop!\Shit! The suspect's heading toward Meiji-dori Avenue. response:	They sure are making us work hard from the start of the day.
context: I must be really tired.\I need to take a break after I finish this.\What is it? Is the analysis finished?\No, sir. Dr. Schroeder's been...\Hold it right there!\Stop!\Shit! The suspect's heading toward Meiji-dori Avenue.\They sure are making us work hard from the start of the day. response:	Good work.
context: I need to take a break after I finish this.\What is it? Is the analysis finished?\No, sir. Dr. Schroeder's been...\Hold it right there!\Stop!\Shit! The suspect's heading toward Meiji-dori Avenue.\They sure are making us work hard from the start of the day.\Good work. response:	Boss...
context: What is it? Is the analysis finished?\No, sir. Dr. Schroeder's been...\Hold it right there!\Stop!\Shit! The suspect's heading toward Meiji-dori Avenue.\They sure are making us work hard from the start of the day.\Good work.\Boss... response:	They were instructed to target the U.S. embassy.
context: No, sir. Dr. Schroeder's been...\Hold it right there!\Stop!\Shit! The suspect's heading toward Meiji-dori Avenue.\They sure are making us work hard from the start of the day.\Good work.\Boss...\They were instructed to target the U.S. embassy. response:	Is it them?
context: Hold it right there!\Stop!\Shit! The suspect's heading toward Meiji-dori Avenue.\They sure are making us work hard from the start of the day.\Good work.\Boss...\They were instructed to target the U.S. embassy.\Is it them? response:	The man we arrested confessed to being a member.
context: Stop!\Shit! The suspect's heading toward Meiji-dori Avenue.\They sure are making us work hard from the start of the day.\Good work.\Boss...\They were instructed to target the U.S. embassy.\Is it them?\The man we arrested confessed to being a member. response:	Did he have any information about the leader?
context: Shit! The suspect's heading toward Meiji-dori Avenue.\They sure are making us work hard from the start of the day.\Good work.\Boss...\They were instructed to target the U.S. embassy.\Is it them?\The man we arrested confessed to being a member.\Did he have any information about the leader? response:	He's being interrogated about it as we speak.
context: They sure are making us work hard from the start of the day.\Good work.\Boss...\They were instructed to target the U.S. embassy.\Is it them?\The man we arrested confessed to being a member.\Did he have any information about the leader?\He's being interrogated about it as we speak. response:	We might not learn anything at all, though.
context: Good work.\Boss...\They were instructed to target the U.S. embassy.\Is it them?\The man we arrested confessed to being a member.\Did he have any information about the leader?\He's being interrogated about it as we speak.\We might not learn anything at all, though. response:	There were signs of his memory being altered.
context: Boss...\They were instructed to target the U.S. embassy.\Is it them?\The man we arrested confessed to being a member.\Did he have any information about the leader?\He's being interrogated about it as we speak.\We might not learn anything at all, though.\There were signs of his memory being altered. response:	According to their previous statement,
context: They were instructed to target the U.S. embassy.\Is it them?\The man we arrested confessed to being a member.\Did he have any information about the leader?\He's being interrogated about it as we speak.\We might not learn anything at all, though.\There were signs of his memory being altered.\According to their previous statement, response:	the objective of the E.P.R. is to attain public recognition and acquire greater rights.
context: Is it them?\The man we arrested confessed to being a member.\Did he have any information about the leader?\He's being interrogated about it as we speak.\We might not learn anything at all, though.\There were signs of his memory being altered.\According to their previous statement,\the objective of the E.P.R. is to attain public recognition and acquire greater rights. response:	Aside from their methods of achieving those goals, I don't have a problem understanding that ideal.
context: The man we arrested confessed to being a member.\Did he have any information about the leader?\He's being interrogated about it as we speak.\We might not learn anything at all, though.\There were signs of his memory being altered.\According to their previous statement,\the objective of the E.P.R. is to attain public recognition and acquire greater rights.\Aside from their methods of achieving those goals, I don't have a problem understanding that ideal. response:	However, all of the suspects in question are unable to remember one specific memory,
context: Did he have any information about the leader?\He's being interrogated about it as we speak.\We might not learn anything at all, though.\There were signs of his memory being altered.\According to their previous statement,\the objective of the E.P.R. is to attain public recognition and acquire greater rights.\Aside from their methods of achieving those goals, I don't have a problem understanding that ideal.\However, all of the suspects in question are unable to remember one specific memory, response:	as well as any information about the leader.
context: He's being interrogated about it as we speak.\We might not learn anything at all, though.\There were signs of his memory being altered.\According to their previous statement,\the objective of the E.P.R. is to attain public recognition and acquire greater rights.\Aside from their methods of achieving those goals, I don't have a problem understanding that ideal.\However, all of the suspects in question are unable to remember one specific memory,\as well as any information about the leader. response:	What are you implying?
context: We might not learn anything at all, though.\There were signs of his memory being altered.\According to their previous statement,\the objective of the E.P.R. is to attain public recognition and acquire greater rights.\Aside from their methods of achieving those goals, I don't have a problem understanding that ideal.\However, all of the suspects in question are unable to remember one specific memory,\as well as any information about the leader.\What are you implying? response:	I have a strange feeling
context: There were signs of his memory being altered.\According to their previous statement,\the objective of the E.P.R. is to attain public recognition and acquire greater rights.\Aside from their methods of achieving those goals, I don't have a problem understanding that ideal.\However, all of the suspects in question are unable to remember one specific memory,\as well as any information about the leader.\What are you implying?\I have a strange feeling response:	that a different person who wasn't involved in previous cases is who we're after.
context: According to their previous statement,\the objective of the E.P.R. is to attain public recognition and acquire greater rights.\Aside from their methods of achieving those goals, I don't have a problem understanding that ideal.\However, all of the suspects in question are unable to remember one specific memory,\as well as any information about the leader.\What are you implying?\I have a strange feeling\that a different person who wasn't involved in previous cases is who we're after. response:	I see. How troublesome.
