context: Intro response:	Oh man, what have I done?
context: Intro\Oh man, what have I done? response:	Who knows how much this IV drip will cost?
context: Intro\Oh man, what have I done?\Who knows how much this IV drip will cost? response:	Who cares if I recover thanks to this?
context: Intro\Oh man, what have I done?\Who knows how much this IV drip will cost?\Who cares if I recover thanks to this? response:	I can't face Milord now!
context: Intro\Oh man, what have I done?\Who knows how much this IV drip will cost?\Who cares if I recover thanks to this?\I can't face Milord now! response:	Oh. You're up, Mr. Ashiya?
context: Intro\Oh man, what have I done?\Who knows how much this IV drip will cost?\Who cares if I recover thanks to this?\I can't face Milord now!\Oh. You're up, Mr. Ashiya? response:	Y-Yes...
context: Intro\Oh man, what have I done?\Who knows how much this IV drip will cost?\Who cares if I recover thanks to this?\I can't face Milord now!\Oh. You're up, Mr. Ashiya?\Y-Yes... response:	Um, I'd just like to confirm this one more time.
context: Intro\Oh man, what have I done?\Who knows how much this IV drip will cost?\Who cares if I recover thanks to this?\I can't face Milord now!\Oh. You're up, Mr. Ashiya?\Y-Yes...\Um, I'd just like to confirm this one more time. response:	National Health Insurance will cover this, right?
context: Oh man, what have I done?\Who knows how much this IV drip will cost?\Who cares if I recover thanks to this?\I can't face Milord now!\Oh. You're up, Mr. Ashiya?\Y-Yes...\Um, I'd just like to confirm this one more time.\National Health Insurance will cover this, right? response:	It will. Don't worry.
context: Who knows how much this IV drip will cost?\Who cares if I recover thanks to this?\I can't face Milord now!\Oh. You're up, Mr. Ashiya?\Y-Yes...\Um, I'd just like to confirm this one more time.\National Health Insurance will cover this, right?\It will. Don't worry. response:	Well then, let's hook you up to another bag.
context: Who cares if I recover thanks to this?\I can't face Milord now!\Oh. You're up, Mr. Ashiya?\Y-Yes...\Um, I'd just like to confirm this one more time.\National Health Insurance will cover this, right?\It will. Don't worry.\Well then, let's hook you up to another bag. response:	No, thank you!
context: I can't face Milord now!\Oh. You're up, Mr. Ashiya?\Y-Yes...\Um, I'd just like to confirm this one more time.\National Health Insurance will cover this, right?\It will. Don't worry.\Well then, let's hook you up to another bag.\No, thank you! response:	What?
context: Oh. You're up, Mr. Ashiya?\Y-Yes...\Um, I'd just like to confirm this one more time.\National Health Insurance will cover this, right?\It will. Don't worry.\Well then, let's hook you up to another bag.\No, thank you!\What? response:	Uh... Are you okay?
