context: Top o' the mornin' to ya!!! response:	Uwaaa...
context: Top o' the mornin' to ya!!!\Uwaaa... response:	You just don't learn, do you Kosame.
context: Top o' the mornin' to ya!!!\Uwaaa...\You just don't learn, do you Kosame. response:	Call me Onee-chan, please!
context: Top o' the mornin' to ya!!!\Uwaaa...\You just don't learn, do you Kosame.\Call me Onee-chan, please! response:	Aside from that, hurry up and make breakfast for Ojou-sama.
context: Top o' the mornin' to ya!!!\Uwaaa...\You just don't learn, do you Kosame.\Call me Onee-chan, please!\Aside from that, hurry up and make breakfast for Ojou-sama. response:	Your breakfast this morning is a mushroom and cheese omelette.
context: Top o' the mornin' to ya!!!\Uwaaa...\You just don't learn, do you Kosame.\Call me Onee-chan, please!\Aside from that, hurry up and make breakfast for Ojou-sama.\Your breakfast this morning is a mushroom and cheese omelette. response:	Thank you.
context: Top o' the mornin' to ya!!!\Uwaaa...\You just don't learn, do you Kosame.\Call me Onee-chan, please!\Aside from that, hurry up and make breakfast for Ojou-sama.\Your breakfast this morning is a mushroom and cheese omelette.\Thank you. response:	Ojou-sama!
context: Top o' the mornin' to ya!!!\Uwaaa...\You just don't learn, do you Kosame.\Call me Onee-chan, please!\Aside from that, hurry up and make breakfast for Ojou-sama.\Your breakfast this morning is a mushroom and cheese omelette.\Thank you.\Ojou-sama! response:	I demand to know why Subaru has been leaving the mansion ahead of you recently!
context: Uwaaa...\You just don't learn, do you Kosame.\Call me Onee-chan, please!\Aside from that, hurry up and make breakfast for Ojou-sama.\Your breakfast this morning is a mushroom and cheese omelette.\Thank you.\Ojou-sama!\I demand to know why Subaru has been leaving the mansion ahead of you recently! response:	Calm down, Kosame-san.
context: You just don't learn, do you Kosame.\Call me Onee-chan, please!\Aside from that, hurry up and make breakfast for Ojou-sama.\Your breakfast this morning is a mushroom and cheese omelette.\Thank you.\Ojou-sama!\I demand to know why Subaru has been leaving the mansion ahead of you recently!\Calm down, Kosame-san. response:	Whenever it concerns Subaru, you become much too excited.
context: Call me Onee-chan, please!\Aside from that, hurry up and make breakfast for Ojou-sama.\Your breakfast this morning is a mushroom and cheese omelette.\Thank you.\Ojou-sama!\I demand to know why Subaru has been leaving the mansion ahead of you recently!\Calm down, Kosame-san.\Whenever it concerns Subaru, you become much too excited. response:	Little sisters with small breasts are the finest gourmet meals of all!
context: Aside from that, hurry up and make breakfast for Ojou-sama.\Your breakfast this morning is a mushroom and cheese omelette.\Thank you.\Ojou-sama!\I demand to know why Subaru has been leaving the mansion ahead of you recently!\Calm down, Kosame-san.\Whenever it concerns Subaru, you become much too excited.\Little sisters with small breasts are the finest gourmet meals of all! response:	Starting today, breakfast is going to be much more interesting.
