context: I'm back, Gramps! response:	Is the bath water hot?
context: I'm back, Gramps!\Is the bath water hot? response:	I have to hurry or I'll be late!
context: I'm back, Gramps!\Is the bath water hot?\I have to hurry or I'll be late! response:	Is it so serious that she can't have visitors?
context: I'm back, Gramps!\Is the bath water hot?\I have to hurry or I'll be late!\Is it so serious that she can't have visitors? response:	That voice...
context: I'm back, Gramps!\Is the bath water hot?\I have to hurry or I'll be late!\Is it so serious that she can't have visitors?\That voice... response:	Yes... Kagome is laid up in bed.
context: I'm back, Gramps!\Is the bath water hot?\I have to hurry or I'll be late!\Is it so serious that she can't have visitors?\That voice...\Yes... Kagome is laid up in bed. response:	I see.
context: I'm back, Gramps!\Is the bath water hot?\I have to hurry or I'll be late!\Is it so serious that she can't have visitors?\That voice...\Yes... Kagome is laid up in bed.\I see. response:	Err... This is a hot compress for Kagome...
context: I'm back, Gramps!\Is the bath water hot?\I have to hurry or I'll be late!\Is it so serious that she can't have visitors?\That voice...\Yes... Kagome is laid up in bed.\I see.\Err... This is a hot compress for Kagome... response:	Oh, you're so thoughtful!
context: Is the bath water hot?\I have to hurry or I'll be late!\Is it so serious that she can't have visitors?\That voice...\Yes... Kagome is laid up in bed.\I see.\Err... This is a hot compress for Kagome...\Oh, you're so thoughtful! response:	My... I mean, her neuralgia will get much better with this.
context: I have to hurry or I'll be late!\Is it so serious that she can't have visitors?\That voice...\Yes... Kagome is laid up in bed.\I see.\Err... This is a hot compress for Kagome...\Oh, you're so thoughtful!\My... I mean, her neuralgia will get much better with this. response:	I'll be going then.
context: Is it so serious that she can't have visitors?\That voice...\Yes... Kagome is laid up in bed.\I see.\Err... This is a hot compress for Kagome...\Oh, you're so thoughtful!\My... I mean, her neuralgia will get much better with this.\I'll be going then. response:	Okay, take care.
context: That voice...\Yes... Kagome is laid up in bed.\I see.\Err... This is a hot compress for Kagome...\Oh, you're so thoughtful!\My... I mean, her neuralgia will get much better with this.\I'll be going then.\Okay, take care. response:	Who has neuralgia?
context: Yes... Kagome is laid up in bed.\I see.\Err... This is a hot compress for Kagome...\Oh, you're so thoughtful!\My... I mean, her neuralgia will get much better with this.\I'll be going then.\Okay, take care.\Who has neuralgia? response:	Oh, Kagome! Be happy!
context: I see.\Err... This is a hot compress for Kagome...\Oh, you're so thoughtful!\My... I mean, her neuralgia will get much better with this.\I'll be going then.\Okay, take care.\Who has neuralgia?\Oh, Kagome! Be happy! response:	You're supposed to be disposed today, so you can miss school.
context: Err... This is a hot compress for Kagome...\Oh, you're so thoughtful!\My... I mean, her neuralgia will get much better with this.\I'll be going then.\Okay, take care.\Who has neuralgia?\Oh, Kagome! Be happy!\You're supposed to be disposed today, so you can miss school. response:	What are you saying?! I WANT to go to school desperately!
context: Oh, you're so thoughtful!\My... I mean, her neuralgia will get much better with this.\I'll be going then.\Okay, take care.\Who has neuralgia?\Oh, Kagome! Be happy!\You're supposed to be disposed today, so you can miss school.\What are you saying?! I WANT to go to school desperately! response:	You're a strange one.
context: My... I mean, her neuralgia will get much better with this.\I'll be going then.\Okay, take care.\Who has neuralgia?\Oh, Kagome! Be happy!\You're supposed to be disposed today, so you can miss school.\What are you saying?! I WANT to go to school desperately!\You're a strange one. response:	Only my family knows of my jaunts through the hidden well...
context: I'll be going then.\Okay, take care.\Who has neuralgia?\Oh, Kagome! Be happy!\You're supposed to be disposed today, so you can miss school.\What are you saying?! I WANT to go to school desperately!\You're a strange one.\Only my family knows of my jaunts through the hidden well... response:	into the Feudal States Era.
context: Okay, take care.\Who has neuralgia?\Oh, Kagome! Be happy!\You're supposed to be disposed today, so you can miss school.\What are you saying?! I WANT to go to school desperately!\You're a strange one.\Only my family knows of my jaunts through the hidden well...\into the Feudal States Era. response:	Besides, I doubt that anyone else would believe me if I told them.
context: Who has neuralgia?\Oh, Kagome! Be happy!\You're supposed to be disposed today, so you can miss school.\What are you saying?! I WANT to go to school desperately!\You're a strange one.\Only my family knows of my jaunts through the hidden well...\into the Feudal States Era.\Besides, I doubt that anyone else would believe me if I told them. response:	Huh? You're going to take the math supplement course, too?
context: Oh, Kagome! Be happy!\You're supposed to be disposed today, so you can miss school.\What are you saying?! I WANT to go to school desperately!\You're a strange one.\Only my family knows of my jaunts through the hidden well...\into the Feudal States Era.\Besides, I doubt that anyone else would believe me if I told them.\Huh? You're going to take the math supplement course, too? response:	Teacher told me to.
context: You're supposed to be disposed today, so you can miss school.\What are you saying?! I WANT to go to school desperately!\You're a strange one.\Only my family knows of my jaunts through the hidden well...\into the Feudal States Era.\Besides, I doubt that anyone else would believe me if I told them.\Huh? You're going to take the math supplement course, too?\Teacher told me to. response:	We're used to it, but it's a shock to hear that you need it, too.
context: What are you saying?! I WANT to go to school desperately!\You're a strange one.\Only my family knows of my jaunts through the hidden well...\into the Feudal States Era.\Besides, I doubt that anyone else would believe me if I told them.\Huh? You're going to take the math supplement course, too?\Teacher told me to.\We're used to it, but it's a shock to hear that you need it, too. response:	The high school Hojo is applying to is very difficult to get into.
context: You're a strange one.\Only my family knows of my jaunts through the hidden well...\into the Feudal States Era.\Besides, I doubt that anyone else would believe me if I told them.\Huh? You're going to take the math supplement course, too?\Teacher told me to.\We're used to it, but it's a shock to hear that you need it, too.\The high school Hojo is applying to is very difficult to get into. response:	What? Don't tell me you're seeing Hojo, Kagome?!
context: Only my family knows of my jaunts through the hidden well...\into the Feudal States Era.\Besides, I doubt that anyone else would believe me if I told them.\Huh? You're going to take the math supplement course, too?\Teacher told me to.\We're used to it, but it's a shock to hear that you need it, too.\The high school Hojo is applying to is very difficult to get into.\What? Don't tell me you're seeing Hojo, Kagome?! response:	Stop it! Who has time to go out with boys?!
context: into the Feudal States Era.\Besides, I doubt that anyone else would believe me if I told them.\Huh? You're going to take the math supplement course, too?\Teacher told me to.\We're used to it, but it's a shock to hear that you need it, too.\The high school Hojo is applying to is very difficult to get into.\What? Don't tell me you're seeing Hojo, Kagome?!\Stop it! Who has time to go out with boys?! response:	That's not something you want to brag about.
context: Besides, I doubt that anyone else would believe me if I told them.\Huh? You're going to take the math supplement course, too?\Teacher told me to.\We're used to it, but it's a shock to hear that you need it, too.\The high school Hojo is applying to is very difficult to get into.\What? Don't tell me you're seeing Hojo, Kagome?!\Stop it! Who has time to go out with boys?!\That's not something you want to brag about. response:	Err... Well...
context: Huh? You're going to take the math supplement course, too?\Teacher told me to.\We're used to it, but it's a shock to hear that you need it, too.\The high school Hojo is applying to is very difficult to get into.\What? Don't tell me you're seeing Hojo, Kagome?!\Stop it! Who has time to go out with boys?!\That's not something you want to brag about.\Err... Well... response:	Gee, I don't even know if I'll be able to get into high school!
context: Teacher told me to.\We're used to it, but it's a shock to hear that you need it, too.\The high school Hojo is applying to is very difficult to get into.\What? Don't tell me you're seeing Hojo, Kagome?!\Stop it! Who has time to go out with boys?!\That's not something you want to brag about.\Err... Well...\Gee, I don't even know if I'll be able to get into high school! response:	Not with a life like this!
context: We're used to it, but it's a shock to hear that you need it, too.\The high school Hojo is applying to is very difficult to get into.\What? Don't tell me you're seeing Hojo, Kagome?!\Stop it! Who has time to go out with boys?!\That's not something you want to brag about.\Err... Well...\Gee, I don't even know if I'll be able to get into high school!\Not with a life like this! response:	Oh, look! Fireworks!
context: The high school Hojo is applying to is very difficult to get into.\What? Don't tell me you're seeing Hojo, Kagome?!\Stop it! Who has time to go out with boys?!\That's not something you want to brag about.\Err... Well...\Gee, I don't even know if I'll be able to get into high school!\Not with a life like this!\Oh, look! Fireworks! response:	So pretty!
context: What? Don't tell me you're seeing Hojo, Kagome?!\Stop it! Who has time to go out with boys?!\That's not something you want to brag about.\Err... Well...\Gee, I don't even know if I'll be able to get into high school!\Not with a life like this!\Oh, look! Fireworks!\So pretty! response:	It looks like fun!
context: Stop it! Who has time to go out with boys?!\That's not something you want to brag about.\Err... Well...\Gee, I don't even know if I'll be able to get into high school!\Not with a life like this!\Oh, look! Fireworks!\So pretty!\It looks like fun! response:	Huh?
context: That's not something you want to brag about.\Err... Well...\Gee, I don't even know if I'll be able to get into high school!\Not with a life like this!\Oh, look! Fireworks!\So pretty!\It looks like fun!\Huh? response:	Ha-ha-ha! Serves them right!
context: Err... Well...\Gee, I don't even know if I'll be able to get into high school!\Not with a life like this!\Oh, look! Fireworks!\So pretty!\It looks like fun!\Huh?\Ha-ha-ha! Serves them right! response:	That girl!
context: Gee, I don't even know if I'll be able to get into high school!\Not with a life like this!\Oh, look! Fireworks!\So pretty!\It looks like fun!\Huh?\Ha-ha-ha! Serves them right!\That girl! response:	Hold it!
context: Not with a life like this!\Oh, look! Fireworks!\So pretty!\It looks like fun!\Huh?\Ha-ha-ha! Serves them right!\That girl!\Hold it! response:	What did you do that for?!
context: Oh, look! Fireworks!\So pretty!\It looks like fun!\Huh?\Ha-ha-ha! Serves them right!\That girl!\Hold it!\What did you do that for?! response:	You... You can see me?
