context: I'll ask once more. response:	Why did you call me by the name of the Jealous Witch?
context: I'll ask once more.\Why did you call me by the name of the Jealous Witch? response:	Because you told me to.
context: I'll ask once more.\Why did you call me by the name of the Jealous Witch?\Because you told me to. response:	I don't know who told you that,
context: I'll ask once more.\Why did you call me by the name of the Jealous Witch?\Because you told me to.\I don't know who told you that, response:	but they have terrible taste!
context: I'll ask once more.\Why did you call me by the name of the Jealous Witch?\Because you told me to.\I don't know who told you that,\but they have terrible taste! response:	The Jealous Witch is the epitome of taboo,
context: I'll ask once more.\Why did you call me by the name of the Jealous Witch?\Because you told me to.\I don't know who told you that,\but they have terrible taste!\The Jealous Witch is the epitome of taboo, response:	and you call me by her name, which most dare not even say!
context: I'll ask once more.\Why did you call me by the name of the Jealous Witch?\Because you told me to.\I don't know who told you that,\but they have terrible taste!\The Jealous Witch is the epitome of taboo,\and you call me by her name, which most dare not even say! response:	That's right!
context: I'll ask once more.\Why did you call me by the name of the Jealous Witch?\Because you told me to.\I don't know who told you that,\but they have terrible taste!\The Jealous Witch is the epitome of taboo,\and you call me by her name, which most dare not even say!\That's right! response:	That's going too far, boy!
context: Why did you call me by the name of the Jealous Witch?\Because you told me to.\I don't know who told you that,\but they have terrible taste!\The Jealous Witch is the epitome of taboo,\and you call me by her name, which most dare not even say!\That's right!\That's going too far, boy! response:	If you have nothing to say, I'm leaving. I have things to do.
context: Because you told me to.\I don't know who told you that,\but they have terrible taste!\The Jealous Witch is the epitome of taboo,\and you call me by her name, which most dare not even say!\That's right!\That's going too far, boy!\If you have nothing to say, I'm leaving. I have things to do. response:	Felt!
context: I don't know who told you that,\but they have terrible taste!\The Jealous Witch is the epitome of taboo,\and you call me by her name, which most dare not even say!\That's right!\That's going too far, boy!\If you have nothing to say, I'm leaving. I have things to do.\Felt! response:	Were you stalling me?
context: but they have terrible taste!\The Jealous Witch is the epitome of taboo,\and you call me by her name, which most dare not even say!\That's right!\That's going too far, boy!\If you have nothing to say, I'm leaving. I have things to do.\Felt!\Were you stalling me? response:	Are you working with her?!
context: The Jealous Witch is the epitome of taboo,\and you call me by her name, which most dare not even say!\That's right!\That's going too far, boy!\If you have nothing to say, I'm leaving. I have things to do.\Felt!\Were you stalling me?\Are you working with her?! response:	N-No!
context: and you call me by her name, which most dare not even say!\That's right!\That's going too far, boy!\If you have nothing to say, I'm leaving. I have things to do.\Felt!\Were you stalling me?\Are you working with her?!\N-No! response:	Hey... W-Wait a minute!
context: That's right!\That's going too far, boy!\If you have nothing to say, I'm leaving. I have things to do.\Felt!\Were you stalling me?\Are you working with her?!\N-No!\Hey... W-Wait a minute! response:	You have it all wrong! I'm...
context: That's going too far, boy!\If you have nothing to say, I'm leaving. I have things to do.\Felt!\Were you stalling me?\Are you working with her?!\N-No!\Hey... W-Wait a minute!\You have it all wrong! I'm... response:	Damn it!
context: If you have nothing to say, I'm leaving. I have things to do.\Felt!\Were you stalling me?\Are you working with her?!\N-No!\Hey... W-Wait a minute!\You have it all wrong! I'm...\Damn it! response:	Could someone just treat me a little nicer?
