context: This is so boring, Mob. response:	Ura Sunday
context: This is so boring, Mob.\Ura Sunday response:	Doesn't that just mean no one's being bothered by spirits?
context: This is so boring, Mob.\Ura Sunday\Doesn't that just mean no one's being bothered by spirits? response:	I hate this.
context: This is so boring, Mob.\Ura Sunday\Doesn't that just mean no one's being bothered by spirits?\I hate this. response:	It's really peaceful.
context: This is so boring, Mob.\Ura Sunday\Doesn't that just mean no one's being bothered by spirits?\I hate this.\It's really peaceful. response:	But we need food on our table!
context: This is so boring, Mob.\Ura Sunday\Doesn't that just mean no one's being bothered by spirits?\I hate this.\It's really peaceful.\But we need food on our table! response:	We have to make a move.
context: This is so boring, Mob.\Ura Sunday\Doesn't that just mean no one's being bothered by spirits?\I hate this.\It's really peaceful.\But we need food on our table!\We have to make a move. response:	You don't know what true fear is
context: This is so boring, Mob.\Ura Sunday\Doesn't that just mean no one's being bothered by spirits?\I hate this.\It's really peaceful.\But we need food on our table!\We have to make a move.\You don't know what true fear is response:	Urban Legends
context: Ura Sunday\Doesn't that just mean no one's being bothered by spirits?\I hate this.\It's really peaceful.\But we need food on our table!\We have to make a move.\You don't know what true fear is\Urban Legends response:	Enter
context: Doesn't that just mean no one's being bothered by spirits?\I hate this.\It's really peaceful.\But we need food on our table!\We have to make a move.\You don't know what true fear is\Urban Legends\Enter response:	Mob Psycho
context: I hate this.\It's really peaceful.\But we need food on our table!\We have to make a move.\You don't know what true fear is\Urban Legends\Enter\Mob Psycho response:	Urban Legends Encountering Rumors
context: It's really peaceful.\But we need food on our table!\We have to make a move.\You don't know what true fear is\Urban Legends\Enter\Mob Psycho\Urban Legends Encountering Rumors response:	Urban legends?
context: But we need food on our table!\We have to make a move.\You don't know what true fear is\Urban Legends\Enter\Mob Psycho\Urban Legends Encountering Rumors\Urban legends? response:	Yeah. Surely you've discussed some with friends at some point.
context: We have to make a move.\You don't know what true fear is\Urban Legends\Enter\Mob Psycho\Urban Legends Encountering Rumors\Urban legends?\Yeah. Surely you've discussed some with friends at some point. response:	I haven't, actually.
context: You don't know what true fear is\Urban Legends\Enter\Mob Psycho\Urban Legends Encountering Rumors\Urban legends?\Yeah. Surely you've discussed some with friends at some point.\I haven't, actually. response:	Really? They were super popular when I was a kid.
context: Urban Legends\Enter\Mob Psycho\Urban Legends Encountering Rumors\Urban legends?\Yeah. Surely you've discussed some with friends at some point.\I haven't, actually.\Really? They were super popular when I was a kid. response:	Like Hanako-san in the bathroom or the human-faced dog...
context: Enter\Mob Psycho\Urban Legends Encountering Rumors\Urban legends?\Yeah. Surely you've discussed some with friends at some point.\I haven't, actually.\Really? They were super popular when I was a kid.\Like Hanako-san in the bathroom or the human-faced dog... response:	Or, if you want something newer, the Dragger.
context: Mob Psycho\Urban Legends Encountering Rumors\Urban legends?\Yeah. Surely you've discussed some with friends at some point.\I haven't, actually.\Really? They were super popular when I was a kid.\Like Hanako-san in the bathroom or the human-faced dog...\Or, if you want something newer, the Dragger. response:	We'll look up sighting reports online and follow these urban legends.
context: Urban Legends Encountering Rumors\Urban legends?\Yeah. Surely you've discussed some with friends at some point.\I haven't, actually.\Really? They were super popular when I was a kid.\Like Hanako-san in the bathroom or the human-faced dog...\Or, if you want something newer, the Dragger.\We'll look up sighting reports online and follow these urban legends. response:	So it's like when we went to find the tsuchinoko?
context: Urban legends?\Yeah. Surely you've discussed some with friends at some point.\I haven't, actually.\Really? They were super popular when I was a kid.\Like Hanako-san in the bathroom or the human-faced dog...\Or, if you want something newer, the Dragger.\We'll look up sighting reports online and follow these urban legends.\So it's like when we went to find the tsuchinoko? response:	Not quite.
context: Yeah. Surely you've discussed some with friends at some point.\I haven't, actually.\Really? They were super popular when I was a kid.\Like Hanako-san in the bathroom or the human-faced dog...\Or, if you want something newer, the Dragger.\We'll look up sighting reports online and follow these urban legends.\So it's like when we went to find the tsuchinoko?\Not quite. response:	The Dragger is completely made up. She doesn't exist.
context: I haven't, actually.\Really? They were super popular when I was a kid.\Like Hanako-san in the bathroom or the human-faced dog...\Or, if you want something newer, the Dragger.\We'll look up sighting reports online and follow these urban legends.\So it's like when we went to find the tsuchinoko?\Not quite.\The Dragger is completely made up. She doesn't exist. response:	Then, why...
context: Really? They were super popular when I was a kid.\Like Hanako-san in the bathroom or the human-faced dog...\Or, if you want something newer, the Dragger.\We'll look up sighting reports online and follow these urban legends.\So it's like when we went to find the tsuchinoko?\Not quite.\The Dragger is completely made up. She doesn't exist.\Then, why... response:	Places where urban legends are popular
context: Like Hanako-san in the bathroom or the human-faced dog...\Or, if you want something newer, the Dragger.\We'll look up sighting reports online and follow these urban legends.\So it's like when we went to find the tsuchinoko?\Not quite.\The Dragger is completely made up. She doesn't exist.\Then, why...\Places where urban legends are popular response:	tend to have a lot of people who easily believe in the supernatural.
context: Or, if you want something newer, the Dragger.\We'll look up sighting reports online and follow these urban legends.\So it's like when we went to find the tsuchinoko?\Not quite.\The Dragger is completely made up. She doesn't exist.\Then, why...\Places where urban legends are popular\tend to have a lot of people who easily believe in the supernatural. response:	Meaning they're gold mines for exorcism jobs.
context: We'll look up sighting reports online and follow these urban legends.\So it's like when we went to find the tsuchinoko?\Not quite.\The Dragger is completely made up. She doesn't exist.\Then, why...\Places where urban legends are popular\tend to have a lot of people who easily believe in the supernatural.\Meaning they're gold mines for exorcism jobs. response:	You're so excited about this Schadenfreude search.
context: So it's like when we went to find the tsuchinoko?\Not quite.\The Dragger is completely made up. She doesn't exist.\Then, why...\Places where urban legends are popular\tend to have a lot of people who easily believe in the supernatural.\Meaning they're gold mines for exorcism jobs.\You're so excited about this Schadenfreude search. response:	The key to successful walk-in sales is a smile!
context: Not quite.\The Dragger is completely made up. She doesn't exist.\Then, why...\Places where urban legends are popular\tend to have a lot of people who easily believe in the supernatural.\Meaning they're gold mines for exorcism jobs.\You're so excited about this Schadenfreude search.\The key to successful walk-in sales is a smile! response:	Spiritual Advice
