context: I've come from Lieseltania. response:	My name is Flora.
context: I've come from Lieseltania.\My name is Flora. response:	I'm very pleased to meet you all!
context: I've come from Lieseltania.\My name is Flora.\I'm very pleased to meet you all! response:	Really, you should've at least sent me word that you were coming.
context: I've come from Lieseltania.\My name is Flora.\I'm very pleased to meet you all!\Really, you should've at least sent me word that you were coming. response:	But His Majesty promised me tickets to the Phoenix Festa,
context: I've come from Lieseltania.\My name is Flora.\I'm very pleased to meet you all!\Really, you should've at least sent me word that you were coming.\But His Majesty promised me tickets to the Phoenix Festa, response:	in exchange for not saying a word to you, no matter what!
context: I've come from Lieseltania.\My name is Flora.\I'm very pleased to meet you all!\Really, you should've at least sent me word that you were coming.\But His Majesty promised me tickets to the Phoenix Festa,\in exchange for not saying a word to you, no matter what! response:	True to form, he's just a bit too fond of mischief.
context: I've come from Lieseltania.\My name is Flora.\I'm very pleased to meet you all!\Really, you should've at least sent me word that you were coming.\But His Majesty promised me tickets to the Phoenix Festa,\in exchange for not saying a word to you, no matter what!\True to form, he's just a bit too fond of mischief. response:	And it was my big brother who put you up to wearing that, right?
context: I've come from Lieseltania.\My name is Flora.\I'm very pleased to meet you all!\Really, you should've at least sent me word that you were coming.\But His Majesty promised me tickets to the Phoenix Festa,\in exchange for not saying a word to you, no matter what!\True to form, he's just a bit too fond of mischief.\And it was my big brother who put you up to wearing that, right? response:	Yes! He said if I wore this, you'd know me right away!
context: My name is Flora.\I'm very pleased to meet you all!\Really, you should've at least sent me word that you were coming.\But His Majesty promised me tickets to the Phoenix Festa,\in exchange for not saying a word to you, no matter what!\True to form, he's just a bit too fond of mischief.\And it was my big brother who put you up to wearing that, right?\Yes! He said if I wore this, you'd know me right away! response:	Seriously... I don't believe that guy!
context: I'm very pleased to meet you all!\Really, you should've at least sent me word that you were coming.\But His Majesty promised me tickets to the Phoenix Festa,\in exchange for not saying a word to you, no matter what!\True to form, he's just a bit too fond of mischief.\And it was my big brother who put you up to wearing that, right?\Yes! He said if I wore this, you'd know me right away!\Seriously... I don't believe that guy! response:	But this is what I normally wear, anyway.
context: Really, you should've at least sent me word that you were coming.\But His Majesty promised me tickets to the Phoenix Festa,\in exchange for not saying a word to you, no matter what!\True to form, he's just a bit too fond of mischief.\And it was my big brother who put you up to wearing that, right?\Yes! He said if I wore this, you'd know me right away!\Seriously... I don't believe that guy!\But this is what I normally wear, anyway. response:	A maid's uniform? But why?
context: But His Majesty promised me tickets to the Phoenix Festa,\in exchange for not saying a word to you, no matter what!\True to form, he's just a bit too fond of mischief.\And it was my big brother who put you up to wearing that, right?\Yes! He said if I wore this, you'd know me right away!\Seriously... I don't believe that guy!\But this is what I normally wear, anyway.\A maid's uniform? But why? response:	Flora's working as a maid-in-waiting at the palace.
context: in exchange for not saying a word to you, no matter what!\True to form, he's just a bit too fond of mischief.\And it was my big brother who put you up to wearing that, right?\Yes! He said if I wore this, you'd know me right away!\Seriously... I don't believe that guy!\But this is what I normally wear, anyway.\A maid's uniform? But why?\Flora's working as a maid-in-waiting at the palace. response:	Well, actually she's still just a trainee.
context: True to form, he's just a bit too fond of mischief.\And it was my big brother who put you up to wearing that, right?\Yes! He said if I wore this, you'd know me right away!\Seriously... I don't believe that guy!\But this is what I normally wear, anyway.\A maid's uniform? But why?\Flora's working as a maid-in-waiting at the palace.\Well, actually she's still just a trainee. response:	But I never would've guessed!
context: And it was my big brother who put you up to wearing that, right?\Yes! He said if I wore this, you'd know me right away!\Seriously... I don't believe that guy!\But this is what I normally wear, anyway.\A maid's uniform? But why?\Flora's working as a maid-in-waiting at the palace.\Well, actually she's still just a trainee.\But I never would've guessed! response:	Corrupt Ruler
context: Yes! He said if I wore this, you'd know me right away!\Seriously... I don't believe that guy!\But this is what I normally wear, anyway.\A maid's uniform? But why?\Flora's working as a maid-in-waiting at the palace.\Well, actually she's still just a trainee.\But I never would've guessed!\Corrupt Ruler response:	That you've been fighting for the sake of an orphanage, Riessfeld-senpai.
context: Seriously... I don't believe that guy!\But this is what I normally wear, anyway.\A maid's uniform? But why?\Flora's working as a maid-in-waiting at the palace.\Well, actually she's still just a trainee.\But I never would've guessed!\Corrupt Ruler\That you've been fighting for the sake of an orphanage, Riessfeld-senpai. response:	I-It's really not all that big a deal.
context: But this is what I normally wear, anyway.\A maid's uniform? But why?\Flora's working as a maid-in-waiting at the palace.\Well, actually she's still just a trainee.\But I never would've guessed!\Corrupt Ruler\That you've been fighting for the sake of an orphanage, Riessfeld-senpai.\I-It's really not all that big a deal. response:	Hey, I know. Tell us, Flora...
context: A maid's uniform? But why?\Flora's working as a maid-in-waiting at the palace.\Well, actually she's still just a trainee.\But I never would've guessed!\Corrupt Ruler\That you've been fighting for the sake of an orphanage, Riessfeld-senpai.\I-It's really not all that big a deal.\Hey, I know. Tell us, Flora... response:	Yes?
context: Flora's working as a maid-in-waiting at the palace.\Well, actually she's still just a trainee.\But I never would've guessed!\Corrupt Ruler\That you've been fighting for the sake of an orphanage, Riessfeld-senpai.\I-It's really not all that big a deal.\Hey, I know. Tell us, Flora...\Yes? response:	What was Julis like back home?
context: Well, actually she's still just a trainee.\But I never would've guessed!\Corrupt Ruler\That you've been fighting for the sake of an orphanage, Riessfeld-senpai.\I-It's really not all that big a deal.\Hey, I know. Tell us, Flora...\Yes?\What was Julis like back home? response:	What's that all of a sudden?!
context: But I never would've guessed!\Corrupt Ruler\That you've been fighting for the sake of an orphanage, Riessfeld-senpai.\I-It's really not all that big a deal.\Hey, I know. Tell us, Flora...\Yes?\What was Julis like back home?\What's that all of a sudden?! response:	No, no, I'd just like to know, that's all.
context: Corrupt Ruler\That you've been fighting for the sake of an orphanage, Riessfeld-senpai.\I-It's really not all that big a deal.\Hey, I know. Tell us, Flora...\Yes?\What was Julis like back home?\What's that all of a sudden?!\No, no, I'd just like to know, that's all. response:	What was she like?
context: That you've been fighting for the sake of an orphanage, Riessfeld-senpai.\I-It's really not all that big a deal.\Hey, I know. Tell us, Flora...\Yes?\What was Julis like back home?\What's that all of a sudden?!\No, no, I'd just like to know, that's all.\What was she like? response:	She's more or less the same as she is now.
context: I-It's really not all that big a deal.\Hey, I know. Tell us, Flora...\Yes?\What was Julis like back home?\What's that all of a sudden?!\No, no, I'd just like to know, that's all.\What was she like?\She's more or less the same as she is now. response:	Whenever she was with us, she was so kind and warm-hearted,
context: Hey, I know. Tell us, Flora...\Yes?\What was Julis like back home?\What's that all of a sudden?!\No, no, I'd just like to know, that's all.\What was she like?\She's more or less the same as she is now.\Whenever she was with us, she was so kind and warm-hearted, response:	and when she was at the palace, she was dashing and cool.
context: Yes?\What was Julis like back home?\What's that all of a sudden?!\No, no, I'd just like to know, that's all.\What was she like?\She's more or less the same as she is now.\Whenever she was with us, she was so kind and warm-hearted,\and when she was at the palace, she was dashing and cool. response:	So she's the same as she is now!
context: What was Julis like back home?\What's that all of a sudden?!\No, no, I'd just like to know, that's all.\What was she like?\She's more or less the same as she is now.\Whenever she was with us, she was so kind and warm-hearted,\and when she was at the palace, she was dashing and cool.\So she's the same as she is now! response:	Now, then...
context: What's that all of a sudden?!\No, no, I'd just like to know, that's all.\What was she like?\She's more or less the same as she is now.\Whenever she was with us, she was so kind and warm-hearted,\and when she was at the palace, she was dashing and cool.\So she's the same as she is now!\Now, then... response:	Please take a look!
context: No, no, I'd just like to know, that's all.\What was she like?\She's more or less the same as she is now.\Whenever she was with us, she was so kind and warm-hearted,\and when she was at the palace, she was dashing and cool.\So she's the same as she is now!\Now, then...\Please take a look! response:	These are my memories of the princess!
context: What was she like?\She's more or less the same as she is now.\Whenever she was with us, she was so kind and warm-hearted,\and when she was at the palace, she was dashing and cool.\So she's the same as she is now!\Now, then...\Please take a look!\These are my memories of the princess! response:	You have so many!
context: She's more or less the same as she is now.\Whenever she was with us, she was so kind and warm-hearted,\and when she was at the palace, she was dashing and cool.\So she's the same as she is now!\Now, then...\Please take a look!\These are my memories of the princess!\You have so many! response:	There was a nun who wanted to preserve memories as much as possible.
context: Whenever she was with us, she was so kind and warm-hearted,\and when she was at the palace, she was dashing and cool.\So she's the same as she is now!\Now, then...\Please take a look!\These are my memories of the princess!\You have so many!\There was a nun who wanted to preserve memories as much as possible. response:	Thanks to her influence, the kids got into the habit of taking pictures, as well.
context: and when she was at the palace, she was dashing and cool.\So she's the same as she is now!\Now, then...\Please take a look!\These are my memories of the princess!\You have so many!\There was a nun who wanted to preserve memories as much as possible.\Thanks to her influence, the kids got into the habit of taking pictures, as well. response:	Flora, what's this?
context: So she's the same as she is now!\Now, then...\Please take a look!\These are my memories of the princess!\You have so many!\There was a nun who wanted to preserve memories as much as possible.\Thanks to her influence, the kids got into the habit of taking pictures, as well.\Flora, what's this? response:	Oh, that's me getting my hair washed!
context: Now, then...\Please take a look!\These are my memories of the princess!\You have so many!\There was a nun who wanted to preserve memories as much as possible.\Thanks to her influence, the kids got into the habit of taking pictures, as well.\Flora, what's this?\Oh, that's me getting my hair washed! response:	Did you see? Did you see?!
context: Please take a look!\These are my memories of the princess!\You have so many!\There was a nun who wanted to preserve memories as much as possible.\Thanks to her influence, the kids got into the habit of taking pictures, as well.\Flora, what's this?\Oh, that's me getting my hair washed!\Did you see? Did you see?! response:	You saw, didn't you?!
context: These are my memories of the princess!\You have so many!\There was a nun who wanted to preserve memories as much as possible.\Thanks to her influence, the kids got into the habit of taking pictures, as well.\Flora, what's this?\Oh, that's me getting my hair washed!\Did you see? Did you see?!\You saw, didn't you?! response:	N-No, I didn't! I didn't see anything!
