context: Victory response:	Ten.
context: Victory\Ten. response:	Nine.
context: Victory\Ten.\Nine. response:	Korai House
context: Victory\Ten.\Nine.\Korai House response:	Eight.
context: Victory\Ten.\Nine.\Korai House\Eight. response:	Seven.
context: Victory\Ten.\Nine.\Korai House\Eight.\Seven. response:	Six.
context: Victory\Ten.\Nine.\Korai House\Eight.\Seven.\Six. response:	Five.
context: Victory\Ten.\Nine.\Korai House\Eight.\Seven.\Six.\Five. response:	Four.
context: Ten.\Nine.\Korai House\Eight.\Seven.\Six.\Five.\Four. response:	Three.
context: Nine.\Korai House\Eight.\Seven.\Six.\Five.\Four.\Three. response:	Two.
context: Korai House\Eight.\Seven.\Six.\Five.\Four.\Three.\Two. response:	One.
context: Eight.\Seven.\Six.\Five.\Four.\Three.\Two.\One. response:	Fire!
context: Seven.\Six.\Five.\Four.\Three.\Two.\One.\Fire! response:	Deploy the defense shield!
context: Six.\Five.\Four.\Three.\Two.\One.\Fire!\Deploy the defense shield! response:	Take this!
context: Five.\Four.\Three.\Two.\One.\Fire!\Deploy the defense shield!\Take this! response:	Where is she?
context: Four.\Three.\Two.\One.\Fire!\Deploy the defense shield!\Take this!\Where is she? response:	Where the hell is she?
context: Three.\Two.\One.\Fire!\Deploy the defense shield!\Take this!\Where is she?\Where the hell is she? response:	Thirty minutes until the operation's over.
context: Two.\One.\Fire!\Deploy the defense shield!\Take this!\Where is she?\Where the hell is she?\Thirty minutes until the operation's over. response:	Make it happen, you guys...
context: One.\Fire!\Deploy the defense shield!\Take this!\Where is she?\Where the hell is she?\Thirty minutes until the operation's over.\Make it happen, you guys... response:	Punch Line
context: Fire!\Deploy the defense shield!\Take this!\Where is she?\Where the hell is she?\Thirty minutes until the operation's over.\Make it happen, you guys...\Punch Line response:	Hey, you!
context: Deploy the defense shield!\Take this!\Where is she?\Where the hell is she?\Thirty minutes until the operation's over.\Make it happen, you guys...\Punch Line\Hey, you! response:	What do you think you're doing to our Korai House?!
context: Take this!\Where is she?\Where the hell is she?\Thirty minutes until the operation's over.\Make it happen, you guys...\Punch Line\Hey, you!\What do you think you're doing to our Korai House?! response:	Shit, where is she?
context: Where is she?\Where the hell is she?\Thirty minutes until the operation's over.\Make it happen, you guys...\Punch Line\Hey, you!\What do you think you're doing to our Korai House?!\Shit, where is she? response:	Where are you even looking?
context: Where the hell is she?\Thirty minutes until the operation's over.\Make it happen, you guys...\Punch Line\Hey, you!\What do you think you're doing to our Korai House?!\Shit, where is she?\Where are you even looking? response:	There she is!
context: Thirty minutes until the operation's over.\Make it happen, you guys...\Punch Line\Hey, you!\What do you think you're doing to our Korai House?!\Shit, where is she?\Where are you even looking?\There she is! response:	Squeeze of Death: Takompressor!
context: Make it happen, you guys...\Punch Line\Hey, you!\What do you think you're doing to our Korai House?!\Shit, where is she?\Where are you even looking?\There she is!\Squeeze of Death: Takompressor! response:	That takes care of the Ws, but...
context: Punch Line\Hey, you!\What do you think you're doing to our Korai House?!\Shit, where is she?\Where are you even looking?\There she is!\Squeeze of Death: Takompressor!\That takes care of the Ws, but... response:	Damn, I guess this is it.
context: Hey, you!\What do you think you're doing to our Korai House?!\Shit, where is she?\Where are you even looking?\There she is!\Squeeze of Death: Takompressor!\That takes care of the Ws, but...\Damn, I guess this is it. response:	Huh? Is it over?
context: What do you think you're doing to our Korai House?!\Shit, where is she?\Where are you even looking?\There she is!\Squeeze of Death: Takompressor!\That takes care of the Ws, but...\Damn, I guess this is it.\Huh? Is it over? response:	So you're here, Teraoka?
context: Shit, where is she?\Where are you even looking?\There she is!\Squeeze of Death: Takompressor!\That takes care of the Ws, but...\Damn, I guess this is it.\Huh? Is it over?\So you're here, Teraoka? response:	Still, I'm not giving up.
context: Where are you even looking?\There she is!\Squeeze of Death: Takompressor!\That takes care of the Ws, but...\Damn, I guess this is it.\Huh? Is it over?\So you're here, Teraoka?\Still, I'm not giving up. response:	Never!
context: There she is!\Squeeze of Death: Takompressor!\That takes care of the Ws, but...\Damn, I guess this is it.\Huh? Is it over?\So you're here, Teraoka?\Still, I'm not giving up.\Never! response:	Meika!
context: Squeeze of Death: Takompressor!\That takes care of the Ws, but...\Damn, I guess this is it.\Huh? Is it over?\So you're here, Teraoka?\Still, I'm not giving up.\Never!\Meika! response:	I guess that just about does it.
context: That takes care of the Ws, but...\Damn, I guess this is it.\Huh? Is it over?\So you're here, Teraoka?\Still, I'm not giving up.\Never!\Meika!\I guess that just about does it. response:	Meika, did you see me take them out?
context: Damn, I guess this is it.\Huh? Is it over?\So you're here, Teraoka?\Still, I'm not giving up.\Never!\Meika!\I guess that just about does it.\Meika, did you see me take them out? response:	Hey, Meika.
context: Huh? Is it over?\So you're here, Teraoka?\Still, I'm not giving up.\Never!\Meika!\I guess that just about does it.\Meika, did you see me take them out?\Hey, Meika. response:	Can't you hear me?
context: So you're here, Teraoka?\Still, I'm not giving up.\Never!\Meika!\I guess that just about does it.\Meika, did you see me take them out?\Hey, Meika.\Can't you hear me? response:	Meika?
context: Still, I'm not giving up.\Never!\Meika!\I guess that just about does it.\Meika, did you see me take them out?\Hey, Meika.\Can't you hear me?\Meika? response:	Meika!
context: Never!\Meika!\I guess that just about does it.\Meika, did you see me take them out?\Hey, Meika.\Can't you hear me?\Meika?\Meika! response:	Meika!
context: Meika!\I guess that just about does it.\Meika, did you see me take them out?\Hey, Meika.\Can't you hear me?\Meika?\Meika!\Meika! response:	Meika! Meika!
context: I guess that just about does it.\Meika, did you see me take them out?\Hey, Meika.\Can't you hear me?\Meika?\Meika!\Meika!\Meika! Meika! response:	Never would've thought she was a robot.
context: Meika, did you see me take them out?\Hey, Meika.\Can't you hear me?\Meika?\Meika!\Meika!\Meika! Meika!\Never would've thought she was a robot. response:	That explains her superhuman hacking skills.
context: Hey, Meika.\Can't you hear me?\Meika?\Meika!\Meika!\Meika! Meika!\Never would've thought she was a robot.\That explains her superhuman hacking skills. response:	Guriko! You...
context: Can't you hear me?\Meika?\Meika!\Meika!\Meika! Meika!\Never would've thought she was a robot.\That explains her superhuman hacking skills.\Guriko! You... response:	I destroyed the robot.
context: Meika?\Meika!\Meika!\Meika! Meika!\Never would've thought she was a robot.\That explains her superhuman hacking skills.\Guriko! You...\I destroyed the robot. response:	Now there's nothing left to stop the asteroid from falling.
context: Meika!\Meika!\Meika! Meika!\Never would've thought she was a robot.\That explains her superhuman hacking skills.\Guriko! You...\I destroyed the robot.\Now there's nothing left to stop the asteroid from falling. response:	Give it up and become a W.
context: Meika!\Meika! Meika!\Never would've thought she was a robot.\That explains her superhuman hacking skills.\Guriko! You...\I destroyed the robot.\Now there's nothing left to stop the asteroid from falling.\Give it up and become a W. response:	Guriko!
context: Meika! Meika!\Never would've thought she was a robot.\That explains her superhuman hacking skills.\Guriko! You...\I destroyed the robot.\Now there's nothing left to stop the asteroid from falling.\Give it up and become a W.\Guriko! response:	Colonel, our troops have been wiped out.
context: Never would've thought she was a robot.\That explains her superhuman hacking skills.\Guriko! You...\I destroyed the robot.\Now there's nothing left to stop the asteroid from falling.\Give it up and become a W.\Guriko!\Colonel, our troops have been wiped out. response:	Guriko!
context: That explains her superhuman hacking skills.\Guriko! You...\I destroyed the robot.\Now there's nothing left to stop the asteroid from falling.\Give it up and become a W.\Guriko!\Colonel, our troops have been wiped out.\Guriko! response:	Pine!
context: Guriko! You...\I destroyed the robot.\Now there's nothing left to stop the asteroid from falling.\Give it up and become a W.\Guriko!\Colonel, our troops have been wiped out.\Guriko!\Pine! response:	M-Meika...
context: I destroyed the robot.\Now there's nothing left to stop the asteroid from falling.\Give it up and become a W.\Guriko!\Colonel, our troops have been wiped out.\Guriko!\Pine!\M-Meika... response:	Tell me what to do, like always.
