context: You Are Here response:	Koichi...
context: You Are Here\Koichi... response:	Over here, Koichi.
context: You Are Here\Koichi...\Over here, Koichi. response:	Ah! R-Rohan Kishibe!
context: You Are Here\Koichi...\Over here, Koichi.\Ah! R-Rohan Kishibe! response:	Come on, now. You don't have to put up your guard like that.
context: You Are Here\Koichi...\Over here, Koichi.\Ah! R-Rohan Kishibe!\Come on, now. You don't have to put up your guard like that. response:	It's not like I'm going to harm you.
context: You Are Here\Koichi...\Over here, Koichi.\Ah! R-Rohan Kishibe!\Come on, now. You don't have to put up your guard like that.\It's not like I'm going to harm you. response:	Besides, when I read you with Heaven's Door,
context: You Are Here\Koichi...\Over here, Koichi.\Ah! R-Rohan Kishibe!\Come on, now. You don't have to put up your guard like that.\It's not like I'm going to harm you.\Besides, when I read you with Heaven's Door, response:	I actually felt a lot of admiration for you.
context: You Are Here\Koichi...\Over here, Koichi.\Ah! R-Rohan Kishibe!\Come on, now. You don't have to put up your guard like that.\It's not like I'm going to harm you.\Besides, when I read you with Heaven's Door,\I actually felt a lot of admiration for you. response:	I have a feeling we have a lot in common.
context: Koichi...\Over here, Koichi.\Ah! R-Rohan Kishibe!\Come on, now. You don't have to put up your guard like that.\It's not like I'm going to harm you.\Besides, when I read you with Heaven's Door,\I actually felt a lot of admiration for you.\I have a feeling we have a lot in common. response:	Don't you think so?
context: Over here, Koichi.\Ah! R-Rohan Kishibe!\Come on, now. You don't have to put up your guard like that.\It's not like I'm going to harm you.\Besides, when I read you with Heaven's Door,\I actually felt a lot of admiration for you.\I have a feeling we have a lot in common.\Don't you think so? response:	Uh...
context: Ah! R-Rohan Kishibe!\Come on, now. You don't have to put up your guard like that.\It's not like I'm going to harm you.\Besides, when I read you with Heaven's Door,\I actually felt a lot of admiration for you.\I have a feeling we have a lot in common.\Don't you think so?\Uh... response:	You see, there's something that I wanted to ask you.
context: Come on, now. You don't have to put up your guard like that.\It's not like I'm going to harm you.\Besides, when I read you with Heaven's Door,\I actually felt a lot of admiration for you.\I have a feeling we have a lot in common.\Don't you think so?\Uh...\You see, there's something that I wanted to ask you. response:	I lived around here from when I was a baby up until I was about four.
context: It's not like I'm going to harm you.\Besides, when I read you with Heaven's Door,\I actually felt a lot of admiration for you.\I have a feeling we have a lot in common.\Don't you think so?\Uh...\You see, there's something that I wanted to ask you.\I lived around here from when I was a baby up until I was about four. response:	I wanted to find the place where I lived then, for nostalgia's sake.
context: Besides, when I read you with Heaven's Door,\I actually felt a lot of admiration for you.\I have a feeling we have a lot in common.\Don't you think so?\Uh...\You see, there's something that I wanted to ask you.\I lived around here from when I was a baby up until I was about four.\I wanted to find the place where I lived then, for nostalgia's sake. response:	It's also a manga artist's job to remember their childhood.
context: I actually felt a lot of admiration for you.\I have a feeling we have a lot in common.\Don't you think so?\Uh...\You see, there's something that I wanted to ask you.\I lived around here from when I was a baby up until I was about four.\I wanted to find the place where I lived then, for nostalgia's sake.\It's also a manga artist's job to remember their childhood. response:	But the memories would be from when I was three or four,
context: I have a feeling we have a lot in common.\Don't you think so?\Uh...\You see, there's something that I wanted to ask you.\I lived around here from when I was a baby up until I was about four.\I wanted to find the place where I lived then, for nostalgia's sake.\It's also a manga artist's job to remember their childhood.\But the memories would be from when I was three or four, response:	so I don't remember much.
context: Don't you think so?\Uh...\You see, there's something that I wanted to ask you.\I lived around here from when I was a baby up until I was about four.\I wanted to find the place where I lived then, for nostalgia's sake.\It's also a manga artist's job to remember their childhood.\But the memories would be from when I was three or four,\so I don't remember much. response:	Oh...
context: Uh...\You see, there's something that I wanted to ask you.\I lived around here from when I was a baby up until I was about four.\I wanted to find the place where I lived then, for nostalgia's sake.\It's also a manga artist's job to remember their childhood.\But the memories would be from when I was three or four,\so I don't remember much.\Oh... response:	What I wanted to ask you about is this town map.
context: You see, there's something that I wanted to ask you.\I lived around here from when I was a baby up until I was about four.\I wanted to find the place where I lived then, for nostalgia's sake.\It's also a manga artist's job to remember their childhood.\But the memories would be from when I was three or four,\so I don't remember much.\Oh...\What I wanted to ask you about is this town map. response:	It's quite bizarre.
context: I lived around here from when I was a baby up until I was about four.\I wanted to find the place where I lived then, for nostalgia's sake.\It's also a manga artist's job to remember their childhood.\But the memories would be from when I was three or four,\so I don't remember much.\Oh...\What I wanted to ask you about is this town map.\It's quite bizarre. response:	Look.
context: I wanted to find the place where I lived then, for nostalgia's sake.\It's also a manga artist's job to remember their childhood.\But the memories would be from when I was three or four,\so I don't remember much.\Oh...\What I wanted to ask you about is this town map.\It's quite bizarre.\Look. response:	Convenience Store Owson
context: It's also a manga artist's job to remember their childhood.\But the memories would be from when I was three or four,\so I don't remember much.\Oh...\What I wanted to ask you about is this town map.\It's quite bizarre.\Look.\Convenience Store Owson response:	Kisara Drugstore
context: But the memories would be from when I was three or four,\so I don't remember much.\Oh...\What I wanted to ask you about is this town map.\It's quite bizarre.\Look.\Convenience Store Owson\Kisara Drugstore response:	Soba Shop Arisugawa
context: so I don't remember much.\Oh...\What I wanted to ask you about is this town map.\It's quite bizarre.\Look.\Convenience Store Owson\Kisara Drugstore\Soba Shop Arisugawa response:	Tailor Tanaka
context: Oh...\What I wanted to ask you about is this town map.\It's quite bizarre.\Look.\Convenience Store Owson\Kisara Drugstore\Soba Shop Arisugawa\Tailor Tanaka response:	You Are Here
