context: Every weekday's tightly packed. response:	Madly dashing around again since morning.
context: Every weekday's tightly packed.\Madly dashing around again since morning. response:	Rat race? Looks like fun. But surprisingly death-defying.
context: Every weekday's tightly packed.\Madly dashing around again since morning.\Rat race? Looks like fun. But surprisingly death-defying. response:	What I'd like is a slow lifestyle.
context: Every weekday's tightly packed.\Madly dashing around again since morning.\Rat race? Looks like fun. But surprisingly death-defying.\What I'd like is a slow lifestyle. response:	My wish made on a shootin' star.
context: Every weekday's tightly packed.\Madly dashing around again since morning.\Rat race? Looks like fun. But surprisingly death-defying.\What I'd like is a slow lifestyle.\My wish made on a shootin' star. response:	But there's no mercy, 1003.
context: Every weekday's tightly packed.\Madly dashing around again since morning.\Rat race? Looks like fun. But surprisingly death-defying.\What I'd like is a slow lifestyle.\My wish made on a shootin' star.\But there's no mercy, 1003. response:	Full of things you can't divide.
context: Every weekday's tightly packed.\Madly dashing around again since morning.\Rat race? Looks like fun. But surprisingly death-defying.\What I'd like is a slow lifestyle.\My wish made on a shootin' star.\But there's no mercy, 1003.\Full of things you can't divide. response:	Full of things you can't divide. Genshiken
context: Every weekday's tightly packed.\Madly dashing around again since morning.\Rat race? Looks like fun. But surprisingly death-defying.\What I'd like is a slow lifestyle.\My wish made on a shootin' star.\But there's no mercy, 1003.\Full of things you can't divide.\Full of things you can't divide. Genshiken response:	That's why I've carried this in my hands...
context: Madly dashing around again since morning.\Rat race? Looks like fun. But surprisingly death-defying.\What I'd like is a slow lifestyle.\My wish made on a shootin' star.\But there's no mercy, 1003.\Full of things you can't divide.\Full of things you can't divide. Genshiken\That's why I've carried this in my hands... response:	I jam-packed the rest with it...
context: Rat race? Looks like fun. But surprisingly death-defying.\What I'd like is a slow lifestyle.\My wish made on a shootin' star.\But there's no mercy, 1003.\Full of things you can't divide.\Full of things you can't divide. Genshiken\That's why I've carried this in my hands...\I jam-packed the rest with it... response:	A modest happiness. A shared joy!
context: What I'd like is a slow lifestyle.\My wish made on a shootin' star.\But there's no mercy, 1003.\Full of things you can't divide.\Full of things you can't divide. Genshiken\That's why I've carried this in my hands...\I jam-packed the rest with it...\A modest happiness. A shared joy! response:	We're about to etch them now right into our youth.
context: My wish made on a shootin' star.\But there's no mercy, 1003.\Full of things you can't divide.\Full of things you can't divide. Genshiken\That's why I've carried this in my hands...\I jam-packed the rest with it...\A modest happiness. A shared joy!\We're about to etch them now right into our youth. response:	So lonely to just walk on by.
context: But there's no mercy, 1003.\Full of things you can't divide.\Full of things you can't divide. Genshiken\That's why I've carried this in my hands...\I jam-packed the rest with it...\A modest happiness. A shared joy!\We're about to etch them now right into our youth.\So lonely to just walk on by. response:	So sad to have this frustration!
context: Full of things you can't divide.\Full of things you can't divide. Genshiken\That's why I've carried this in my hands...\I jam-packed the rest with it...\A modest happiness. A shared joy!\We're about to etch them now right into our youth.\So lonely to just walk on by.\So sad to have this frustration! response:	Let's take a break from today...
context: Full of things you can't divide. Genshiken\That's why I've carried this in my hands...\I jam-packed the rest with it...\A modest happiness. A shared joy!\We're about to etch them now right into our youth.\So lonely to just walk on by.\So sad to have this frustration!\Let's take a break from today... response:	A year sure does go by fast.
context: That's why I've carried this in my hands...\I jam-packed the rest with it...\A modest happiness. A shared joy!\We're about to etch them now right into our youth.\So lonely to just walk on by.\So sad to have this frustration!\Let's take a break from today...\A year sure does go by fast. response:	Huh?
context: I jam-packed the rest with it...\A modest happiness. A shared joy!\We're about to etch them now right into our youth.\So lonely to just walk on by.\So sad to have this frustration!\Let's take a break from today...\A year sure does go by fast.\Huh? response:	I was thinking it's time for the activities fair already.
context: A modest happiness. A shared joy!\We're about to etch them now right into our youth.\So lonely to just walk on by.\So sad to have this frustration!\Let's take a break from today...\A year sure does go by fast.\Huh?\I was thinking it's time for the activities fair already. response:	Yeah, now that you mention it. A whole year...
context: We're about to etch them now right into our youth.\So lonely to just walk on by.\So sad to have this frustration!\Let's take a break from today...\A year sure does go by fast.\Huh?\I was thinking it's time for the activities fair already.\Yeah, now that you mention it. A whole year... response:	I wonder if any new members will join this year.
context: So lonely to just walk on by.\So sad to have this frustration!\Let's take a break from today...\A year sure does go by fast.\Huh?\I was thinking it's time for the activities fair already.\Yeah, now that you mention it. A whole year...\I wonder if any new members will join this year. response:	I couldn't tell you.
context: So sad to have this frustration!\Let's take a break from today...\A year sure does go by fast.\Huh?\I was thinking it's time for the activities fair already.\Yeah, now that you mention it. A whole year...\I wonder if any new members will join this year.\I couldn't tell you. response:	I mean, you saw how Kasukabe turned them all away last year.
context: Let's take a break from today...\A year sure does go by fast.\Huh?\I was thinking it's time for the activities fair already.\Yeah, now that you mention it. A whole year...\I wonder if any new members will join this year.\I couldn't tell you.\I mean, you saw how Kasukabe turned them all away last year. response:	Ahh... true.
context: A year sure does go by fast.\Huh?\I was thinking it's time for the activities fair already.\Yeah, now that you mention it. A whole year...\I wonder if any new members will join this year.\I couldn't tell you.\I mean, you saw how Kasukabe turned them all away last year.\Ahh... true. response:	It's like, I'd rather not give my name out to otaku.
context: Huh?\I was thinking it's time for the activities fair already.\Yeah, now that you mention it. A whole year...\I wonder if any new members will join this year.\I couldn't tell you.\I mean, you saw how Kasukabe turned them all away last year.\Ahh... true.\It's like, I'd rather not give my name out to otaku. response:	Well, I do have a feeling she's a little more well-rounded now.
context: I was thinking it's time for the activities fair already.\Yeah, now that you mention it. A whole year...\I wonder if any new members will join this year.\I couldn't tell you.\I mean, you saw how Kasukabe turned them all away last year.\Ahh... true.\It's like, I'd rather not give my name out to otaku.\Well, I do have a feeling she's a little more well-rounded now. response:	Really, you do?
context: Yeah, now that you mention it. A whole year...\I wonder if any new members will join this year.\I couldn't tell you.\I mean, you saw how Kasukabe turned them all away last year.\Ahh... true.\It's like, I'd rather not give my name out to otaku.\Well, I do have a feeling she's a little more well-rounded now.\Really, you do? response:	Don't you think so?
context: I wonder if any new members will join this year.\I couldn't tell you.\I mean, you saw how Kasukabe turned them all away last year.\Ahh... true.\It's like, I'd rather not give my name out to otaku.\Well, I do have a feeling she's a little more well-rounded now.\Really, you do?\Don't you think so? response:	Up and to the right a bit.
context: I couldn't tell you.\I mean, you saw how Kasukabe turned them all away last year.\Ahh... true.\It's like, I'd rather not give my name out to otaku.\Well, I do have a feeling she's a little more well-rounded now.\Really, you do?\Don't you think so?\Up and to the right a bit. response:	Okay.
context: I mean, you saw how Kasukabe turned them all away last year.\Ahh... true.\It's like, I'd rather not give my name out to otaku.\Well, I do have a feeling she's a little more well-rounded now.\Really, you do?\Don't you think so?\Up and to the right a bit.\Okay. response:	So how about Kujiun: Second Term?
