context: What happened to me? response:	Is this...
context: What happened to me?\Is this... response:	I, um...
context: What happened to me?\Is this...\I, um... response:	Sh-Shiina, I
context: What happened to me?\Is this...\I, um...\Sh-Shiina, I response:	I know.
context: What happened to me?\Is this...\I, um...\Sh-Shiina, I\I know. response:	A person must first experience pain to be able to pilot Nyapollon.
context: What happened to me?\Is this...\I, um...\Sh-Shiina, I\I know.\A person must first experience pain to be able to pilot Nyapollon. response:	What?
context: What happened to me?\Is this...\I, um...\Sh-Shiina, I\I know.\A person must first experience pain to be able to pilot Nyapollon.\What? response:	I will defeat all of the Nyangoro aliens.
context: What happened to me?\Is this...\I, um...\Sh-Shiina, I\I know.\A person must first experience pain to be able to pilot Nyapollon.\What?\I will defeat all of the Nyangoro aliens. response:	I don't know how to respond to that kind of confession...
context: Is this...\I, um...\Sh-Shiina, I\I know.\A person must first experience pain to be able to pilot Nyapollon.\What?\I will defeat all of the Nyangoro aliens.\I don't know how to respond to that kind of confession... response:	So, this is goodbye.
context: I, um...\Sh-Shiina, I\I know.\A person must first experience pain to be able to pilot Nyapollon.\What?\I will defeat all of the Nyangoro aliens.\I don't know how to respond to that kind of confession...\So, this is goodbye. response:	Hey! Shiina, h-hold up!
context: Sh-Shiina, I\I know.\A person must first experience pain to be able to pilot Nyapollon.\What?\I will defeat all of the Nyangoro aliens.\I don't know how to respond to that kind of confession...\So, this is goodbye.\Hey! Shiina, h-hold up! response:	Wait!
context: I know.\A person must first experience pain to be able to pilot Nyapollon.\What?\I will defeat all of the Nyangoro aliens.\I don't know how to respond to that kind of confession...\So, this is goodbye.\Hey! Shiina, h-hold up!\Wait! response:	You're being a wimp, kouhai-kun!
context: A person must first experience pain to be able to pilot Nyapollon.\What?\I will defeat all of the Nyangoro aliens.\I don't know how to respond to that kind of confession...\So, this is goodbye.\Hey! Shiina, h-hold up!\Wait!\You're being a wimp, kouhai-kun! response:	What?
context: What?\I will defeat all of the Nyangoro aliens.\I don't know how to respond to that kind of confession...\So, this is goodbye.\Hey! Shiina, h-hold up!\Wait!\You're being a wimp, kouhai-kun!\What? response:	Take your rejection like a man, for the sake of Earth's future!
context: I will defeat all of the Nyangoro aliens.\I don't know how to respond to that kind of confession...\So, this is goodbye.\Hey! Shiina, h-hold up!\Wait!\You're being a wimp, kouhai-kun!\What?\Take your rejection like a man, for the sake of Earth's future! response:	What's going on here?
context: I don't know how to respond to that kind of confession...\So, this is goodbye.\Hey! Shiina, h-hold up!\Wait!\You're being a wimp, kouhai-kun!\What?\Take your rejection like a man, for the sake of Earth's future!\What's going on here? response:	What was with that dream?
context: So, this is goodbye.\Hey! Shiina, h-hold up!\Wait!\You're being a wimp, kouhai-kun!\What?\Take your rejection like a man, for the sake of Earth's future!\What's going on here?\What was with that dream? response:	What? Are you still dreaming?
context: Hey! Shiina, h-hold up!\Wait!\You're being a wimp, kouhai-kun!\What?\Take your rejection like a man, for the sake of Earth's future!\What's going on here?\What was with that dream?\What? Are you still dreaming? response:	Jin-san? What are you, psychic?
context: Wait!\You're being a wimp, kouhai-kun!\What?\Take your rejection like a man, for the sake of Earth's future!\What's going on here?\What was with that dream?\What? Are you still dreaming?\Jin-san? What are you, psychic? response:	I get that a lot, but I'm afraid not.
context: You're being a wimp, kouhai-kun!\What?\Take your rejection like a man, for the sake of Earth's future!\What's going on here?\What was with that dream?\What? Are you still dreaming?\Jin-san? What are you, psychic?\I get that a lot, but I'm afraid not. response:	I thought you might still be buzzing from the Nyapollon experience.
context: What?\Take your rejection like a man, for the sake of Earth's future!\What's going on here?\What was with that dream?\What? Are you still dreaming?\Jin-san? What are you, psychic?\I get that a lot, but I'm afraid not.\I thought you might still be buzzing from the Nyapollon experience. response:	Oh, that...
context: Take your rejection like a man, for the sake of Earth's future!\What's going on here?\What was with that dream?\What? Are you still dreaming?\Jin-san? What are you, psychic?\I get that a lot, but I'm afraid not.\I thought you might still be buzzing from the Nyapollon experience.\Oh, that... response:	Look at this.
