context: Puella Magi Madoka Magica Episode 9 response:	OP
context: Puella Magi Madoka Magica Episode 9\OP response:	Episode 9: I won't let that happen.
context: Puella Magi Madoka Magica Episode 9\OP\Episode 9: I won't let that happen. response:	Huh?
context: Puella Magi Madoka Magica Episode 9\OP\Episode 9: I won't let that happen.\Huh? response:	Mm.
context: Puella Magi Madoka Magica Episode 9\OP\Episode 9: I won't let that happen.\Huh?\Mm. response:	Akemi Homura
context: Puella Magi Madoka Magica Episode 9\OP\Episode 9: I won't let that happen.\Huh?\Mm.\Akemi Homura response:	credits
context: Puella Magi Madoka Magica Episode 9\OP\Episode 9: I won't let that happen.\Huh?\Mm.\Akemi Homura\credits response:	preview
context: Puella Magi Madoka Magica Episode 9\OP\Episode 9: I won't let that happen.\Huh?\Mm.\Akemi Homura\credits\preview response:	Akemi Homura
context: OP\Episode 9: I won't let that happen.\Huh?\Mm.\Akemi Homura\credits\preview\Akemi Homura response:	Episode 10: Don't depend on anyone anymore.
context: Episode 9: I won't let that happen.\Huh?\Mm.\Akemi Homura\credits\preview\Akemi Homura\Episode 10: Don't depend on anyone anymore. response:	When wishing for someone else's happiness,
context: Huh?\Mm.\Akemi Homura\credits\preview\Akemi Homura\Episode 10: Don't depend on anyone anymore.\When wishing for someone else's happiness, response:	someone must be cursed in order to keep the balance.
context: Mm.\Akemi Homura\credits\preview\Akemi Homura\Episode 10: Don't depend on anyone anymore.\When wishing for someone else's happiness,\someone must be cursed in order to keep the balance. response:	That's how Magical Girls work.
context: Akemi Homura\credits\preview\Akemi Homura\Episode 10: Don't depend on anyone anymore.\When wishing for someone else's happiness,\someone must be cursed in order to keep the balance.\That's how Magical Girls work. response:	I'm...
context: credits\preview\Akemi Homura\Episode 10: Don't depend on anyone anymore.\When wishing for someone else's happiness,\someone must be cursed in order to keep the balance.\That's how Magical Girls work.\I'm... response:	Sayaka!
context: preview\Akemi Homura\Episode 10: Don't depend on anyone anymore.\When wishing for someone else's happiness,\someone must be cursed in order to keep the balance.\That's how Magical Girls work.\I'm...\Sayaka! response:	What is this?
context: Akemi Homura\Episode 10: Don't depend on anyone anymore.\When wishing for someone else's happiness,\someone must be cursed in order to keep the balance.\That's how Magical Girls work.\I'm...\Sayaka!\What is this? response:	What the hell are you?
context: Episode 10: Don't depend on anyone anymore.\When wishing for someone else's happiness,\someone must be cursed in order to keep the balance.\That's how Magical Girls work.\I'm...\Sayaka!\What is this?\What the hell are you? response:	What did you do to Sayaka?
context: When wishing for someone else's happiness,\someone must be cursed in order to keep the balance.\That's how Magical Girls work.\I'm...\Sayaka!\What is this?\What the hell are you?\What did you do to Sayaka? response:	Retreat.
context: someone must be cursed in order to keep the balance.\That's how Magical Girls work.\I'm...\Sayaka!\What is this?\What the hell are you?\What did you do to Sayaka?\Retreat. response:	Grab on.
context: That's how Magical Girls work.\I'm...\Sayaka!\What is this?\What the hell are you?\What did you do to Sayaka?\Retreat.\Grab on. response:	What?
context: I'm...\Sayaka!\What is this?\What the hell are you?\What did you do to Sayaka?\Retreat.\Grab on.\What? response:	Don't ask questions.
context: Sayaka!\What is this?\What the hell are you?\What did you do to Sayaka?\Retreat.\Grab on.\What?\Don't ask questions. response:	This is...
context: What is this?\What the hell are you?\What did you do to Sayaka?\Retreat.\Grab on.\What?\Don't ask questions.\This is... response:	Once you let go of my hand time will stop for you too.
context: What the hell are you?\What did you do to Sayaka?\Retreat.\Grab on.\What?\Don't ask questions.\This is...\Once you let go of my hand time will stop for you too. response:	Be careful.
context: What did you do to Sayaka?\Retreat.\Grab on.\What?\Don't ask questions.\This is...\Once you let go of my hand time will stop for you too.\Be careful. response:	What the hell is going on?
context: Retreat.\Grab on.\What?\Don't ask questions.\This is...\Once you let go of my hand time will stop for you too.\Be careful.\What the hell is going on? response:	Who is that Witch?
context: Grab on.\What?\Don't ask questions.\This is...\Once you let go of my hand time will stop for you too.\Be careful.\What the hell is going on?\Who is that Witch? response:	That used to be Miki Sayaka.
context: What?\Don't ask questions.\This is...\Once you let go of my hand time will stop for you too.\Be careful.\What the hell is going on?\Who is that Witch?\That used to be Miki Sayaka. response:	You should have witnessed that yourself.
context: Don't ask questions.\This is...\Once you let go of my hand time will stop for you too.\Be careful.\What the hell is going on?\Who is that Witch?\That used to be Miki Sayaka.\You should have witnessed that yourself. response:	Are we running?
context: This is...\Once you let go of my hand time will stop for you too.\Be careful.\What the hell is going on?\Who is that Witch?\That used to be Miki Sayaka.\You should have witnessed that yourself.\Are we running? response:	If you don't want to run, drop what you are carrying now,
context: Once you let go of my hand time will stop for you too.\Be careful.\What the hell is going on?\Who is that Witch?\That used to be Miki Sayaka.\You should have witnessed that yourself.\Are we running?\If you don't want to run, drop what you are carrying now, response:	and go and kill that Witch.
context: Be careful.\What the hell is going on?\Who is that Witch?\That used to be Miki Sayaka.\You should have witnessed that yourself.\Are we running?\If you don't want to run, drop what you are carrying now,\and go and kill that Witch. response:	Can you do it?
context: What the hell is going on?\Who is that Witch?\That used to be Miki Sayaka.\You should have witnessed that yourself.\Are we running?\If you don't want to run, drop what you are carrying now,\and go and kill that Witch.\Can you do it? response:	Don't joke around!
