context: Summer is almost over. response:	Hey Sakura What?
context: Summer is almost over.\Hey Sakura What? response:	Is it really okay that we have so much free time lately?
context: Summer is almost over.\Hey Sakura What?\Is it really okay that we have so much free time lately? response:	What are you talking about?
context: Summer is almost over.\Hey Sakura What?\Is it really okay that we have so much free time lately?\What are you talking about? response:	Because of that,
context: Summer is almost over.\Hey Sakura What?\Is it really okay that we have so much free time lately?\What are you talking about?\Because of that, response:	we had lots of time to play, didn't we?
context: Summer is almost over.\Hey Sakura What?\Is it really okay that we have so much free time lately?\What are you talking about?\Because of that,\we had lots of time to play, didn't we? response:	Yeah, but'
context: Summer is almost over.\Hey Sakura What?\Is it really okay that we have so much free time lately?\What are you talking about?\Because of that,\we had lots of time to play, didn't we?\Yeah, but' response:	Huh? What are you doing?
context: Summer is almost over.\Hey Sakura What?\Is it really okay that we have so much free time lately?\What are you talking about?\Because of that,\we had lots of time to play, didn't we?\Yeah, but'\Huh? What are you doing? response:	I got a letter from Miss Mizuki,
context: Hey Sakura What?\Is it really okay that we have so much free time lately?\What are you talking about?\Because of that,\we had lots of time to play, didn't we?\Yeah, but'\Huh? What are you doing?\I got a letter from Miss Mizuki, response:	so I'm writing her back
context: Is it really okay that we have so much free time lately?\What are you talking about?\Because of that,\we had lots of time to play, didn't we?\Yeah, but'\Huh? What are you doing?\I got a letter from Miss Mizuki,\so I'm writing her back response:	That lady went somewhere
context: What are you talking about?\Because of that,\we had lots of time to play, didn't we?\Yeah, but'\Huh? What are you doing?\I got a letter from Miss Mizuki,\so I'm writing her back\That lady went somewhere response:	oversea to study, didn't she
context: Because of that,\we had lots of time to play, didn't we?\Yeah, but'\Huh? What are you doing?\I got a letter from Miss Mizuki,\so I'm writing her back\That lady went somewhere\oversea to study, didn't she response:	Is she doing fine?
context: we had lots of time to play, didn't we?\Yeah, but'\Huh? What are you doing?\I got a letter from Miss Mizuki,\so I'm writing her back\That lady went somewhere\oversea to study, didn't she\Is she doing fine? response:	Yeah, she said she's studyng hard.
context: Yeah, but'\Huh? What are you doing?\I got a letter from Miss Mizuki,\so I'm writing her back\That lady went somewhere\oversea to study, didn't she\Is she doing fine?\Yeah, she said she's studyng hard. response:	But thanks to her,
context: Huh? What are you doing?\I got a letter from Miss Mizuki,\so I'm writing her back\That lady went somewhere\oversea to study, didn't she\Is she doing fine?\Yeah, she said she's studyng hard.\But thanks to her, response:	you've officially become the Mistress of the Clow Cards
context: I got a letter from Miss Mizuki,\so I'm writing her back\That lady went somewhere\oversea to study, didn't she\Is she doing fine?\Yeah, she said she's studyng hard.\But thanks to her,\you've officially become the Mistress of the Clow Cards response:	I'm real glad for that.
context: so I'm writing her back\That lady went somewhere\oversea to study, didn't she\Is she doing fine?\Yeah, she said she's studyng hard.\But thanks to her,\you've officially become the Mistress of the Clow Cards\I'm real glad for that. response:	Why? Isn't it obvious?
context: That lady went somewhere\oversea to study, didn't she\Is she doing fine?\Yeah, she said she's studyng hard.\But thanks to her,\you've officially become the Mistress of the Clow Cards\I'm real glad for that.\Why? Isn't it obvious? response:	If that brat had become the Master,
context: oversea to study, didn't she\Is she doing fine?\Yeah, she said she's studyng hard.\But thanks to her,\you've officially become the Mistress of the Clow Cards\I'm real glad for that.\Why? Isn't it obvious?\If that brat had become the Master, response:	I'd have lost all my confidence to live.
context: Is she doing fine?\Yeah, she said she's studyng hard.\But thanks to her,\you've officially become the Mistress of the Clow Cards\I'm real glad for that.\Why? Isn't it obvious?\If that brat had become the Master,\I'd have lost all my confidence to live. response:	Don't say that!
context: Yeah, she said she's studyng hard.\But thanks to her,\you've officially become the Mistress of the Clow Cards\I'm real glad for that.\Why? Isn't it obvious?\If that brat had become the Master,\I'd have lost all my confidence to live.\Don't say that! response:	Li worked hard at it too!
context: But thanks to her,\you've officially become the Mistress of the Clow Cards\I'm real glad for that.\Why? Isn't it obvious?\If that brat had become the Master,\I'd have lost all my confidence to live.\Don't say that!\Li worked hard at it too! response:	By the way, what's he gonna do?
context: you've officially become the Mistress of the Clow Cards\I'm real glad for that.\Why? Isn't it obvious?\If that brat had become the Master,\I'd have lost all my confidence to live.\Don't say that!\Li worked hard at it too!\By the way, what's he gonna do? response:	Has he gone back to Hong Kong yet?
context: I'm real glad for that.\Why? Isn't it obvious?\If that brat had become the Master,\I'd have lost all my confidence to live.\Don't say that!\Li worked hard at it too!\By the way, what's he gonna do?\Has he gone back to Hong Kong yet? response:	Not yet,
context: Why? Isn't it obvious?\If that brat had become the Master,\I'd have lost all my confidence to live.\Don't say that!\Li worked hard at it too!\By the way, what's he gonna do?\Has he gone back to Hong Kong yet?\Not yet, response:	but he said he'd be going back soon.
context: If that brat had become the Master,\I'd have lost all my confidence to live.\Don't say that!\Li worked hard at it too!\By the way, what's he gonna do?\Has he gone back to Hong Kong yet?\Not yet,\but he said he'd be going back soon. response:	With this much free time every day,
