context: These are fan letters. response:	Wow, that's a lot!
context: These are fan letters.\Wow, that's a lot! response:	It's pretty rare to get so many.
context: These are fan letters.\Wow, that's a lot!\It's pretty rare to get so many. response:	People are writing their impressions on the net, so there are more emails.
context: These are fan letters.\Wow, that's a lot!\It's pretty rare to get so many.\People are writing their impressions on the net, so there are more emails. response:	Perhaps because they heard of this mysterious middle school writer?
context: These are fan letters.\Wow, that's a lot!\It's pretty rare to get so many.\People are writing their impressions on the net, so there are more emails.\Perhaps because they heard of this mysterious middle school writer? response:	Of course, the book itself is their main focus.
context: These are fan letters.\Wow, that's a lot!\It's pretty rare to get so many.\People are writing their impressions on the net, so there are more emails.\Perhaps because they heard of this mysterious middle school writer?\Of course, the book itself is their main focus. response:	There's even another run of it being printed, after all.
context: These are fan letters.\Wow, that's a lot!\It's pretty rare to get so many.\People are writing their impressions on the net, so there are more emails.\Perhaps because they heard of this mysterious middle school writer?\Of course, the book itself is their main focus.\There's even another run of it being printed, after all. response:	Okay! Thank you!
context: These are fan letters.\Wow, that's a lot!\It's pretty rare to get so many.\People are writing their impressions on the net, so there are more emails.\Perhaps because they heard of this mysterious middle school writer?\Of course, the book itself is their main focus.\There's even another run of it being printed, after all.\Okay! Thank you! response:	Also...
context: Wow, that's a lot!\It's pretty rare to get so many.\People are writing their impressions on the net, so there are more emails.\Perhaps because they heard of this mysterious middle school writer?\Of course, the book itself is their main focus.\There's even another run of it being printed, after all.\Okay! Thank you!\Also... response:	It's only something I heard, but...
context: It's pretty rare to get so many.\People are writing their impressions on the net, so there are more emails.\Perhaps because they heard of this mysterious middle school writer?\Of course, the book itself is their main focus.\There's even another run of it being printed, after all.\Okay! Thank you!\Also...\It's only something I heard, but... response:	So this way, it becomes more exciti
context: People are writing their impressions on the net, so there are more emails.\Perhaps because they heard of this mysterious middle school writer?\Of course, the book itself is their main focus.\There's even another run of it being printed, after all.\Okay! Thank you!\Also...\It's only something I heard, but...\So this way, it becomes more exciti response:	What?!
context: Perhaps because they heard of this mysterious middle school writer?\Of course, the book itself is their main focus.\There's even another run of it being printed, after all.\Okay! Thank you!\Also...\It's only something I heard, but...\So this way, it becomes more exciti\What?! response:	Into an anime??
context: Of course, the book itself is their main focus.\There's even another run of it being printed, after all.\Okay! Thank you!\Also...\It's only something I heard, but...\So this way, it becomes more exciti\What?!\Into an anime?? response:	Congratulations again on your anime!
context: There's even another run of it being printed, after all.\Okay! Thank you!\Also...\It's only something I heard, but...\So this way, it becomes more exciti\What?!\Into an anime??\Congratulations again on your anime! response:	Well it's not for sure yet...
