context: you won't be able to save the two in the basement! response:	Hey, Yu, Ayumi. It's been a while.
context: you won't be able to save the two in the basement!\Hey, Yu, Ayumi. It's been a while. response:	Hello.
context: you won't be able to save the two in the basement!\Hey, Yu, Ayumi. It's been a while.\Hello. response:	Um... who are you?
context: you won't be able to save the two in the basement!\Hey, Yu, Ayumi. It's been a while.\Hello.\Um... who are you? response:	He's our big brother.
context: you won't be able to save the two in the basement!\Hey, Yu, Ayumi. It's been a while.\Hello.\Um... who are you?\He's our big brother. response:	There was a reason behind it,
context: you won't be able to save the two in the basement!\Hey, Yu, Ayumi. It's been a while.\Hello.\Um... who are you?\He's our big brother.\There was a reason behind it, response:	but I had someone delete your memories pertaining to me
context: you won't be able to save the two in the basement!\Hey, Yu, Ayumi. It's been a while.\Hello.\Um... who are you?\He's our big brother.\There was a reason behind it,\but I had someone delete your memories pertaining to me response:	Really? Why is that?
context: you won't be able to save the two in the basement!\Hey, Yu, Ayumi. It's been a while.\Hello.\Um... who are you?\He's our big brother.\There was a reason behind it,\but I had someone delete your memories pertaining to me\Really? Why is that? response:	Yeah.. There was a lot going on.
context: Hey, Yu, Ayumi. It's been a while.\Hello.\Um... who are you?\He's our big brother.\There was a reason behind it,\but I had someone delete your memories pertaining to me\Really? Why is that?\Yeah.. There was a lot going on. response:	Seems like it, Big Brother.
context: Hello.\Um... who are you?\He's our big brother.\There was a reason behind it,\but I had someone delete your memories pertaining to me\Really? Why is that?\Yeah.. There was a lot going on.\Seems like it, Big Brother. response:	Yu, you finally were fully aware of using an ability you took via your plunder.
context: Um... who are you?\He's our big brother.\There was a reason behind it,\but I had someone delete your memories pertaining to me\Really? Why is that?\Yeah.. There was a lot going on.\Seems like it, Big Brother.\Yu, you finally were fully aware of using an ability you took via your plunder. response:	That's why I had you come here with Ayumi.
context: He's our big brother.\There was a reason behind it,\but I had someone delete your memories pertaining to me\Really? Why is that?\Yeah.. There was a lot going on.\Seems like it, Big Brother.\Yu, you finally were fully aware of using an ability you took via your plunder.\That's why I had you come here with Ayumi. response:	In either case, I would have ended up here... that's convenient.
context: There was a reason behind it,\but I had someone delete your memories pertaining to me\Really? Why is that?\Yeah.. There was a lot going on.\Seems like it, Big Brother.\Yu, you finally were fully aware of using an ability you took via your plunder.\That's why I had you come here with Ayumi.\In either case, I would have ended up here... that's convenient. response:	What do you mean by that?
context: but I had someone delete your memories pertaining to me\Really? Why is that?\Yeah.. There was a lot going on.\Seems like it, Big Brother.\Yu, you finally were fully aware of using an ability you took via your plunder.\That's why I had you come here with Ayumi.\In either case, I would have ended up here... that's convenient.\What do you mean by that? response:	Big Brother, actually...
context: Really? Why is that?\Yeah.. There was a lot going on.\Seems like it, Big Brother.\Yu, you finally were fully aware of using an ability you took via your plunder.\That's why I had you come here with Ayumi.\In either case, I would have ended up here... that's convenient.\What do you mean by that?\Big Brother, actually... response:	So you used my time-leap...
context: Yeah.. There was a lot going on.\Seems like it, Big Brother.\Yu, you finally were fully aware of using an ability you took via your plunder.\That's why I had you come here with Ayumi.\In either case, I would have ended up here... that's convenient.\What do you mean by that?\Big Brother, actually...\So you used my time-leap... response:	So, what's going to happen now? Can I go back together with you, Big Brother?
context: Seems like it, Big Brother.\Yu, you finally were fully aware of using an ability you took via your plunder.\That's why I had you come here with Ayumi.\In either case, I would have ended up here... that's convenient.\What do you mean by that?\Big Brother, actually...\So you used my time-leap...\So, what's going to happen now? Can I go back together with you, Big Brother? response:	More like the reverse. You can plunder any ability you want.
context: Yu, you finally were fully aware of using an ability you took via your plunder.\That's why I had you come here with Ayumi.\In either case, I would have ended up here... that's convenient.\What do you mean by that?\Big Brother, actually...\So you used my time-leap...\So, what's going to happen now? Can I go back together with you, Big Brother?\More like the reverse. You can plunder any ability you want. response:	You are the strongest of all ability wielders.
context: That's why I had you come here with Ayumi.\In either case, I would have ended up here... that's convenient.\What do you mean by that?\Big Brother, actually...\So you used my time-leap...\So, what's going to happen now? Can I go back together with you, Big Brother?\More like the reverse. You can plunder any ability you want.\You are the strongest of all ability wielders. response:	And, you even have the power of time-leap now...
context: In either case, I would have ended up here... that's convenient.\What do you mean by that?\Big Brother, actually...\So you used my time-leap...\So, what's going to happen now? Can I go back together with you, Big Brother?\More like the reverse. You can plunder any ability you want.\You are the strongest of all ability wielders.\And, you even have the power of time-leap now... response:	that is too much of a menace
context: What do you mean by that?\Big Brother, actually...\So you used my time-leap...\So, what's going to happen now? Can I go back together with you, Big Brother?\More like the reverse. You can plunder any ability you want.\You are the strongest of all ability wielders.\And, you even have the power of time-leap now...\that is too much of a menace response:	What are you trying to say?
context: Big Brother, actually...\So you used my time-leap...\So, what's going to happen now? Can I go back together with you, Big Brother?\More like the reverse. You can plunder any ability you want.\You are the strongest of all ability wielders.\And, you even have the power of time-leap now...\that is too much of a menace\What are you trying to say? response:	There are syndicates abound that would try to use your powers.
context: So you used my time-leap...\So, what's going to happen now? Can I go back together with you, Big Brother?\More like the reverse. You can plunder any ability you want.\You are the strongest of all ability wielders.\And, you even have the power of time-leap now...\that is too much of a menace\What are you trying to say?\There are syndicates abound that would try to use your powers. response:	I can't let you live life as you have been until now.
context: So, what's going to happen now? Can I go back together with you, Big Brother?\More like the reverse. You can plunder any ability you want.\You are the strongest of all ability wielders.\And, you even have the power of time-leap now...\that is too much of a menace\What are you trying to say?\There are syndicates abound that would try to use your powers.\I can't let you live life as you have been until now. response:	You have to spend your days here until those abilities dissipate.
