context: A dream? response:	It's this dream again.
context: A dream?\It's this dream again. response:	Kero-chan and I'
context: A dream?\It's this dream again.\Kero-chan and I' response:	I know'
context: A dream?\It's this dream again.\Kero-chan and I'\I know' response:	I know that person.
context: A dream?\It's this dream again.\Kero-chan and I'\I know'\I know that person. response:	Mizuki-sensei'?
context: A dream?\It's this dream again.\Kero-chan and I'\I know'\I know that person.\Mizuki-sensei'? response:	Kero-chan'
context: A dream?\It's this dream again.\Kero-chan and I'\I know'\I know that person.\Mizuki-sensei'?\Kero-chan' response:	You're finally awake.
context: A dream?\It's this dream again.\Kero-chan and I'\I know'\I know that person.\Mizuki-sensei'?\Kero-chan'\You're finally awake. response:	What were you doing'
context: It's this dream again.\Kero-chan and I'\I know'\I know that person.\Mizuki-sensei'?\Kero-chan'\You're finally awake.\What were you doing' response:	The alarm's been going off all this time,
context: Kero-chan and I'\I know'\I know that person.\Mizuki-sensei'?\Kero-chan'\You're finally awake.\What were you doing'\The alarm's been going off all this time, response:	and you wouldn't get up!
context: I know'\I know that person.\Mizuki-sensei'?\Kero-chan'\You're finally awake.\What were you doing'\The alarm's been going off all this time,\and you wouldn't get up! response:	And you call yourself a 5th-grader today.
context: I know that person.\Mizuki-sensei'?\Kero-chan'\You're finally awake.\What were you doing'\The alarm's been going off all this time,\and you wouldn't get up!\And you call yourself a 5th-grader today. response:	That's right!
context: Mizuki-sensei'?\Kero-chan'\You're finally awake.\What were you doing'\The alarm's been going off all this time,\and you wouldn't get up!\And you call yourself a 5th-grader today.\That's right! response:	I'm Sakura Kinomoto.
context: Kero-chan'\You're finally awake.\What were you doing'\The alarm's been going off all this time,\and you wouldn't get up!\And you call yourself a 5th-grader today.\That's right!\I'm Sakura Kinomoto. response:	I'm a 5th-grader from today on.
context: You're finally awake.\What were you doing'\The alarm's been going off all this time,\and you wouldn't get up!\And you call yourself a 5th-grader today.\That's right!\I'm Sakura Kinomoto.\I'm a 5th-grader from today on. response:	I still don't like math.
context: What were you doing'\The alarm's been going off all this time,\and you wouldn't get up!\And you call yourself a 5th-grader today.\That's right!\I'm Sakura Kinomoto.\I'm a 5th-grader from today on.\I still don't like math. response:	But I love P.E. and music.
context: The alarm's been going off all this time,\and you wouldn't get up!\And you call yourself a 5th-grader today.\That's right!\I'm Sakura Kinomoto.\I'm a 5th-grader from today on.\I still don't like math.\But I love P.E. and music. response:	Basically, I'm an energetic girl.
context: and you wouldn't get up!\And you call yourself a 5th-grader today.\That's right!\I'm Sakura Kinomoto.\I'm a 5th-grader from today on.\I still don't like math.\But I love P.E. and music.\Basically, I'm an energetic girl. response:	Oh, talk about something unusual'
context: And you call yourself a 5th-grader today.\That's right!\I'm Sakura Kinomoto.\I'm a 5th-grader from today on.\I still don't like math.\But I love P.E. and music.\Basically, I'm an energetic girl.\Oh, talk about something unusual' response:	No matter what cards you've gathered
context: That's right!\I'm Sakura Kinomoto.\I'm a 5th-grader from today on.\I still don't like math.\But I love P.E. and music.\Basically, I'm an energetic girl.\Oh, talk about something unusual'\No matter what cards you've gathered response:	or how much magic you've gained,
context: I'm Sakura Kinomoto.\I'm a 5th-grader from today on.\I still don't like math.\But I love P.E. and music.\Basically, I'm an energetic girl.\Oh, talk about something unusual'\No matter what cards you've gathered\or how much magic you've gained, response:	You're still a sleepyhead.
context: I'm a 5th-grader from today on.\I still don't like math.\But I love P.E. and music.\Basically, I'm an energetic girl.\Oh, talk about something unusual'\No matter what cards you've gathered\or how much magic you've gained,\You're still a sleepyhead. response:	And you captured these many cards
context: I still don't like math.\But I love P.E. and music.\Basically, I'm an energetic girl.\Oh, talk about something unusual'\No matter what cards you've gathered\or how much magic you've gained,\You're still a sleepyhead.\And you captured these many cards response:	during' spring break too'
context: But I love P.E. and music.\Basically, I'm an energetic girl.\Oh, talk about something unusual'\No matter what cards you've gathered\or how much magic you've gained,\You're still a sleepyhead.\And you captured these many cards\during' spring break too' response:	These are the Clow Cards
context: Basically, I'm an energetic girl.\Oh, talk about something unusual'\No matter what cards you've gathered\or how much magic you've gained,\You're still a sleepyhead.\And you captured these many cards\during' spring break too'\These are the Clow Cards response:	where I get my magical powers.
context: Oh, talk about something unusual'\No matter what cards you've gathered\or how much magic you've gained,\You're still a sleepyhead.\And you captured these many cards\during' spring break too'\These are the Clow Cards\where I get my magical powers. response:	Good morning!
context: No matter what cards you've gathered\or how much magic you've gained,\You're still a sleepyhead.\And you captured these many cards\during' spring break too'\These are the Clow Cards\where I get my magical powers.\Good morning! response:	Yo, monster.
context: or how much magic you've gained,\You're still a sleepyhead.\And you captured these many cards\during' spring break too'\These are the Clow Cards\where I get my magical powers.\Good morning!\Yo, monster. response:	O-onii-chan!!
context: You're still a sleepyhead.\And you captured these many cards\during' spring break too'\These are the Clow Cards\where I get my magical powers.\Good morning!\Yo, monster.\O-onii-chan!! response:	Your alarm's been going off like that and you could still oversleep so much.
context: And you captured these many cards\during' spring break too'\These are the Clow Cards\where I get my magical powers.\Good morning!\Yo, monster.\O-onii-chan!!\Your alarm's been going off like that and you could still oversleep so much. response:	You're a monster all right.
context: during' spring break too'\These are the Clow Cards\where I get my magical powers.\Good morning!\Yo, monster.\O-onii-chan!!\Your alarm's been going off like that and you could still oversleep so much.\You're a monster all right. response:	I said
context: These are the Clow Cards\where I get my magical powers.\Good morning!\Yo, monster.\O-onii-chan!!\Your alarm's been going off like that and you could still oversleep so much.\You're a monster all right.\I said response:	I'm not a monster!
context: where I get my magical powers.\Good morning!\Yo, monster.\O-onii-chan!!\Your alarm's been going off like that and you could still oversleep so much.\You're a monster all right.\I said\I'm not a monster! response:	Good morning.
context: Good morning!\Yo, monster.\O-onii-chan!!\Your alarm's been going off like that and you could still oversleep so much.\You're a monster all right.\I said\I'm not a monster!\Good morning. response:	Good morning.
context: Yo, monster.\O-onii-chan!!\Your alarm's been going off like that and you could still oversleep so much.\You're a monster all right.\I said\I'm not a monster!\Good morning.\Good morning. response:	Good morning, Father.
context: O-onii-chan!!\Your alarm's been going off like that and you could still oversleep so much.\You're a monster all right.\I said\I'm not a monster!\Good morning.\Good morning.\Good morning, Father. response:	Good morning,
context: Your alarm's been going off like that and you could still oversleep so much.\You're a monster all right.\I said\I'm not a monster!\Good morning.\Good morning.\Good morning, Father.\Good morning, response:	Let's eat!
context: You're a monster all right.\I said\I'm not a monster!\Good morning.\Good morning.\Good morning, Father.\Good morning,\Let's eat! response:	From today on, Sakura is a 5th-grader,
context: I said\I'm not a monster!\Good morning.\Good morning.\Good morning, Father.\Good morning,\Let's eat!\From today on, Sakura is a 5th-grader, response:	and Touya is a high school senior.
context: I'm not a monster!\Good morning.\Good morning.\Good morning, Father.\Good morning,\Let's eat!\From today on, Sakura is a 5th-grader,\and Touya is a high school senior. response:	Yeah.
context: Good morning.\Good morning.\Good morning, Father.\Good morning,\Let's eat!\From today on, Sakura is a 5th-grader,\and Touya is a high school senior.\Yeah. response:	Sakura, do you guys swap classes?
context: Good morning.\Good morning, Father.\Good morning,\Let's eat!\From today on, Sakura is a 5th-grader,\and Touya is a high school senior.\Yeah.\Sakura, do you guys swap classes? response:	No. The entire class stays the way it was
context: Good morning, Father.\Good morning,\Let's eat!\From today on, Sakura is a 5th-grader,\and Touya is a high school senior.\Yeah.\Sakura, do you guys swap classes?\No. The entire class stays the way it was response:	and moves on to 5th grade.
context: Good morning,\Let's eat!\From today on, Sakura is a 5th-grader,\and Touya is a high school senior.\Yeah.\Sakura, do you guys swap classes?\No. The entire class stays the way it was\and moves on to 5th grade. response:	So you'll be in the same class with Tomoyo-san.
context: Let's eat!\From today on, Sakura is a 5th-grader,\and Touya is a high school senior.\Yeah.\Sakura, do you guys swap classes?\No. The entire class stays the way it was\and moves on to 5th grade.\So you'll be in the same class with Tomoyo-san. response:	I'm glad for you.
context: From today on, Sakura is a 5th-grader,\and Touya is a high school senior.\Yeah.\Sakura, do you guys swap classes?\No. The entire class stays the way it was\and moves on to 5th grade.\So you'll be in the same class with Tomoyo-san.\I'm glad for you. response:	Um' What about you?
context: and Touya is a high school senior.\Yeah.\Sakura, do you guys swap classes?\No. The entire class stays the way it was\and moves on to 5th grade.\So you'll be in the same class with Tomoyo-san.\I'm glad for you.\Um' What about you? response:	Are you and Yukito in the same class'
context: Yeah.\Sakura, do you guys swap classes?\No. The entire class stays the way it was\and moves on to 5th grade.\So you'll be in the same class with Tomoyo-san.\I'm glad for you.\Um' What about you?\Are you and Yukito in the same class' response:	We swap classes,
