context: Hey, Nana. Do you remember the first time we met? response:	I'm the type who believes in things like fate.
context: Hey, Nana. Do you remember the first time we met?\I'm the type who believes in things like fate. response:	So I think it was fate.
context: Hey, Nana. Do you remember the first time we met?\I'm the type who believes in things like fate.\So I think it was fate. response:	You can laugh if you want.
context: Hey, Nana. Do you remember the first time we met?\I'm the type who believes in things like fate.\So I think it was fate.\You can laugh if you want. response:	You have a new message Unopened messages: 1
context: Hey, Nana. Do you remember the first time we met?\I'm the type who believes in things like fate.\So I think it was fate.\You can laugh if you want.\You have a new message Unopened messages: 1 response:	Dear God! Great Buddha! Demon Lord!
context: Hey, Nana. Do you remember the first time we met?\I'm the type who believes in things like fate.\So I think it was fate.\You can laugh if you want.\You have a new message Unopened messages: 1\Dear God! Great Buddha! Demon Lord! response:	Shoji The sakura has blossomed
context: Hey, Nana. Do you remember the first time we met?\I'm the type who believes in things like fate.\So I think it was fate.\You can laugh if you want.\You have a new message Unopened messages: 1\Dear God! Great Buddha! Demon Lord!\Shoji The sakura has blossomed response:	All right!
context: Hey, Nana. Do you remember the first time we met?\I'm the type who believes in things like fate.\So I think it was fate.\You can laugh if you want.\You have a new message Unopened messages: 1\Dear God! Great Buddha! Demon Lord!\Shoji The sakura has blossomed\All right! response:	E-Excuse me, this...
context: I'm the type who believes in things like fate.\So I think it was fate.\You can laugh if you want.\You have a new message Unopened messages: 1\Dear God! Great Buddha! Demon Lord!\Shoji The sakura has blossomed\All right!\E-Excuse me, this... response:	Nana! What are you shouting for?
context: So I think it was fate.\You can laugh if you want.\You have a new message Unopened messages: 1\Dear God! Great Buddha! Demon Lord!\Shoji The sakura has blossomed\All right!\E-Excuse me, this...\Nana! What are you shouting for? response:	Oh, you want to return that?
context: You can laugh if you want.\You have a new message Unopened messages: 1\Dear God! Great Buddha! Demon Lord!\Shoji The sakura has blossomed\All right!\E-Excuse me, this...\Nana! What are you shouting for?\Oh, you want to return that? response:	This man will be happy to help you.
context: You have a new message Unopened messages: 1\Dear God! Great Buddha! Demon Lord!\Shoji The sakura has blossomed\All right!\E-Excuse me, this...\Nana! What are you shouting for?\Oh, you want to return that?\This man will be happy to help you. response:	Nana?
context: Dear God! Great Buddha! Demon Lord!\Shoji The sakura has blossomed\All right!\E-Excuse me, this...\Nana! What are you shouting for?\Oh, you want to return that?\This man will be happy to help you.\Nana? response:	From this moment on,
context: Shoji The sakura has blossomed\All right!\E-Excuse me, this...\Nana! What are you shouting for?\Oh, you want to return that?\This man will be happy to help you.\Nana?\From this moment on, response:	I'll have you know, I am no longer working here.
context: All right!\E-Excuse me, this...\Nana! What are you shouting for?\Oh, you want to return that?\This man will be happy to help you.\Nana?\From this moment on,\I'll have you know, I am no longer working here. response:	You're quitting?
context: E-Excuse me, this...\Nana! What are you shouting for?\Oh, you want to return that?\This man will be happy to help you.\Nana?\From this moment on,\I'll have you know, I am no longer working here.\You're quitting? response:	Thank you for all that you have done for me this past year,
context: Nana! What are you shouting for?\Oh, you want to return that?\This man will be happy to help you.\Nana?\From this moment on,\I'll have you know, I am no longer working here.\You're quitting?\Thank you for all that you have done for me this past year, response:	and do give my regards to the manager.
context: Oh, you want to return that?\This man will be happy to help you.\Nana?\From this moment on,\I'll have you know, I am no longer working here.\You're quitting?\Thank you for all that you have done for me this past year,\and do give my regards to the manager. response:	Oh, and tell him to be sure to transfer the rest of the pay he owes me
context: This man will be happy to help you.\Nana?\From this moment on,\I'll have you know, I am no longer working here.\You're quitting?\Thank you for all that you have done for me this past year,\and do give my regards to the manager.\Oh, and tell him to be sure to transfer the rest of the pay he owes me response:	into my bank account.
context: Nana?\From this moment on,\I'll have you know, I am no longer working here.\You're quitting?\Thank you for all that you have done for me this past year,\and do give my regards to the manager.\Oh, and tell him to be sure to transfer the rest of the pay he owes me\into my bank account. response:	Well then. Be well. I'll see you around!
context: From this moment on,\I'll have you know, I am no longer working here.\You're quitting?\Thank you for all that you have done for me this past year,\and do give my regards to the manager.\Oh, and tell him to be sure to transfer the rest of the pay he owes me\into my bank account.\Well then. Be well. I'll see you around! response:	Nana!
context: I'll have you know, I am no longer working here.\You're quitting?\Thank you for all that you have done for me this past year,\and do give my regards to the manager.\Oh, and tell him to be sure to transfer the rest of the pay he owes me\into my bank account.\Well then. Be well. I'll see you around!\Nana! response:	It's spring! Spring has finally come!
