context: Why do you refuse my call to be subjugated? response:	I'll never swear allegiance to the man who killed Lord Villar!
context: Why do you refuse my call to be subjugated?\I'll never swear allegiance to the man who killed Lord Villar! response:	Glory to... Altirk.
context: Why do you refuse my call to be subjugated?\I'll never swear allegiance to the man who killed Lord Villar!\Glory to... Altirk. response:	This castle and throne shall be relinquished to you.
context: Why do you refuse my call to be subjugated?\I'll never swear allegiance to the man who killed Lord Villar!\Glory to... Altirk.\This castle and throne shall be relinquished to you. response:	But it does not mean Altirk has been defeated.
context: Why do you refuse my call to be subjugated?\I'll never swear allegiance to the man who killed Lord Villar!\Glory to... Altirk.\This castle and throne shall be relinquished to you.\But it does not mean Altirk has been defeated. response:	How absurd.
context: Why do you refuse my call to be subjugated?\I'll never swear allegiance to the man who killed Lord Villar!\Glory to... Altirk.\This castle and throne shall be relinquished to you.\But it does not mean Altirk has been defeated.\How absurd. response:	As long as I rule here, this is no longer Altirk.
context: Why do you refuse my call to be subjugated?\I'll never swear allegiance to the man who killed Lord Villar!\Glory to... Altirk.\This castle and throne shall be relinquished to you.\But it does not mean Altirk has been defeated.\How absurd.\As long as I rule here, this is no longer Altirk. response:	It's Dartania now!
context: Why do you refuse my call to be subjugated?\I'll never swear allegiance to the man who killed Lord Villar!\Glory to... Altirk.\This castle and throne shall be relinquished to you.\But it does not mean Altirk has been defeated.\How absurd.\As long as I rule here, this is no longer Altirk.\It's Dartania now! response:	You bastard! The scum who murdered Lord Villar!
context: I'll never swear allegiance to the man who killed Lord Villar!\Glory to... Altirk.\This castle and throne shall be relinquished to you.\But it does not mean Altirk has been defeated.\How absurd.\As long as I rule here, this is no longer Altirk.\It's Dartania now!\You bastard! The scum who murdered Lord Villar! response:	L-Lord Villar...
context: Glory to... Altirk.\This castle and throne shall be relinquished to you.\But it does not mean Altirk has been defeated.\How absurd.\As long as I rule here, this is no longer Altirk.\It's Dartania now!\You bastard! The scum who murdered Lord Villar!\L-Lord Villar... response:	Villar.
context: This castle and throne shall be relinquished to you.\But it does not mean Altirk has been defeated.\How absurd.\As long as I rule here, this is no longer Altirk.\It's Dartania now!\You bastard! The scum who murdered Lord Villar!\L-Lord Villar...\Villar. response:	You accomplished nothing in life...
context: But it does not mean Altirk has been defeated.\How absurd.\As long as I rule here, this is no longer Altirk.\It's Dartania now!\You bastard! The scum who murdered Lord Villar!\L-Lord Villar...\Villar.\You accomplished nothing in life... response:	So what do you hope to do in death?
context: How absurd.\As long as I rule here, this is no longer Altirk.\It's Dartania now!\You bastard! The scum who murdered Lord Villar!\L-Lord Villar...\Villar.\You accomplished nothing in life...\So what do you hope to do in death? response:	Unfortunately, during the last battle, Lord Villar lost his life...
context: As long as I rule here, this is no longer Altirk.\It's Dartania now!\You bastard! The scum who murdered Lord Villar!\L-Lord Villar...\Villar.\You accomplished nothing in life...\So what do you hope to do in death?\Unfortunately, during the last battle, Lord Villar lost his life... response:	But the rest of us cannot afford to wallow in grief.
context: It's Dartania now!\You bastard! The scum who murdered Lord Villar!\L-Lord Villar...\Villar.\You accomplished nothing in life...\So what do you hope to do in death?\Unfortunately, during the last battle, Lord Villar lost his life...\But the rest of us cannot afford to wallow in grief. response:	Waldlind, Dartania and Nord will surely proceed with their invasion.
context: You bastard! The scum who murdered Lord Villar!\L-Lord Villar...\Villar.\You accomplished nothing in life...\So what do you hope to do in death?\Unfortunately, during the last battle, Lord Villar lost his life...\But the rest of us cannot afford to wallow in grief.\Waldlind, Dartania and Nord will surely proceed with their invasion. response:	To rise against them, it is imperative that we stand together.
context: L-Lord Villar...\Villar.\You accomplished nothing in life...\So what do you hope to do in death?\Unfortunately, during the last battle, Lord Villar lost his life...\But the rest of us cannot afford to wallow in grief.\Waldlind, Dartania and Nord will surely proceed with their invasion.\To rise against them, it is imperative that we stand together. response:	Many of you Lords have gathered here to carry on the legacy of Lord Villar, Earl of Altirk.
context: Villar.\You accomplished nothing in life...\So what do you hope to do in death?\Unfortunately, during the last battle, Lord Villar lost his life...\But the rest of us cannot afford to wallow in grief.\Waldlind, Dartania and Nord will surely proceed with their invasion.\To rise against them, it is imperative that we stand together.\Many of you Lords have gathered here to carry on the legacy of Lord Villar, Earl of Altirk. response:	As ratified by you all, I hereby proclaim the establishment of the Altirk Treaty.
context: You accomplished nothing in life...\So what do you hope to do in death?\Unfortunately, during the last battle, Lord Villar lost his life...\But the rest of us cannot afford to wallow in grief.\Waldlind, Dartania and Nord will surely proceed with their invasion.\To rise against them, it is imperative that we stand together.\Many of you Lords have gathered here to carry on the legacy of Lord Villar, Earl of Altirk.\As ratified by you all, I hereby proclaim the establishment of the Altirk Treaty. response:	So?
context: So what do you hope to do in death?\Unfortunately, during the last battle, Lord Villar lost his life...\But the rest of us cannot afford to wallow in grief.\Waldlind, Dartania and Nord will surely proceed with their invasion.\To rise against them, it is imperative that we stand together.\Many of you Lords have gathered here to carry on the legacy of Lord Villar, Earl of Altirk.\As ratified by you all, I hereby proclaim the establishment of the Altirk Treaty.\So? response:	Who will be our leader?
context: Unfortunately, during the last battle, Lord Villar lost his life...\But the rest of us cannot afford to wallow in grief.\Waldlind, Dartania and Nord will surely proceed with their invasion.\To rise against them, it is imperative that we stand together.\Many of you Lords have gathered here to carry on the legacy of Lord Villar, Earl of Altirk.\As ratified by you all, I hereby proclaim the establishment of the Altirk Treaty.\So?\Who will be our leader? response:	I believe Lord Villar's own younger brother, Lord Selge, is the natural choice, don't you?
context: But the rest of us cannot afford to wallow in grief.\Waldlind, Dartania and Nord will surely proceed with their invasion.\To rise against them, it is imperative that we stand together.\Many of you Lords have gathered here to carry on the legacy of Lord Villar, Earl of Altirk.\As ratified by you all, I hereby proclaim the establishment of the Altirk Treaty.\So?\Who will be our leader?\I believe Lord Villar's own younger brother, Lord Selge, is the natural choice, don't you? response:	Of course I want to avenge my brother.
context: Waldlind, Dartania and Nord will surely proceed with their invasion.\To rise against them, it is imperative that we stand together.\Many of you Lords have gathered here to carry on the legacy of Lord Villar, Earl of Altirk.\As ratified by you all, I hereby proclaim the establishment of the Altirk Treaty.\So?\Who will be our leader?\I believe Lord Villar's own younger brother, Lord Selge, is the natural choice, don't you?\Of course I want to avenge my brother. response:	But I am not worthy for the job.
context: To rise against them, it is imperative that we stand together.\Many of you Lords have gathered here to carry on the legacy of Lord Villar, Earl of Altirk.\As ratified by you all, I hereby proclaim the establishment of the Altirk Treaty.\So?\Who will be our leader?\I believe Lord Villar's own younger brother, Lord Selge, is the natural choice, don't you?\Of course I want to avenge my brother.\But I am not worthy for the job. response:	What's that?
context: Many of you Lords have gathered here to carry on the legacy of Lord Villar, Earl of Altirk.\As ratified by you all, I hereby proclaim the establishment of the Altirk Treaty.\So?\Who will be our leader?\I believe Lord Villar's own younger brother, Lord Selge, is the natural choice, don't you?\Of course I want to avenge my brother.\But I am not worthy for the job.\What's that? response:	Because he wishes to reclaim his homeland,
context: As ratified by you all, I hereby proclaim the establishment of the Altirk Treaty.\So?\Who will be our leader?\I believe Lord Villar's own younger brother, Lord Selge, is the natural choice, don't you?\Of course I want to avenge my brother.\But I am not worthy for the job.\What's that?\Because he wishes to reclaim his homeland, response:	Lord Selge believes Earl Lassic David should lead us.
