context: Principal's Office response:	Teaching Staff Building
context: Principal's Office\Teaching Staff Building response:	Why is the new song a ballad?
context: Principal's Office\Teaching Staff Building\Why is the new song a ballad? response:	Is that bad?
context: Principal's Office\Teaching Staff Building\Why is the new song a ballad?\Is that bad? response:	For a diversion, yes.
context: Principal's Office\Teaching Staff Building\Why is the new song a ballad?\Is that bad?\For a diversion, yes. response:	Um...
context: Principal's Office\Teaching Staff Building\Why is the new song a ballad?\Is that bad?\For a diversion, yes.\Um... response:	What do you mean by diversion?
context: Principal's Office\Teaching Staff Building\Why is the new song a ballad?\Is that bad?\For a diversion, yes.\Um...\What do you mean by diversion? response:	Didn't I tell you during Operation Tornado?
context: Principal's Office\Teaching Staff Building\Why is the new song a ballad?\Is that bad?\For a diversion, yes.\Um...\What do you mean by diversion?\Didn't I tell you during Operation Tornado? response:	She leads a school rock band which is very popular amongst the normal students.
context: Teaching Staff Building\Why is the new song a ballad?\Is that bad?\For a diversion, yes.\Um...\What do you mean by diversion?\Didn't I tell you during Operation Tornado?\She leads a school rock band which is very popular amongst the normal students. response:	We don't directly cause any harm to them,
context: Why is the new song a ballad?\Is that bad?\For a diversion, yes.\Um...\What do you mean by diversion?\Didn't I tell you during Operation Tornado?\She leads a school rock band which is very popular amongst the normal students.\We don't directly cause any harm to them, response:	but sometimes we use them, and if they're in the way we have to remove them from the scene.
context: Is that bad?\For a diversion, yes.\Um...\What do you mean by diversion?\Didn't I tell you during Operation Tornado?\She leads a school rock band which is very popular amongst the normal students.\We don't directly cause any harm to them,\but sometimes we use them, and if they're in the way we have to remove them from the scene. response:	At times like that, we use GirlDeMo to divert their attention.
context: For a diversion, yes.\Um...\What do you mean by diversion?\Didn't I tell you during Operation Tornado?\She leads a school rock band which is very popular amongst the normal students.\We don't directly cause any harm to them,\but sometimes we use them, and if they're in the way we have to remove them from the scene.\At times like that, we use GirlDeMo to divert their attention. response:	They're pretty trendy for NPCs.
context: Um...\What do you mean by diversion?\Didn't I tell you during Operation Tornado?\She leads a school rock band which is very popular amongst the normal students.\We don't directly cause any harm to them,\but sometimes we use them, and if they're in the way we have to remove them from the scene.\At times like that, we use GirlDeMo to divert their attention.\They're pretty trendy for NPCs. response:	It just goes to show that their band has real skill and appeal.
context: What do you mean by diversion?\Didn't I tell you during Operation Tornado?\She leads a school rock band which is very popular amongst the normal students.\We don't directly cause any harm to them,\but sometimes we use them, and if they're in the way we have to remove them from the scene.\At times like that, we use GirlDeMo to divert their attention.\They're pretty trendy for NPCs.\It just goes to show that their band has real skill and appeal. response:	So, no good?
context: Didn't I tell you during Operation Tornado?\She leads a school rock band which is very popular amongst the normal students.\We don't directly cause any harm to them,\but sometimes we use them, and if they're in the way we have to remove them from the scene.\At times like that, we use GirlDeMo to divert their attention.\They're pretty trendy for NPCs.\It just goes to show that their band has real skill and appeal.\So, no good? response:	A ballad is kind of...
context: She leads a school rock band which is very popular amongst the normal students.\We don't directly cause any harm to them,\but sometimes we use them, and if they're in the way we have to remove them from the scene.\At times like that, we use GirlDeMo to divert their attention.\They're pretty trendy for NPCs.\It just goes to show that their band has real skill and appeal.\So, no good?\A ballad is kind of... response:	We won't be able to carry out a flashy operation if it's that kind of a calming song, right?
context: We don't directly cause any harm to them,\but sometimes we use them, and if they're in the way we have to remove them from the scene.\At times like that, we use GirlDeMo to divert their attention.\They're pretty trendy for NPCs.\It just goes to show that their band has real skill and appeal.\So, no good?\A ballad is kind of...\We won't be able to carry out a flashy operation if it's that kind of a calming song, right? response:	I see, rejected then.
context: but sometimes we use them, and if they're in the way we have to remove them from the scene.\At times like that, we use GirlDeMo to divert their attention.\They're pretty trendy for NPCs.\It just goes to show that their band has real skill and appeal.\So, no good?\A ballad is kind of...\We won't be able to carry out a flashy operation if it's that kind of a calming song, right?\I see, rejected then. response:	Well then, let's get back to the briefing.
context: At times like that, we use GirlDeMo to divert their attention.\They're pretty trendy for NPCs.\It just goes to show that their band has real skill and appeal.\So, no good?\A ballad is kind of...\We won't be able to carry out a flashy operation if it's that kind of a calming song, right?\I see, rejected then.\Well then, let's get back to the briefing. response:	Here's everyone's orders.
