context: It's definitely here! It's right here for sure! response:	Compared to that heart, you're nothing!
context: It's definitely here! It's right here for sure!\Compared to that heart, you're nothing! response:	Jojo's Bizarre Adventure
context: It's definitely here! It's right here for sure!\Compared to that heart, you're nothing!\Jojo's Bizarre Adventure response:	Diamond is Unbreakable
context: It's definitely here! It's right here for sure!\Compared to that heart, you're nothing!\Jojo's Bizarre Adventure\Diamond is Unbreakable response:	Th-This is a dream...
context: It's definitely here! It's right here for sure!\Compared to that heart, you're nothing!\Jojo's Bizarre Adventure\Diamond is Unbreakable\Th-This is a dream... response:	This... is a dream.
context: It's definitely here! It's right here for sure!\Compared to that heart, you're nothing!\Jojo's Bizarre Adventure\Diamond is Unbreakable\Th-This is a dream...\This... is a dream. response:	The idea that I'm being cornered like this...
context: It's definitely here! It's right here for sure!\Compared to that heart, you're nothing!\Jojo's Bizarre Adventure\Diamond is Unbreakable\Th-This is a dream...\This... is a dream.\The idea that I'm being cornered like this... response:	This has to be a dream.
context: It's definitely here! It's right here for sure!\Compared to that heart, you're nothing!\Jojo's Bizarre Adventure\Diamond is Unbreakable\Th-This is a dream...\This... is a dream.\The idea that I'm being cornered like this...\This has to be a dream. response:	You don't have...
context: Compared to that heart, you're nothing!\Jojo's Bizarre Adventure\Diamond is Unbreakable\Th-This is a dream...\This... is a dream.\The idea that I'm being cornered like this...\This has to be a dream.\You don't have... response:	You're finished.
context: Jojo's Bizarre Adventure\Diamond is Unbreakable\Th-This is a dream...\This... is a dream.\The idea that I'm being cornered like this...\This has to be a dream.\You don't have...\You're finished. response:	J-Josuke's badly hurt...
context: Diamond is Unbreakable\Th-This is a dream...\This... is a dream.\The idea that I'm being cornered like this...\This has to be a dream.\You don't have...\You're finished.\J-Josuke's badly hurt... response:	The battle had already begun while we were waiting.
context: Th-This is a dream...\This... is a dream.\The idea that I'm being cornered like this...\This has to be a dream.\You don't have...\You're finished.\J-Josuke's badly hurt...\The battle had already begun while we were waiting. response:	Which means...
context: This... is a dream.\The idea that I'm being cornered like this...\This has to be a dream.\You don't have...\You're finished.\J-Josuke's badly hurt...\The battle had already begun while we were waiting.\Which means... response:	That's Yoshikage Kira.
context: The idea that I'm being cornered like this...\This has to be a dream.\You don't have...\You're finished.\J-Josuke's badly hurt...\The battle had already begun while we were waiting.\Which means...\That's Yoshikage Kira. response:	Someone's hurt over there!
context: This has to be a dream.\You don't have...\You're finished.\J-Josuke's badly hurt...\The battle had already begun while we were waiting.\Which means...\That's Yoshikage Kira.\Someone's hurt over there! response:	Get back! There's a chance of an explosion from a gas leak!
context: You don't have...\You're finished.\J-Josuke's badly hurt...\The battle had already begun while we were waiting.\Which means...\That's Yoshikage Kira.\Someone's hurt over there!\Get back! There's a chance of an explosion from a gas leak! response:	Bring the ambulance over here!
context: You're finished.\J-Josuke's badly hurt...\The battle had already begun while we were waiting.\Which means...\That's Yoshikage Kira.\Someone's hurt over there!\Get back! There's a chance of an explosion from a gas leak!\Bring the ambulance over here! response:	Bring the stretcher!
context: J-Josuke's badly hurt...\The battle had already begun while we were waiting.\Which means...\That's Yoshikage Kira.\Someone's hurt over there!\Get back! There's a chance of an explosion from a gas leak!\Bring the ambulance over here!\Bring the stretcher! response:	It's dangerous, so please get back!
context: The battle had already begun while we were waiting.\Which means...\That's Yoshikage Kira.\Someone's hurt over there!\Get back! There's a chance of an explosion from a gas leak!\Bring the ambulance over here!\Bring the stretcher!\It's dangerous, so please get back! response:	Are you all right?
context: Which means...\That's Yoshikage Kira.\Someone's hurt over there!\Get back! There's a chance of an explosion from a gas leak!\Bring the ambulance over here!\Bring the stretcher!\It's dangerous, so please get back!\Are you all right? response:	Just get back!
context: That's Yoshikage Kira.\Someone's hurt over there!\Get back! There's a chance of an explosion from a gas leak!\Bring the ambulance over here!\Bring the stretcher!\It's dangerous, so please get back!\Are you all right?\Just get back! response:	Can you hear me? An ambulance is on its way.
context: Someone's hurt over there!\Get back! There's a chance of an explosion from a gas leak!\Bring the ambulance over here!\Bring the stretcher!\It's dangerous, so please get back!\Are you all right?\Just get back!\Can you hear me? An ambulance is on its way. response:	You're going to be all right.
context: Get back! There's a chance of an explosion from a gas leak!\Bring the ambulance over here!\Bring the stretcher!\It's dangerous, so please get back!\Are you all right?\Just get back!\Can you hear me? An ambulance is on its way.\You're going to be all right. response:	Don't let that lady near Kira!
context: Bring the ambulance over here!\Bring the stretcher!\It's dangerous, so please get back!\Are you all right?\Just get back!\Can you hear me? An ambulance is on its way.\You're going to be all right.\Don't let that lady near Kira! response:	We'll get you treated at the hospital right away.
context: Bring the stretcher!\It's dangerous, so please get back!\Are you all right?\Just get back!\Can you hear me? An ambulance is on its way.\You're going to be all right.\Don't let that lady near Kira!\We'll get you treated at the hospital right away. response:	Please, hang in there.
context: It's dangerous, so please get back!\Are you all right?\Just get back!\Can you hear me? An ambulance is on its way.\You're going to be all right.\Don't let that lady near Kira!\We'll get you treated at the hospital right away.\Please, hang in there. response:	It'll be okay. Hang in there.
context: Are you all right?\Just get back!\Can you hear me? An ambulance is on its way.\You're going to be all right.\Don't let that lady near Kira!\We'll get you treated at the hospital right away.\Please, hang in there.\It'll be okay. Hang in there. response:	O-Oh, no!
context: Just get back!\Can you hear me? An ambulance is on its way.\You're going to be all right.\Don't let that lady near Kira!\We'll get you treated at the hospital right away.\Please, hang in there.\It'll be okay. Hang in there.\O-Oh, no! response:	That lady's been turned into a bomb!
context: Can you hear me? An ambulance is on its way.\You're going to be all right.\Don't let that lady near Kira!\We'll get you treated at the hospital right away.\Please, hang in there.\It'll be okay. Hang in there.\O-Oh, no!\That lady's been turned into a bomb! response:	Can you see how many fingers I'm holding up?
context: You're going to be all right.\Don't let that lady near Kira!\We'll get you treated at the hospital right away.\Please, hang in there.\It'll be okay. Hang in there.\O-Oh, no!\That lady's been turned into a bomb!\Can you see how many fingers I'm holding up? response:	Jotaro, we need your Star Platinum.
context: Don't let that lady near Kira!\We'll get you treated at the hospital right away.\Please, hang in there.\It'll be okay. Hang in there.\O-Oh, no!\That lady's been turned into a bomb!\Can you see how many fingers I'm holding up?\Jotaro, we need your Star Platinum. response:	I know.
context: We'll get you treated at the hospital right away.\Please, hang in there.\It'll be okay. Hang in there.\O-Oh, no!\That lady's been turned into a bomb!\Can you see how many fingers I'm holding up?\Jotaro, we need your Star Platinum.\I know. response:	But it's no use unless I can get closer.
context: Please, hang in there.\It'll be okay. Hang in there.\O-Oh, no!\That lady's been turned into a bomb!\Can you see how many fingers I'm holding up?\Jotaro, we need your Star Platinum.\I know.\But it's no use unless I can get closer. response:	Even if I stop time, we're too far away,
context: It'll be okay. Hang in there.\O-Oh, no!\That lady's been turned into a bomb!\Can you see how many fingers I'm holding up?\Jotaro, we need your Star Platinum.\I know.\But it's no use unless I can get closer.\Even if I stop time, we're too far away, response:	and I can't do anything to him.
