context: I-I-I have a... fiancee? response:	And what do you mean, she's coming tomorrow?
context: I-I-I have a... fiancee?\And what do you mean, she's coming tomorrow? response:	Well, the thing is...
context: I-I-I have a... fiancee?\And what do you mean, she's coming tomorrow?\Well, the thing is... response:	I'd forgotten all about it myself,
context: I-I-I have a... fiancee?\And what do you mean, she's coming tomorrow?\Well, the thing is...\I'd forgotten all about it myself, response:	but I carelessly promised an old pal of mine over drinks, see.
context: I-I-I have a... fiancee?\And what do you mean, she's coming tomorrow?\Well, the thing is...\I'd forgotten all about it myself,\but I carelessly promised an old pal of mine over drinks, see. response:	So this young lady has grown up thinking that she has a fiance.
context: I-I-I have a... fiancee?\And what do you mean, she's coming tomorrow?\Well, the thing is...\I'd forgotten all about it myself,\but I carelessly promised an old pal of mine over drinks, see.\So this young lady has grown up thinking that she has a fiance. response:	And now that she's old enough to get married, she's dead set on coming to see you.
context: I-I-I have a... fiancee?\And what do you mean, she's coming tomorrow?\Well, the thing is...\I'd forgotten all about it myself,\but I carelessly promised an old pal of mine over drinks, see.\So this young lady has grown up thinking that she has a fiance.\And now that she's old enough to get married, she's dead set on coming to see you. response:	It looks like she'll be here tomorrow, so would you mind keeping her busy?
context: I-I-I have a... fiancee?\And what do you mean, she's coming tomorrow?\Well, the thing is...\I'd forgotten all about it myself,\but I carelessly promised an old pal of mine over drinks, see.\So this young lady has grown up thinking that she has a fiance.\And now that she's old enough to get married, she's dead set on coming to see you.\It looks like she'll be here tomorrow, so would you mind keeping her busy? response:	H-Hey, wait just a second!
context: And what do you mean, she's coming tomorrow?\Well, the thing is...\I'd forgotten all about it myself,\but I carelessly promised an old pal of mine over drinks, see.\So this young lady has grown up thinking that she has a fiance.\And now that she's old enough to get married, she's dead set on coming to see you.\It looks like she'll be here tomorrow, so would you mind keeping her busy?\H-Hey, wait just a second! response:	Then why can't you just talk it out and fix it that way?!
context: Well, the thing is...\I'd forgotten all about it myself,\but I carelessly promised an old pal of mine over drinks, see.\So this young lady has grown up thinking that she has a fiance.\And now that she's old enough to get married, she's dead set on coming to see you.\It looks like she'll be here tomorrow, so would you mind keeping her busy?\H-Hey, wait just a second!\Then why can't you just talk it out and fix it that way?! response:	This is your fault in the first place!
context: I'd forgotten all about it myself,\but I carelessly promised an old pal of mine over drinks, see.\So this young lady has grown up thinking that she has a fiance.\And now that she's old enough to get married, she's dead set on coming to see you.\It looks like she'll be here tomorrow, so would you mind keeping her busy?\H-Hey, wait just a second!\Then why can't you just talk it out and fix it that way?!\This is your fault in the first place! response:	It's not as easy as it sounds.
context: but I carelessly promised an old pal of mine over drinks, see.\So this young lady has grown up thinking that she has a fiance.\And now that she's old enough to get married, she's dead set on coming to see you.\It looks like she'll be here tomorrow, so would you mind keeping her busy?\H-Hey, wait just a second!\Then why can't you just talk it out and fix it that way?!\This is your fault in the first place!\It's not as easy as it sounds. response:	Things could turn into a real pain if I upset her dad.
context: So this young lady has grown up thinking that she has a fiance.\And now that she's old enough to get married, she's dead set on coming to see you.\It looks like she'll be here tomorrow, so would you mind keeping her busy?\H-Hey, wait just a second!\Then why can't you just talk it out and fix it that way?!\This is your fault in the first place!\It's not as easy as it sounds.\Things could turn into a real pain if I upset her dad. response:	Doesn't matter! Why would I marry a girl I've never met?!
context: And now that she's old enough to get married, she's dead set on coming to see you.\It looks like she'll be here tomorrow, so would you mind keeping her busy?\H-Hey, wait just a second!\Then why can't you just talk it out and fix it that way?!\This is your fault in the first place!\It's not as easy as it sounds.\Things could turn into a real pain if I upset her dad.\Doesn't matter! Why would I marry a girl I've never met?! response:	Oh? But you have.
