context: J To catch them is my real test To train them is my cause J response:	J I will travel across the land Searching far and wide J
context: J To catch them is my real test To train them is my cause J\J I will travel across the land Searching far and wide J response:	J Teach Pokemon to understand The power that's inside J
context: J To catch them is my real test To train them is my cause J\J I will travel across the land Searching far and wide J\J Teach Pokemon to understand The power that's inside J response:	J Pokemon! Gotta catch'em all It's you and me J
context: J To catch them is my real test To train them is my cause J\J I will travel across the land Searching far and wide J\J Teach Pokemon to understand The power that's inside J\J Pokemon! Gotta catch'em all It's you and me J response:	J I know it's my destiny Pokemon! J
context: J To catch them is my real test To train them is my cause J\J I will travel across the land Searching far and wide J\J Teach Pokemon to understand The power that's inside J\J Pokemon! Gotta catch'em all It's you and me J\J I know it's my destiny Pokemon! J response:	J Oh, you're my best friend In a world we must defend J
context: J To catch them is my real test To train them is my cause J\J I will travel across the land Searching far and wide J\J Teach Pokemon to understand The power that's inside J\J Pokemon! Gotta catch'em all It's you and me J\J I know it's my destiny Pokemon! J\J Oh, you're my best friend In a world we must defend J response:	J Pokemon! Gotta catch'em all A heart so true J
context: J To catch them is my real test To train them is my cause J\J I will travel across the land Searching far and wide J\J Teach Pokemon to understand The power that's inside J\J Pokemon! Gotta catch'em all It's you and me J\J I know it's my destiny Pokemon! J\J Oh, you're my best friend In a world we must defend J\J Pokemon! Gotta catch'em all A heart so true J response:	J Our courage will pull us through You teach me and I'll teach you J
context: J To catch them is my real test To train them is my cause J\J I will travel across the land Searching far and wide J\J Teach Pokemon to understand The power that's inside J\J Pokemon! Gotta catch'em all It's you and me J\J I know it's my destiny Pokemon! J\J Oh, you're my best friend In a world we must defend J\J Pokemon! Gotta catch'em all A heart so true J\J Our courage will pull us through You teach me and I'll teach you J response:	J Pokemon! J
context: J I will travel across the land Searching far and wide J\J Teach Pokemon to understand The power that's inside J\J Pokemon! Gotta catch'em all It's you and me J\J I know it's my destiny Pokemon! J\J Oh, you're my best friend In a world we must defend J\J Pokemon! Gotta catch'em all A heart so true J\J Our courage will pull us through You teach me and I'll teach you J\J Pokemon! J response:	J Gotta catch'em all Gotta catch'em all J
context: J Teach Pokemon to understand The power that's inside J\J Pokemon! Gotta catch'em all It's you and me J\J I know it's my destiny Pokemon! J\J Oh, you're my best friend In a world we must defend J\J Pokemon! Gotta catch'em all A heart so true J\J Our courage will pull us through You teach me and I'll teach you J\J Pokemon! J\J Gotta catch'em all Gotta catch'em all J response:	J Pokemon! J
context: J Pokemon! Gotta catch'em all It's you and me J\J I know it's my destiny Pokemon! J\J Oh, you're my best friend In a world we must defend J\J Pokemon! Gotta catch'em all A heart so true J\J Our courage will pull us through You teach me and I'll teach you J\J Pokemon! J\J Gotta catch'em all Gotta catch'em all J\J Pokemon! J response:	Last time, Magikarp evolved into Gyarados
context: J I know it's my destiny Pokemon! J\J Oh, you're my best friend In a world we must defend J\J Pokemon! Gotta catch'em all A heart so true J\J Our courage will pull us through You teach me and I'll teach you J\J Pokemon! J\J Gotta catch'em all Gotta catch'em all J\J Pokemon! J\Last time, Magikarp evolved into Gyarados response:	and our heroes were swallowed up in the deadly power of its dragon rage.
context: J Oh, you're my best friend In a world we must defend J\J Pokemon! Gotta catch'em all A heart so true J\J Our courage will pull us through You teach me and I'll teach you J\J Pokemon! J\J Gotta catch'em all Gotta catch'em all J\J Pokemon! J\Last time, Magikarp evolved into Gyarados\and our heroes were swallowed up in the deadly power of its dragon rage. response:	Hey, Brock! Misty! Pikachu! Whatever happens, don't let go!
context: J Pokemon! Gotta catch'em all A heart so true J\J Our courage will pull us through You teach me and I'll teach you J\J Pokemon! J\J Gotta catch'em all Gotta catch'em all J\J Pokemon! J\Last time, Magikarp evolved into Gyarados\and our heroes were swallowed up in the deadly power of its dragon rage.\Hey, Brock! Misty! Pikachu! Whatever happens, don't let go! response:	Pika!
context: J Our courage will pull us through You teach me and I'll teach you J\J Pokemon! J\J Gotta catch'em all Gotta catch'em all J\J Pokemon! J\Last time, Magikarp evolved into Gyarados\and our heroes were swallowed up in the deadly power of its dragon rage.\Hey, Brock! Misty! Pikachu! Whatever happens, don't let go!\Pika! response:	Talk about twists of fate. Round and round they go.
context: J Pokemon! J\J Gotta catch'em all Gotta catch'em all J\J Pokemon! J\Last time, Magikarp evolved into Gyarados\and our heroes were swallowed up in the deadly power of its dragon rage.\Hey, Brock! Misty! Pikachu! Whatever happens, don't let go!\Pika!\Talk about twists of fate. Round and round they go. response:	Where they'll stop, even I don't know.
