context: Piercing through the Macro sky, response:	a thunderbolt strikes the Earth
context: Piercing through the Macro sky,\a thunderbolt strikes the Earth response:	To awaken us, the young mankind,
context: Piercing through the Macro sky,\a thunderbolt strikes the Earth\To awaken us, the young mankind, response:	the Light struck
context: Piercing through the Macro sky,\a thunderbolt strikes the Earth\To awaken us, the young mankind,\the Light struck response:	Macross! Macross!
context: Piercing through the Macro sky,\a thunderbolt strikes the Earth\To awaken us, the young mankind,\the Light struck\Macross! Macross! response:	The brave youths who arise
context: Piercing through the Macro sky,\a thunderbolt strikes the Earth\To awaken us, the young mankind,\the Light struck\Macross! Macross!\The brave youths who arise response:	and fight to protect their loved ones
context: Piercing through the Macro sky,\a thunderbolt strikes the Earth\To awaken us, the young mankind,\the Light struck\Macross! Macross!\The brave youths who arise\and fight to protect their loved ones response:	Will set out on their journey as the war rages on.
context: Piercing through the Macro sky,\a thunderbolt strikes the Earth\To awaken us, the young mankind,\the Light struck\Macross! Macross!\The brave youths who arise\and fight to protect their loved ones\Will set out on their journey as the war rages on. response:	Will you love me tomorrow?
context: a thunderbolt strikes the Earth\To awaken us, the young mankind,\the Light struck\Macross! Macross!\The brave youths who arise\and fight to protect their loved ones\Will set out on their journey as the war rages on.\Will you love me tomorrow? response:	Slicing through the darkness they fly toward
context: To awaken us, the young mankind,\the Light struck\Macross! Macross!\The brave youths who arise\and fight to protect their loved ones\Will set out on their journey as the war rages on.\Will you love me tomorrow?\Slicing through the darkness they fly toward response:	that blue planet that shines in the distance
context: the Light struck\Macross! Macross!\The brave youths who arise\and fight to protect their loved ones\Will set out on their journey as the war rages on.\Will you love me tomorrow?\Slicing through the darkness they fly toward\that blue planet that shines in the distance response:	Macross! Macross!
context: Macross! Macross!\The brave youths who arise\and fight to protect their loved ones\Will set out on their journey as the war rages on.\Will you love me tomorrow?\Slicing through the darkness they fly toward\that blue planet that shines in the distance\Macross! Macross! response:	Macross!
context: The brave youths who arise\and fight to protect their loved ones\Will set out on their journey as the war rages on.\Will you love me tomorrow?\Slicing through the darkness they fly toward\that blue planet that shines in the distance\Macross! Macross!\Macross! response:	With special permission from Captain Global,
context: and fight to protect their loved ones\Will set out on their journey as the war rages on.\Will you love me tomorrow?\Slicing through the darkness they fly toward\that blue planet that shines in the distance\Macross! Macross!\Macross!\With special permission from Captain Global, response:	Hikaru and Minmay fly out to visit Minmay's parents in Japan.
context: Will set out on their journey as the war rages on.\Will you love me tomorrow?\Slicing through the darkness they fly toward\that blue planet that shines in the distance\Macross! Macross!\Macross!\With special permission from Captain Global,\Hikaru and Minmay fly out to visit Minmay's parents in Japan. response:	There, Minmay is reunited with her cousin Kaifun, who has long been out of touch.
context: Will you love me tomorrow?\Slicing through the darkness they fly toward\that blue planet that shines in the distance\Macross! Macross!\Macross!\With special permission from Captain Global,\Hikaru and Minmay fly out to visit Minmay's parents in Japan.\There, Minmay is reunited with her cousin Kaifun, who has long been out of touch. response:	Meanwhile, at UN Forces High Command, Misa and Captain Global
context: Slicing through the darkness they fly toward\that blue planet that shines in the distance\Macross! Macross!\Macross!\With special permission from Captain Global,\Hikaru and Minmay fly out to visit Minmay's parents in Japan.\There, Minmay is reunited with her cousin Kaifun, who has long been out of touch.\Meanwhile, at UN Forces High Command, Misa and Captain Global response:	presented their information on the Zentradi forces,
context: that blue planet that shines in the distance\Macross! Macross!\Macross!\With special permission from Captain Global,\Hikaru and Minmay fly out to visit Minmay's parents in Japan.\There, Minmay is reunited with her cousin Kaifun, who has long been out of touch.\Meanwhile, at UN Forces High Command, Misa and Captain Global\presented their information on the Zentradi forces, response:	but their lack of evidence caused them to be met with disbelief.
context: Macross! Macross!\Macross!\With special permission from Captain Global,\Hikaru and Minmay fly out to visit Minmay's parents in Japan.\There, Minmay is reunited with her cousin Kaifun, who has long been out of touch.\Meanwhile, at UN Forces High Command, Misa and Captain Global\presented their information on the Zentradi forces,\but their lack of evidence caused them to be met with disbelief. response:	What's more, they were refused to allow the civilians aboard the Macross to disembark.
context: Macross!\With special permission from Captain Global,\Hikaru and Minmay fly out to visit Minmay's parents in Japan.\There, Minmay is reunited with her cousin Kaifun, who has long been out of touch.\Meanwhile, at UN Forces High Command, Misa and Captain Global\presented their information on the Zentradi forces,\but their lack of evidence caused them to be met with disbelief.\What's more, they were refused to allow the civilians aboard the Macross to disembark. response:	KUNG-FU DANDY
context: With special permission from Captain Global,\Hikaru and Minmay fly out to visit Minmay's parents in Japan.\There, Minmay is reunited with her cousin Kaifun, who has long been out of touch.\Meanwhile, at UN Forces High Command, Misa and Captain Global\presented their information on the Zentradi forces,\but their lack of evidence caused them to be met with disbelief.\What's more, they were refused to allow the civilians aboard the Macross to disembark.\KUNG-FU DANDY response:	It's not fair! How can they not let us off the ship?!
context: Hikaru and Minmay fly out to visit Minmay's parents in Japan.\There, Minmay is reunited with her cousin Kaifun, who has long been out of touch.\Meanwhile, at UN Forces High Command, Misa and Captain Global\presented their information on the Zentradi forces,\but their lack of evidence caused them to be met with disbelief.\What's more, they were refused to allow the civilians aboard the Macross to disembark.\KUNG-FU DANDY\It's not fair! How can they not let us off the ship?! response:	That's just typical of those people at High Command!
context: There, Minmay is reunited with her cousin Kaifun, who has long been out of touch.\Meanwhile, at UN Forces High Command, Misa and Captain Global\presented their information on the Zentradi forces,\but their lack of evidence caused them to be met with disbelief.\What's more, they were refused to allow the civilians aboard the Macross to disembark.\KUNG-FU DANDY\It's not fair! How can they not let us off the ship?!\That's just typical of those people at High Command! response:	They're nothing but a bunch of hard-headed idiots!
context: Meanwhile, at UN Forces High Command, Misa and Captain Global\presented their information on the Zentradi forces,\but their lack of evidence caused them to be met with disbelief.\What's more, they were refused to allow the civilians aboard the Macross to disembark.\KUNG-FU DANDY\It's not fair! How can they not let us off the ship?!\That's just typical of those people at High Command!\They're nothing but a bunch of hard-headed idiots! response:	You're not going to agree to this, are you?
context: presented their information on the Zentradi forces,\but their lack of evidence caused them to be met with disbelief.\What's more, they were refused to allow the civilians aboard the Macross to disembark.\KUNG-FU DANDY\It's not fair! How can they not let us off the ship?!\That's just typical of those people at High Command!\They're nothing but a bunch of hard-headed idiots!\You're not going to agree to this, are you? response:	Captain! You'll fight this, right?!
context: but their lack of evidence caused them to be met with disbelief.\What's more, they were refused to allow the civilians aboard the Macross to disembark.\KUNG-FU DANDY\It's not fair! How can they not let us off the ship?!\That's just typical of those people at High Command!\They're nothing but a bunch of hard-headed idiots!\You're not going to agree to this, are you?\Captain! You'll fight this, right?! response:	Captain!
context: What's more, they were refused to allow the civilians aboard the Macross to disembark.\KUNG-FU DANDY\It's not fair! How can they not let us off the ship?!\That's just typical of those people at High Command!\They're nothing but a bunch of hard-headed idiots!\You're not going to agree to this, are you?\Captain! You'll fight this, right?!\Captain! response:	All of you, just carry out your assigned duties.
context: KUNG-FU DANDY\It's not fair! How can they not let us off the ship?!\That's just typical of those people at High Command!\They're nothing but a bunch of hard-headed idiots!\You're not going to agree to this, are you?\Captain! You'll fight this, right?!\Captain!\All of you, just carry out your assigned duties. response:	I'm trying to figure out how to break this news to the civilians.
context: It's not fair! How can they not let us off the ship?!\That's just typical of those people at High Command!\They're nothing but a bunch of hard-headed idiots!\You're not going to agree to this, are you?\Captain! You'll fight this, right?!\Captain!\All of you, just carry out your assigned duties.\I'm trying to figure out how to break this news to the civilians. response:	You can understand that, right?
context: That's just typical of those people at High Command!\They're nothing but a bunch of hard-headed idiots!\You're not going to agree to this, are you?\Captain! You'll fight this, right?!\Captain!\All of you, just carry out your assigned duties.\I'm trying to figure out how to break this news to the civilians.\You can understand that, right? response:	Ah, Captain!
context: They're nothing but a bunch of hard-headed idiots!\You're not going to agree to this, are you?\Captain! You'll fight this, right?!\Captain!\All of you, just carry out your assigned duties.\I'm trying to figure out how to break this news to the civilians.\You can understand that, right?\Ah, Captain! response:	He won't even listen!
context: You're not going to agree to this, are you?\Captain! You'll fight this, right?!\Captain!\All of you, just carry out your assigned duties.\I'm trying to figure out how to break this news to the civilians.\You can understand that, right?\Ah, Captain!\He won't even listen! response:	Vanessa, the captain strongly objected to this at High Command.
context: Captain! You'll fight this, right?!\Captain!\All of you, just carry out your assigned duties.\I'm trying to figure out how to break this news to the civilians.\You can understand that, right?\Ah, Captain!\He won't even listen!\Vanessa, the captain strongly objected to this at High Command. response:	Objected? As a soldier... Right?
context: Captain!\All of you, just carry out your assigned duties.\I'm trying to figure out how to break this news to the civilians.\You can understand that, right?\Ah, Captain!\He won't even listen!\Vanessa, the captain strongly objected to this at High Command.\Objected? As a soldier... Right? response:	High Command is nothing but a bunch of thugs!
context: All of you, just carry out your assigned duties.\I'm trying to figure out how to break this news to the civilians.\You can understand that, right?\Ah, Captain!\He won't even listen!\Vanessa, the captain strongly objected to this at High Command.\Objected? As a soldier... Right?\High Command is nothing but a bunch of thugs! response:	You said it.
context: I'm trying to figure out how to break this news to the civilians.\You can understand that, right?\Ah, Captain!\He won't even listen!\Vanessa, the captain strongly objected to this at High Command.\Objected? As a soldier... Right?\High Command is nothing but a bunch of thugs!\You said it. response:	Hey, let's go into town and blow off some steam!
context: You can understand that, right?\Ah, Captain!\He won't even listen!\Vanessa, the captain strongly objected to this at High Command.\Objected? As a soldier... Right?\High Command is nothing but a bunch of thugs!\You said it.\Hey, let's go into town and blow off some steam! response:	No objections here!
context: Ah, Captain!\He won't even listen!\Vanessa, the captain strongly objected to this at High Command.\Objected? As a soldier... Right?\High Command is nothing but a bunch of thugs!\You said it.\Hey, let's go into town and blow off some steam!\No objections here! response:	Welc...
context: He won't even listen!\Vanessa, the captain strongly objected to this at High Command.\Objected? As a soldier... Right?\High Command is nothing but a bunch of thugs!\You said it.\Hey, let's go into town and blow off some steam!\No objections here!\Welc... response:	Ka...
context: Vanessa, the captain strongly objected to this at High Command.\Objected? As a soldier... Right?\High Command is nothing but a bunch of thugs!\You said it.\Hey, let's go into town and blow off some steam!\No objections here!\Welc...\Ka... response:	Kaifun!
context: Objected? As a soldier... Right?\High Command is nothing but a bunch of thugs!\You said it.\Hey, let's go into town and blow off some steam!\No objections here!\Welc...\Ka...\Kaifun! response:	I'm home, Mother.
context: High Command is nothing but a bunch of thugs!\You said it.\Hey, let's go into town and blow off some steam!\No objections here!\Welc...\Ka...\Kaifun!\I'm home, Mother. response:	Kaifun!
context: You said it.\Hey, let's go into town and blow off some steam!\No objections here!\Welc...\Ka...\Kaifun!\I'm home, Mother.\Kaifun! response:	I'm not...
context: Hey, let's go into town and blow off some steam!\No objections here!\Welc...\Ka...\Kaifun!\I'm home, Mother.\Kaifun!\I'm not... response:	I'm not dreaming, am I?
context: No objections here!\Welc...\Ka...\Kaifun!\I'm home, Mother.\Kaifun!\I'm not...\I'm not dreaming, am I? response:	It's not a dream, Mom.
context: Welc...\Ka...\Kaifun!\I'm home, Mother.\Kaifun!\I'm not...\I'm not dreaming, am I?\It's not a dream, Mom. response:	You're home...
context: Ka...\Kaifun!\I'm home, Mother.\Kaifun!\I'm not...\I'm not dreaming, am I?\It's not a dream, Mom.\You're home... response:	You're finally home!
context: Kaifun!\I'm home, Mother.\Kaifun!\I'm not...\I'm not dreaming, am I?\It's not a dream, Mom.\You're home...\You're finally home! response:	Now you're making me cry, too!
context: I'm home, Mother.\Kaifun!\I'm not...\I'm not dreaming, am I?\It's not a dream, Mom.\You're home...\You're finally home!\Now you're making me cry, too! response:	Oh, my! Hikaru, you must be feeling awkward seeing this.
context: Kaifun!\I'm not...\I'm not dreaming, am I?\It's not a dream, Mom.\You're home...\You're finally home!\Now you're making me cry, too!\Oh, my! Hikaru, you must be feeling awkward seeing this. response:	No, it's all right.
context: I'm not...\I'm not dreaming, am I?\It's not a dream, Mom.\You're home...\You're finally home!\Now you're making me cry, too!\Oh, my! Hikaru, you must be feeling awkward seeing this.\No, it's all right. response:	You're looking well, Father.
context: I'm not dreaming, am I?\It's not a dream, Mom.\You're home...\You're finally home!\Now you're making me cry, too!\Oh, my! Hikaru, you must be feeling awkward seeing this.\No, it's all right.\You're looking well, Father. response:	Dear!
context: It's not a dream, Mom.\You're home...\You're finally home!\Now you're making me cry, too!\Oh, my! Hikaru, you must be feeling awkward seeing this.\No, it's all right.\You're looking well, Father.\Dear! response:	It's all right, Mom.
context: You're home...\You're finally home!\Now you're making me cry, too!\Oh, my! Hikaru, you must be feeling awkward seeing this.\No, it's all right.\You're looking well, Father.\Dear!\It's all right, Mom. response:	He's always been like that.
context: You're finally home!\Now you're making me cry, too!\Oh, my! Hikaru, you must be feeling awkward seeing this.\No, it's all right.\You're looking well, Father.\Dear!\It's all right, Mom.\He's always been like that. response:	That damn fool kid...
context: Now you're making me cry, too!\Oh, my! Hikaru, you must be feeling awkward seeing this.\No, it's all right.\You're looking well, Father.\Dear!\It's all right, Mom.\He's always been like that.\That damn fool kid... response:	Do you think we can eat this?
context: Oh, my! Hikaru, you must be feeling awkward seeing this.\No, it's all right.\You're looking well, Father.\Dear!\It's all right, Mom.\He's always been like that.\That damn fool kid...\Do you think we can eat this? response:	It sure smells good.
context: No, it's all right.\You're looking well, Father.\Dear!\It's all right, Mom.\He's always been like that.\That damn fool kid...\Do you think we can eat this?\It sure smells good. response:	I could eat anything!
context: You're looking well, Father.\Dear!\It's all right, Mom.\He's always been like that.\That damn fool kid...\Do you think we can eat this?\It sure smells good.\I could eat anything! response:	We haven't had any food since the rations we brought ran out!
context: Dear!\It's all right, Mom.\He's always been like that.\That damn fool kid...\Do you think we can eat this?\It sure smells good.\I could eat anything!\We haven't had any food since the rations we brought ran out! response:	Anyway, how do we get it out?
context: It's all right, Mom.\He's always been like that.\That damn fool kid...\Do you think we can eat this?\It sure smells good.\I could eat anything!\We haven't had any food since the rations we brought ran out!\Anyway, how do we get it out? response:	There doesn't seem to be an access port anywhere.
