context: Hey, Sakura! You're an early riser today, eh? response:	Because today starts a new semester.
context: Hey, Sakura! You're an early riser today, eh?\Because today starts a new semester. response:	I'll get to see everyone and'
context: Hey, Sakura! You're an early riser today, eh?\Because today starts a new semester.\I'll get to see everyone and' response:	'I can go to school with Yukito-san again.
context: Hey, Sakura! You're an early riser today, eh?\Because today starts a new semester.\I'll get to see everyone and'\'I can go to school with Yukito-san again. response:	What? Your face is red. Do ya have a fever?
context: Hey, Sakura! You're an early riser today, eh?\Because today starts a new semester.\I'll get to see everyone and'\'I can go to school with Yukito-san again.\What? Your face is red. Do ya have a fever? response:	No. I'm alright!
context: Hey, Sakura! You're an early riser today, eh?\Because today starts a new semester.\I'll get to see everyone and'\'I can go to school with Yukito-san again.\What? Your face is red. Do ya have a fever?\No. I'm alright! response:	Thank goodness.
context: Hey, Sakura! You're an early riser today, eh?\Because today starts a new semester.\I'll get to see everyone and'\'I can go to school with Yukito-san again.\What? Your face is red. Do ya have a fever?\No. I'm alright!\Thank goodness. response:	I thought you caught a cold from falling in the water.
context: Hey, Sakura! You're an early riser today, eh?\Because today starts a new semester.\I'll get to see everyone and'\'I can go to school with Yukito-san again.\What? Your face is red. Do ya have a fever?\No. I'm alright!\Thank goodness.\I thought you caught a cold from falling in the water. response:	Tomoyo-chan!
context: Because today starts a new semester.\I'll get to see everyone and'\'I can go to school with Yukito-san again.\What? Your face is red. Do ya have a fever?\No. I'm alright!\Thank goodness.\I thought you caught a cold from falling in the water.\Tomoyo-chan! response:	I'm okay, but Li-kun's'
context: I'll get to see everyone and'\'I can go to school with Yukito-san again.\What? Your face is red. Do ya have a fever?\No. I'm alright!\Thank goodness.\I thought you caught a cold from falling in the water.\Tomoyo-chan!\I'm okay, but Li-kun's' response:	Ni Hao!
context: 'I can go to school with Yukito-san again.\What? Your face is red. Do ya have a fever?\No. I'm alright!\Thank goodness.\I thought you caught a cold from falling in the water.\Tomoyo-chan!\I'm okay, but Li-kun's'\Ni Hao! response:	SHAO LAN! I missed you so much!
context: What? Your face is red. Do ya have a fever?\No. I'm alright!\Thank goodness.\I thought you caught a cold from falling in the water.\Tomoyo-chan!\I'm okay, but Li-kun's'\Ni Hao!\SHAO LAN! I missed you so much! response:	Mei-Lin!
