context: My new boyfriend often says... response:	You're pretty quiet, Kamine.
context: My new boyfriend often says...\You're pretty quiet, Kamine. response:	To be honest, I thought girls would be a lot more work.
context: My new boyfriend often says...\You're pretty quiet, Kamine.\To be honest, I thought girls would be a lot more work. response:	You aren't possessive, and you don't get selfish.
context: My new boyfriend often says...\You're pretty quiet, Kamine.\To be honest, I thought girls would be a lot more work.\You aren't possessive, and you don't get selfish. response:	I guess there are girls like you.
context: My new boyfriend often says...\You're pretty quiet, Kamine.\To be honest, I thought girls would be a lot more work.\You aren't possessive, and you don't get selfish.\I guess there are girls like you. response:	Wanting More
context: My new boyfriend often says...\You're pretty quiet, Kamine.\To be honest, I thought girls would be a lot more work.\You aren't possessive, and you don't get selfish.\I guess there are girls like you.\Wanting More response:	But the truth is,
context: My new boyfriend often says...\You're pretty quiet, Kamine.\To be honest, I thought girls would be a lot more work.\You aren't possessive, and you don't get selfish.\I guess there are girls like you.\Wanting More\But the truth is, response:	I want to be possessive, and I want to be selfish.
context: My new boyfriend often says...\You're pretty quiet, Kamine.\To be honest, I thought girls would be a lot more work.\You aren't possessive, and you don't get selfish.\I guess there are girls like you.\Wanting More\But the truth is,\I want to be possessive, and I want to be selfish. response:	Do you lice Kamine?
context: You're pretty quiet, Kamine.\To be honest, I thought girls would be a lot more work.\You aren't possessive, and you don't get selfish.\I guess there are girls like you.\Wanting More\But the truth is,\I want to be possessive, and I want to be selfish.\Do you lice Kamine? response:	Lice...?
context: To be honest, I thought girls would be a lot more work.\You aren't possessive, and you don't get selfish.\I guess there are girls like you.\Wanting More\But the truth is,\I want to be possessive, and I want to be selfish.\Do you lice Kamine?\Lice...? response:	I get a bit jealous when I see him talk to other girls.
context: You aren't possessive, and you don't get selfish.\I guess there are girls like you.\Wanting More\But the truth is,\I want to be possessive, and I want to be selfish.\Do you lice Kamine?\Lice...?\I get a bit jealous when I see him talk to other girls. response:	I want to be connected with him from good morning to good night.
context: I guess there are girls like you.\Wanting More\But the truth is,\I want to be possessive, and I want to be selfish.\Do you lice Kamine?\Lice...?\I get a bit jealous when I see him talk to other girls.\I want to be connected with him from good morning to good night. response:	And this distance...
context: Wanting More\But the truth is,\I want to be possessive, and I want to be selfish.\Do you lice Kamine?\Lice...?\I get a bit jealous when I see him talk to other girls.\I want to be connected with him from good morning to good night.\And this distance... response:	I want to cling onto him and cuddle right now.
context: But the truth is,\I want to be possessive, and I want to be selfish.\Do you lice Kamine?\Lice...?\I get a bit jealous when I see him talk to other girls.\I want to be connected with him from good morning to good night.\And this distance...\I want to cling onto him and cuddle right now. response:	But if I told him that, he might think I'm a pain.
context: I want to be possessive, and I want to be selfish.\Do you lice Kamine?\Lice...?\I get a bit jealous when I see him talk to other girls.\I want to be connected with him from good morning to good night.\And this distance...\I want to cling onto him and cuddle right now.\But if I told him that, he might think I'm a pain. response:	D-Don't you ever feel possessive about me, Goda-kun?
context: Do you lice Kamine?\Lice...?\I get a bit jealous when I see him talk to other girls.\I want to be connected with him from good morning to good night.\And this distance...\I want to cling onto him and cuddle right now.\But if I told him that, he might think I'm a pain.\D-Don't you ever feel possessive about me, Goda-kun? response:	Not so far.
context: Lice...?\I get a bit jealous when I see him talk to other girls.\I want to be connected with him from good morning to good night.\And this distance...\I want to cling onto him and cuddle right now.\But if I told him that, he might think I'm a pain.\D-Don't you ever feel possessive about me, Goda-kun?\Not so far. response:	I hear those kinds of relationships don't last.
context: I get a bit jealous when I see him talk to other girls.\I want to be connected with him from good morning to good night.\And this distance...\I want to cling onto him and cuddle right now.\But if I told him that, he might think I'm a pain.\D-Don't you ever feel possessive about me, Goda-kun?\Not so far.\I hear those kinds of relationships don't last. response:	Y-You're right.
context: I want to be connected with him from good morning to good night.\And this distance...\I want to cling onto him and cuddle right now.\But if I told him that, he might think I'm a pain.\D-Don't you ever feel possessive about me, Goda-kun?\Not so far.\I hear those kinds of relationships don't last.\Y-You're right. response:	But don't you think it's okay in moderation?
