context: So why my house? response:	Because you have a 60-inch TV!
context: So why my house?\Because you have a 60-inch TV! response:	Master Match Queen Match
context: So why my house?\Because you have a 60-inch TV!\Master Match Queen Match response:	These are the Master and Queen matches!
context: So why my house?\Because you have a 60-inch TV!\Master Match Queen Match\These are the Master and Queen matches! response:	Master and Queen matches! Master and Queen matches!
context: So why my house?\Because you have a 60-inch TV!\Master Match Queen Match\These are the Master and Queen matches!\Master and Queen matches! Master and Queen matches! response:	We have to watch on a big screen!
context: So why my house?\Because you have a 60-inch TV!\Master Match Queen Match\These are the Master and Queen matches!\Master and Queen matches! Master and Queen matches!\We have to watch on a big screen! response:	There was the option of going to Dr. Harada's house,
context: So why my house?\Because you have a 60-inch TV!\Master Match Queen Match\These are the Master and Queen matches!\Master and Queen matches! Master and Queen matches!\We have to watch on a big screen!\There was the option of going to Dr. Harada's house, response:	but the other three members are in the Suihoku society,
context: So why my house?\Because you have a 60-inch TV!\Master Match Queen Match\These are the Master and Queen matches!\Master and Queen matches! Master and Queen matches!\We have to watch on a big screen!\There was the option of going to Dr. Harada's house,\but the other three members are in the Suihoku society, response:	so Coach Kitano would be upset.
context: Because you have a 60-inch TV!\Master Match Queen Match\These are the Master and Queen matches!\Master and Queen matches! Master and Queen matches!\We have to watch on a big screen!\There was the option of going to Dr. Harada's house,\but the other three members are in the Suihoku society,\so Coach Kitano would be upset. response:	Okay, I can understand that.
context: Master Match Queen Match\These are the Master and Queen matches!\Master and Queen matches! Master and Queen matches!\We have to watch on a big screen!\There was the option of going to Dr. Harada's house,\but the other three members are in the Suihoku society,\so Coach Kitano would be upset.\Okay, I can understand that. response:	But now is a bad time...
context: These are the Master and Queen matches!\Master and Queen matches! Master and Queen matches!\We have to watch on a big screen!\There was the option of going to Dr. Harada's house,\but the other three members are in the Suihoku society,\so Coach Kitano would be upset.\Okay, I can understand that.\But now is a bad time... response:	Oh, Chihaya-chan.
context: Master and Queen matches! Master and Queen matches!\We have to watch on a big screen!\There was the option of going to Dr. Harada's house,\but the other three members are in the Suihoku society,\so Coach Kitano would be upset.\Okay, I can understand that.\But now is a bad time...\Oh, Chihaya-chan. response:	You've come to visit?
context: We have to watch on a big screen!\There was the option of going to Dr. Harada's house,\but the other three members are in the Suihoku society,\so Coach Kitano would be upset.\Okay, I can understand that.\But now is a bad time...\Oh, Chihaya-chan.\You've come to visit? response:	It's been so long.
context: There was the option of going to Dr. Harada's house,\but the other three members are in the Suihoku society,\so Coach Kitano would be upset.\Okay, I can understand that.\But now is a bad time...\Oh, Chihaya-chan.\You've come to visit?\It's been so long. response:	It turns out that the play
context: but the other three members are in the Suihoku society,\so Coach Kitano would be upset.\Okay, I can understand that.\But now is a bad time...\Oh, Chihaya-chan.\You've come to visit?\It's been so long.\It turns out that the play response:	I was going to attend this afternoon was
context: so Coach Kitano would be upset.\Okay, I can understand that.\But now is a bad time...\Oh, Chihaya-chan.\You've come to visit?\It's been so long.\It turns out that the play\I was going to attend this afternoon was response:	actually scheduled for tonight.
context: Okay, I can understand that.\But now is a bad time...\Oh, Chihaya-chan.\You've come to visit?\It's been so long.\It turns out that the play\I was going to attend this afternoon was\actually scheduled for tonight. response:	But it worked out, since you're here.
context: But now is a bad time...\Oh, Chihaya-chan.\You've come to visit?\It's been so long.\It turns out that the play\I was going to attend this afternoon was\actually scheduled for tonight.\But it worked out, since you're here. response:	No, um, I'll leave right away.
context: Oh, Chihaya-chan.\You've come to visit?\It's been so long.\It turns out that the play\I was going to attend this afternoon was\actually scheduled for tonight.\But it worked out, since you're here.\No, um, I'll leave right away. response:	Why? Enjoy your stay.
context: You've come to visit?\It's been so long.\It turns out that the play\I was going to attend this afternoon was\actually scheduled for tonight.\But it worked out, since you're here.\No, um, I'll leave right away.\Why? Enjoy your stay. response:	I want to thank you for making
context: It's been so long.\It turns out that the play\I was going to attend this afternoon was\actually scheduled for tonight.\But it worked out, since you're here.\No, um, I'll leave right away.\Why? Enjoy your stay.\I want to thank you for making response:	Taichi feel at home in the karuta club.
context: It turns out that the play\I was going to attend this afternoon was\actually scheduled for tonight.\But it worked out, since you're here.\No, um, I'll leave right away.\Why? Enjoy your stay.\I want to thank you for making\Taichi feel at home in the karuta club. response:	She hates me. She hates me. She hates me.
context: I was going to attend this afternoon was\actually scheduled for tonight.\But it worked out, since you're here.\No, um, I'll leave right away.\Why? Enjoy your stay.\I want to thank you for making\Taichi feel at home in the karuta club.\She hates me. She hates me. She hates me. response:	She's looking at me. She's looking at me. She's looking at me.
context: actually scheduled for tonight.\But it worked out, since you're here.\No, um, I'll leave right away.\Why? Enjoy your stay.\I want to thank you for making\Taichi feel at home in the karuta club.\She hates me. She hates me. She hates me.\She's looking at me. She's looking at me. She's looking at me. response:	Want to go up to my room?
context: But it worked out, since you're here.\No, um, I'll leave right away.\Why? Enjoy your stay.\I want to thank you for making\Taichi feel at home in the karuta club.\She hates me. She hates me. She hates me.\She's looking at me. She's looking at me. She's looking at me.\Want to go up to my room? response:	Huh?
