context: I've been waiting for you. response:	Is she for sale?
context: I've been waiting for you.\Is she for sale? response:	This is my daughter.
context: I've been waiting for you.\Is she for sale?\This is my daughter. response:	My apologies.
context: I've been waiting for you.\Is she for sale?\This is my daughter.\My apologies. response:	But, Boss...
context: I've been waiting for you.\Is she for sale?\This is my daughter.\My apologies.\But, Boss... response:	You shouldn't be bringing your daughter to a place like this.
context: I've been waiting for you.\Is she for sale?\This is my daughter.\My apologies.\But, Boss...\You shouldn't be bringing your daughter to a place like this. response:	Someday, she'll be running my gang.
context: I've been waiting for you.\Is she for sale?\This is my daughter.\My apologies.\But, Boss...\You shouldn't be bringing your daughter to a place like this.\Someday, she'll be running my gang. response:	It's a learning experience for her.
context: I've been waiting for you.\Is she for sale?\This is my daughter.\My apologies.\But, Boss...\You shouldn't be bringing your daughter to a place like this.\Someday, she'll be running my gang.\It's a learning experience for her. response:	Then will you also choose one, Miss?
context: Is she for sale?\This is my daughter.\My apologies.\But, Boss...\You shouldn't be bringing your daughter to a place like this.\Someday, she'll be running my gang.\It's a learning experience for her.\Then will you also choose one, Miss? response:	Choose one?
context: This is my daughter.\My apologies.\But, Boss...\You shouldn't be bringing your daughter to a place like this.\Someday, she'll be running my gang.\It's a learning experience for her.\Then will you also choose one, Miss?\Choose one? response:	Yes...
context: My apologies.\But, Boss...\You shouldn't be bringing your daughter to a place like this.\Someday, she'll be running my gang.\It's a learning experience for her.\Then will you also choose one, Miss?\Choose one?\Yes... response:	I hope you find one you like.
context: But, Boss...\You shouldn't be bringing your daughter to a place like this.\Someday, she'll be running my gang.\It's a learning experience for her.\Then will you also choose one, Miss?\Choose one?\Yes...\I hope you find one you like. response:	Oh? I didn't expect you to actually select one.
context: You shouldn't be bringing your daughter to a place like this.\Someday, she'll be running my gang.\It's a learning experience for her.\Then will you also choose one, Miss?\Choose one?\Yes...\I hope you find one you like.\Oh? I didn't expect you to actually select one. response:	What is it, Kumiko?
context: Someday, she'll be running my gang.\It's a learning experience for her.\Then will you also choose one, Miss?\Choose one?\Yes...\I hope you find one you like.\Oh? I didn't expect you to actually select one.\What is it, Kumiko? response:	Do you want him?
context: It's a learning experience for her.\Then will you also choose one, Miss?\Choose one?\Yes...\I hope you find one you like.\Oh? I didn't expect you to actually select one.\What is it, Kumiko?\Do you want him? response:	That dream again...
context: Then will you also choose one, Miss?\Choose one?\Yes...\I hope you find one you like.\Oh? I didn't expect you to actually select one.\What is it, Kumiko?\Do you want him?\That dream again... response:	I've been doing what I can to track down the designer children...
context: Choose one?\Yes...\I hope you find one you like.\Oh? I didn't expect you to actually select one.\What is it, Kumiko?\Do you want him?\That dream again...\I've been doing what I can to track down the designer children... response:	But I couldn't learn their current locations.
context: Yes...\I hope you find one you like.\Oh? I didn't expect you to actually select one.\What is it, Kumiko?\Do you want him?\That dream again...\I've been doing what I can to track down the designer children...\But I couldn't learn their current locations. response:	I guess we'll have to rely on your power, after all.
context: I hope you find one you like.\Oh? I didn't expect you to actually select one.\What is it, Kumiko?\Do you want him?\That dream again...\I've been doing what I can to track down the designer children...\But I couldn't learn their current locations.\I guess we'll have to rely on your power, after all. response:	She says we'll have to rely on you.
context: Oh? I didn't expect you to actually select one.\What is it, Kumiko?\Do you want him?\That dream again...\I've been doing what I can to track down the designer children...\But I couldn't learn their current locations.\I guess we'll have to rely on your power, after all.\She says we'll have to rely on you. response:	During the last battle, the Machine Goodfellow didn't activate.
context: What is it, Kumiko?\Do you want him?\That dream again...\I've been doing what I can to track down the designer children...\But I couldn't learn their current locations.\I guess we'll have to rely on your power, after all.\She says we'll have to rely on you.\During the last battle, the Machine Goodfellow didn't activate. response:	Teppei, you're still awake?
context: Do you want him?\That dream again...\I've been doing what I can to track down the designer children...\But I couldn't learn their current locations.\I guess we'll have to rely on your power, after all.\She says we'll have to rely on you.\During the last battle, the Machine Goodfellow didn't activate.\Teppei, you're still awake? response:	But Amarok and Malkin appeared...
context: That dream again...\I've been doing what I can to track down the designer children...\But I couldn't learn their current locations.\I guess we'll have to rely on your power, after all.\She says we'll have to rely on you.\During the last battle, the Machine Goodfellow didn't activate.\Teppei, you're still awake?\But Amarok and Malkin appeared... response:	I think one of the two remaining designer children was there.
