context: We have a transfer student joining us today. response:	Go ahead and introduce yourself.
context: We have a transfer student joining us today.\Go ahead and introduce yourself. response:	I'm Asagiri Minori.
context: We have a transfer student joining us today.\Go ahead and introduce yourself.\I'm Asagiri Minori. response:	Asagiri Minori
context: We have a transfer student joining us today.\Go ahead and introduce yourself.\I'm Asagiri Minori.\Asagiri Minori response:	Nice to meet you.
context: We have a transfer student joining us today.\Go ahead and introduce yourself.\I'm Asagiri Minori.\Asagiri Minori\Nice to meet you. response:	Mob Psycho
context: We have a transfer student joining us today.\Go ahead and introduce yourself.\I'm Asagiri Minori.\Asagiri Minori\Nice to meet you.\Mob Psycho response:	What? Your dad runs a company, Asagiri-san?
context: We have a transfer student joining us today.\Go ahead and introduce yourself.\I'm Asagiri Minori.\Asagiri Minori\Nice to meet you.\Mob Psycho\What? Your dad runs a company, Asagiri-san? response:	That's awesome!
context: We have a transfer student joining us today.\Go ahead and introduce yourself.\I'm Asagiri Minori.\Asagiri Minori\Nice to meet you.\Mob Psycho\What? Your dad runs a company, Asagiri-san?\That's awesome! response:	Wanna come over sometime?
context: Go ahead and introduce yourself.\I'm Asagiri Minori.\Asagiri Minori\Nice to meet you.\Mob Psycho\What? Your dad runs a company, Asagiri-san?\That's awesome!\Wanna come over sometime? response:	Heck yeah!
context: I'm Asagiri Minori.\Asagiri Minori\Nice to meet you.\Mob Psycho\What? Your dad runs a company, Asagiri-san?\That's awesome!\Wanna come over sometime?\Heck yeah! response:	Let's have a welcoming party.
context: Asagiri Minori\Nice to meet you.\Mob Psycho\What? Your dad runs a company, Asagiri-san?\That's awesome!\Wanna come over sometime?\Heck yeah!\Let's have a welcoming party. response:	All right. Whoever's going, write your name down.
context: Nice to meet you.\Mob Psycho\What? Your dad runs a company, Asagiri-san?\That's awesome!\Wanna come over sometime?\Heck yeah!\Let's have a welcoming party.\All right. Whoever's going, write your name down. response:	I'm definitely writing my name down!
context: Mob Psycho\What? Your dad runs a company, Asagiri-san?\That's awesome!\Wanna come over sometime?\Heck yeah!\Let's have a welcoming party.\All right. Whoever's going, write your name down.\I'm definitely writing my name down! response:	No need to bother asking Kageyama.
context: What? Your dad runs a company, Asagiri-san?\That's awesome!\Wanna come over sometime?\Heck yeah!\Let's have a welcoming party.\All right. Whoever's going, write your name down.\I'm definitely writing my name down!\No need to bother asking Kageyama. response:	Yeah.
context: That's awesome!\Wanna come over sometime?\Heck yeah!\Let's have a welcoming party.\All right. Whoever's going, write your name down.\I'm definitely writing my name down!\No need to bother asking Kageyama.\Yeah. response:	What's his deal? The token punching bag?
context: Wanna come over sometime?\Heck yeah!\Let's have a welcoming party.\All right. Whoever's going, write your name down.\I'm definitely writing my name down!\No need to bother asking Kageyama.\Yeah.\What's his deal? The token punching bag? response:	Who knows? I've never really thought about him.
context: Heck yeah!\Let's have a welcoming party.\All right. Whoever's going, write your name down.\I'm definitely writing my name down!\No need to bother asking Kageyama.\Yeah.\What's his deal? The token punching bag?\Who knows? I've never really thought about him. response:	He's barely noticeable.
context: Let's have a welcoming party.\All right. Whoever's going, write your name down.\I'm definitely writing my name down!\No need to bother asking Kageyama.\Yeah.\What's his deal? The token punching bag?\Who knows? I've never really thought about him.\He's barely noticeable. response:	Hope
context: All right. Whoever's going, write your name down.\I'm definitely writing my name down!\No need to bother asking Kageyama.\Yeah.\What's his deal? The token punching bag?\Who knows? I've never really thought about him.\He's barely noticeable.\Hope response:	Oh, I see...
context: I'm definitely writing my name down!\No need to bother asking Kageyama.\Yeah.\What's his deal? The token punching bag?\Who knows? I've never really thought about him.\He's barely noticeable.\Hope\Oh, I see... response:	The people here are accurate representations of actual people from the real world.
context: No need to bother asking Kageyama.\Yeah.\What's his deal? The token punching bag?\Who knows? I've never really thought about him.\He's barely noticeable.\Hope\Oh, I see...\The people here are accurate representations of actual people from the real world. response:	So what you're experiencing is a parallel world that could've easily come to pass
context: Yeah.\What's his deal? The token punching bag?\Who knows? I've never really thought about him.\He's barely noticeable.\Hope\Oh, I see...\The people here are accurate representations of actual people from the real world.\So what you're experiencing is a parallel world that could've easily come to pass response:	had your circumstances been slightly different.
context: What's his deal? The token punching bag?\Who knows? I've never really thought about him.\He's barely noticeable.\Hope\Oh, I see...\The people here are accurate representations of actual people from the real world.\So what you're experiencing is a parallel world that could've easily come to pass\had your circumstances been slightly different. response:	And I'll observe how you fare in this environment without your powers.
context: Who knows? I've never really thought about him.\He's barely noticeable.\Hope\Oh, I see...\The people here are accurate representations of actual people from the real world.\So what you're experiencing is a parallel world that could've easily come to pass\had your circumstances been slightly different.\And I'll observe how you fare in this environment without your powers. response:	Don't give me that I don't know crap!
context: He's barely noticeable.\Hope\Oh, I see...\The people here are accurate representations of actual people from the real world.\So what you're experiencing is a parallel world that could've easily come to pass\had your circumstances been slightly different.\And I'll observe how you fare in this environment without your powers.\Don't give me that I don't know crap! response:	Are my lessons that boring?
context: Hope\Oh, I see...\The people here are accurate representations of actual people from the real world.\So what you're experiencing is a parallel world that could've easily come to pass\had your circumstances been slightly different.\And I'll observe how you fare in this environment without your powers.\Don't give me that I don't know crap!\Are my lessons that boring? response:	You can stay standing.
context: Oh, I see...\The people here are accurate representations of actual people from the real world.\So what you're experiencing is a parallel world that could've easily come to pass\had your circumstances been slightly different.\And I'll observe how you fare in this environment without your powers.\Don't give me that I don't know crap!\Are my lessons that boring?\You can stay standing. response:	All that was left in the problem was addition.
context: The people here are accurate representations of actual people from the real world.\So what you're experiencing is a parallel world that could've easily come to pass\had your circumstances been slightly different.\And I'll observe how you fare in this environment without your powers.\Don't give me that I don't know crap!\Are my lessons that boring?\You can stay standing.\All that was left in the problem was addition. response:	Talk about lame.
context: So what you're experiencing is a parallel world that could've easily come to pass\had your circumstances been slightly different.\And I'll observe how you fare in this environment without your powers.\Don't give me that I don't know crap!\Are my lessons that boring?\You can stay standing.\All that was left in the problem was addition.\Talk about lame. response:	He's too stupid.
context: had your circumstances been slightly different.\And I'll observe how you fare in this environment without your powers.\Don't give me that I don't know crap!\Are my lessons that boring?\You can stay standing.\All that was left in the problem was addition.\Talk about lame.\He's too stupid. response:	Hey, stop that...
context: And I'll observe how you fare in this environment without your powers.\Don't give me that I don't know crap!\Are my lessons that boring?\You can stay standing.\All that was left in the problem was addition.\Talk about lame.\He's too stupid.\Hey, stop that... response:	He's completely frozen.
context: Don't give me that I don't know crap!\Are my lessons that boring?\You can stay standing.\All that was left in the problem was addition.\Talk about lame.\He's too stupid.\Hey, stop that...\He's completely frozen. response:	You had plenty of relationships in real life,
