context: It's unforgivable, unforgivable! response:	What is it that's unforgivable?
context: It's unforgivable, unforgivable!\What is it that's unforgivable? response:	It's unforgivable when someone kidnaps girls who are praying for love.
context: It's unforgivable, unforgivable!\What is it that's unforgivable?\It's unforgivable when someone kidnaps girls who are praying for love. response:	Until the day everyone's wishes for safety and finding love comes true...
context: It's unforgivable, unforgivable!\What is it that's unforgivable?\It's unforgivable when someone kidnaps girls who are praying for love.\Until the day everyone's wishes for safety and finding love comes true... response:	In the name of the moon, Sailor Moon will punish you!
context: It's unforgivable, unforgivable!\What is it that's unforgivable?\It's unforgivable when someone kidnaps girls who are praying for love.\Until the day everyone's wishes for safety and finding love comes true...\In the name of the moon, Sailor Moon will punish you! response:	Gomen ne sunao ja nakute yume no naka nara ieru
context: It's unforgivable, unforgivable!\What is it that's unforgivable?\It's unforgivable when someone kidnaps girls who are praying for love.\Until the day everyone's wishes for safety and finding love comes true...\In the name of the moon, Sailor Moon will punish you!\Gomen ne sunao ja nakute yume no naka nara ieru response:	Shikou kairo wa short sunzen ima sugu aitai yo
context: It's unforgivable, unforgivable!\What is it that's unforgivable?\It's unforgivable when someone kidnaps girls who are praying for love.\Until the day everyone's wishes for safety and finding love comes true...\In the name of the moon, Sailor Moon will punish you!\Gomen ne sunao ja nakute yume no naka nara ieru\Shikou kairo wa short sunzen ima sugu aitai yo response:	Nakitakunaru you na moonlight denwa mo dekinai midnight
context: It's unforgivable, unforgivable!\What is it that's unforgivable?\It's unforgivable when someone kidnaps girls who are praying for love.\Until the day everyone's wishes for safety and finding love comes true...\In the name of the moon, Sailor Moon will punish you!\Gomen ne sunao ja nakute yume no naka nara ieru\Shikou kairo wa short sunzen ima sugu aitai yo\Nakitakunaru you na moonlight denwa mo dekinai midnight response:	Datte junjou dou shiyou heart wa mangekyou
context: What is it that's unforgivable?\It's unforgivable when someone kidnaps girls who are praying for love.\Until the day everyone's wishes for safety and finding love comes true...\In the name of the moon, Sailor Moon will punish you!\Gomen ne sunao ja nakute yume no naka nara ieru\Shikou kairo wa short sunzen ima sugu aitai yo\Nakitakunaru you na moonlight denwa mo dekinai midnight\Datte junjou dou shiyou heart wa mangekyou response:	Tsuki no hikari ni michibikare
context: It's unforgivable when someone kidnaps girls who are praying for love.\Until the day everyone's wishes for safety and finding love comes true...\In the name of the moon, Sailor Moon will punish you!\Gomen ne sunao ja nakute yume no naka nara ieru\Shikou kairo wa short sunzen ima sugu aitai yo\Nakitakunaru you na moonlight denwa mo dekinai midnight\Datte junjou dou shiyou heart wa mangekyou\Tsuki no hikari ni michibikare response:	Nando mo meguriau
context: Until the day everyone's wishes for safety and finding love comes true...\In the name of the moon, Sailor Moon will punish you!\Gomen ne sunao ja nakute yume no naka nara ieru\Shikou kairo wa short sunzen ima sugu aitai yo\Nakitakunaru you na moonlight denwa mo dekinai midnight\Datte junjou dou shiyou heart wa mangekyou\Tsuki no hikari ni michibikare\Nando mo meguriau response:	Seiza no matataki kazoe uranau koi no yukue
context: In the name of the moon, Sailor Moon will punish you!\Gomen ne sunao ja nakute yume no naka nara ieru\Shikou kairo wa short sunzen ima sugu aitai yo\Nakitakunaru you na moonlight denwa mo dekinai midnight\Datte junjou dou shiyou heart wa mangekyou\Tsuki no hikari ni michibikare\Nando mo meguriau\Seiza no matataki kazoe uranau koi no yukue response:	Onaji kuni ni umareta no miracle romance
context: Gomen ne sunao ja nakute yume no naka nara ieru\Shikou kairo wa short sunzen ima sugu aitai yo\Nakitakunaru you na moonlight denwa mo dekinai midnight\Datte junjou dou shiyou heart wa mangekyou\Tsuki no hikari ni michibikare\Nando mo meguriau\Seiza no matataki kazoe uranau koi no yukue\Onaji kuni ni umareta no miracle romance response:	Shinjite iru no miracle romance
