context: Splendidly done, brave heroes. response:	Tonight, we celebrate!
context: Splendidly done, brave heroes.\Tonight, we celebrate! response:	Enjoy yourselves to the fullest!
context: Splendidly done, brave heroes.\Tonight, we celebrate!\Enjoy yourselves to the fullest! response:	Hooray!
context: Splendidly done, brave heroes.\Tonight, we celebrate!\Enjoy yourselves to the fullest!\Hooray! response:	That's the heroes for you.
context: Splendidly done, brave heroes.\Tonight, we celebrate!\Enjoy yourselves to the fullest!\Hooray!\That's the heroes for you. response:	Our country has nothing to worry about.
context: Splendidly done, brave heroes.\Tonight, we celebrate!\Enjoy yourselves to the fullest!\Hooray!\That's the heroes for you.\Our country has nothing to worry about. response:	Screw this party.
context: Splendidly done, brave heroes.\Tonight, we celebrate!\Enjoy yourselves to the fullest!\Hooray!\That's the heroes for you.\Our country has nothing to worry about.\Screw this party. response:	I never would have come here if it wasn't for the reward.
context: Splendidly done, brave heroes.\Tonight, we celebrate!\Enjoy yourselves to the fullest!\Hooray!\That's the heroes for you.\Our country has nothing to worry about.\Screw this party.\I never would have come here if it wasn't for the reward. response:	I hear the casualties were in the single digits this time.
context: Tonight, we celebrate!\Enjoy yourselves to the fullest!\Hooray!\That's the heroes for you.\Our country has nothing to worry about.\Screw this party.\I never would have come here if it wasn't for the reward.\I hear the casualties were in the single digits this time. response:	Bless our heroes.
context: Enjoy yourselves to the fullest!\Hooray!\That's the heroes for you.\Our country has nothing to worry about.\Screw this party.\I never would have come here if it wasn't for the reward.\I hear the casualties were in the single digits this time.\Bless our heroes. response:	I held my ground against a massive monster
context: Hooray!\That's the heroes for you.\Our country has nothing to worry about.\Screw this party.\I never would have come here if it wasn't for the reward.\I hear the casualties were in the single digits this time.\Bless our heroes.\I held my ground against a massive monster response:	and fought with pride as a royal knight...
context: That's the heroes for you.\Our country has nothing to worry about.\Screw this party.\I never would have come here if it wasn't for the reward.\I hear the casualties were in the single digits this time.\Bless our heroes.\I held my ground against a massive monster\and fought with pride as a royal knight... response:	What?
