context: Wow, it's beautiful! response:	So this is Gallia's capital, Lutis.
context: Wow, it's beautiful!\So this is Gallia's capital, Lutis. response:	This is where Tabitha is from.
context: Wow, it's beautiful!\So this is Gallia's capital, Lutis.\This is where Tabitha is from. response:	Are you really sure we can ask you to repair the ship?
context: Wow, it's beautiful!\So this is Gallia's capital, Lutis.\This is where Tabitha is from.\Are you really sure we can ask you to repair the ship? response:	I think I've used up my luck as a researcher.
context: Wow, it's beautiful!\So this is Gallia's capital, Lutis.\This is where Tabitha is from.\Are you really sure we can ask you to repair the ship?\I think I've used up my luck as a researcher. response:	I mean, I get to see another barbarian country.
context: Wow, it's beautiful!\So this is Gallia's capital, Lutis.\This is where Tabitha is from.\Are you really sure we can ask you to repair the ship?\I think I've used up my luck as a researcher.\I mean, I get to see another barbarian country. response:	If I knew this was going to happen,
context: Wow, it's beautiful!\So this is Gallia's capital, Lutis.\This is where Tabitha is from.\Are you really sure we can ask you to repair the ship?\I think I've used up my luck as a researcher.\I mean, I get to see another barbarian country.\If I knew this was going to happen, response:	I would have insisted on following Lord Bidalsha.
context: Wow, it's beautiful!\So this is Gallia's capital, Lutis.\This is where Tabitha is from.\Are you really sure we can ask you to repair the ship?\I think I've used up my luck as a researcher.\I mean, I get to see another barbarian country.\If I knew this was going to happen,\I would have insisted on following Lord Bidalsha. response:	Don't sigh like that.
context: So this is Gallia's capital, Lutis.\This is where Tabitha is from.\Are you really sure we can ask you to repair the ship?\I think I've used up my luck as a researcher.\I mean, I get to see another barbarian country.\If I knew this was going to happen,\I would have insisted on following Lord Bidalsha.\Don't sigh like that. response:	Think of it as our honeymoon and enjoy it.
context: This is where Tabitha is from.\Are you really sure we can ask you to repair the ship?\I think I've used up my luck as a researcher.\I mean, I get to see another barbarian country.\If I knew this was going to happen,\I would have insisted on following Lord Bidalsha.\Don't sigh like that.\Think of it as our honeymoon and enjoy it. response:	Where the heck did that Saito go?
context: Are you really sure we can ask you to repair the ship?\I think I've used up my luck as a researcher.\I mean, I get to see another barbarian country.\If I knew this was going to happen,\I would have insisted on following Lord Bidalsha.\Don't sigh like that.\Think of it as our honeymoon and enjoy it.\Where the heck did that Saito go? response:	Hey!
context: I think I've used up my luck as a researcher.\I mean, I get to see another barbarian country.\If I knew this was going to happen,\I would have insisted on following Lord Bidalsha.\Don't sigh like that.\Think of it as our honeymoon and enjoy it.\Where the heck did that Saito go?\Hey! response:	Oh, Sait
context: I mean, I get to see another barbarian country.\If I knew this was going to happen,\I would have insisted on following Lord Bidalsha.\Don't sigh like that.\Think of it as our honeymoon and enjoy it.\Where the heck did that Saito go?\Hey!\Oh, Sait response:	Wait up, you two!
context: If I knew this was going to happen,\I would have insisted on following Lord Bidalsha.\Don't sigh like that.\Think of it as our honeymoon and enjoy it.\Where the heck did that Saito go?\Hey!\Oh, Sait\Wait up, you two! response:	Tiffa said you'd have trouble without this.
context: I would have insisted on following Lord Bidalsha.\Don't sigh like that.\Think of it as our honeymoon and enjoy it.\Where the heck did that Saito go?\Hey!\Oh, Sait\Wait up, you two!\Tiffa said you'd have trouble without this. response:	Right, Tiffa?
context: Don't sigh like that.\Think of it as our honeymoon and enjoy it.\Where the heck did that Saito go?\Hey!\Oh, Sait\Wait up, you two!\Tiffa said you'd have trouble without this.\Right, Tiffa? response:	Oh, thank you.
context: Think of it as our honeymoon and enjoy it.\Where the heck did that Saito go?\Hey!\Oh, Sait\Wait up, you two!\Tiffa said you'd have trouble without this.\Right, Tiffa?\Oh, thank you. response:	What are you so mad about?
context: Where the heck did that Saito go?\Hey!\Oh, Sait\Wait up, you two!\Tiffa said you'd have trouble without this.\Right, Tiffa?\Oh, thank you.\What are you so mad about? response:	What's with all the Tiffa, Tiffa stuff?
context: Hey!\Oh, Sait\Wait up, you two!\Tiffa said you'd have trouble without this.\Right, Tiffa?\Oh, thank you.\What are you so mad about?\What's with all the Tiffa, Tiffa stuff? response:	I was your master first!
context: Oh, Sait\Wait up, you two!\Tiffa said you'd have trouble without this.\Right, Tiffa?\Oh, thank you.\What are you so mad about?\What's with all the Tiffa, Tiffa stuff?\I was your master first! response:	I see, so you're Tiffa's rival.
context: Wait up, you two!\Tiffa said you'd have trouble without this.\Right, Tiffa?\Oh, thank you.\What are you so mad about?\What's with all the Tiffa, Tiffa stuff?\I was your master first!\I see, so you're Tiffa's rival. response:	Rival?
context: Tiffa said you'd have trouble without this.\Right, Tiffa?\Oh, thank you.\What are you so mad about?\What's with all the Tiffa, Tiffa stuff?\I was your master first!\I see, so you're Tiffa's rival.\Rival? response:	I'm surprised you were able to win with those.
context: Right, Tiffa?\Oh, thank you.\What are you so mad about?\What's with all the Tiffa, Tiffa stuff?\I was your master first!\I see, so you're Tiffa's rival.\Rival?\I'm surprised you were able to win with those. response:	S-Saito prefers them small!
context: Oh, thank you.\What are you so mad about?\What's with all the Tiffa, Tiffa stuff?\I was your master first!\I see, so you're Tiffa's rival.\Rival?\I'm surprised you were able to win with those.\S-Saito prefers them small! response:	Is that so?
context: What are you so mad about?\What's with all the Tiffa, Tiffa stuff?\I was your master first!\I see, so you're Tiffa's rival.\Rival?\I'm surprised you were able to win with those.\S-Saito prefers them small!\Is that so? response:	Weren't you happily touching her breasts?
context: What's with all the Tiffa, Tiffa stuff?\I was your master first!\I see, so you're Tiffa's rival.\Rival?\I'm surprised you were able to win with those.\S-Saito prefers them small!\Is that so?\Weren't you happily touching her breasts? response:	What did you say?
context: I was your master first!\I see, so you're Tiffa's rival.\Rival?\I'm surprised you were able to win with those.\S-Saito prefers them small!\Is that so?\Weren't you happily touching her breasts?\What did you say? response:	What does that mean?!
context: I see, so you're Tiffa's rival.\Rival?\I'm surprised you were able to win with those.\S-Saito prefers them small!\Is that so?\Weren't you happily touching her breasts?\What did you say?\What does that mean?! response:	Th-That's...
context: Rival?\I'm surprised you were able to win with those.\S-Saito prefers them small!\Is that so?\Weren't you happily touching her breasts?\What did you say?\What does that mean?!\Th-That's... response:	What?!
context: I'm surprised you were able to win with those.\S-Saito prefers them small!\Is that so?\Weren't you happily touching her breasts?\What did you say?\What does that mean?!\Th-That's...\What?! response:	Lady Charlotte!
context: S-Saito prefers them small!\Is that so?\Weren't you happily touching her breasts?\What did you say?\What does that mean?!\Th-That's...\What?!\Lady Charlotte! response:	I am so relieved you are safe.
context: Is that so?\Weren't you happily touching her breasts?\What did you say?\What does that mean?!\Th-That's...\What?!\Lady Charlotte!\I am so relieved you are safe. response:	Start preparing the coronation ceremony right away.
