context: Library response:	Library
context: Library\Library response:	To Kumin
context: Library\Library\To Kumin response:	Isshiki Makoto
context: Library\Library\To Kumin\Isshiki Makoto response:	To Kumin
context: Library\Library\To Kumin\Isshiki Makoto\To Kumin response:	Isshiki Makoto
context: Library\Library\To Kumin\Isshiki Makoto\To Kumin\Isshiki Makoto response:	You're traveling light.
context: Library\Library\To Kumin\Isshiki Makoto\To Kumin\Isshiki Makoto\You're traveling light. response:	It's cheaper to just buy what I need when I get there.
context: Library\Library\To Kumin\Isshiki Makoto\To Kumin\Isshiki Makoto\You're traveling light.\It's cheaper to just buy what I need when I get there. response:	Thanks for helping out.
context: Library\To Kumin\Isshiki Makoto\To Kumin\Isshiki Makoto\You're traveling light.\It's cheaper to just buy what I need when I get there.\Thanks for helping out. response:	It's okay.
context: To Kumin\Isshiki Makoto\To Kumin\Isshiki Makoto\You're traveling light.\It's cheaper to just buy what I need when I get there.\Thanks for helping out.\It's okay. response:	I am the Dark Flame Master!
context: Isshiki Makoto\To Kumin\Isshiki Makoto\You're traveling light.\It's cheaper to just buy what I need when I get there.\Thanks for helping out.\It's okay.\I am the Dark Flame Master! response:	I wield the power of the flames of dark
context: To Kumin\Isshiki Makoto\You're traveling light.\It's cheaper to just buy what I need when I get there.\Thanks for helping out.\It's okay.\I am the Dark Flame Master!\I wield the power of the flames of dark response:	Here.
context: Isshiki Makoto\You're traveling light.\It's cheaper to just buy what I need when I get there.\Thanks for helping out.\It's okay.\I am the Dark Flame Master!\I wield the power of the flames of dark\Here. response:	You can have it.
context: You're traveling light.\It's cheaper to just buy what I need when I get there.\Thanks for helping out.\It's okay.\I am the Dark Flame Master!\I wield the power of the flames of dark\Here.\You can have it. response:	Thank you very much.
context: It's cheaper to just buy what I need when I get there.\Thanks for helping out.\It's okay.\I am the Dark Flame Master!\I wield the power of the flames of dark\Here.\You can have it.\Thank you very much. response:	Also, there's something important I need to tell you.
context: Thanks for helping out.\It's okay.\I am the Dark Flame Master!\I wield the power of the flames of dark\Here.\You can have it.\Thank you very much.\Also, there's something important I need to tell you. response:	I'm really grateful.
context: It's okay.\I am the Dark Flame Master!\I wield the power of the flames of dark\Here.\You can have it.\Thank you very much.\Also, there's something important I need to tell you.\I'm really grateful. response:	It's thanks to you that I can leave without any worries.
context: I am the Dark Flame Master!\I wield the power of the flames of dark\Here.\You can have it.\Thank you very much.\Also, there's something important I need to tell you.\I'm really grateful.\It's thanks to you that I can leave without any worries. response:	Thank you very much.
context: I wield the power of the flames of dark\Here.\You can have it.\Thank you very much.\Also, there's something important I need to tell you.\I'm really grateful.\It's thanks to you that I can leave without any worries.\Thank you very much. response:	It's nothing.
context: Here.\You can have it.\Thank you very much.\Also, there's something important I need to tell you.\I'm really grateful.\It's thanks to you that I can leave without any worries.\Thank you very much.\It's nothing. response:	Sis...
context: You can have it.\Thank you very much.\Also, there's something important I need to tell you.\I'm really grateful.\It's thanks to you that I can leave without any worries.\Thank you very much.\It's nothing.\Sis... response:	Thanks.
context: Thank you very much.\Also, there's something important I need to tell you.\I'm really grateful.\It's thanks to you that I can leave without any worries.\Thank you very much.\It's nothing.\Sis...\Thanks. response:	Mama should be home soon.
context: Also, there's something important I need to tell you.\I'm really grateful.\It's thanks to you that I can leave without any worries.\Thank you very much.\It's nothing.\Sis...\Thanks.\Mama should be home soon. response:	If I don't leave now, I'll miss my flight.
context: I'm really grateful.\It's thanks to you that I can leave without any worries.\Thank you very much.\It's nothing.\Sis...\Thanks.\Mama should be home soon.\If I don't leave now, I'll miss my flight. response:	Give her a hug for me, okay?
context: It's thanks to you that I can leave without any worries.\Thank you very much.\It's nothing.\Sis...\Thanks.\Mama should be home soon.\If I don't leave now, I'll miss my flight.\Give her a hug for me, okay? response:	Sis...
context: Thank you very much.\It's nothing.\Sis...\Thanks.\Mama should be home soon.\If I don't leave now, I'll miss my flight.\Give her a hug for me, okay?\Sis... response:	Come on, Yumeha!
context: It's nothing.\Sis...\Thanks.\Mama should be home soon.\If I don't leave now, I'll miss my flight.\Give her a hug for me, okay?\Sis...\Come on, Yumeha! response:	Bye-bye!
context: Sis...\Thanks.\Mama should be home soon.\If I don't leave now, I'll miss my flight.\Give her a hug for me, okay?\Sis...\Come on, Yumeha!\Bye-bye! response:	Bye-bye!
context: Thanks.\Mama should be home soon.\If I don't leave now, I'll miss my flight.\Give her a hug for me, okay?\Sis...\Come on, Yumeha!\Bye-bye!\Bye-bye! response:	Let me see the children sometime!
context: Mama should be home soon.\If I don't leave now, I'll miss my flight.\Give her a hug for me, okay?\Sis...\Come on, Yumeha!\Bye-bye!\Bye-bye!\Let me see the children sometime! response:	Yumeha, what?!
context: If I don't leave now, I'll miss my flight.\Give her a hug for me, okay?\Sis...\Come on, Yumeha!\Bye-bye!\Bye-bye!\Let me see the children sometime!\Yumeha, what?! response:	I taught her that.
context: Give her a hug for me, okay?\Sis...\Come on, Yumeha!\Bye-bye!\Bye-bye!\Let me see the children sometime!\Yumeha, what?!\I taught her that. response:	Sure, I will.
context: Sis...\Come on, Yumeha!\Bye-bye!\Bye-bye!\Let me see the children sometime!\Yumeha, what?!\I taught her that.\Sure, I will. response:	Well then.
context: Come on, Yumeha!\Bye-bye!\Bye-bye!\Let me see the children sometime!\Yumeha, what?!\I taught her that.\Sure, I will.\Well then. response:	Yeah...
context: Bye-bye!\Bye-bye!\Let me see the children sometime!\Yumeha, what?!\I taught her that.\Sure, I will.\Well then.\Yeah... response:	I'll email you.
context: Bye-bye!\Let me see the children sometime!\Yumeha, what?!\I taught her that.\Sure, I will.\Well then.\Yeah...\I'll email you. response:	It's been three weeks since Rikka took off her eyepatch.
context: Let me see the children sometime!\Yumeha, what?!\I taught her that.\Sure, I will.\Well then.\Yeah...\I'll email you.\It's been three weeks since Rikka took off her eyepatch. response:	She's been trying her best to come to terms with that.
context: Yumeha, what?!\I taught her that.\Sure, I will.\Well then.\Yeah...\I'll email you.\It's been three weeks since Rikka took off her eyepatch.\She's been trying her best to come to terms with that. response:	Come on, why ginger roast again?
context: I taught her that.\Sure, I will.\Well then.\Yeah...\I'll email you.\It's been three weeks since Rikka took off her eyepatch.\She's been trying her best to come to terms with that.\Come on, why ginger roast again? response:	Less complaining, more eating!
context: Sure, I will.\Well then.\Yeah...\I'll email you.\It's been three weeks since Rikka took off her eyepatch.\She's been trying her best to come to terms with that.\Come on, why ginger roast again?\Less complaining, more eating! response:	Ginger roast!
context: Well then.\Yeah...\I'll email you.\It's been three weeks since Rikka took off her eyepatch.\She's been trying her best to come to terms with that.\Come on, why ginger roast again?\Less complaining, more eating!\Ginger roast! response:	Kuzuha, help Yumeha change clothes.
context: Yeah...\I'll email you.\It's been three weeks since Rikka took off her eyepatch.\She's been trying her best to come to terms with that.\Come on, why ginger roast again?\Less complaining, more eating!\Ginger roast!\Kuzuha, help Yumeha change clothes. response:	Come here!
context: I'll email you.\It's been three weeks since Rikka took off her eyepatch.\She's been trying her best to come to terms with that.\Come on, why ginger roast again?\Less complaining, more eating!\Ginger roast!\Kuzuha, help Yumeha change clothes.\Come here! response:	Ginger roast!
context: It's been three weeks since Rikka took off her eyepatch.\She's been trying her best to come to terms with that.\Come on, why ginger roast again?\Less complaining, more eating!\Ginger roast!\Kuzuha, help Yumeha change clothes.\Come here!\Ginger roast! response:	Yuuta, Takanashi's here.
context: She's been trying her best to come to terms with that.\Come on, why ginger roast again?\Less complaining, more eating!\Ginger roast!\Kuzuha, help Yumeha change clothes.\Come here!\Ginger roast!\Yuuta, Takanashi's here. response:	Rikka!
context: Come on, why ginger roast again?\Less complaining, more eating!\Ginger roast!\Kuzuha, help Yumeha change clothes.\Come here!\Ginger roast!\Yuuta, Takanashi's here.\Rikka! response:	Coming!
context: Less complaining, more eating!\Ginger roast!\Kuzuha, help Yumeha change clothes.\Come here!\Ginger roast!\Yuuta, Takanashi's here.\Rikka!\Coming! response:	Go-Go... Good morning!
context: Ginger roast!\Kuzuha, help Yumeha change clothes.\Come here!\Ginger roast!\Yuuta, Takanashi's here.\Rikka!\Coming!\Go-Go... Good morning! response:	Good morning!
context: Kuzuha, help Yumeha change clothes.\Come here!\Ginger roast!\Yuuta, Takanashi's here.\Rikka!\Coming!\Go-Go... Good morning!\Good morning! response:	I'll go get Yuuta.
context: Come here!\Ginger roast!\Yuuta, Takanashi's here.\Rikka!\Coming!\Go-Go... Good morning!\Good morning!\I'll go get Yuuta. response:	U-Um...
context: Ginger roast!\Yuuta, Takanashi's here.\Rikka!\Coming!\Go-Go... Good morning!\Good morning!\I'll go get Yuuta.\U-Um... response:	Yeah?
context: Yuuta, Takanashi's here.\Rikka!\Coming!\Go-Go... Good morning!\Good morning!\I'll go get Yuuta.\U-Um...\Yeah? response:	P-Please get Yuuta for me!
context: Rikka!\Coming!\Go-Go... Good morning!\Good morning!\I'll go get Yuuta.\U-Um...\Yeah?\P-Please get Yuuta for me! response:	Sure!
context: Coming!\Go-Go... Good morning!\Good morning!\I'll go get Yuuta.\U-Um...\Yeah?\P-Please get Yuuta for me!\Sure! response:	You know, conversations have this thing called flow.
context: Go-Go... Good morning!\Good morning!\I'll go get Yuuta.\U-Um...\Yeah?\P-Please get Yuuta for me!\Sure!\You know, conversations have this thing called flow. response:	If the other person gets what you mean, you don't have to state the obvious.
context: Good morning!\I'll go get Yuuta.\U-Um...\Yeah?\P-Please get Yuuta for me!\Sure!\You know, conversations have this thing called flow.\If the other person gets what you mean, you don't have to state the obvious. response:	But Nibutani said that I should have an answer to everything, even if it adds nothing.
context: I'll go get Yuuta.\U-Um...\Yeah?\P-Please get Yuuta for me!\Sure!\You know, conversations have this thing called flow.\If the other person gets what you mean, you don't have to state the obvious.\But Nibutani said that I should have an answer to everything, even if it adds nothing. response:	Yeah, but still...
context: U-Um...\Yeah?\P-Please get Yuuta for me!\Sure!\You know, conversations have this thing called flow.\If the other person gets what you mean, you don't have to state the obvious.\But Nibutani said that I should have an answer to everything, even if it adds nothing.\Yeah, but still... response:	It's difficult.
context: Yeah?\P-Please get Yuuta for me!\Sure!\You know, conversations have this thing called flow.\If the other person gets what you mean, you don't have to state the obvious.\But Nibutani said that I should have an answer to everything, even if it adds nothing.\Yeah, but still...\It's difficult. response:	This is what you get for hanging on to your eighth-grader syndrome for so long.
context: P-Please get Yuuta for me!\Sure!\You know, conversations have this thing called flow.\If the other person gets what you mean, you don't have to state the obvious.\But Nibutani said that I should have an answer to everything, even if it adds nothing.\Yeah, but still...\It's difficult.\This is what you get for hanging on to your eighth-grader syndrome for so long. response:	What now?
context: Sure!\You know, conversations have this thing called flow.\If the other person gets what you mean, you don't have to state the obvious.\But Nibutani said that I should have an answer to everything, even if it adds nothing.\Yeah, but still...\It's difficult.\This is what you get for hanging on to your eighth-grader syndrome for so long.\What now? response:	She also told me to change the way I talk.
context: You know, conversations have this thing called flow.\If the other person gets what you mean, you don't have to state the obvious.\But Nibutani said that I should have an answer to everything, even if it adds nothing.\Yeah, but still...\It's difficult.\This is what you get for hanging on to your eighth-grader syndrome for so long.\What now?\She also told me to change the way I talk. response:	Really?
context: If the other person gets what you mean, you don't have to state the obvious.\But Nibutani said that I should have an answer to everything, even if it adds nothing.\Yeah, but still...\It's difficult.\This is what you get for hanging on to your eighth-grader syndrome for so long.\What now?\She also told me to change the way I talk.\Really? response:	Really, Yuuta.
context: But Nibutani said that I should have an answer to everything, even if it adds nothing.\Yeah, but still...\It's difficult.\This is what you get for hanging on to your eighth-grader syndrome for so long.\What now?\She also told me to change the way I talk.\Really?\Really, Yuuta. response:	May I be of your service?
context: Yeah, but still...\It's difficult.\This is what you get for hanging on to your eighth-grader syndrome for so long.\What now?\She also told me to change the way I talk.\Really?\Really, Yuuta.\May I be of your service? response:	You're not a maid.
context: It's difficult.\This is what you get for hanging on to your eighth-grader syndrome for so long.\What now?\She also told me to change the way I talk.\Really?\Really, Yuuta.\May I be of your service?\You're not a maid. response:	What do you require?
context: This is what you get for hanging on to your eighth-grader syndrome for so long.\What now?\She also told me to change the way I talk.\Really?\Really, Yuuta.\May I be of your service?\You're not a maid.\What do you require? response:	Nor some rich girl.
context: What now?\She also told me to change the way I talk.\Really?\Really, Yuuta.\May I be of your service?\You're not a maid.\What do you require?\Nor some rich girl. response:	What'll it be?
context: She also told me to change the way I talk.\Really?\Really, Yuuta.\May I be of your service?\You're not a maid.\What do you require?\Nor some rich girl.\What'll it be? response:	I'll pass.
context: Really?\Really, Yuuta.\May I be of your service?\You're not a maid.\What do you require?\Nor some rich girl.\What'll it be?\I'll pass. response:	What?
context: Really, Yuuta.\May I be of your service?\You're not a maid.\What do you require?\Nor some rich girl.\What'll it be?\I'll pass.\What? response:	Yeah, I think you'd better stick to that one.
context: May I be of your service?\You're not a maid.\What do you require?\Nor some rich girl.\What'll it be?\I'll pass.\What?\Yeah, I think you'd better stick to that one. response:	She said it's not good'cause it sounds like I'm trying to brush you off.
context: You're not a maid.\What do you require?\Nor some rich girl.\What'll it be?\I'll pass.\What?\Yeah, I think you'd better stick to that one.\She said it's not good'cause it sounds like I'm trying to brush you off. response:	Well, I guess so...
context: What do you require?\Nor some rich girl.\What'll it be?\I'll pass.\What?\Yeah, I think you'd better stick to that one.\She said it's not good'cause it sounds like I'm trying to brush you off.\Well, I guess so... response:	What you do want?
context: Nor some rich girl.\What'll it be?\I'll pass.\What?\Yeah, I think you'd better stick to that one.\She said it's not good'cause it sounds like I'm trying to brush you off.\Well, I guess so...\What you do want? response:	If you're gonna get it wrong on purpose, be less obvious about it.
