context: TS response:	It's coming from beneath?
context: TS\It's coming from beneath? response:	Don't tell me it's Blanc...
context: TS\It's coming from beneath?\Don't tell me it's Blanc... response:	Hey, Sergei!
context: TS\It's coming from beneath?\Don't tell me it's Blanc...\Hey, Sergei! response:	Hey, Elena! Neither Kyrie nor Alleluia can fly just ye
context: TS\It's coming from beneath?\Don't tell me it's Blanc...\Hey, Sergei!\Hey, Elena! Neither Kyrie nor Alleluia can fly just ye response:	What are those?
context: TS\It's coming from beneath?\Don't tell me it's Blanc...\Hey, Sergei!\Hey, Elena! Neither Kyrie nor Alleluia can fly just ye\What are those? response:	Prototypes.
context: TS\It's coming from beneath?\Don't tell me it's Blanc...\Hey, Sergei!\Hey, Elena! Neither Kyrie nor Alleluia can fly just ye\What are those?\Prototypes. response:	Requiem, Gloria, and Credo.
context: TS\It's coming from beneath?\Don't tell me it's Blanc...\Hey, Sergei!\Hey, Elena! Neither Kyrie nor Alleluia can fly just ye\What are those?\Prototypes.\Requiem, Gloria, and Credo. response:	Credo...
context: It's coming from beneath?\Don't tell me it's Blanc...\Hey, Sergei!\Hey, Elena! Neither Kyrie nor Alleluia can fly just ye\What are those?\Prototypes.\Requiem, Gloria, and Credo.\Credo... response:	Papa! Papa! Answer me, Papa!
context: Don't tell me it's Blanc...\Hey, Sergei!\Hey, Elena! Neither Kyrie nor Alleluia can fly just ye\What are those?\Prototypes.\Requiem, Gloria, and Credo.\Credo...\Papa! Papa! Answer me, Papa! response:	Fleur...
context: Hey, Sergei!\Hey, Elena! Neither Kyrie nor Alleluia can fly just ye\What are those?\Prototypes.\Requiem, Gloria, and Credo.\Credo...\Papa! Papa! Answer me, Papa!\Fleur... response:	It's trapar...
context: Hey, Elena! Neither Kyrie nor Alleluia can fly just ye\What are those?\Prototypes.\Requiem, Gloria, and Credo.\Credo...\Papa! Papa! Answer me, Papa!\Fleur...\It's trapar... response:	There must have been a confluence explosion.
context: What are those?\Prototypes.\Requiem, Gloria, and Credo.\Credo...\Papa! Papa! Answer me, Papa!\Fleur...\It's trapar...\There must have been a confluence explosion. response:	Georg?
context: Prototypes.\Requiem, Gloria, and Credo.\Credo...\Papa! Papa! Answer me, Papa!\Fleur...\It's trapar...\There must have been a confluence explosion.\Georg? response:	No, the Secret?
context: Requiem, Gloria, and Credo.\Credo...\Papa! Papa! Answer me, Papa!\Fleur...\It's trapar...\There must have been a confluence explosion.\Georg?\No, the Secret? response:	What do you mean there must have been a confluence explosion?!
context: Credo...\Papa! Papa! Answer me, Papa!\Fleur...\It's trapar...\There must have been a confluence explosion.\Georg?\No, the Secret?\What do you mean there must have been a confluence explosion?! response:	Cristophe Blanc hit Truth with all the remaining Quartz.
context: Papa! Papa! Answer me, Papa!\Fleur...\It's trapar...\There must have been a confluence explosion.\Georg?\No, the Secret?\What do you mean there must have been a confluence explosion?!\Cristophe Blanc hit Truth with all the remaining Quartz. response:	Truth was a Secret, after all.
context: Fleur...\It's trapar...\There must have been a confluence explosion.\Georg?\No, the Secret?\What do you mean there must have been a confluence explosion?!\Cristophe Blanc hit Truth with all the remaining Quartz.\Truth was a Secret, after all. response:	And Papa? What happened to him?!
context: It's trapar...\There must have been a confluence explosion.\Georg?\No, the Secret?\What do you mean there must have been a confluence explosion?!\Cristophe Blanc hit Truth with all the remaining Quartz.\Truth was a Secret, after all.\And Papa? What happened to him?! response:	To completely destroy the invaders from another dimension known as Quartz,
context: There must have been a confluence explosion.\Georg?\No, the Secret?\What do you mean there must have been a confluence explosion?!\Cristophe Blanc hit Truth with all the remaining Quartz.\Truth was a Secret, after all.\And Papa? What happened to him?!\To completely destroy the invaders from another dimension known as Quartz, response:	Secrets erase the surrounding space itself.
context: Georg?\No, the Secret?\What do you mean there must have been a confluence explosion?!\Cristophe Blanc hit Truth with all the remaining Quartz.\Truth was a Secret, after all.\And Papa? What happened to him?!\To completely destroy the invaders from another dimension known as Quartz,\Secrets erase the surrounding space itself. response:	Don't screw with me!
context: No, the Secret?\What do you mean there must have been a confluence explosion?!\Cristophe Blanc hit Truth with all the remaining Quartz.\Truth was a Secret, after all.\And Papa? What happened to him?!\To completely destroy the invaders from another dimension known as Quartz,\Secrets erase the surrounding space itself.\Don't screw with me! response:	Didn't they say that Georg has gone all weird because of a Secret?
context: What do you mean there must have been a confluence explosion?!\Cristophe Blanc hit Truth with all the remaining Quartz.\Truth was a Secret, after all.\And Papa? What happened to him?!\To completely destroy the invaders from another dimension known as Quartz,\Secrets erase the surrounding space itself.\Don't screw with me!\Didn't they say that Georg has gone all weird because of a Secret? response:	It must be his fault!
context: Cristophe Blanc hit Truth with all the remaining Quartz.\Truth was a Secret, after all.\And Papa? What happened to him?!\To completely destroy the invaders from another dimension known as Quartz,\Secrets erase the surrounding space itself.\Don't screw with me!\Didn't they say that Georg has gone all weird because of a Secret?\It must be his fault! response:	But your dad said
context: Truth was a Secret, after all.\And Papa? What happened to him?!\To completely destroy the invaders from another dimension known as Quartz,\Secrets erase the surrounding space itself.\Don't screw with me!\Didn't they say that Georg has gone all weird because of a Secret?\It must be his fault!\But your dad said response:	that the Secrets may not be our enemies.
context: And Papa? What happened to him?!\To completely destroy the invaders from another dimension known as Quartz,\Secrets erase the surrounding space itself.\Don't screw with me!\Didn't they say that Georg has gone all weird because of a Secret?\It must be his fault!\But your dad said\that the Secrets may not be our enemies. response:	Nothing is absolute.
context: To completely destroy the invaders from another dimension known as Quartz,\Secrets erase the surrounding space itself.\Don't screw with me!\Didn't they say that Georg has gone all weird because of a Secret?\It must be his fault!\But your dad said\that the Secrets may not be our enemies.\Nothing is absolute. response:	Let's hurry. We don't know when the power will go out.
context: Secrets erase the surrounding space itself.\Don't screw with me!\Didn't they say that Georg has gone all weird because of a Secret?\It must be his fault!\But your dad said\that the Secrets may not be our enemies.\Nothing is absolute.\Let's hurry. We don't know when the power will go out. response:	Commander, we're still not going in?
context: Don't screw with me!\Didn't they say that Georg has gone all weird because of a Secret?\It must be his fault!\But your dad said\that the Secrets may not be our enemies.\Nothing is absolute.\Let's hurry. We don't know when the power will go out.\Commander, we're still not going in? response:	I'd prefer a peaceful resolution.
context: Didn't they say that Georg has gone all weird because of a Secret?\It must be his fault!\But your dad said\that the Secrets may not be our enemies.\Nothing is absolute.\Let's hurry. We don't know when the power will go out.\Commander, we're still not going in?\I'd prefer a peaceful resolution. response:	Let's just wait for them to surrender.
