context: Sorry to change the subject, but... response:	By the way, do you all have plans for winter vacation?
context: Sorry to change the subject, but...\By the way, do you all have plans for winter vacation? response:	Since the Phoenix Festa was such a learning experience for me,
context: Sorry to change the subject, but...\By the way, do you all have plans for winter vacation?\Since the Phoenix Festa was such a learning experience for me, response:	I thought I'd take this opportunity to re-train myself.
context: Sorry to change the subject, but...\By the way, do you all have plans for winter vacation?\Since the Phoenix Festa was such a learning experience for me,\I thought I'd take this opportunity to re-train myself. response:	I'm just going to go through my usual regimen, I guess.
context: Sorry to change the subject, but...\By the way, do you all have plans for winter vacation?\Since the Phoenix Festa was such a learning experience for me,\I thought I'd take this opportunity to re-train myself.\I'm just going to go through my usual regimen, I guess. response:	Since we're finally getting some time off, I thought I'd take it easy.
context: Sorry to change the subject, but...\By the way, do you all have plans for winter vacation?\Since the Phoenix Festa was such a learning experience for me,\I thought I'd take this opportunity to re-train myself.\I'm just going to go through my usual regimen, I guess.\Since we're finally getting some time off, I thought I'd take it easy. response:	Really? A quiet New Year's holiday... That sounds pretty good.
context: Sorry to change the subject, but...\By the way, do you all have plans for winter vacation?\Since the Phoenix Festa was such a learning experience for me,\I thought I'd take this opportunity to re-train myself.\I'm just going to go through my usual regimen, I guess.\Since we're finally getting some time off, I thought I'd take it easy.\Really? A quiet New Year's holiday... That sounds pretty good. response:	So sleep through New Year's with me, Aya
context: Sorry to change the subject, but...\By the way, do you all have plans for winter vacation?\Since the Phoenix Festa was such a learning experience for me,\I thought I'd take this opportunity to re-train myself.\I'm just going to go through my usual regimen, I guess.\Since we're finally getting some time off, I thought I'd take it easy.\Really? A quiet New Year's holiday... That sounds pretty good.\So sleep through New Year's with me, Aya response:	Actually, there's something I'd like to discuss with you.
context: By the way, do you all have plans for winter vacation?\Since the Phoenix Festa was such a learning experience for me,\I thought I'd take this opportunity to re-train myself.\I'm just going to go through my usual regimen, I guess.\Since we're finally getting some time off, I thought I'd take it easy.\Really? A quiet New Year's holiday... That sounds pretty good.\So sleep through New Year's with me, Aya\Actually, there's something I'd like to discuss with you. response:	Discuss?
context: Since the Phoenix Festa was such a learning experience for me,\I thought I'd take this opportunity to re-train myself.\I'm just going to go through my usual regimen, I guess.\Since we're finally getting some time off, I thought I'd take it easy.\Really? A quiet New Year's holiday... That sounds pretty good.\So sleep through New Year's with me, Aya\Actually, there's something I'd like to discuss with you.\Discuss? response:	Hello, everybody! I've come to pick you up!
context: I thought I'd take this opportunity to re-train myself.\I'm just going to go through my usual regimen, I guess.\Since we're finally getting some time off, I thought I'd take it easy.\Really? A quiet New Year's holiday... That sounds pretty good.\So sleep through New Year's with me, Aya\Actually, there's something I'd like to discuss with you.\Discuss?\Hello, everybody! I've come to pick you up! response:	KINGDOM OF LIESELTANIA, CAPITAL: STOREL
context: I'm just going to go through my usual regimen, I guess.\Since we're finally getting some time off, I thought I'd take it easy.\Really? A quiet New Year's holiday... That sounds pretty good.\So sleep through New Year's with me, Aya\Actually, there's something I'd like to discuss with you.\Discuss?\Hello, everybody! I've come to pick you up!\KINGDOM OF LIESELTANIA, CAPITAL: STOREL response:	Amagiri!
context: Since we're finally getting some time off, I thought I'd take it easy.\Really? A quiet New Year's holiday... That sounds pretty good.\So sleep through New Year's with me, Aya\Actually, there's something I'd like to discuss with you.\Discuss?\Hello, everybody! I've come to pick you up!\KINGDOM OF LIESELTANIA, CAPITAL: STOREL\Amagiri! response:	Ayato!
context: Really? A quiet New Year's holiday... That sounds pretty good.\So sleep through New Year's with me, Aya\Actually, there's something I'd like to discuss with you.\Discuss?\Hello, everybody! I've come to pick you up!\KINGDOM OF LIESELTANIA, CAPITAL: STOREL\Amagiri!\Ayato! response:	How'd we end up like this?
context: So sleep through New Year's with me, Aya\Actually, there's something I'd like to discuss with you.\Discuss?\Hello, everybody! I've come to pick you up!\KINGDOM OF LIESELTANIA, CAPITAL: STOREL\Amagiri!\Ayato!\How'd we end up like this? response:	Lieseltania
context: Actually, there's something I'd like to discuss with you.\Discuss?\Hello, everybody! I've come to pick you up!\KINGDOM OF LIESELTANIA, CAPITAL: STOREL\Amagiri!\Ayato!\How'd we end up like this?\Lieseltania response:	Brother!
context: Discuss?\Hello, everybody! I've come to pick you up!\KINGDOM OF LIESELTANIA, CAPITAL: STOREL\Amagiri!\Ayato!\How'd we end up like this?\Lieseltania\Brother! response:	What exactly were you thinking?
context: Hello, everybody! I've come to pick you up!\KINGDOM OF LIESELTANIA, CAPITAL: STOREL\Amagiri!\Ayato!\How'd we end up like this?\Lieseltania\Brother!\What exactly were you thinking? response:	Oh, my, Julis and Claudia!
context: KINGDOM OF LIESELTANIA, CAPITAL: STOREL\Amagiri!\Ayato!\How'd we end up like this?\Lieseltania\Brother!\What exactly were you thinking?\Oh, my, Julis and Claudia! response:	It's been so long!
context: Amagiri!\Ayato!\How'd we end up like this?\Lieseltania\Brother!\What exactly were you thinking?\Oh, my, Julis and Claudia!\It's been so long! response:	It's been a while, yes.
context: Ayato!\How'd we end up like this?\Lieseltania\Brother!\What exactly were you thinking?\Oh, my, Julis and Claudia!\It's been so long!\It's been a while, yes. response:	Excuse me, Maria.
context: How'd we end up like this?\Lieseltania\Brother!\What exactly were you thinking?\Oh, my, Julis and Claudia!\It's been so long!\It's been a while, yes.\Excuse me, Maria. response:	I'd like a word with my brother if you don't mind.
context: Lieseltania\Brother!\What exactly were you thinking?\Oh, my, Julis and Claudia!\It's been so long!\It's been a while, yes.\Excuse me, Maria.\I'd like a word with my brother if you don't mind. response:	Very well!
context: Brother!\What exactly were you thinking?\Oh, my, Julis and Claudia!\It's been so long!\It's been a while, yes.\Excuse me, Maria.\I'd like a word with my brother if you don't mind.\Very well! response:	I know you helped Flora during the Phoenix Festa.
context: What exactly were you thinking?\Oh, my, Julis and Claudia!\It's been so long!\It's been a while, yes.\Excuse me, Maria.\I'd like a word with my brother if you don't mind.\Very well!\I know you helped Flora during the Phoenix Festa. response:	I invited you all here so that I could thank you for that.
context: Oh, my, Julis and Claudia!\It's been so long!\It's been a while, yes.\Excuse me, Maria.\I'd like a word with my brother if you don't mind.\Very well!\I know you helped Flora during the Phoenix Festa.\I invited you all here so that I could thank you for that. response:	And I'm happy you've accepted my invitation.
context: It's been so long!\It's been a while, yes.\Excuse me, Maria.\I'd like a word with my brother if you don't mind.\Very well!\I know you helped Flora during the Phoenix Festa.\I invited you all here so that I could thank you for that.\And I'm happy you've accepted my invitation. response:	I'm Julis's older brother, Jolbert.
context: It's been a while, yes.\Excuse me, Maria.\I'd like a word with my brother if you don't mind.\Very well!\I know you helped Flora during the Phoenix Festa.\I invited you all here so that I could thank you for that.\And I'm happy you've accepted my invitation.\I'm Julis's older brother, Jolbert. response:	I guess you could say that I'm the king of this country.
context: Excuse me, Maria.\I'd like a word with my brother if you don't mind.\Very well!\I know you helped Flora during the Phoenix Festa.\I invited you all here so that I could thank you for that.\And I'm happy you've accepted my invitation.\I'm Julis's older brother, Jolbert.\I guess you could say that I'm the king of this country. response:	And this is my wife, Maria.
context: I'd like a word with my brother if you don't mind.\Very well!\I know you helped Flora during the Phoenix Festa.\I invited you all here so that I could thank you for that.\And I'm happy you've accepted my invitation.\I'm Julis's older brother, Jolbert.\I guess you could say that I'm the king of this country.\And this is my wife, Maria. response:	It's very nice to meet you.
context: Very well!\I know you helped Flora during the Phoenix Festa.\I invited you all here so that I could thank you for that.\And I'm happy you've accepted my invitation.\I'm Julis's older brother, Jolbert.\I guess you could say that I'm the king of this country.\And this is my wife, Maria.\It's very nice to meet you. response:	N-Nice to meet you.
context: I know you helped Flora during the Phoenix Festa.\I invited you all here so that I could thank you for that.\And I'm happy you've accepted my invitation.\I'm Julis's older brother, Jolbert.\I guess you could say that I'm the king of this country.\And this is my wife, Maria.\It's very nice to meet you.\N-Nice to meet you. response:	Y-Yes!
context: I invited you all here so that I could thank you for that.\And I'm happy you've accepted my invitation.\I'm Julis's older brother, Jolbert.\I guess you could say that I'm the king of this country.\And this is my wife, Maria.\It's very nice to meet you.\N-Nice to meet you.\Y-Yes! response:	King?
context: And I'm happy you've accepted my invitation.\I'm Julis's older brother, Jolbert.\I guess you could say that I'm the king of this country.\And this is my wife, Maria.\It's very nice to meet you.\N-Nice to meet you.\Y-Yes!\King? response:	Never mind that, Brother!
context: I'm Julis's older brother, Jolbert.\I guess you could say that I'm the king of this country.\And this is my wife, Maria.\It's very nice to meet you.\N-Nice to meet you.\Y-Yes!\King?\Never mind that, Brother! response:	No one ever told me anything about a victory parade!
context: I guess you could say that I'm the king of this country.\And this is my wife, Maria.\It's very nice to meet you.\N-Nice to meet you.\Y-Yes!\King?\Never mind that, Brother!\No one ever told me anything about a victory parade! response:	Well, if I told you, you would've hated it.
context: And this is my wife, Maria.\It's very nice to meet you.\N-Nice to meet you.\Y-Yes!\King?\Never mind that, Brother!\No one ever told me anything about a victory parade!\Well, if I told you, you would've hated it. response:	Of course I would've!
context: It's very nice to meet you.\N-Nice to meet you.\Y-Yes!\King?\Never mind that, Brother!\No one ever told me anything about a victory parade!\Well, if I told you, you would've hated it.\Of course I would've! response:	Putting me through it is one thing,
context: N-Nice to meet you.\Y-Yes!\King?\Never mind that, Brother!\No one ever told me anything about a victory parade!\Well, if I told you, you would've hated it.\Of course I would've!\Putting me through it is one thing, response:	but what were you thinking, dragging Ayato into it, as well?
context: Y-Yes!\King?\Never mind that, Brother!\No one ever told me anything about a victory parade!\Well, if I told you, you would've hated it.\Of course I would've!\Putting me through it is one thing,\but what were you thinking, dragging Ayato into it, as well? response:	Haven't you ever heard of consulting people in advance?
context: King?\Never mind that, Brother!\No one ever told me anything about a victory parade!\Well, if I told you, you would've hated it.\Of course I would've!\Putting me through it is one thing,\but what were you thinking, dragging Ayato into it, as well?\Haven't you ever heard of consulting people in advance? response:	All right, all right. I apologize.
context: Never mind that, Brother!\No one ever told me anything about a victory parade!\Well, if I told you, you would've hated it.\Of course I would've!\Putting me through it is one thing,\but what were you thinking, dragging Ayato into it, as well?\Haven't you ever heard of consulting people in advance?\All right, all right. I apologize. response:	Sorry about that, everyone.
context: No one ever told me anything about a victory parade!\Well, if I told you, you would've hated it.\Of course I would've!\Putting me through it is one thing,\but what were you thinking, dragging Ayato into it, as well?\Haven't you ever heard of consulting people in advance?\All right, all right. I apologize.\Sorry about that, everyone. response:	But Julis...
context: Well, if I told you, you would've hated it.\Of course I would've!\Putting me through it is one thing,\but what were you thinking, dragging Ayato into it, as well?\Haven't you ever heard of consulting people in advance?\All right, all right. I apologize.\Sorry about that, everyone.\But Julis... response:	the people are intrigued, not just by you,
context: Of course I would've!\Putting me through it is one thing,\but what were you thinking, dragging Ayato into it, as well?\Haven't you ever heard of consulting people in advance?\All right, all right. I apologize.\Sorry about that, everyone.\But Julis...\the people are intrigued, not just by you, response:	but by your tag partner, Amagiri, as well.
context: Putting me through it is one thing,\but what were you thinking, dragging Ayato into it, as well?\Haven't you ever heard of consulting people in advance?\All right, all right. I apologize.\Sorry about that, everyone.\But Julis...\the people are intrigued, not just by you,\but by your tag partner, Amagiri, as well. response:	After all, he's the partner their princess hand-picked herself.
context: but what were you thinking, dragging Ayato into it, as well?\Haven't you ever heard of consulting people in advance?\All right, all right. I apologize.\Sorry about that, everyone.\But Julis...\the people are intrigued, not just by you,\but by your tag partner, Amagiri, as well.\After all, he's the partner their princess hand-picked herself. response:	Well, well!
context: Haven't you ever heard of consulting people in advance?\All right, all right. I apologize.\Sorry about that, everyone.\But Julis...\the people are intrigued, not just by you,\but by your tag partner, Amagiri, as well.\After all, he's the partner their princess hand-picked herself.\Well, well! response:	Is it only the citizens who are intrigued by him?
context: All right, all right. I apologize.\Sorry about that, everyone.\But Julis...\the people are intrigued, not just by you,\but by your tag partner, Amagiri, as well.\After all, he's the partner their princess hand-picked herself.\Well, well!\Is it only the citizens who are intrigued by him? response:	My, my, you're as perceptive as always, aren't you, my dear Ms. Enfield?
context: Sorry about that, everyone.\But Julis...\the people are intrigued, not just by you,\but by your tag partner, Amagiri, as well.\After all, he's the partner their princess hand-picked herself.\Well, well!\Is it only the citizens who are intrigued by him?\My, my, you're as perceptive as always, aren't you, my dear Ms. Enfield? response:	What are you talking about?
context: But Julis...\the people are intrigued, not just by you,\but by your tag partner, Amagiri, as well.\After all, he's the partner their princess hand-picked herself.\Well, well!\Is it only the citizens who are intrigued by him?\My, my, you're as perceptive as always, aren't you, my dear Ms. Enfield?\What are you talking about? response:	Do you think we could discuss that another time?
context: the people are intrigued, not just by you,\but by your tag partner, Amagiri, as well.\After all, he's the partner their princess hand-picked herself.\Well, well!\Is it only the citizens who are intrigued by him?\My, my, you're as perceptive as always, aren't you, my dear Ms. Enfield?\What are you talking about?\Do you think we could discuss that another time? response:	I have so many other things I want to talk to you and Amagiri about.
context: but by your tag partner, Amagiri, as well.\After all, he's the partner their princess hand-picked herself.\Well, well!\Is it only the citizens who are intrigued by him?\My, my, you're as perceptive as always, aren't you, my dear Ms. Enfield?\What are you talking about?\Do you think we could discuss that another time?\I have so many other things I want to talk to you and Amagiri about. response:	Well, I suppose I don't mind.
context: After all, he's the partner their princess hand-picked herself.\Well, well!\Is it only the citizens who are intrigued by him?\My, my, you're as perceptive as always, aren't you, my dear Ms. Enfield?\What are you talking about?\Do you think we could discuss that another time?\I have so many other things I want to talk to you and Amagiri about.\Well, I suppose I don't mind. response:	Oh, sure. Yes, of course!
context: Well, well!\Is it only the citizens who are intrigued by him?\My, my, you're as perceptive as always, aren't you, my dear Ms. Enfield?\What are you talking about?\Do you think we could discuss that another time?\I have so many other things I want to talk to you and Amagiri about.\Well, I suppose I don't mind.\Oh, sure. Yes, of course! response:	Oh, and...
context: Is it only the citizens who are intrigued by him?\My, my, you're as perceptive as always, aren't you, my dear Ms. Enfield?\What are you talking about?\Do you think we could discuss that another time?\I have so many other things I want to talk to you and Amagiri about.\Well, I suppose I don't mind.\Oh, sure. Yes, of course!\Oh, and... response:	so I hope you'll all attend.
context: My, my, you're as perceptive as always, aren't you, my dear Ms. Enfield?\What are you talking about?\Do you think we could discuss that another time?\I have so many other things I want to talk to you and Amagiri about.\Well, I suppose I don't mind.\Oh, sure. Yes, of course!\Oh, and...\so I hope you'll all attend. response:	Wow, it's so beautiful!
context: What are you talking about?\Do you think we could discuss that another time?\I have so many other things I want to talk to you and Amagiri about.\Well, I suppose I don't mind.\Oh, sure. Yes, of course!\Oh, and...\so I hope you'll all attend.\Wow, it's so beautiful! response:	Yup! In the springtime, there are flowers everywhere, so it's even prettier!
context: Do you think we could discuss that another time?\I have so many other things I want to talk to you and Amagiri about.\Well, I suppose I don't mind.\Oh, sure. Yes, of course!\Oh, and...\so I hope you'll all attend.\Wow, it's so beautiful!\Yup! In the springtime, there are flowers everywhere, so it's even prettier! response:	I had you come because I wanted you to see my country.
context: I have so many other things I want to talk to you and Amagiri about.\Well, I suppose I don't mind.\Oh, sure. Yes, of course!\Oh, and...\so I hope you'll all attend.\Wow, it's so beautiful!\Yup! In the springtime, there are flowers everywhere, so it's even prettier!\I had you come because I wanted you to see my country. response:	I'm sorry it turned into such a big deal.
context: Well, I suppose I don't mind.\Oh, sure. Yes, of course!\Oh, and...\so I hope you'll all attend.\Wow, it's so beautiful!\Yup! In the springtime, there are flowers everywhere, so it's even prettier!\I had you come because I wanted you to see my country.\I'm sorry it turned into such a big deal. response:	This is really something. These buildings are so imposing.
context: Oh, sure. Yes, of course!\Oh, and...\so I hope you'll all attend.\Wow, it's so beautiful!\Yup! In the springtime, there are flowers everywhere, so it's even prettier!\I had you come because I wanted you to see my country.\I'm sorry it turned into such a big deal.\This is really something. These buildings are so imposing. response:	Well, this garden and villa were built during the time of the Holy Roman Empire.
context: Oh, and...\so I hope you'll all attend.\Wow, it's so beautiful!\Yup! In the springtime, there are flowers everywhere, so it's even prettier!\I had you come because I wanted you to see my country.\I'm sorry it turned into such a big deal.\This is really something. These buildings are so imposing.\Well, this garden and villa were built during the time of the Holy Roman Empire. response:	Later, it gained its independence as the Kingdom of Lieseltania,
context: so I hope you'll all attend.\Wow, it's so beautiful!\Yup! In the springtime, there are flowers everywhere, so it's even prettier!\I had you come because I wanted you to see my country.\I'm sorry it turned into such a big deal.\This is really something. These buildings are so imposing.\Well, this garden and villa were built during the time of the Holy Roman Empire.\Later, it gained its independence as the Kingdom of Lieseltania, response:	only to be wiped out in the German revolution.
context: Wow, it's so beautiful!\Yup! In the springtime, there are flowers everywhere, so it's even prettier!\I had you come because I wanted you to see my country.\I'm sorry it turned into such a big deal.\This is really something. These buildings are so imposing.\Well, this garden and villa were built during the time of the Holy Roman Empire.\Later, it gained its independence as the Kingdom of Lieseltania,\only to be wiped out in the German revolution. response:	Oh, really?
context: Yup! In the springtime, there are flowers everywhere, so it's even prettier!\I had you come because I wanted you to see my country.\I'm sorry it turned into such a big deal.\This is really something. These buildings are so imposing.\Well, this garden and villa were built during the time of the Holy Roman Empire.\Later, it gained its independence as the Kingdom of Lieseltania,\only to be wiped out in the German revolution.\Oh, really? response:	But then after the Invertia,
context: I had you come because I wanted you to see my country.\I'm sorry it turned into such a big deal.\This is really something. These buildings are so imposing.\Well, this garden and villa were built during the time of the Holy Roman Empire.\Later, it gained its independence as the Kingdom of Lieseltania,\only to be wiped out in the German revolution.\Oh, really?\But then after the Invertia, response:	an extremely rare Grade A Beltis meteorite of the highest caliber
context: I'm sorry it turned into such a big deal.\This is really something. These buildings are so imposing.\Well, this garden and villa were built during the time of the Holy Roman Empire.\Later, it gained its independence as the Kingdom of Lieseltania,\only to be wiped out in the German revolution.\Oh, really?\But then after the Invertia,\an extremely rare Grade A Beltis meteorite of the highest caliber response:	was discovered in one of Lieseltania's former territories.
context: This is really something. These buildings are so imposing.\Well, this garden and villa were built during the time of the Holy Roman Empire.\Later, it gained its independence as the Kingdom of Lieseltania,\only to be wiped out in the German revolution.\Oh, really?\But then after the Invertia,\an extremely rare Grade A Beltis meteorite of the highest caliber\was discovered in one of Lieseltania's former territories. response:	And the Integrated Enterprise Foundation began fighting over it.
context: Well, this garden and villa were built during the time of the Holy Roman Empire.\Later, it gained its independence as the Kingdom of Lieseltania,\only to be wiped out in the German revolution.\Oh, really?\But then after the Invertia,\an extremely rare Grade A Beltis meteorite of the highest caliber\was discovered in one of Lieseltania's former territories.\And the Integrated Enterprise Foundation began fighting over it. response:	But a serious military confrontation would've been too risky for them.
context: Later, it gained its independence as the Kingdom of Lieseltania,\only to be wiped out in the German revolution.\Oh, really?\But then after the Invertia,\an extremely rare Grade A Beltis meteorite of the highest caliber\was discovered in one of Lieseltania's former territories.\And the Integrated Enterprise Foundation began fighting over it.\But a serious military confrontation would've been too risky for them. response:	So they signed an agreement to distribute the profits.
context: only to be wiped out in the German revolution.\Oh, really?\But then after the Invertia,\an extremely rare Grade A Beltis meteorite of the highest caliber\was discovered in one of Lieseltania's former territories.\And the Integrated Enterprise Foundation began fighting over it.\But a serious military confrontation would've been too risky for them.\So they signed an agreement to distribute the profits. response:	And then they thought they might as well create a playground for themselves,
context: Oh, really?\But then after the Invertia,\an extremely rare Grade A Beltis meteorite of the highest caliber\was discovered in one of Lieseltania's former territories.\And the Integrated Enterprise Foundation began fighting over it.\But a serious military confrontation would've been too risky for them.\So they signed an agreement to distribute the profits.\And then they thought they might as well create a playground for themselves, response:	and resurrected the country that existed there before... Lieseltania.
context: But then after the Invertia,\an extremely rare Grade A Beltis meteorite of the highest caliber\was discovered in one of Lieseltania's former territories.\And the Integrated Enterprise Foundation began fighting over it.\But a serious military confrontation would've been too risky for them.\So they signed an agreement to distribute the profits.\And then they thought they might as well create a playground for themselves,\and resurrected the country that existed there before... Lieseltania. response:	In other words, a puppet state?
context: an extremely rare Grade A Beltis meteorite of the highest caliber\was discovered in one of Lieseltania's former territories.\And the Integrated Enterprise Foundation began fighting over it.\But a serious military confrontation would've been too risky for them.\So they signed an agreement to distribute the profits.\And then they thought they might as well create a playground for themselves,\and resurrected the country that existed there before... Lieseltania.\In other words, a puppet state? response:	To put it bluntly, yes.
context: was discovered in one of Lieseltania's former territories.\And the Integrated Enterprise Foundation began fighting over it.\But a serious military confrontation would've been too risky for them.\So they signed an agreement to distribute the profits.\And then they thought they might as well create a playground for themselves,\and resurrected the country that existed there before... Lieseltania.\In other words, a puppet state?\To put it bluntly, yes. response:	That's why my country is under their tight control in every way.
context: And the Integrated Enterprise Foundation began fighting over it.\But a serious military confrontation would've been too risky for them.\So they signed an agreement to distribute the profits.\And then they thought they might as well create a playground for themselves,\and resurrected the country that existed there before... Lieseltania.\In other words, a puppet state?\To put it bluntly, yes.\That's why my country is under their tight control in every way. response:	Yes, we do receive some financial benefits, but as for the rest...
