context: Oh, no! Jellal's been brought back to life! response:	But...
context: Oh, no! Jellal's been brought back to life!\But... response:	If you don't bring Wendy back soon, Erza's in real trouble!
context: Oh, no! Jellal's been brought back to life!\But...\If you don't bring Wendy back soon, Erza's in real trouble! response:	Fast is good!
context: Oh, no! Jellal's been brought back to life!\But...\If you don't bring Wendy back soon, Erza's in real trouble!\Fast is good! response:	Natsu, I'll hold him here!
context: Oh, no! Jellal's been brought back to life!\But...\If you don't bring Wendy back soon, Erza's in real trouble!\Fast is good!\Natsu, I'll hold him here! response:	You hurry to Erza's side!
context: Oh, no! Jellal's been brought back to life!\But...\If you don't bring Wendy back soon, Erza's in real trouble!\Fast is good!\Natsu, I'll hold him here!\You hurry to Erza's side! response:	Fast is...
context: Oh, no! Jellal's been brought back to life!\But...\If you don't bring Wendy back soon, Erza's in real trouble!\Fast is good!\Natsu, I'll hold him here!\You hurry to Erza's side!\Fast is... response:	I heard ya the first time!
context: Oh, no! Jellal's been brought back to life!\But...\If you don't bring Wendy back soon, Erza's in real trouble!\Fast is good!\Natsu, I'll hold him here!\You hurry to Erza's side!\Fast is...\I heard ya the first time! response:	If it's love and dreams and you it'll become magical.
context: But...\If you don't bring Wendy back soon, Erza's in real trouble!\Fast is good!\Natsu, I'll hold him here!\You hurry to Erza's side!\Fast is...\I heard ya the first time!\If it's love and dreams and you it'll become magical. response:	Now, let's cast a smile spell!
context: If you don't bring Wendy back soon, Erza's in real trouble!\Fast is good!\Natsu, I'll hold him here!\You hurry to Erza's side!\Fast is...\I heard ya the first time!\If it's love and dreams and you it'll become magical.\Now, let's cast a smile spell! response:	I kind of admired this powerful world,
context: Fast is good!\Natsu, I'll hold him here!\You hurry to Erza's side!\Fast is...\I heard ya the first time!\If it's love and dreams and you it'll become magical.\Now, let's cast a smile spell!\I kind of admired this powerful world, response:	chock-full of problems.
context: Natsu, I'll hold him here!\You hurry to Erza's side!\Fast is...\I heard ya the first time!\If it's love and dreams and you it'll become magical.\Now, let's cast a smile spell!\I kind of admired this powerful world,\chock-full of problems. response:	Frozen time has started to move again
context: You hurry to Erza's side!\Fast is...\I heard ya the first time!\If it's love and dreams and you it'll become magical.\Now, let's cast a smile spell!\I kind of admired this powerful world,\chock-full of problems.\Frozen time has started to move again response:	ever since I met you.
context: Fast is...\I heard ya the first time!\If it's love and dreams and you it'll become magical.\Now, let's cast a smile spell!\I kind of admired this powerful world,\chock-full of problems.\Frozen time has started to move again\ever since I met you. response:	Why were we born? Why do we live?
context: I heard ya the first time!\If it's love and dreams and you it'll become magical.\Now, let's cast a smile spell!\I kind of admired this powerful world,\chock-full of problems.\Frozen time has started to move again\ever since I met you.\Why were we born? Why do we live? response:	I don't need any complicated answers.
context: If it's love and dreams and you it'll become magical.\Now, let's cast a smile spell!\I kind of admired this powerful world,\chock-full of problems.\Frozen time has started to move again\ever since I met you.\Why were we born? Why do we live?\I don't need any complicated answers. response:	Laugh! Cry! Be honest with yourself.
context: Now, let's cast a smile spell!\I kind of admired this powerful world,\chock-full of problems.\Frozen time has started to move again\ever since I met you.\Why were we born? Why do we live?\I don't need any complicated answers.\Laugh! Cry! Be honest with yourself. response:	Simple feelings are the most important.
context: I kind of admired this powerful world,\chock-full of problems.\Frozen time has started to move again\ever since I met you.\Why were we born? Why do we live?\I don't need any complicated answers.\Laugh! Cry! Be honest with yourself.\Simple feelings are the most important. response:	You can change those tears shed on sad nights into strength.
context: chock-full of problems.\Frozen time has started to move again\ever since I met you.\Why were we born? Why do we live?\I don't need any complicated answers.\Laugh! Cry! Be honest with yourself.\Simple feelings are the most important.\You can change those tears shed on sad nights into strength. response:	Now, let's cast a smile spell!
