context: Vapor pressure stabilized. response:	It should work this time.
context: Vapor pressure stabilized.\It should work this time. response:	Right! Open the valve!
context: Vapor pressure stabilized.\It should work this time.\Right! Open the valve! response:	At last.
context: Vapor pressure stabilized.\It should work this time.\Right! Open the valve!\At last. response:	At last, we've done it!
context: Vapor pressure stabilized.\It should work this time.\Right! Open the valve!\At last.\At last, we've done it! response:	Now the Kingdom can finally crush the Commonwealth!
context: Vapor pressure stabilized.\It should work this time.\Right! Open the valve!\At last.\At last, we've done it!\Now the Kingdom can finally crush the Commonwealth! response:	Long live the Kingdom of Albion!
context: Vapor pressure stabilized.\It should work this time.\Right! Open the valve!\At last.\At last, we've done it!\Now the Kingdom can finally crush the Commonwealth!\Long live the Kingdom of Albion! response:	Now we just have to work on mass production.
context: Vapor pressure stabilized.\It should work this time.\Right! Open the valve!\At last.\At last, we've done it!\Now the Kingdom can finally crush the Commonwealth!\Long live the Kingdom of Albion!\Now we just have to work on mass production. response:	You'll see what you get for stealing our country!
context: It should work this time.\Right! Open the valve!\At last.\At last, we've done it!\Now the Kingdom can finally crush the Commonwealth!\Long live the Kingdom of Albion!\Now we just have to work on mass production.\You'll see what you get for stealing our country! response:	What's our target?
context: Right! Open the valve!\At last.\At last, we've done it!\Now the Kingdom can finally crush the Commonwealth!\Long live the Kingdom of Albion!\Now we just have to work on mass production.\You'll see what you get for stealing our country!\What's our target? response:	A C-ball.
context: At last.\At last, we've done it!\Now the Kingdom can finally crush the Commonwealth!\Long live the Kingdom of Albion!\Now we just have to work on mass production.\You'll see what you get for stealing our country!\What's our target?\A C-ball. response:	The Kingdom has successfully miniaturized the Cavorite control unit.
context: At last, we've done it!\Now the Kingdom can finally crush the Commonwealth!\Long live the Kingdom of Albion!\Now we just have to work on mass production.\You'll see what you get for stealing our country!\What's our target?\A C-ball.\The Kingdom has successfully miniaturized the Cavorite control unit. response:	I would like your team to take the prototype from them.
context: Now the Kingdom can finally crush the Commonwealth!\Long live the Kingdom of Albion!\Now we just have to work on mass production.\You'll see what you get for stealing our country!\What's our target?\A C-ball.\The Kingdom has successfully miniaturized the Cavorite control unit.\I would like your team to take the prototype from them. response:	So the main players in this shadow war are the spies and the scientists.
context: Long live the Kingdom of Albion!\Now we just have to work on mass production.\You'll see what you get for stealing our country!\What's our target?\A C-ball.\The Kingdom has successfully miniaturized the Cavorite control unit.\I would like your team to take the prototype from them.\So the main players in this shadow war are the spies and the scientists. response:	The Kingdom possesses refining technology that we lack.
context: Now we just have to work on mass production.\You'll see what you get for stealing our country!\What's our target?\A C-ball.\The Kingdom has successfully miniaturized the Cavorite control unit.\I would like your team to take the prototype from them.\So the main players in this shadow war are the spies and the scientists.\The Kingdom possesses refining technology that we lack. response:	If they combine it with the miniature control unit,
context: You'll see what you get for stealing our country!\What's our target?\A C-ball.\The Kingdom has successfully miniaturized the Cavorite control unit.\I would like your team to take the prototype from them.\So the main players in this shadow war are the spies and the scientists.\The Kingdom possesses refining technology that we lack.\If they combine it with the miniature control unit, response:	they would make large-scale gravity weapons a reality.
context: What's our target?\A C-ball.\The Kingdom has successfully miniaturized the Cavorite control unit.\I would like your team to take the prototype from them.\So the main players in this shadow war are the spies and the scientists.\The Kingdom possesses refining technology that we lack.\If they combine it with the miniature control unit,\they would make large-scale gravity weapons a reality. response:	If not handled carefully, this could change history.
context: A C-ball.\The Kingdom has successfully miniaturized the Cavorite control unit.\I would like your team to take the prototype from them.\So the main players in this shadow war are the spies and the scientists.\The Kingdom possesses refining technology that we lack.\If they combine it with the miniature control unit,\they would make large-scale gravity weapons a reality.\If not handled carefully, this could change history. response:	Isn't this a bit much for a team with amateurs?
context: The Kingdom has successfully miniaturized the Cavorite control unit.\I would like your team to take the prototype from them.\So the main players in this shadow war are the spies and the scientists.\The Kingdom possesses refining technology that we lack.\If they combine it with the miniature control unit,\they would make large-scale gravity weapons a reality.\If not handled carefully, this could change history.\Isn't this a bit much for a team with amateurs? response:	Our more experienced spies could...
context: I would like your team to take the prototype from them.\So the main players in this shadow war are the spies and the scientists.\The Kingdom possesses refining technology that we lack.\If they combine it with the miniature control unit,\they would make large-scale gravity weapons a reality.\If not handled carefully, this could change history.\Isn't this a bit much for a team with amateurs?\Our more experienced spies could... response:	This is something only your team can do.
context: So the main players in this shadow war are the spies and the scientists.\The Kingdom possesses refining technology that we lack.\If they combine it with the miniature control unit,\they would make large-scale gravity weapons a reality.\If not handled carefully, this could change history.\Isn't this a bit much for a team with amateurs?\Our more experienced spies could...\This is something only your team can do. response:	Because of Princess?
context: The Kingdom possesses refining technology that we lack.\If they combine it with the miniature control unit,\they would make large-scale gravity weapons a reality.\If not handled carefully, this could change history.\Isn't this a bit much for a team with amateurs?\Our more experienced spies could...\This is something only your team can do.\Because of Princess? response:	She is your team's strong point.
context: If they combine it with the miniature control unit,\they would make large-scale gravity weapons a reality.\If not handled carefully, this could change history.\Isn't this a bit much for a team with amateurs?\Our more experienced spies could...\This is something only your team can do.\Because of Princess?\She is your team's strong point. response:	You will use her position to infiltrate the ceremony at the Cavorite mine.
context: they would make large-scale gravity weapons a reality.\If not handled carefully, this could change history.\Isn't this a bit much for a team with amateurs?\Our more experienced spies could...\This is something only your team can do.\Because of Princess?\She is your team's strong point.\You will use her position to infiltrate the ceremony at the Cavorite mine. response:	Honestly, the way you work that princess...
