context: My name is Gouda Takeo. response:	I may not look like it, but I'm a first-year in high school.
context: My name is Gouda Takeo.\I may not look like it, but I'm a first-year in high school. response:	Soon after I entered high school,
context: My name is Gouda Takeo.\I may not look like it, but I'm a first-year in high school.\Soon after I entered high school, response:	I fell in love with Yamato after saving her from a groper.
context: My name is Gouda Takeo.\I may not look like it, but I'm a first-year in high school.\Soon after I entered high school,\I fell in love with Yamato after saving her from a groper. response:	Get off this train at the next station!
context: My name is Gouda Takeo.\I may not look like it, but I'm a first-year in high school.\Soon after I entered high school,\I fell in love with Yamato after saving her from a groper.\Get off this train at the next station! response:	Thank you.
context: My name is Gouda Takeo.\I may not look like it, but I'm a first-year in high school.\Soon after I entered high school,\I fell in love with Yamato after saving her from a groper.\Get off this train at the next station!\Thank you. response:	I'll get going.
context: My name is Gouda Takeo.\I may not look like it, but I'm a first-year in high school.\Soon after I entered high school,\I fell in love with Yamato after saving her from a groper.\Get off this train at the next station!\Thank you.\I'll get going. response:	Huh?
context: My name is Gouda Takeo.\I may not look like it, but I'm a first-year in high school.\Soon after I entered high school,\I fell in love with Yamato after saving her from a groper.\Get off this train at the next station!\Thank you.\I'll get going.\Huh? response:	You're leaving?!
context: I may not look like it, but I'm a first-year in high school.\Soon after I entered high school,\I fell in love with Yamato after saving her from a groper.\Get off this train at the next station!\Thank you.\I'll get going.\Huh?\You're leaving?! response:	But Yamato had fallen for Suna.
context: Soon after I entered high school,\I fell in love with Yamato after saving her from a groper.\Get off this train at the next station!\Thank you.\I'll get going.\Huh?\You're leaving?!\But Yamato had fallen for Suna. response:	She's...
context: I fell in love with Yamato after saving her from a groper.\Get off this train at the next station!\Thank you.\I'll get going.\Huh?\You're leaving?!\But Yamato had fallen for Suna.\She's... response:	kind of nice.
context: Get off this train at the next station!\Thank you.\I'll get going.\Huh?\You're leaving?!\But Yamato had fallen for Suna.\She's...\kind of nice. response:	Suna seems to have a thing for her, too.
context: Thank you.\I'll get going.\Huh?\You're leaving?!\But Yamato had fallen for Suna.\She's...\kind of nice.\Suna seems to have a thing for her, too. response:	Now that I think about it, you're always helping me...
context: I'll get going.\Huh?\You're leaving?!\But Yamato had fallen for Suna.\She's...\kind of nice.\Suna seems to have a thing for her, too.\Now that I think about it, you're always helping me... response:	Thank you.
context: Huh?\You're leaving?!\But Yamato had fallen for Suna.\She's...\kind of nice.\Suna seems to have a thing for her, too.\Now that I think about it, you're always helping me...\Thank you. response:	Next time, could it be without Sunakawa-kun?
context: You're leaving?!\But Yamato had fallen for Suna.\She's...\kind of nice.\Suna seems to have a thing for her, too.\Now that I think about it, you're always helping me...\Thank you.\Next time, could it be without Sunakawa-kun? response:	She's finally ready to ask for advice with her relationship.
context: But Yamato had fallen for Suna.\She's...\kind of nice.\Suna seems to have a thing for her, too.\Now that I think about it, you're always helping me...\Thank you.\Next time, could it be without Sunakawa-kun?\She's finally ready to ask for advice with her relationship. response:	You can count on me!
context: She's...\kind of nice.\Suna seems to have a thing for her, too.\Now that I think about it, you're always helping me...\Thank you.\Next time, could it be without Sunakawa-kun?\She's finally ready to ask for advice with her relationship.\You can count on me! response:	My Blue Ogre
context: kind of nice.\Suna seems to have a thing for her, too.\Now that I think about it, you're always helping me...\Thank you.\Next time, could it be without Sunakawa-kun?\She's finally ready to ask for advice with her relationship.\You can count on me!\My Blue Ogre response:	Here I am...
